GPS_lng,ตำบล,ประกอบกิจการ,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPS_lat,เงินทุนรวม
100.1723833,บางเลน,ทำวุ้นเส้น แป้งสลิ่ม ก๋วยเตี๋ยว เซี่ยงไฮ้,1015,3-10(3)-2/28นฐ,บางเลน-ดอนตูม,เลขที่ 2,206,นครปฐม,034-391011,1,บริษัท ไทยวา จำกัด (มหาชน),-,บริษัท ไทยวา จำกัด (มหาชน),73130,809,11,บางเลน,13.99965,614500000
100.0886333,ตลาดจินดา,ผลิตภัณฑ์จากแป้งข้าวจ้าว-ข้าวสาลี อาหารกึ่งสำเร็จรูป ผงเครื่องปรุงอาหาร เครื่องแกง-น้ำพริกและน้ำมะนาวปรุงแต่ง หัวเชื้อน้ำซุป ซอสในภาชนะบรรุที่ปิดสนิท วัตถุเจือปนอาหาร,97,3-10(3)-2/45นฐ,พระประโทน-บ้านแพ้ว,"เลขที่ 58/3,99/8",46,นครปฐม,,6,บริษัท เอฟ-พลัส จำกัด,-,บริษัท เอฟ-พลัส จำกัด,73110,51,12,สามพราน,13.67006667,90000000
100.1113167,ลำลูกบัว,ผลิตวุ้นเส้น,462,3-10(3)-3/28นฐ,พลดำริห์,เลขที่ 4,204,นครปฐม,,3,บริษัท อุตสาหกรรมวุ้นเส้นไทย จำกัด,,บริษัท อุตสาหกรรมวุ้นเส้นไทย จำกัด,73150,258,13,ดอนตูม,14.03451667,13000000
100.26785,อ้อมใหญ่,ทำเส้นหมี แป้งข้าวจ้าว และแป้งข้าวเหนียว,28,3-10(3)-3/30นฐ,เพชรเกษม,เลขที่ 38,15,นครปฐม,4203307-8,6,บริษัท เส้นหมี่เหรียญไทย จำกัด,วัดอ้อมใหญ่,บริษัท เส้นหมี่เหรียญไทย จำกัด,73160,13,14,สามพราน,13.69445,10000000
100.2010333,คลองใหม่,ผลิตอาหารประเภทข้าวเกรียบจากแป้งสาลี แป้งมันสำปะหลัง แป้งข้าวโพด บะหมี่กึ่ง สำเร็จรูป ขนมปังอบกรอบและเครื่องปรุงรส,130,3-10(3)-3/43นฐ,เพชรเกษม,เลขที่ 105/5,35,นครปฐม,(034) 324473-6,6,บริษัท แฟชั่นฟู้ด จำกัด,,บริษัท แฟชั่นฟู้ด จำกัด,73110,95,15,สามพราน,13.74938333,32000000
100.02305,ดอนข่อย,ผลิตเส้นก๋วยเตี๋ยว,25,3-10(3)-3/51นฐ,พลดำริห์,เลขที่ 81,15,นครปฐม,034-352448,6,นางสาวรัชมน พงษ์เกษมวัฒน์,-,โรงงานก๋วยเตี๋ยว ธนพล,73140,10,16,กำแพงแสน,14.01755,34000000
100.26515,อ้อมใหญ่,ผลิตเส้นหมี่,0,3-10(3)-3/55นฐ,เพชรเกษม,เลขที่ 42/1,0,นครปฐม,,1,บริษัท เส้นหมี่เหรียญทอง จำกัด,วัดอ้อมใหญ่,บริษัท เส้นหมี่เหรียญทอง จำกัด,73160,0,17,สามพราน,13.6945,0
100.018761,วังตะกู,"ทำเส้นหมี่, ก๋วยเตี๋ยว, บะหมี่ และลูกชิ้น",35,3-10(3)-4/54นฐ,วังตะกู,เลขที่ 105,20,นครปฐม,034-261300,6,นายคงศักดิ์ บุตรพันธ์,,ธีรกานต์,73000,15,18,เมืองนครปฐม,13.85229,52000000
,ไร่ขิง,โรงงานผลิตเส้นหมี่จากข้าวจ้าว-ข้าวเหนียว,90,3-10(3)-4/62นฐ,,เลขที่ 67/9,60,นครปฐม,,12,บริษัท อาร์.เอส.แอกริเทค จำกัด,,บริษัท อาร์.เอส.แอกริเทค จำกัด,73210,30,19,สามพราน,,250000000
100.2662625,นราภิรมย์,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,79,3-10(3)-9/60นฐ,,เลขที่ 99/1,44,นครปฐม,094-4834315,4,บริษัท ไทยเซ็นเตอร์ฟู้ด โปรดักส์ จำกัด,,บริษัท ไทยเซ็นเตอร์ฟู้ด โปรดักส์ จำกัด,73130,35,20,บางเลน,13.94065771,95010770
100.3304667,กระทุ่มล้ม,ผลิตบรรจุภัณฑ์โลหะและบรรจุภัณฑ์พลาสติก,152,3-100(1)-1/43นฐ,พุทธมณฑลสาย 4,เลขที่ 111,69,นครปฐม,2803402-3,5,บริษัท เบญจมิตรบรรจุภัณฑ์ จำกัด,,บริษัท เบญจมิตรบรรจุภัณฑ์ จำกัด,73220,83,21,สามพราน,13.72463333,203000000
100.29875,ไร่ขิง,ปรับคุณภาพของเสียรวม,11,3-101-1/36นฐ,พุทธมณฑลสายที่ 5,เลขที่ 87,11,นครปฐม,0-2420-4717,9,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,73210,0,22,สามพราน,13.72036667,381110000
100.2452333,บ้านใหม่,ระบบบำบัดน้ำเสียรวม,2,3-101-1/37นฐ,เพชรเกษม,เลขที่ 12,2,นครปฐม,"42,903,394,290,647",,บริษัท บางกอกอินเตอร์ฟูด จำกัด,วัดเทียนดัด,บริษัท บางกอกอินเตอร์ฟูด จำกัด,73110,0,23,สามพราน,13.69745,500000
100.1994,ไทยาวาส,ระบบบำบัดน้ำเสียรวม,3,3-101-1/50นฐ, -,เลขที่ 81/7,3,นครปฐม,0 2477 9020,1,บริษัท น้ำมันพืชไทย จำกัด (มหาชน), -,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),73120,0,24,นครชัยศรี,13.79788333,16050000
100.2470333,บ้านใหม่,บำบัดน้ำเสียรวม,5,3-101-2/41นฐ,เพชรเกษม,เลขที่ 67,3,นครปฐม,4290020,1,บริษัท นครหลวงกลูโคส จำกัด,วัดเทียนดัด,บริษัท นครหลวงกลูโคส จำกัด,73110,2,25,สามพราน,13.70343333,69500000
100.19501,นครชัยศรี,"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 4,800 ลูกบาศก์เมตรต่อวัน",17,3-101-7/51นฐ,สุขาภิบาล,เลขที่ 33/3,17,นครปฐม,034 331788-90,3,บริษัท ไทยโทเรเท็กซ์ไทล์มิลลส์ จำกัด (มหาชน),-,บริษัท ไทยโทเรเท็กซ์ไทล์มิลลส์ จำกัด (มหาชน),73120,0,26,นครชัยศรี,13.79158,0
100.3031162,ไร่ขิง,ผลิตและจำหน่ายไอน้ำ,4,3-102-1/62นฐ,เพชรเกษม,เลขที่ 41/3,4,นครปฐม,,5,บริษัท อัลโลคอร์ท จำกัด,เทศบาล 10,บริษัท อัลโลคอร์ท จำกัด,73210,0,27,สามพราน,13.75099998,40000000
99.98556645,สระพัฒนา,ผลิตและจำหน่ายไอน้ำ,5,3-102-1/63นฐ,,เลขที่ 96,5,นครปฐม,,9,บริษัท บลูฟาโล่ จำกัด,,บริษัท บลูฟาโล่ จำกัด,73180,0,28,กำแพงแสน,14.09983864,19600000
100.278228,บัวปากท่า,การผลิต และหรือจำหน่ายไอน้ำ,8,3-102-2/61นฐ,,เลขที่ 99,8,นครปฐม,,10,บริษัท สิงห์ เบเวอเรช จำกัด,,บริษัท สิงห์ เบเวอเรช จำกัด,73130,0,29,บางเลน,14.16213246,200000000
,บ้านหลวง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,3-105-101/62นฐ,บ้านหลวง-บ่อพลับ,เลขที่ 113/7,18,นครปฐม,087-3695666,3,นายวิษณุพงษ์ ห้วยกรดวัฒนา,,ทวีภัทร รีไซเคิล,73150,12,30,ดอนตูม,,10000000
,พะเนียด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,25,3-105-118/64นฐ,,เลขที่ 88/8,20,นครปฐม,08-9987-0582,1,บริษัท บ้านไร่พัฒนา จำกัด,,บริษัท บ้านไร่พัฒนา จำกัด,73120,5,31,นครชัยศรี,,68000000
,คลองใหม่,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,3-105-13/67นฐ,,เลขที่ โฉนดที่ดินเลขที่ 48893 . 48878,2,นครปฐม,,6,นางสาวจรินทร์  ทะรังศรี,,-,73110,1,32,สามพราน,,13000000
100.12915,พะเนียด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) คัดแยกวัสดุที่ไม่ใช้แล้วตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 6 (พ.ศ.2540) เฉพาะแบตเตอรี่เท่านั้น และผลิตน้ำมันเชื้อเพลิงทดแทน,21,3-105-138/48นฐ, -,เลขที่ 63/3,16,นครปฐม,,2,ห้างหุ้นส่วนจำกัด ธนนิพัฒน์ยนต์, -,บริษัท ธนนิพัฒน์ยนต์ตระการ จำกัด,73120,5,33,นครชัยศรี,13.79911667,5500000
100.15045,แหลมบัว,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),60,3-105-141/48นฐ, -,เลขที่ 22/14,50,นครปฐม,,2,นายวันชัย อินทชยาคม, -,นายวันชัย อินทชยาคม,73120,10,34,นครชัยศรี,13.85496667,1400000
99.98955488,สระสี่มุม,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก ซ่อมแซม ดัดแปลง คอมพิวเตอร์ อุปกรณ์อิเล็กทรอนิกส์และเครื่องใช้ไฟฟ้าทุกชนิดที่ผ่านการใช้งานแล้ว,20,3-105-154/48นฐ,มาลัยแมน,เลขที่ 69,13,นครปฐม,,21,บริษัท อาร์ที โกลเบิล กรุ๊ป จำกัด, -,บริษัท อาร์ที โกลเบิล กรุ๊ป จำกัด,73140,7,35,กำแพงแสน,14.0671813,12000000
100.2681,อ้อมใหญ่,คัดแยกสายไฟฟ้า,17,3-105-16/54นฐ,-,เลขที่ 40/1,14,นครปฐม,,6,บริษัท หงเหวิน จำกัด,-,บริษัท หงเหวิน จำกัด,73160,3,36,สามพราน,13.69341667,48000000
,กระทุ่มล้ม,เกี่ยวกับคัดแยกเศษผ้า,51,3-105-166/48นฐ, -,เลขที่ 12/200,35,นครปฐม,,6,นางสาวรัญญา แซ่หลิ่ม, -,วรัญญา,73220,16,37,สามพราน,,5000000
100.0403,ตาก้อง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และล้าง บดหรือย่อยพลาสติก ผลิตเม็ดพลาสติก,5,3-105-2/50นฐ, -,เลขที่ 36/2,3,นครปฐม,0 3434 8155,6,ห้างหุ้นส่วนจำกัด พี แอนด์ แอล รีไซเคิล, -,ห้างหุ้นส่วนจำกัด พี แอนด์ แอล รีไซเคิล,73000,2,38,เมืองนครปฐม,13.8813,4000000
100.1943365,คลองใหม่,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,3-105-22/57นฐ,,เลขที่ 117,7,นครปฐม,,3,บริษัท เพชรพูล อินเตอร์เทรด จำกัด,,บริษัท เพชรพูล อินเตอร์เทรด จำกัด,73110,0,39,สามพราน,13.73127515,5000000
,หนองดินแดง,คัดเเยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษโลหะ พลาสติก กระดาษ อัดเศษโละ ทุกชนิด,10,3-105-23/67นฐ,,"เลขที่ โฉนดที่ดินเลขที่ 76778 , 76779",5,นครปฐม,,,นายโสภณ  ก้องเสียง,,-,73000,5,40,เมืองนครปฐม,,30000000
100.2181798,ขุนแก้ว,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,45,3-105-25/60นฐ,ปิ่นเกล้า-นครชัยศรี,เลขที่ 53/15,30,นครปฐม,,2,นายทศพล บุญมูสิก,-,บริษัท ดีสมใจ สแครป ยาร์ด จำกัด ),73120,15,41,นครชัยศรี,13.76983567,20020000
100.052818,สนามจันทร์,ทำพลาสติกเป็นเม็ด หรือรูปทรงต่างๆ,36,3-105-26/57นฐ,ยิงเป้าใต้,เลขที่ 143/19,26,นครปฐม,0 3421 8360,2,บริษัท อภิสิทธิ์ เอ็นเตอร์ไพร์ส จำกัด,,บริษัท อภิสิทธิ์ เอ็นเตอร์ไพร์ส จำกัด,73000,10,42,เมืองนครปฐม,13.794602,22220000
,บางภาษี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียหรืออันตราย ,24,3-105-34/64นฐ,,เลขที่ 108,19,นครปฐม,061-6239279,9,บริษัท ทรัพย์ไพศาล เมทัลเวิร์ค จำกัด,,บริษัท ทรัพย์ไพศาล เมทัลเวิร์ค จำกัด,73130,5,43,บางเลน,,28300000
,หนองปากโลง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,3-105-37/64นฐ,,เลขที่ 100,9,นครปฐม,,8,นายยุทธนา จำเริญ,,พี วาย พลาสติกรีไซเคิล,73000,4,44,เมืองนครปฐม,,7000000
,ท่าตำหนัก,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและกรองน้ำมันพืชที่ใช้แล้วเพื่อนำไปเป็นพลังงานทดแทน,10,3-105-4/67นฐ,,เลขที่ 53/9,10,นครปฐม,,4,บริษัท 3 กฤษ ออยล์ จำกัด,,บริษัท 3 กฤษ ออยล์ จำกัด,73120,0,45,นครชัยศรี,,6500000
,ตลาดจินดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,18,3-105-40/62นฐ,,เลขที่ 99,10,นครปฐม,,6,บริษัท หัง ไท่ เมททอล อิเล็กทรอนิกส์ เทรดดิ้ง จำกัด,,บริษัท หัง ไท่ เมททอล อิเล็กทรอนิกส์ เทรดดิ้ง จำกัด,73110,8,46,สามพราน,,5300000
100.1134798,ดอนตูม,คัดแยกวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมที่ไม่เป็นของเสียอันตราย,14,3-105-41/60นฐ,,เลขที่ 55/1,9,นครปฐม,,11,บริษัท ยง ถัง จำกัด,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,5,47,บางเลน,13.97518667,7000000
,ทุ่งลูกนก,คัดเเยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,3-105-45/65นฐ,,เลขที่ โฉนดที่ดินเลขที่ 3073,5,นครปฐม,,4,บริษัท ทองรุ่งแสง พลาสติก แอนด์ รับเบอร์ จำกัด,,บริษัท ทองรุ่งแสง พลาสติก แอนด์ รับเบอร์ จำกัด,73140,3,48,กำแพงแสน,,12000000
,วังน้ำเขียว,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายของเสีย,12,3-105-45/66นฐ,,เลขที่ 99/9,6,นครปฐม,089-9870582,10,บริษัท สยามวรกุล กรุ๊ป จำกัด,,บริษัท สยามวรกุล กรุ๊ป จำกัด,73140,6,49,กำแพงแสน,,29000000
100.1052073,ตลาดจินดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,3-105-56/63นฐ,,เลขที่ 38/11,7,นครปฐม,,11,บริษัท ประเสริฐสุข รีไซเคิล จำกัด ,,บริษัท ประเสริฐสุข รีไซเคิล จำกัด,73110,3,50,สามพราน,13.65948897,2200000
100.2032667,คลองใหม่,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) ผลิตยางปูพื้นรถยนต์ และอื่น ๆ จากยางธรรมชาติหรือยางสังเคราะห์ ผลิตภัณฑ์จากวัสดุที่ไม่ใช้แล้วหรือของเสียจากโรงงาน ผลิตยางปูพื้นรถยนต์และอื่นๆ,200,3-105-58/48นฐ,เพชรเกษม,เลขที่ 55,120,นครปฐม,,6,บริษัท สยามยูไนเต็ดรับเบอร์ จำกัด,-,บริษัท สยามยูไนเต็ดรับเบอร์ จำกัด,73110,80,51,สามพราน,13.74808333,190000000
,ถนนขาด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดพลาสติก กระดาษ,8,3-105-59/66นฐ,,เลขที่ 14,4,นครปฐม,,3,นายภัทรพงษ์  คงยนต์,,เอ็ม เอ็ม รีไซเคิล,73000,4,52,เมืองนครปฐม,,3000000
100.0039667,วังน้ำเขียว,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษโลหะ,7,3-105-66/49นฐ, -,เลขที่ 99,6,นครปฐม,,11,ห้างหุ้นส่วนจำกัด เจริญสิน รีไซเคิล, -,ห้างหุ้นส่วนจำกัด เจริญสิน รีไซเคิล,73140,1,53,กำแพงแสน,13.9679,6410000
100.0806382,ห้วยพระ,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เหล็ก กระดาษ พลาสติก แก้ว ไม้หรือวัสดุอื่นๆ,20,3-105-7/62นฐ,,เลขที่ 160,15,นครปฐม,,1,บริษัท เอส.ที.เอ็น 1995 รีไซเคิล จำกัด,,บริษัท เอส.ที.เอ็น 1995 รีไซเคิล จำกัด,73150,5,54,ดอนตูม,13.91816361,48000000
100.2209808,สามพราน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,3-105-74/61นฐ,,เลขที่ 158,5,นครปฐม,,7,บริษัท สามพรานรีไซเคิล จำกัด,,บริษัท สามพรานรีไซเคิล จำกัด,73110,0,55,สามพราน,13.73561575,11000000
100.12178,ดอนตูม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,47,3-105-81/62นฐ,,เลขที่ โฉนดที่ดินเลขที่ 2608,37,นครปฐม,,6,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,10,56,บางเลน,13.98585644,6350000
,ดอนตูม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,3-105-85/62นฐ,,เลขที่ 90,7,นครปฐม,,2,บริษัท เอเชีย บราเทอร์ เทคโนโลยี จำกัด,,บริษัท เอเชีย บราเทอร์ เทคโนโลยี จำกัด,73130,3,57,บางเลน,,25500000
,สระกะเทียม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,3-105-91/64นฐ,,เลขที่ โฉนดที่ดินเลขที่ 23361,22,นครปฐม,,1,นายวิศรุต เปี่ยมศิริ,,อุดมทรัพย์,73000,8,58,เมืองนครปฐม,,12000000
,พระประโทน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,3-105-95/63นฐ,เพชรเกษม,เลขที่ 12,7,นครปฐม,,,นายนพดล เพ็ญตระกูลชัย,เพชรเกษม 9 ,นายนพดล เพ็ญตระกูลชัย,73000,3,59,เมืองนครปฐม,,14000000
99.884953,ทุ่งลูกนก,ผลิตเชื้อเพลิงสังเคราะห์จากพลาสติกที่ใช้แล้ว ด้วยกระบวนการ Pyrolysis,15,3-106-13/53นฐ,-,เลขที่ 75,15,นครปฐม,,4,บริษัท ปฐมชัยไฮเทค จำกัด,-,บริษัท ปฐมชัยไฮเทค จำกัด,73140,0,60,กำแพงแสน,14.02459,4000000
100.1103899,ดอนตูม,นำชิ้นส่วนอุปกรณ์ไฟฟ้าอิเล็กทรอนิกส์เข้าสู่กระบวนการทางอุตสาหกรรม เพื่อนำโลหะกลับมาใช้ประโยชน์ใหม่,150,3-106-13/56นฐ,,เลขที่ 55,106,นครปฐม,,11,บริษัท ยง ถัง จำกัด,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,44,61,บางเลน,13.97510338,14300000
99.936027,โพรงมะเดื่อ,กลั่นตัวทำละลายใช้งานแล้วกลับมาใช้ใหม่ (Solvents Recovery) ทำเชื้อเพลิงทดแทนจาก น้ำมันหล่อลื่นและตัวทำละลายที่ใช้แล้ว,14,3-106-19/52นฐ,-,เลขที่ 50,10,นครปฐม,,12,บริษัท รีฟายน์พลัส จำกัด,-,บริษัท รีฟายน์พลัส จำกัด,73000,4,62,เมืองนครปฐม,13.82146,10000000
,ท่ากระชับ,นำยางรถยนต์ใช้แล้วมาสับ บดย่อย เพื่อนำเศษลวดและยางกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,6,3-106-2/56นฐ,เพชรเกษม,เลขที่ 18,6,นครปฐม,,2,นางสาวพรทิพย์ จงยิ่งยศ,-,บริษัท เมก้า ไทร์ แมนูแฟคเจอริ่ง (ไทย) จำกัด,73120,0,63,นครชัยศรี,,14200000
99.989265,ทัพหลวง,บดแก้ว และล้างขวด,20,3-106-20/57นฐ,-,เลขที่ 59/6,15,นครปฐม,0 3426 1768,6,นายวัลลภ จีบบุบผา,-,ปฐมแก้ววัฒนา,73000,5,64,เมืองนครปฐม,13.852321,14000000
99.978758,หนองดินแดง,นำยางรถยนต์เก่ามาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,6,3-106-33/52นฐ,เพชรเกษม,เลขที่ 24/1,6,นครปฐม,,3,นายคำรณ จงยิ่งยศ,-,,73000,0,65,เมืองนครปฐม,13.79928,6850000
,บ้านหลวง,ถอดแยกชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ และบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้า และอิเล็กทรอนิกส์เพื่อนำมาร่อนแยกโลหะมีค่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,3-106-40/61นฐ,,เลขที่ 119,6,นครปฐม,,5,บริษัท เจี๋ยฮง อินเตอร์ จำกัด,,บริษัท เจี๋ยฮง อินเตอร์ จำกัด,73150,4,66,ดอนตูม,,4000000
,หนองงูเหลือม,ตัด กรีด บด อัดยางรถยนต์เก่าที่ไม่ใช้แล้วมาแปรรูป,6,3-106-5/57นฐ,-,เลขที่ 52/8,4,นครปฐม,,6,บริษัท ไทย อาร์.ซี.พรีเมียม จำกัด,-,บริษัท ยูเนี่ยน รีไซคลิ่ง จำกัด,73000,2,67,เมืองนครปฐม,,3800000
