ค่าข้อมูล,ที่มา,_id,ปี,รายการข้อมูล,จังหวัด,หน่วย
1388584,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,15,2545,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1387861,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,16,2546,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1397202,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,17,2547,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1860927,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,18,2548,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1868927,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,19,2549,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1853064,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,20,2550,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1881282,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,21,2551,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1920656,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,22,2552,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1967907,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,23,2553,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
1993028,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,24,2554,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2039299,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,25,2555,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2066960,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,26,2556,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2151882,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,27,2557,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2221884,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,28,2558,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2256997,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,29,2559,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2273437,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,30,2560,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2267616,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,31,2561,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2237645,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,32,2562,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2224165,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,33,2563,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2208210,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,34,2564,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2195792,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,35,2565,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
2169442,ส่วนสารสนเทศการเกษตร สำนักงานเศรษฐกิจการเกษตรที่ 9,36,2566,เนื้อที่เพาะปลูกยางพารา (เนื้อที่ยืนต้น),สงขลา,ไร่
