ถนน,ซอย,เลขที่,ประเภท,เงินทุนรวม,_id,ชื่อโรงงาน,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,TSIC,หมู่
,,เลขที่ 111,-04601-,178000000,21,บริษัท เอเบิ้ล เมดิคอล จำกัด,"043-752102, 086-0293441",10220,หนองซอน,เชียงยืน,มหาสารคาม,21001,9
,,เลขที่ โฉนดที่ดินเลขที่ 35582 เลขที่ดิน 95,-05004-,84000000,22,บริษัท เจ.บี.แอล.สถาปัตย์ จำกัด,970616554,44110,เมืองเสือ,พยัคฆภูมิพิสัย,มหาสารคาม,19209,2
แจ้งสนิท,,,-05801-,0,23,แผนกโรงงานผลิตภัณฑ์คอนกรีต,43746292,44000,เขวา,เมืองมหาสารคาม,มหาสารคาม,23953,17
นาเชือก-หนองสองห้อง,,เลขที่ 180,-08801-,67100000,24,บริษัท อินเทค โซล่าร์ จำกัด,084-941 1944,44170,ปอพาน,นาเชือก,มหาสารคาม,35101,11
อรุณประเสริฐ,,เลขที่ 107,-08801-,67100000,25,บริษัท อินเทค โซล่าร์ จำกัด,"094-9411944,043-706971",44110,ก้ามปู,พยัคฆภูมิพิสัย,มหาสารคาม,35101,6
,,เลขที่ 106,-08801-,85000000,26,บริษัท กรีนไบ-โอ มหาสารคาม จำกัด,02-9938982,44110,ก้ามปู,พยัคฆภูมิพิสัย,มหาสารคาม,35101,6
,บ้านฮ่องน้อย,เลขที่ 82,-08802-,21987980,27,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด,043-770090-2,44130,กำพี้,บรบือ,มหาสารคาม,35101,7
วาปี-พยัคฆ์,,เลขที่ 278,-00901-,11450000,28,ห้างหุ้นส่วนจำกัด โรงสีสหบูรณ์ข้าวไทย,"043-711265, 081-8726935",44120,หนองแสง,วาปีปทุม,มหาสารคาม,10611,2
,,เลขที่ 1345,-00901-,3400000,29,ห้างหุ้นส่วนจำกัด โรงสีข้าวบรบือ,43771015,44130,บรบือ,บรบือ,มหาสารคาม,10611,1
พยัคฆภูมิพิสัย-บุรีรัมย์,,เลขที่ 85,-00901-,6500000,30,โรงสีข้าวบริษัท ข้าวทองพยัคฆ์ จำกัด,098-6161545,44110,เมืองเสือ,พยัคฆภูมิพิสัย,มหาสารคาม,10611,5
ถีนานนท์,บ้านโนนค้อ,เลขที่ 67,-00901-,36300000,31,สมเด็จทวีผล 3,043-744419,44150,โคกพระ,กันทรวิชัย,มหาสารคาม,10611,14
ถีนานนท์,,,-00901-,167300000,32,บริษัท โรงสีข้าวเจริญธัญญะชาติ จำกัด,089-3915363,44150,โคกพระ,กันทรวิชัย,มหาสารคาม,10611,15
พยัคฆภูมิพิสัย-นาเชือก,บ้านเมืองเก่า,เลขที่ 12,-00901-,180000000,33,บริษัท ยิ่งเจริญค้าข้าวสารคาม จำกัด,095-9794462,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,10611,15
วาปี-พยัคฆภูมิพิสัย,,เลขที่ 210,-00901-,32400000,34,บริษัท ชวลิตข้าวไทย จำกัด,043-731182,44120,หนองแสง,วาปีปทุม,มหาสารคาม,10611,12
ประทาย-ยโสธร (202),,เลขที่ 102,-00901-,65000000,35,บริษัท เพชรพยัคฆภูมิพิสัย ข้าวไทย จำกัด,"081-9620295,088-7899151",44110,เม็กดำ,พยัคฆภูมิพิสัย,มหาสารคาม,10611,7
,,เลขที่ 98,-00901-,63000000,36,บริษัท ดุสิตอินเตอร์ไรซ์ จำกัด,"086-6410508,084-0415875",44140,หนองบอน,โกสุมพิสัย,มหาสารคาม,10611,9
,บ้านฮ่องน้อย,เลขที่ 82,-00902-,489830296,37,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด,043-7700912,44130,กำพี้,บรบือ,มหาสารคาม,10612,7
แจ้งสนิท,บ้านปทุมทอง,,-00902-,40000000,38,บริษัท เป่ยต้าฮวง ชลเจริญ จำกัด,,44130,กุดรัง,กุดรัง,มหาสารคาม,10612,13
,บ้านฮ่องน้อย,เลขที่ 82/1,-00902-,764305000,39,บริษัท คาร์กิลล์สยาม จำกัด,043-770090-92,44130,กำพี้,บรบือ,มหาสารคาม,10612,7
,,เลขที่ 124,-02301-,4000000,40,นางเสาวลักษณ์ สังสีแก้ว,,44110,เม็กดำ,พยัคฆภูมิพิสัย,มหาสารคาม,13921,2
มหาสารคาม-โกสุมฯ,,เลขที่ 204,-05801-,7150000,41,บริษัท กรีน กรุ๊ป เซลส์ แอนด์ เซอร์วิส จำกัด,043-970533,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,23953,6
บรบือ-วาปีฯ,,เลขที่ 60,-05801-,6000000,42,จัักรพงษ์คอนกรีต,918675999,44130,ยาง,บรบือ,มหาสารคาม,23953,6
,,เลขที่ 22,-05801-,19000000,43,บริษัท ชัยตระกูลชัย คอนกรีต จำกัด,"043-706959,0885651089",44000,หนองโน,เมืองมหาสารคาม,มหาสารคาม,23953,1
พยัคฆภูมิพิสัย-บรบือ,,เลขที่ 111,-05801-,10320000,44,ห้างหุ้นส่วนจำกัด ยิ่งเจริญก่อสร้างบุรีรัมย์,"044-681458,063-0215825",44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,23953,3
,,เลขที่ โฉนดที่ดินเลขที่ 58592,-05801-,10000000,45,ห้างหุ้นส่วนจำกัด ดอนงัวก่อสร้าง,043-990028,44130,ดอนงัว,บรบือ,มหาสารคาม,23953,1
บ้านโนนเกษตร-นาเพียง,,,-06411-,600000,46,ห้างหุ้นส่วนจำกัด ตวงสุข เอ็นจิเนียริ่ง กรุีป,082-2939445,44130,หนองคูขาด,บรบือ,มหาสารคาม,25999,7
,,เลขที่ 96,-00901-,25000000,47,ห้างหุ้นส่วนจำกัด ตะวันชัยรุ่งเรือง,989265142,44120,เสือโก้ก,วาปีปทุม,มหาสารคาม,10611,9
,,เลขที่ 266,-09200-,22000000,48,ห้องเย็นอาลดิน,"043-706729,087-9482064",44120,เสือโก้ก,วาปีปทุม,มหาสารคาม,52101,2
ถีนานนท์ กม.18,บ้านหนองแวง,,-10301-,450000,49,นายอาทิตย์ บริหาร(23),095-6629412,44150,โคกพระ,กันทรวิชัย,มหาสารคาม,8931,4
,บ้านหนองแวง,,-10301-,250000,50,นายอาทิตย์ บริหาร,956659412,44150,โคกพระ,กันทรวิชัย,มหาสารคาม,8931,4
 ,บ้านหนองแวง,,-10301-,570000,51,เพชรทิพย์ ฟู้ดส์, 084-9576315,44150,โคกพระ,กันทรวิชัย,มหาสารคาม,8931,4
 ถีนานนท์,บ้านหนองแวง,,-10301-,1500000,52,อุตสาหกรรมเกลือโฆมานะสิน, 081-5446444,44150,โคกพระ,กันทรวิชัย,มหาสารคาม,8931,4
,,เลขที่ 401,-10500-,29000000,53,บริษัท ศูนย์การจัดการวัสดุเหลือใช้ จำกัด,043-778007,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,38211,11
ขอนแก่น-ยางตลาด,บ้านกู่ทอง,เลขที่ 137,-01400-,8640000,54,โรงน้ำแข็งกู่ทอง,223671,44160,กู่ทอง,เชียงยืน,มหาสารคาม,10795,1
ศรีโกสุม,,เลขที่ 253,-01400-,14636000,55,ห้างหุ้นส่วนจำกัด น้ำดื่ม จิรวัฒน์,"043-761037,081-5874444",44140,หัวขวาง,โกสุมพิสัย,มหาสารคาม,10795,24
,,เลขที่ 99,-01400-,11000000,56,ห้างหุ้นส่วนจำกัด ตั้งสุรเสียงไอซ์,"083-8244553,0985865210",44170,หนองเม็ก,นาเชือก,มหาสารคาม,10795,7
,บ้านหมากหญ้า,เลขที่ 180,-01400-,33700000,57,บริษัท โรงน้ำแข็งเชียงยืนกิจวารี จำกัด,085-4989959,44160,เชียงยืน,เชียงยืน,มหาสารคาม,10795,1
,,เลขที่ 280,-01400-,9500000,58,โรงน้ำแข็งอัศวิน,-,44130,หนองสิม,บรบือ,มหาสารคาม,10795,2
,,เลขที่ 98,-01400-,17000000,59,โรงน้ำแข็งซันนี่ 2551,089-5773354,44190,แกดำ,แกดำ,มหาสารคาม,10795,14
,,เลขที่ 40,-01400-,22600000,60,ห้างหุ้นส่วนจำกัด แหลมทองพยัคฆ์ (1992),094-2916669,44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,10795,2
,,เลขที่ 175,-01400-,45000000,61,บริษัท 09 น้ำแข็งหลอด จำกัด,711089,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,10795,1
แจ้งสนิท,,เลขที่ 69,-01400-,11900000,62,โรงน้ำแข็งบรบือ,"081-2626123,043-771412",44130,หนองสิม,บรบือ,มหาสารคาม,10795,4
,,เลขที่ โฉนดที่ดินเลขที่ 72052,-01400-,17400000,63,ห้างหุ้นส่วนจำกัด ไทยซีเคว้นซ์ซัพพลาย บรบือ,061-3908484,44130,บ่อใหญ่,บรบือ,มหาสารคาม,10795,17
เชียงยืน-ยางตลาด,,เลขที่ โฉนดที่ดินเลขที่ 22830,-01400-,13000000,64,โรงน้ำแข็ง เทวานฤมิตร,-,46170,โพนทอง,เชียงยืน,มหาสารคาม,10795,7
,,เลขที่ โฉนดที่ดินเลขที่ 24374,-01400-,16600000,65,โรงงานน้ำแข็งหลอดบรบือ,081-2626123,44130,หนองสิม,บรบือ,มหาสารคาม,10795,7
,,เลขที่ 119,-01400-,24500000,66,บริษัท โรงน้ำแข็งโกสุมพิสัย กิจวารี จำกัด,085-4989959,44140,หัวขวาง,โกสุมพิสัย,มหาสารคาม,10795,21
,,เลขที่ 290,-01400-,23900000,67,โรงน้ำแข็งน่ำเทียนวาปีปทุม,084-7864503,44120,หนองแสง,วาปีปทุม,มหาสารคาม,10795,2
แจ้งสนิท,,,-01400-,27000000,68,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งกรเดช สาขามหาสารคาม,"086-2213999,090-1467147",44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,10795,3
ผดุงวิถี,,เลขที่ 13,-01400-,19500000,69,นายวรชุณห์ ธรรมบูรณวิทย์,087-8594884,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,10795,
,,เลขที่ 224,-01400-,10000000,70,ห้างหุ้นส่วนจำกัด ตั้งสุรเสียงไอซ์,081-7395623,44130,บรบือ,บรบือ,มหาสารคาม,10795,15
,,เลขที่ 40,-01400-,20400000,71,ห้างหุ้นส่วนจำกัด แหลมทองพยัคฆ์ (1992),094-2916669,44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,10795,2
ท่าขอนยาง-ใคร่นุ่น,,เลขที่ 95,-01400-,17500000,72,บริษัท โรงน้ำแข็ง อ.ลักขณากิจวารี จำกัด,"085-4989959, 085-9148780",44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,10795,6
,,"เลขที่ โฉนดที่ดินเลขที่ 72124,72125",-01400-,8150000,73,โรงงานน้ำแข็งหลอดศรทิพย์,081-4718199,44000,หนองโน,เมืองมหาสารคาม,มหาสารคาม,10795,1
,,เลขที่ 32,-01400-,6500000,74,โรงน้ำแข็ง ซี.เอส. (C.S.),870743413,44120,หนองไฮ,วาปีปทุม,มหาสารคาม,10795,13
,,เลขที่ 365,-01400-,0,75,โรงน้ำแข็ง -น้ำดื่มดอกคูณ,868554761,44160,เชียงยืน,เชียงยืน,มหาสารคาม,10795,17
,,เลขที่ 354,-01400-,23500000,76,โรงน้ำแข็งอินทร์ทิพย์,,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,10795,1
,,,-01400-,13300000,77,ภัราทรัพย์น้ำแข็งหลอด,088-4264508,44110,ก้ามปู,พยัคฆภูมิพิสัย,มหาสารคาม,10795,10
,,เลขที่ 69,-01400-,5220000,78,โรงงานน้ำแข็ง อาภาภรณ์,089-8408290,44130,เลิงแฝก,กุดรัง,มหาสารคาม,10795,9
แจ้งสนิท,,เลขที่ 26/1,-01400-,20000000,79,นายศุภชัย ฤทธิ์เจริญวัตถุ,081-7681412,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,10795,13
,,,-00201-,17300000,80,ห้างหุ้นส่วนจำกัด สายทองพืชผล,,44140,แพง,โกสุมพิสัย,มหาสารคาม,1630,1
พยัคฆภูมิพิสัย-นาเชือก,,,-00201-,105200000,81,บริษัท ยิ่งเจริญค้าข้าวสารคาม จำกัด,083-6555162,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,1630,15
แจ้งสนิท,,เลขที่ 144,-00201-,13125000,82,โรงสีข้าวบรบือ 2,"081-9130282,043-706732",44130,บรบือ,บรบือ,มหาสารคาม,1630,4
พยัคฆภูมิพิสัย-บุรีรัมย์,,เลขที่ 85,-00201-,40000000,83,โรงสีข้าว บริษัท ข้าวทองพยัคฆ์ จำกัด,098-6161545,44110,เมืองเสือ,พยัคฆภูมิพิสัย,มหาสารคาม,1630,5
,,เลขที่ 180,-02400-,2000000,84,บริษัท อนันต์ไพศาลมหาสารคาม จำกัด,043713576-7,44000,เขวา,เมืองมหาสารคาม,มหาสารคาม,13999,11
,,เลขที่ 88,-02703-,33000000,85,บริษัท แอมเพิลไลท์ อินเตอร์เนชั่นแนล จำกัด,043-020147,44130,นาโพธิ์,กุดรัง,มหาสารคาม,13922,12
เชียงยืน-ยางตลาด,,เลขที่ 141,-02706-,54000000,86,บริษัท วอดดิ้ง นันวูเว่น จำกัด,"043-706984,061-5986555",44160,โพนทอง,เชียงยืน,มหาสารคาม,13922,4
ยางตลาด-กาฬสินธุ์,,เลขที่ โฉนดที่ดินเลขที่ 7463,-02706-,19000000,87,บริษัท วอดดิ้ง นันวูเว่น จำกัด,02-9223720-5,11150,โพนทอง,เชียงยืน,มหาสารคาม,13922,4
กันทรวิชัย-เชียงยืน,,เลขที่ 99,-02801-,19000000,88,บริษัท สารคามเอ็นเตอร์ไพรส์ จำกัด,087-2310634,44160,หนองซอน,เชียงยืน,มหาสารคาม,14111,14
,,เลขที่ 30,-02801-,21336000,89,บริษัท วี เอ เอส การ์เม้นท์ (ประเทศไทย) จำกัด,043-711060,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,14111,13
,,เลขที่ โฉนดที่ดินเลขที่ 60122และ64760,-00302-,10500000,90,-,874227387,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,8103,10
,,"เลขที่ 10271,10735,10737,10732,10731,10736",-00302-,13000000,91,3888 ทรายทอง เอ็นจิเนียริ่ง,061-0396324,44120,คันธารราษฎร์,กันทรวิชัย,มหาสารคาม,8103,
,,"เลขที่ โฉนดเลขที่ 42186,54575",-00303-,2500000,92,ห้างหุ้นส่วนจำกัด พารุ่งเรืองทรัพย์,061-0396324,44120,ประชาพัฒนา,วาปีปทุม,มหาสารคาม,8103,"1,2"
แม่น้ำชี,,,-00304-,250000,93,ท่าทราย ร.พาณิชย์มหาสารคาม,043711540/081-7085377,44150,ขามเรียง,กันทรวิชัย,มหาสารคาม,8103,
,,เลขที่ โฉนดที่ดินเลขที่ 41355,-00304-,18400000,94,ท่าทรายสุชาติ,081-5913635,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,8103,19
,บ้านอุปราช,,-00304-,1100000,95,ท่าทรายสุรชัย,081-9545996,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,8103,3
,,เลขที่ 119,-03401-,1230000,96,สหกรณ์สวนป่าภาคเอกชนมหาสารคาม จำกัด,081-3920196,44000,หนองปลิง,เมืองมหาสารคาม,มหาสารคาม,16101,1
,,เลขที่ 138,-03402-,3500000,97,แกดำเฟอร์นิเจอร์,093-0982263,44190,แกดำ,แกดำ,มหาสารคาม,16220,5
ขอนแก่น-ยางตลาด,,เลขที่ 89,-03402-,8000000,98,บริษัท อู่ทองไพศาล กรุ๊ป จำกัด,081-6016199,44160,กู่ทอง,เชียงยืน,มหาสารคาม,16220,12
สายบ้านหัวขัว-บ้านสมศรี,,,-03402-,4500000,99,บริษัท เสริมชัยแปรรูปไม้ จำกัด,088-5522349,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,16220,15
,,เลขที่ 77,-03402-,4600000,100,ร้านศักดิ์ทองวัสดุก่อสร้าง,081-9740402,44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,16220,6
เชียงยืน-ขอนแก่น,,เลขที่ 420,-03402-,7550000,101,ลุงแก้วไม้เก่า,087-4657340,44160,กู่ทอง,เชียงยืน,มหาสารคาม,16220,4
แจ้งสนิท,,เลขที่ 1139,-03402-,14000000,102,ห้างหุ้นส่วนจำกัด เรืองศักดิ์ก่อสร้าง,43771092,44130,บรบือ,บรบือ,มหาสารคาม,16220,1
,,เลขที่ 123,-03402-,1820000,103,นายทองพูน มาตมุงคุณ,"087-2126164,092-3800164",44000,ห้วยแอ่ง,เมืองมหาสารคาม,มหาสารคาม,16220,2
แจ้งสนิท,,,-03402-,1650000,104,ชวลิตช่างไม้,850028408,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,16220,6
,,เลขที่ 79,-03402-,2603000,105,เอส เค เค,086-8576811,44110,เวียงสะอาด,พยัคฆภูมิพิสัย,มหาสารคาม,16220,5
,,เลขที่ โฉนดที่ดิน 82577,-03402-,5400000,106,บริษัท ที.ที. โกลบอล พลัส จำกัด,846028620,44120,ประชาพัฒนา,วาปีปทุม,มหาสารคาม,16220,3
,,เลขที่ 119,-03402-,4550000,107,ห้างหุ้นส่วนจำกัด เอ็น เอ วูด แอนด์ ซัพพลาย,081-9366639,44000,หนองปลิง,เมืองมหาสารคาม,มหาสารคาม,16220,1
,,เลขที่ 190,-03402-,3400000,108,เทพประสิทธิ์เรือนไทย,080-4170972,44160,เชียงยืน,เชียงยืน,มหาสารคาม,16220,1
,บ้านโนนค้อพัฒนา,เลขที่ 86,-03402-,11000000,109,ไทยธนาค้าไม้,083-0919771,96120,โคกพระ,กันทรวิชัย,มหาสารคาม,16220,14
,,เลขที่ 101,-03402-,23500000,110,พี ที เอ็น วู้ด,"098-6192219 , 088522372",44120,ประชาพัฒนา,วาปีปทุม,มหาสารคาม,16220,3
,,เลขที่ 147,-03402-,1000000,111,ร้านโชคอนันท์,,44160,เชียงยืน,เชียงยืน,มหาสารคาม,16220,2
,บ้านหนองสิม,เลขที่ 259,-03406-,465000,112,นายกรพล ไถวฤทธิ์,061-7793798,25000,หนองสิม,บรบือ,มหาสารคาม,2200,1
,,เลขที่ โฉนดที่ดินเลขที่ 69822,-03406-,6500000,113,โรงงานถ่านอัดแท่ง บริษัท สยามชาร์โคลแลนด์ จำกัด,095-5414152,40000,หนองสิม,บรบือ,มหาสารคาม,2200,7
เชียงยืน-คำใหญ่,,เลขที่ 119,-03700-,800000,114,มะลิวัลย์เฟอร์นิเจอร์,"8,075,577,390,862,250,000",44160,เชียงยืน,เชียงยืน,มหาสารคาม,31001,2
,,เลขที่ โฉนดเลขที่ 43797,-00401-,9300000,115,ห้างหุ้นส่วนจำกัด ยอดยาใจ2015 พาณิชย์,043-971012,44000,หนองปลิง,เมืองมหาสารคาม,มหาสารคาม,10111,5
,,เลขที่ 339,-00401-,78156000,116,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ 2021 จำกัด,061-2677755,44160,กู่ทอง,เชียงยืน,มหาสารคาม,10111,4
,บ้านจำนัก,เลขที่ โฉนดที่ดินเลขที่ 5571,-00403-,12500000,117,ห้างหุ้นส่วนจำกัด ลูกชิ้นพิมพา,095-6648536,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,10139,8
,,เลขที่ โฉนดที่ดินเลขที่ 18779,-04101-,76160000,118,บริษัท สมาร์ท โฟโต้ ปริ้น จำกัด,043-234447,44160,กู่ทอง,เชียงยืน,มหาสารคาม,17092,
,บ้านโคกก่อ,เลขที่ 169,-00501-,42084709,119,สหกรณ์ผู้เลี้ยงโคนมโคกก่อ จำกัด,043-721345,44000,โคกก่อ,เมืองมหาสารคาม,มหาสารคาม,10501,1
,,เลขที่ โฉนดที่ดินเลขที่ 67214,-00501-,8000000,120,บริษัท เทียนขำ แดรี่ คอร์ปอร์เรชั่น จำกัด,061-1435366,44140,หนองบอน,โกสุมพิสัย,มหาสารคาม,10501,7
สายมหาสารคาม-โกสุมพิสัย,,,-05004-,77700000,121,บริษัท ปรมินทร์ก่อสร้างมหาสารคาม จำกัด,43721481,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,19209,6
พยัคฆภูมิพิสัย-บรบือ,,เลขที่ 111,-05004-,13620000,122,บริษัท ยิ่งเจริญก่อสร้างบุรีรัมย์  จำกัด,081-7903039,44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,19209,3
พยัคฆภูมิพิสัย-นาเชือก,,เลขที่ 111,-05004-,23700000,123,บริษัท วายซีบีอาร์ คอนสตรัคชั่น จำกัด,"446,810,580,931,909,000",44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,19209,3
,,เลขที่ 84,-05004-,4000000,124,ห้างหุ้นส่วนจำกัด สหพลังงานก่อสร้าง,081-8736305,44180,กู่สันตรัตน์,นาดูน,มหาสารคาม,19209,3
,,เลขที่ โฉนดที่ดินเลขที่ 17059,-05004-,26500000,125,ห้างหุ้นส่วนจำกัด โชคเจริญวาปีปทุม,084-7878199,44120,หนองไฮ,วาปีปทุม,มหาสารคาม,19209,5
,,เลขที่ โฉนดที่ดินเลขที่ 44029,-05004-,12720000,126,บริษัท ที.เค.แอสฟัลท์(2021) จำกัด,081-8722125,44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,19209,9
,,เลขที่ โฉนดที่ดินเลขที่ 44028,-05004-,12720000,127,ห้างหุ้นส่วนจำกัด ไทยกิจแมชชีนเนอรี่,081-8722125,44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,19209,9
,,เลขที่ โฉนดที่ดินเลขที่ 21726,-05004-,28000000,128,ห้างหุ้นส่วนจำกัด พี.ที.ที,043-771655,44130,วังไชย,บรบือ,มหาสารคาม,19209,3
,,เลขที่ โฉนดเลขที่ 80691 ,-05004-,24500000,129,ห้างหุ้นส่วนจำกัด โชคเจริญวาปีปทุม,084-7878199,44120,หนองไฮ,วาปีปทุม,มหาสารคาม,19209,5
,,เลขที่ โฉนดที่ดินเลขที่ 19314,-05004-,12500000,130,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,087-2235093,44150,ขามเฒ่าพัฒนา,กันทรวิชัย,มหาสารคาม,19209,5
,บ้านโคกก่อ,เลขที่ 58,-05304-,3800000,131,บริษัท สารคามรวมแพค จำกัด,043-784107,44000,โคกก่อ,เมืองมหาสารคาม,มหาสารคาม,22220,1
,,เลขที่ 222/2,-05304-,52000000,132,บริษัท ถังตราช้าง จำกัด,086-2213999,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,22220,3
,,เลขที่ 229,-05304-,56500000,133,บริษิท สุพรีม มหาสารคาม จำกัด,"043-022707,061-4642265",44130,บรบือ,บรบือ,มหาสารคาม,22220,5
,,เลขที่ 185,-05304-,9000000,134,บริษัท พิโค พลาส จำกัด,,10510,โคกพระ,กันทรวิชัย,มหาสารคาม,22220,3
