ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
พระรามที่ 2,เลขที่ 549,,10100103925596,91,29000000,25,3-105-39/59,25,บริษัท เอ็มบอส กรุ๊ป จำกัด,02-0489980,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 249,,10100400425605,954,115000000,26,3-105-4/60,26,บริษัท เจดีย์ไทย สตีล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,32,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,10100004825598,228.5,12900000,27,3-105-48/59,27,ธวัช รีไซเคิล,29300668.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,10100004925596,295,27000000,28,3-105-49/59,28,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,28972394.0,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,21,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,10100005125592,1247,120000000,29,3-105-51/59,29,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,892029400.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,33,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9.0
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,10100005225590,766.34,13000000,30,3-105-52/59,30,นางวรรณา กนกทิพย์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
แสมดำ,เลขที่ 4,-,10100105325548,485,2000000,31,3-105-53/54,31,บริษัท ส.พัฒนาเปเปอร์ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,2,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระราม 2,เลขที่ 597,,10100105425595,426.5,12300000,32,3-105-54/59,32,บริษัท ช.รุ่งทรัพย์ จำกัด,24155642.0,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,9,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,"เลขที่ 16/1,16/2",บางกระดี่ 1 แยก 9,10100005425612,98,12198000,33,3-105-54/61,33,นวกลกิจ,09 5596 4555,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/164,กำนันแม้น,10100105725614,745,185000000,34,3-105-57/61,34,บริษัท ตั้งซุ่ยเฮง จำกัด,02-8978134-5,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3.0
ประชาสำราญ 2,เลขที่ 29/6,-,10100500625484,2,515000,35,3-105-6/48,35,มิตรไพบูลย์,,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,9,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3.0
,เลขที่ 89,บางกระดี่ 19,10100006025601,435,37500000,36,3-105-60/60,36,นายการัณย์ อัครกุลพรรณ,081-8447639,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,10100006825604,2992.81,63000000,37,3-105-68/60,37,บริษัท เหล็กหมุนเวียน จำกัด,02-8121576,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,34,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
หทัยราษฎร์,เลขที่ 888,,10100006925594,795,175000000,38,3-105-69/59,38,บริษัท ไคฮวดจั่น จำกัด,29565125.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
สุวินทวงษ์,เลขที่ 888,,10100007025592,1041,220000000,39,3-105-70/59,39,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,29565125.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,
พุทธบูชา ,เลขที่ 9,พุทธบูชา 36 แยก 1,10100107125599,589,20000000,40,3-105-71/59,40,บริษัท เอส.เอช.เปเปอร์ จำกัด,24264961.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,17,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
,เลขที่ 8,ราษฎร์บูรณะ,10100107225597,300,9000000,41,3-105-72/59,41,บริษัท เจ พี เปเปอร์ จำกัด,287220724.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
,เลขที่ 518/27,รามคำแหง 39 (เทพลีลา 1),10100007225614,100,14500000,42,3-105-72/61,42,นายสิทธิพงศ์ อนันต์หล่อพันธ์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
แสมดำ,เลขที่ 22,แสมดำ 5,10100107325595,808.18,93000000,43,3-105-73/59,43,บริษัท ส.พัฒนาเปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10120,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 114/3,,10100032525624,264,20000000,44,3-105-8/62,44,-,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,50,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,11.0
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,10100108125481,255,13000000,45,3-105-81/48,45,ซั่งเฮงจั่น,02-5852521,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,10,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
กาญจนาภิเษก,เลขที่ 91,,10100008425593,55.5,8700000,46,3-105-84/59,46,วงษ์พาณิชย์บางบอน,02-8999995,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
ประชาร่วมใจ,เลขที่ 19,ประชาร่วมใจ 59,10100008425601,836.5,2700000,47,3-105-84/60,47,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,02-9169933,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10510,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,
,เลขที่ 4/14,,10100008525590,457,49000000,48,3-105-85/59,48,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,02-9565899,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,6.0
,เลขที่ 11,บางกระดี่ 43,10100008625614,283,22500000,49,3-105-86/61,49,นายปรีชา ธนงค์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
อ่อนนุช,"เลขที่ 25,27",อ่อนนุช 80,10100008825594,119,7000000,50,3-105-88/59,50,บริษัท คูเซ่งฮวด จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,7,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 169/2,,10100008925592,61,5000000,51,3-105-89/59,51,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 61,บางกระดี่ 25,10100200925606,200,24500000,52,3-105-9/60,52,นายคมกริช นิธิธนปรีดา,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 2,กรุงเทพกรีฑา 47,10100109125605,191,17556000,53,3-105-91/60,53,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,02-2451532,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16, -,10100009825502,33,1800000,54,3-105-98/50,54,หนองแขมของเก่า,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,7,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7.0
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,10103700125461,335.5,0,55,3-106-1/46,55,อุตสาหกรรมน้ำมันไทย,081-5929569,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),8,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
ประชาอุทิศ,เลขที่ 71/5,วิเชียร,10102100225467,153,22000000,56,3-106-2/46,56,บริษัท นิ้วเจริญ จำกัด,,ซ่อมแซมถังน้ำมัน,12,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 74,6.0,10100003425606,769.5,80000000,57,3-106-34/60,57,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,02-892-2679,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,10,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,10100003625601,655.12,24000000,58,3-106-36/60,58,บริษัท เหล็กหมุนเวียน จำกัด,28121576.0,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
อ่อนนุช,เลขที่ โฉนดที่ดินเลขที่ 121,อ่อนนุช 86,10100105425611,2693.21,1370000000,59,3-106-54/61,59,บริษัท กรุงเทพธนาคม จำกัด,0 2168 3368,เชื้อเพลิงแข็งจากขยะชุมชน,47,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
พระรามที่ 2,เลขที่ 99/231,,10100006225607,90,1000000,60,3-106-62/60,60,บริษัท ผลพาณิชย์ จำกัด,084-4244701,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,12,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,4.0
,เลขที่ 15/115,กรุงเทพกรีฑา 37,10100107225613,146.35,47000000,61,3-106-72/61,61,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,9,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 3/356-357,-,91020201825484,73.86,0,62,ข3-106-18/48,62,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,02-5435436-7,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,9,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9.0
ฉลองกรุง,เลขที่ 115,-,82030200125530,1265,10000000,63,น.105-1/2553-นนล.,63,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,02-326-1256,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,15,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4.0
-,เลขที่ 66,29,82030000125516,310,65000000,64,น.106-1/2551-นนล.,64,บริษัท โลหะ สยาม จำกัด,02739-6388,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,82030300125539,329.5,0,65,น.106-1/2553-นนล.,65,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,814334212.0,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 239,ฉลองกรุง31,82030000125599,1100,7000000000,66,น.106-1/2559-นนล.,66,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,904100066.0,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,286,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ -,ฉลองกรุง 31,82030000125615,0,0,67,น.106-1/2561-นนล.,67,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,-,ซ่อมแซม ดัดแปลง ปรับปรุง เครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดี บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ เครื่องโทรทัศน์ เครื่องโทรศัพท์ เครื่องเราต์เตอร์ คอมพิวเตอร์ ชิ,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 40,ฉลองกรุง31,82030000225597,0,0,68,น.106-2/2559-นนล.,68,บริษัท กรีนรีพับลิค จำกัด,26888200.0,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
-,เลขที่ -,-,82030000225613,0,0,69,น.106-2/2561-นนล.,69,บริษัท อิซัน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,-,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไหล่เครื่องโมเด็ม,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
เทพารักษ์ กม.23,เลขที่ 159/1,,10112800125347,500,109363616,70,3-101-1/34สป,70,บริษัท เอ็ม.ไทย เอสเตท จำกัด,02-706-1515,บำบัดน้ำเสียรวม,10,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,16.0
เทพารักษ์ กม.20.5,เลขที่ 209,,10113600125354,1775.42,86160000,71,3-101-1/35สป,71,บริษัท จีเอฟพีที จำกัด (มหาชน),02-3159400,บำบัดน้ำเสียรวม,24,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,1.0
