คนงานชาย,แรงม้า,เจ้าของข้อมูล,คนงานรวม,เงินทุนรวม,_id,ชื่อชุดข้อมูล,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,แรงม้าตรวจพบ,ไปรษณีย์,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ
8,1914,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,13,36000000,11,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงน้ำแข็งพูนทรัพย์,035-565665,ผลิตน้ำแข็งและน้ำแช็งหลอด,1914,72160,หนองโอ่ง,อู่ทอง,5,สุพรรณบุรี,นางดุษฏี รวมเมฆ
14,1500,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,24,5000000,12,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ทรัพย์อุดมธารา จำกัด,035-588792,"ผลิตและจำหน่ายน้ำแข็งซอง และน้ำแข็งหลอด (น้ำแข็งซอง 700 ซอง, น้ำแข็งหลอด 180 ตัน",1500,72150,บางปลาม้า,บางปลาม้า,10,สุพรรณบุรี,บริษัท ทรัพย์อุดมธารา จำกัด
16,2890,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,29,5000000,13,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เค.วี.พี.ไอซ์ จำกัด,035-481-292,"ผลิตน้ำแข็งซอง กำลังการผลิต 1,520 ซอง/วัน และผลิตน้ำแข็งหลอด กำลังการผลิต 250 ตัน/วัน",2890,72110,หนองบ่อ,สองพี่น้อง,13,สุพรรณบุรี,บริษัท เค.วี.พี.ไอซ์ จำกัด
1,1686.6,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,9,14000000,14,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท อู่ทอง ไอซ์ จำกัด,035-551556,"ทำน้ำแข็งซอง เดิม 646 ซองต่อวัน ขอเพิ่ม 900 ซองต่อวัน รวมเป็น 1,546 ซองต่อวัน และทำน้ำแข็งก้อนเล็ก เดิม 26.2 ตัน ขอเพิ่ม 160 ตัน รวมเป็น 186.2 ตัน",1686.6,72160,อู่ทอง,อู่ทอง,8,สุพรรณบุรี,บริษัท อู่ทอง ไอซ์ จำกัด
6,1294,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,15800000,15,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท น้ำแข็งรักษ์สุพรรณ จำกัด,,ทำน้ำแข็งซองได้วันละ 1560 ซอง และน้ำแข็งก้อนเล็กได้วันละ 50 ตัน,1294,72000,รั้วใหญ่,เมืองสุพรรณบุรี,4,สุพรรณบุรี,บริษัท น้ำแข็งรักษ์สุพรรณ จำกัด
12,2783,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,17,45000000,16,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ไอยรา (1990),,ผลิตน้ำแข็งซองและน้ำแข็งหลอด,2783,72140,วังยาง,ศรีประจันต์,5,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ไอยรา (1990)
11,945.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,13,19500000,17,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โรงน้ำแข็ง ก (อู่ทอง) จำกัด,081-7556780,ผลิตน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 210 ตันต่อวัน,945.5,72170,จรเข้สามพัน,อู่ทอง,2,สุพรรณบุรี,บริษัท โรงน้ำแข็ง ก (อู่ทอง) จำกัด
5,1341.47,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,7,15000000,18,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงน้ำแข็งสุวรรณประดิษฐ์,,"ทำน้ำแข็งซอง วันละ 1,850 ซอง และทำน้ำแข็งก้อนเล็ก 180 ตัน",255,72130,สามชุก,สามชุก,2,สุพรรณบุรี,นาง สาวรรณ รักษาชาติ
20,1736,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,26,47600000,19,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โรงน้ำแข็ง โนเบล ไอซ์ จำกัด,098-9554424,ผลิตน้ำแข็งเพื่อการบริโภค เช่น น้ำแข็งหลอดเล็ก น้ำแข็งหลอดใหญ่,0,72150,กฤษณา,บางปลาม้า,6,สุพรรณบุรี,บริษัท โรงน้ำแข็ง โนเบล ไอซ์ จำกัด
8,930,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,8,6200000,20,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,กิจรุ่งเรืองไพศาล,01-9471909,โรงงานผสมอาหารสัตว์,930,72120,เขาดิน,เดิมบางนางบวช,0,สุพรรณบุรี,นางกมลวรรณ กิติเรียงลาภ
29,12025,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,35,402000000,21,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ไพรัชกรุ๊ป ฟู้ดส์ จำกัด,092 705 5998,ผลิตอาหารสัตว์,6026.6,72160,จรเข้สามพัน,อู่ทอง,6,สุพรรณบุรี,บริษัท ไพรัชกรุ๊ป ฟู้ดส์ จำกัด
135,21617.55,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,211,1021000000,22,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด,035-559499,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,26220.27,72220,สระพังลาน,อู่ทอง,76,สุพรรณบุรี,บริษัท ไทยฟู้ดส์อาหารสัตว์ จำกัด
35,2437,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,50,32000000,23,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์ ,081-8578535,ผลิตอาหารสัตว์,0,72110,ทุ่งคอก,สองพี่น้อง,15,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์
80,15533.08,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,90,2089656191,24,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด,035-559499,ทำอาหารผสม หรืออาหารสำเร็จรูปสำหรับสัตว์,,72220,สระพังลาน,อู่ทอง,10,สุพรรณบุรี,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด
12,1264.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,24,26550000,25,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โวชองฟาร์ม จำกัด,035-402261,ผลิตอาหารผสมสำหรับเลี้ยงสัตว์และอาหารเสริมสำหรับพืชและผลิตปุ๋ยอินทรีย์และปุ๋ยชีวภาพ,,72110,บ่อสุพรรณ,สองพี่น้อง,12,สุพรรณบุรี,บริษัท โวชองฟาร์ม จำกัด
7,1740.27,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,12,24000000,26,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท แกรนด์ เพ็ท โปรดักท์ จำกัด,093-3979556,ผลิตอาหารสัตว์,1740.27,72170,ทะเลบก,ดอนเจดีย์,5,สุพรรณบุรี,บริษัท แกรนด์ เพ็ท โปรดักท์ จำกัด
508,16085.18,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,1041,1919000000,27,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท สปริงคิทเช่น จำกัด,089-2543683-4,ผลิตอาหารกึ่งสำเร็จรูป และสำเร็จรูปจากเนื้อไก่,16085.18,72110,บ่อสุพรรณ,สองพี่น้อง,533,สุพรรณบุรี,บริษัท สปริงคิทเช่น จำกัด
1,1069.38,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,8550000,28,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ชัยมงคลฟู้ด 2018,092-2761056,ผลิตอาหารจากหัวพืช เช่น แห้วต้ม และทำวุ้นมะพร้าว,1076.54,12120,วังยาง,ศรีประจันต์,5,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ชัยมงคลฟู้ด 2018
113,5649,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,276,141200939,29,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โปร เนเชอรัล ฟู้ดส์ จำกัด,,ผลิตภัณฑ์พืชผลทางการเกษตร บรรจุกระป๋องและขวดแก้ว,8495,72240,หนองหญ้าไซ,หนองหญ้าไซ,163,สุพรรณบุรี,บริษัท โปร เนเชอรัล ฟู้ดส์ จำกัด
30,5345.8,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,48,340000000,30,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ยันฮี วิตามิน วอเตอร์ (ไร่ไทรสิน),089-6842227,ผลิตเครื่องดื่มจากพืชผัก ผลไม้ น้ำดื่มวิตามิน การขึ้นรูปแบบบรรจุภัณฑ์จากพลาสติก,0,72110,บางเลน,สองพี่น้อง,18,สุพรรณบุรี,นายสุพจน์ สัมฤทธิวณิชชา
30,5345.8,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,48,340000000,31,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ยันฮี วิตามิน วอเตอร์ (ไร่ไทรลุ้ยกลางนา),896842227.0,ผลิตเครื่องดื่มจากพืชผัก ผลไม้ น้ำดื่มวิตามิน การขึ้นรูปแบบบรรจุภัณฑ์จากพลาสติก,0,72110,บางตาเถร,สองพี่น้อง,18,สุพรรณบุรี,นายสุพจน์ สัมฤทธิวณิชชา
27,1715.45,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,67,70824607,32,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เอกชัย สาลี่สุพรรณ จำกัด,035-525111,ทำขนมสาลี่ ขนมปัง,4030.64,72000,ท่าระหัด,เมืองสุพรรณบุรี,40,สุพรรณบุรี,บริษัท เอกชัย สาลี่สุพรรณ จำกัด
4,494.3,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,14,14931800,33,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,-,035-838287,ทำเส้นก๋วยเตี๋ยว,494.3,72110,ศรีสำราญ,สองพี่น้อง,10,สุพรรณบุรี,นายดิฐโรจน์ คงสิทธิธนาวัฒน์
6,3260.8,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,11,9000000,34,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ต้นคูณ ฟูด จำกัด,081-8528808,ทำวุ้นเส้น,3260.8,72000,บ้านโพธิ์,เมืองสุพรรณบุรี,5,สุพรรณบุรี,บริษัท ต้นคูณ ฟูด จำกัด
6,263.15,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,21,5000000,35,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด แม่สายบัว ฟู้ดแอนด์เบเกอรี่ 2018,085-9763636,ทำขนมเปี๊ยะ,263.15,72140,บ้านกร่าง,ศรีประจันต์,15,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด แม่สายบัว ฟู้ดแอนด์เบเกอรี่ 2018
3,401,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,9,65008000,36,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เฮลท์อินโนเทค จำกัด,035-418103-7,การทำกลูโคส เดกซ์โทรส ฟรักโทส หรือผลิตภัณฑ์อื่นที่คล้ายคลึงกัน,401,72180,หนองมะค่าโมง,ด่านช้าง,6,สุพรรณบุรี,บริษัท เฮลท์อินโนเทค จำกัด
18,150.84,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,35,34800000,37,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ดี.เค.การเกษตรอุตสาหกรรม จำกัด,2815588.0,ผลิต PAPAIN และ MEAT TENDERIZER จากน้ำยางมะละกอ,150.84,72150,มะขามล้ม,บางปลาม้า,17,สุพรรณบุรี,บริษัท ดี.เค.การเกษตรอุตสาหกรรม จำกัด
12,2470.4,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,30,42500000,38,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เอเชียน สุพรีม ฟู้ด จำกัด,035-434052,ผลิตเกี่ยวกับเครื่องปรุงกลิ่น-รส อาหาร,2470.4,72130,วังลึก,สามชุก,18,สุพรรณบุรี,บริษัท เอเชียน สุพรีม ฟู้ด จำกัด
3,276.83,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,12,14000000,39,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท กวางทอง คอร์ปอเรชั่น จำกัด,088-5355566,ทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร เช่น ซีอิ๊ว เต้าเจี้ยว,0,72000,ดอนกำยาน,เมืองสุพรรณบุรี,9,สุพรรณบุรี,บริษัท กวางทอง คอร์ปอเรชั่น จำกัด
25,489,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,65,10000000,40,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เพียวฟู้ดส์ จำกัด,081-8389614,ผลิตน้ำจิ้ม ซอส น้ำสลัด มายองเนส,489,10230,วังลึก,สามชุก,40,สุพรรณบุรี,บริษัท เพียวฟู้ดส์ จำกัด
19,588,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,42,15000000,41,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท วิน วิน ฟู้ดส์ จำกัด,081-8389614,ผลิจซอส น้ำจิ้มต่างๆ เช่น ซอสพริก ซอสมะเขือเทศ คอกเทลซอส (น้ำจิ้มกุ้ง),588,72130,วังลึก,สามชุก,23,สุพรรณบุรี,บริษัท วิน วิน ฟู้ดส์ จำกัด
3,597.34,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,3,2500000,42,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ทองวิไล,035-591008,ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,597.34,72170,ดอนเจดีย์,ดอนเจดีย์,0,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ทองวิไล
3,422,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,3,11900000,43,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงน้ำแข็งอุดมสุข,035-571747,ทำน้ำแข็ง,422,72130,ย่านยาว,สามชุก,0,สุพรรณบุรี,นายเอนก อุบล
8,862.4,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,17700000,44,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท บุญวรรณ 2019 จำกัด,087-1699055,ทำน้ำแข็งก้อนเล็ก,1507.2,72120,เขาพระ,เดิมบางนางบวช,2,สุพรรณบุรี,บริษัท บุญวรรณ 2019 จำกัด
3,593.12,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,5500000,45,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงงานวอเตอร์ไอซ์,081-8379073,ทำน้ำแข็งก้อนเล็ก ได้วันละ 20 ตัน และทำน้ำดื่ม,593.12,72180,ด่านช้าง,ด่านช้าง,3,สุพรรณบุรี,นายธงชัย เอกพินิจพิทยา
20,467.135,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,21,31026600,46,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท วารีเทพอู่ทอง จำกัด,,น้ำแข็งก้อนเล็ก,467.135,72160,หนองโอ่ง,อู่ทอง,1,สุพรรณบุรี,บริษัท วารีเทพอู่ทอง จำกัด
10,453,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,15,26000000,47,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ทองวิไล (ศรีประจันต์),083-2417091,ผลิตและจำหน่ายน้ำแข็ง,453,72140,วังน้ำซับ,ศรีประจันต์,5,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ทองวิไล (ศรีประจันต์)
2,441.75,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,82000000,48,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โรงน้ำแข็งสามชุก จำกัด,,ผลิตน้ำแข็งซองและน้ำแข็งก้อนเล็ก,441.75,10110,สามชุก,สามชุก,4,สุพรรณบุรี,บริษัท โรงน้ำแข็งสามชุก จำกัด
7,480,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,8,55000000,49,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,พรประเสริฐ 2,081-6383993,ผลิตน้ำเข็งซอง และน้ำแข็งก้อนเล็ก,,72120,ปากน้ำ,เดิมบางนางบวช,1,สุพรรณบุรี,นาง สาวรรณ รักษาชาติ
6,73.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,4200000,50,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงน้ำแข็งหลอดเลิศชัย,035-422270,ทำน้ำแข็งหลอด กำลังการผลิต 10 ตัน/วัน,103.5,72150,ไผ่กองดิน,บางปลาม้า,0,สุพรรณบุรี,นางเกตฐัฉดา วุฒิพันธุ์
8,439,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,37000000,51,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เจแอนด์เจ ไอซ์ จำกัด,,ผลิตน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 50 ตันต่อวัน,439,72130,หนองผักนาก,สามชุก,2,สุพรรณบุรี,บริษัท เจแอนด์เจ ไอซ์ จำกัด
6,496.72,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,9,20300000,52,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด มงคลเจริญศรี(1990),088-6985520,ผลิตน้ำแข็งก้อนเล็ก,496.72,72000,หนองหญ้าไซ,หนองหญ้าไซ,3,สุพรรณบุรี,นายทรงยศ แซ่เตียว
12,974.08,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,20,18000000,53,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ธนาจักรธารา,035-555561-2,ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,714.04,72000,ดอนกำยาน,เมืองสุพรรณบุรี,8,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ธนาจักรธารา
3,100,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,3,3500000,54,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงน้ำแข็ง เอส ที ไอซ์,087-8477954,ผลิตน้ำแข็งก้อนเล็ก,129,72160,กระจัน,อู่ทอง,0,สุพรรณบุรี,นายอนันต์ รอดหงษ์ทอง
1,598,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,4,13000000,55,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,น้ำดื่มเพื่อน,,ผลิตน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 30 ตัน/วัน และผลิตน้ำดื่ม,794.5,73000,ทุ่งคอก,สองพี่น้อง,3,สุพรรณบุรี,นายสมศักดิ์ พ่วงรอด
5,348.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,10500000,56,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ริเวอร์ไอซ์ จำกัด สาขา 1,035-595388,ทำน้ำแข็งก้อนเล็กและทำน้ำดื่ม,348.5,72180,ด่านช้าง,ด่านช้าง,0,สุพรรณบุรี,บริษัท ริเวอร์ไอซ์ จำกัด
4,93,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,4600000,57,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,-,810061101.0,ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,93,72140,ดอนปรู,ศรีประจันต์,1,สุพรรณบุรี,นายกิตติศักดิ์ ทองนวล
4,57,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,4200000,58,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,รสิตาฟาร์ม,,ผลิตอาหารสำเร็จรูป,82,72170,สระกระโจม,ดอนเจดีย์,1,สุพรรณบุรี,นางสาวรสิตา จันทนา
3,165,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,4,6500000,59,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท บุญชูฟาร์ม จำกัด,081-7503873,ผลิตอาหารสำหรับสัตว์เลี้ยง,165,72110,บางเลน,สองพี่น้อง,1,สุพรรณบุรี,บริษัท บุญชูฟาร์ม จำกัด
4,134.26,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,4,9000000,60,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ลุงเชาว์ฟาร์ม จำกัด,,ทำอาหารผสมสำหรับสัตว์เลี้ยง,134.26,72120,หัวนา,เดิมบางนางบวช,0,สุพรรณบุรี,บริษัท ลุงเชาว์ฟาร์ม จำกัด
15,484.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,29,33000000,61,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ดี.ดี.ฟีด กรุ๊ป จำกัด,035-597235,ทำอาหารผสม หรืออาหารสัตว์สำเร็จรูปสำหรับเลี้ยงสัตว์,484.5,72230,สนามคลี,เมืองสุพรรณบุรี,14,สุพรรณบุรี,บริษัท ดี.ดี.ฟีด กรุ๊ป จำกัด
