พื้นที่โรงงาน,ประกอบกิจการ,พื้นที่อาคาร,คนงานหญิง,หมู่,ถนน,TSIC,ที่มา,โทรศัพท์,GPS_lng,_id,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,จังหวัด,รายการข้อมูล,ไปรษณีย์
202751,อบพืชผลทางการเกษตร กะเทาะเมล็ดพืชหรือเปลือกเมล็ดพืช,3000,5,9,,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,11,บริษัท ชนม์เจริญฟาร์ม จำกัด,วังด้ง,,,เมืองกาญจนบุรี,เลขที่ 169/1,16,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
21756,นึ่ง และอบข้าวเปลือก การเก็บรักษา ลำเลียงในไซโล และโกดัง,0,2,2,,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,12,บริษัท กิจเจริญชัย รุ่งเรือง จำกัด,หนองโรง,,,พนมทวน,เลขที่ 94,8,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71140
73600,ดำเนินธุรกิจด้านอุตสาหกรรมอาหารประเภทข้าวโพดหวานบรรจุกระป๋องและบรรจุถุงสูญญากาศเพื่อการส่งออก,1623,322,1,ท่าน้ำตื้น-เขาปูน,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-653323-4,99.47384,13,บริษัท ริเวอร์แคว อินเตอร์เนชั่นแนล อุตสาหกรรมอาหาร จำกัด,แก่งเสี้ยน,14.05232,-,เมืองกาญจนบุรี,เลขที่ 99,245,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
38085,ผลิตผลไม้กระป๋องตามฤดูกาล ผักกระป๋องและอาหารทะเลบรรจุกระป๋อง,7372,25,5,ลาดหญ้า-บ่อพลอย,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,628503.0,99.50366,14,บริษัท เอ บี ดี กาญจน์ จำกัด,บ่อพลอย,14.27461,-,บ่อพลอย,เลขที่ 30,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71160
0,หน่อไม้บรรจุปี๊ป บรรจุกระป๋อง หน่ไม้ดอง และผักกาด กระป๋อง,1804,19,2,,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,095-8264155,99.4617,15,บริษัท วี.เอ.เอส.โอเรียนเชี่ยล ไทยแลนด์ 1999 จำกัด,แก่งเสี้ยน,14.04304,,เมืองกาญจนบุรี,เลขที่ 69,12,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
16870,ผลิตผัก พืช ผลไม้บรรจุกระป๋อง ,1260,23,1,-,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,16,บริษัท ธนาศักดิ์สยาม เบสท์ฟูดส์ จำกัด,ตะคร้ำเอน,,-,ท่ามะกา,เลขที่ 333,11,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
36000,แปรรูปผลผลิตทางการเกษตร ผลิตผลิตภัณฑ์พืชผลทางการเกษตรบรรจุ กล่อง กระป๋องและขวดแก้ว,7920,80,4,,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,17,บริษัท มัลติเพิลฟู้ดส์ จำกัด,บ้านเก่า,,,เมืองกาญจนบุรี,เลขที่ 109/2,25,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,11120
100000,ผัก ผลไม้ น้ำผลไม้บรรจุกระป๋อง และผลไม้อบแห้ง,20000,410,13,-,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-615300,99.48213,18,บริษัท บ่อพลอยฟู้ด อินดัสทรี จำกัด,หลุมรัง,14.46965,-,บ่อพลอย,เลขที่ 44/2,130,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71160
31207,ทำผักและผลไม้บรรจุกระป๋อง เช่น ข้าวโพด,3000,27,10,-,10302,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-531330,99.34662,19,บริษัท เรารักอาหาร จำกัด,วังด้ง,14.21524,-,เมืองกาญจนบุรี,เลขที่ 175,16,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
17600,ผลิตผลไม้อบแห้ง,6000,301,7,  -,10304,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-542634-7,99.72098,20,บริษัท แวนด้าพรีเสิร์ฟฟู้ด จำกัด,แสนตอ,13.93819,  -,ท่ามะกา,เลขที่ 57,460,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
0,สีข้าวนึ่ง,0,0,6,,10611,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,081-3788331,,21,บริษัท สินไชยศรี จำกัด,หนองสาหร่าย,,,พนมทวน,เลขที่ 66,23,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71140
1600,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 70 เกวียน/วัน,1388,0,3,,10611,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.66959,22,บริษัท โรงสีแสงศักดิ์ จำกัด,บ้านใหม่,13.91701,,ท่าม่วง,เลขที่ 95/1,6,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71110
0,สีข้าว กำลังการสีสูงสุดของร้านสีข้าว 350 ตัน/วัน และอบข้าวเปลือก,9000,5,9,-,10611,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,23,บริษัท ข้าวนครกาญจน์ จำกัด,ตะคร้ำเอน,,-,ท่ามะกา,เลขที่ 9,10,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
182400,ทำแป้งมันสำปะหลังและอัดมันเม็ด,6400,0,9,แสงชูโต,10612,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.69707,24,บริษัท แป้งมันเอเซียบูรพา จำกัด,วังศาลา,13.95448,,ท่าม่วง,เลขที่ 236,11,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
404800,ผลิตแป้งมันสำปะหลัง และผลิตภัณฑ์จากมันสำปะหลัง กำลังการผลิต 200 ตันแป้ง/วัน,14688,30,2,บ่อพลอย-ห้วยกระเจา,10612,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,09-1367931,99.73433,25,บริษัท คาสซาวา กรีน จำกัด,สระลงเรือ,14.33206,,ห้วยกระเจา,เลขที่ 312,50,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71170
130692,ผลิตแป้งถั่วเขียวและวุ้นเส้น,2000,22,5,พนมทวน-กำแพงแสน,10612,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-561720,99.76437,26,บริษัท วุ้นเส้นท่าเรือพระแท่น จำกัด,อุโลกสี่หมื่น,14.06847,-,ท่ามะกา,เลขที่ 25/29,17,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
1600,ทำวุ้นเส้น และแป้งสลิ่ม,800,17,,แสงชูโต,10612,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-561531-2,99.74225,27,บริษัท โรงงานวุ้นเส้นท่าเรือ ฟู้ด โปรดัคท์ จำกัด,ท่าเรือ,13.96312,,ท่ามะกา,เลขที่ 657,21,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
480000,ผลิตแป้งมันสำปะหลังธรรมดา และดัดแปลง,4800,40,9,,10612,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,032-201510,,28,บริษัท ไทย ควอลิตี้ สตาร์ช จำกัด,หนองประดู่,,,เลาขวัญ,เลขที่ 109,50,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
40000,ทำมันเส้น,7656,3,2,เลาขวัญ-ไผ่สี,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.71008,29,-,หนองประดู่,14.47995,-,เลาขวัญ,เลขที่ 65/1,10,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
56000,ทำมันเส้น,1210,0,11,,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.52388,30,-,หนองปลิง,14.03093,,เลาขวัญ,เลขที่ 21/1,8,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
16000,ทำมันเส้น,96,0,8,หนองฝ้าย-ด่านช้าง,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.69736,31,ลานมันองอาจ,หนองปลิง,14.71297,-,เลาขวัญ,เลขที่ 4,4,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
24000,ทำมันเส้น,170,2,2,หนองฝ้าย-หนองงูเห่า,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,081-7824229,99.67355,32,พรไพศาลพืชผล,หนองฝ้าย,14.67432,,เลาขวัญ,เลขที่ 206/1,0,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
6400,ทำมันเส้น,41600,3,1,-,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,086-1928333,99.68883,33,ประยงค์พืชผล,หนองฝ้าย,14.68403,-,เลาขวัญ,เลขที่ 66/1,0,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
1580,ทำมันเส้น,140,29,14,,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,081-3610554,99.70172,34,ลานมันเตือนใจ,หนองปลิง,14.72219,,เลาขวัญ,เลขที่ 29,1,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
800,ทำมันเส้น,84,3,12,,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.69344,35,,หนองปลิง,14.73904,,เลาขวัญ,เลขที่ 69,2,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
1200,ทำมันเส้น,70,3,3,หนองมะสังข์-หนองโสน,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,081-7516099,99.66443,36,,หนองปลิง,14.78835,,เลาขวัญ,เลขที่ ,0,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
107088,ทำมันเส้น ได้เดือนละ 200 ตัน,576,0,2,เลาขวัญ-ตาลุ้ง,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.70773,37,,หนองประดู่,14.48836,,เลาขวัญ,เลขที่ 144/1,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
15000,ทำมันเส้น ได้เดือนละ 100 ตัน,10000,2,2,หนองฝ้าย-หนองงูเห่า,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-583094-5,99.66076,38,-,หนองฝ้าย,14.6726,-,เลาขวัญ,เลขที่ 20,6,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
28400,ทำมันเส้น,16000,0,6,,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.58837,39,,หนองฝ้าย,14.65339,,เลาขวัญ,เลขที่ 1/1,2,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
24000,ทำมันเส้น,9600,2,3,หนองฝ้าย-เขาวงพระจันทร์,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.65264,40,,หนองโสน,14.70891,,เลาขวัญ,เลขที่ -,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
34896,ทำมันเส้น ได้เดือนละ 500 ตัน,720,0,8,หนองฝ้าย-ด่านช้าง,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-687054,99.69554,41,ไท้เชียงพืชไร่,หนองปลิง,14.71181,-,เลาขวัญ,เลขที่ 2,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
16320,ทำมันเส้น,96,0,8,หนองฝ้าย-ด่านช้าง,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,80633695.0,99.69521,42,ลานมันศักดา,หนองปลิง,14.71104,-,เลาขวัญ,เลขที่ 3,4,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
96000,ทำมันเส้น,0,3,1,-,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.77506,43,จังเจริญชัย,หนองปลิง,14.69838,-,เลาขวัญ,เลขที่ 148,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
16200,ทำมันเส้น,16200,0,6,ด่านมะขามเตี้ย-หนองตากยา,10621,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.41319,44,กาญจนไพศาล,ด่านมะขามเตี้ย,13.8329,,ด่านมะขามเตี้ย,เลขที่ 99,20,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71260
,ผลิตภัณฑ์จากไม้ไผ่ ไม้รวกทั้งในสภาพวัตถุดิบและสำเร็จรูป,,0,2, ,16230,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี, ,99.63242,45,บริษัท ไทยเบสท์ คอมเมอร์เชียล จำกัด(สาขา1),ทุ่งทอง,13.99243, ,ท่าม่วง,เลขที่ 100/21,50,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71110
0,ทำเครื่องใช้จากไม้ไผ่รวก,0,23,2,,16230,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.46611,46,บริษัท ซี.เอช.แบมบู จำกัด,แก่งเสี้ยน,14.04405,,เมืองกาญจนบุรี,เลขที่ 68,23,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
0,แปรรูปไม้ไผ่รวกโดยใช้เครื่องจักร,0,25,7,บ้านเก่า-พุเลียบ,16230,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,01-8342560,99.37532,47,บริษัท เอ แอนด์ ที โกลบอล เอ็กซ์ปอร์ต จำกัด,หนองบัว,14.05553,-,เมืองกาญจนบุรี,เลขที่ 249,25,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
,สีข้าว,,0,1,อู่ทอง-กาญจนบุรุ,10611,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี, ,99.65619,48,,ทุ่งสมอ,14.07714, ,พนมทวน,เลขที่ ,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71140
5780,ผลิตอาหารอบแห้ง เช่น ทองม้วน มะขามกวน เป็นต้น ,722,21,9,,10712,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-566584,,49,บริษัท มีดี8 จำกัด,ดอนขมิ้น,,,ท่ามะกา,เลขที่ 88/8,4,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
5948,ผลิตขนมทองม้วน ผลไม้อบแห้ง ผลไม้เคลือบช๊อคโกแลต ,1200,120,9,,10743,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-621100,99.5536893223178,50,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด,ปากแพรก,14.0254964824617,,เมืองกาญจนบุรี,เลขที่ 162/1,45,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71000
4000,ผลิตขนมทองม้วน ผลิตชนิดผลิตภัณฑ์ผลไม้อบแห้งชุบช็อกโกแล็ต เกล็ดทองม้วนคลุกช็อกโกแล็ต และขนมทองม้วนชุบช็อกโกแล็ต,1200,82,9,เลี่ยงเมือง,10743,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-621100,99.55356,51,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด,ปากแพรก,14.02599,,เมืองกาญจนบุรี,เลขที่ 19/99,8,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71000
59200,ทำน้ำพริกเผาไทยชนิดต่าง ๆ,1268,25,13,กาญจนบุรี-อู่ทอง,10771,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.81578,52,บริษัท แม่พะเยาว์ไทยโปรดักส์ จำกัด,รางหวาย,14.25045,,พนมทวน,เลขที่ 89/1,0,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71170
16000,ผสมอาหารสำเร็จรูปสำหรับสัตว์,1064,5,11,,10801,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,53,-,เลาขวัญ,,,เลาขวัญ,เลขที่ 12,0,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
12768,ผลิตอาหารสัตว์ เช่น อาหารโค อาหารแพะ ฯลฯ,936,0,2,กำแพงแสน - พนมทวน ,10801,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,54,น้อยการเกษตร,หนองลาน,,-,ท่ามะกา,เลขที่ 57,6,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
134933,ตาก-บด ข้าวบาร์เลย์ ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับสัตว์เลี้ยง,900,2,14,,10801,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,55,ห้างหุ้นส่วนจำกัด ญาณมารี,ห้วยกระเจา,,,ห้วยกระเจา,เลขที่ 218,6,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71170
43028,ผลิตส่วนประกอบของอาหารสัตว์ทุกชนิดจากพืชผลทางการเกษตร เช่น เปลือกสับปะรด,3344,0,8,     -,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,     -,99.62164,56,บริษัท เคมัชอินดัสตรี จำกัด,บ้านใหม่,13.88496,     -,ท่าม่วง,เลขที่ 17,2,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71110
31868,ผลิตอาหารสัตว์จากพืช ,2000,4,9,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,57,บริษัท อัยย์ครอป จำกัด,ดอนตาเพชร,,,พนมทวน,เลขที่ 159,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,11130
26800,ผลิตอาหารสัตว์อัดเม็ดจากข้าวโพด ข้าวฟ่าง กากมันสำปะหลัง กากถั่วเหลือง ใบมันสำปะหลัง รำหยาบ รำละเอียด ใบกระถิน กากงา ฯลฯ,1452,5,3,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,58,บริษัท พีเอ วู้ดเพลเลท จำกัด,เขาสามสิบหาบ,,,ท่ามะกา,เลขที่ 79,15,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
76500,ป่นหรือบด ข้าวเปลือก รำ ข้าวโพด มันเส้น สำหรับทำหรือผสมเป็นอาหารสัตว์,1760,0,7,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,089-5403299,,59,99.0,หนองประดู่,,,เลาขวัญ,เลขที่ 138,7,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
16082,ผลิตส่วนประกอบของอาหารสัตว์ เช่น เปลือกสับปะรดอัดแท่ง,980,4,11,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.78999,60,บริษัท ริช แอนด์ กรีน จำกัด,ท่ามะกา,13.94015,,ท่ามะกา,เลขที่ 9/9,5,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
11340,ผลิตอาหารสัตว์และส่วนประกอบของอาหารสัตว์,862,2,4,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,61,ห้างหุ้นส่วนจำกัด อิทธิชัยเลิศทวี,เลาขวัญ,,,เลาขวัญ,เลขที่ 242,4,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71210
32416,ผลิตอาหารสัตว์และส่วนประกอบของอาหารสัตว์,400,2,5,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,62,ภูตะวัน,หนองปรือ,,,หนองปรือ,เลขที่ 119,8,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71160
14652,ป่นหรือบด พืช เมล็ดพืช กากพืช สำหรับผสมเป็นอาหารสัตว์ ,2000,8,2,,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,63,,ยางม่วง,,,ท่ามะกา,เลขที่ 41/9,17,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,10130
5600,อบเมล็ดพืช,660,0,3,,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-658058,99.66959,64,,บ้านใหม่,13.91701,,ท่าม่วง,เลขที่ 95/2,3,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71110
60000,อบลดความชื้นข้าวเปลือก,2130,5,1,แสงชูโต,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.56823,65,โรงสีตวงสุวรรณ,ท่าล้อ,13.9899,,ท่าม่วง,เลขที่ 98,16,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71110
1200,อบข้าวเปลือก,1056,0,10,,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,081-7531225,99.81938,66,บริษัท เต็กรุ่งเรืองไรซ์มิลล์ จำกัด,ดอนแสลบ,14.27501,,ห้วยกระเจา,เลขที่ 287/1,6,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71170
33600,อบเมล็ดพืช,6000,2,3,กาญจนบุรี-อู่ทอง,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-680051,99.708447,67,บริษัท โรงสีทรัพย์ส่งแสง จำกัด,พนมทวน,14.12796,,พนมทวน,เลขที่ 58,2,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71140
1400,ผลิตเมล็ดพันธุ์ข้าวโพดหวาน,1000,15,1,ท่าน้ำตื้น-เขาปูน,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,(034)653298-9,99.47384,68,โรงงานผลิตเมล็ดพันธุ์ข้าวโพดหวาน จำกัด,แก่งเสี้ยน,14.05232,,เมืองกาญจนบุรี,เลขที่ 99,15,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
33600,อบเมล็ดพืช ,6000,2,3,กาญจนบุรี-อู่ทอง,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,69,บริษัท โรงสีทรัพย์ส่งแสง จำกัด,พนมทวน,,,พนมทวน,เลขที่ 58,2,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71140
25556,อบพืช หรือ อบเมล็ดพืช,1386,2,6,,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,081-9445959,,70,,หนองกุ่ม,,,บ่อพลอย,เลขที่ 147,13,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71160
30400,อบแห้ง บด ป่น พืชสมุนไพรออร์แกนิค,918,16,7,,1630,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,71,บริษัท มัลเบอร์รี่ เวิร์ค จำกัด,เกาะสำโรง,,,เมืองกาญจนบุรี,เลขที่ 83,12,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71000
