เงินทุนรวม,ประกอบกิจการ,อำเภอ,ถนน,ซอย,FID,คนงาน,ลำดับ,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,ตำบล,ผู้ประกอบการ,_id,เลขทะเบียนเดิม,ชื่อโรงงาน
120000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,,,10100201325608,40,11,10120,กรุงเทพมหานคร,,เลขที่ โฉนดที่ดินเลขที่ 101,371,,ท่าข้าม,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,11,3-105-13/60,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด
78000000,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,พระราม2,,10100101425599,8,12,10150,กรุงเทพมหานคร,,เลขที่ 547,1053,0 2452 2824,แสมดำ,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,12,3-105-14/59,บริษัท พี.วี.สตีล รีไซเคิล จำกัด
18500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,,,10100059425625,8,13,10530,กรุงเทพมหานคร,3,เลขที่ 1/24,170,818078803,ลำผักชี,นางสาวชฎาพร ฉัตรเจริญสุข,13,3-105-15/62,กิจถาวร
20890000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สะพานสูง,,,10100064925627,10,14,10240,กรุงเทพมหานคร,,เลขที่ โฉนดที่ดินเลขที่ 20100,180,063-895-4641,ทับช้าง,นายสหสีห์ ชิตานนท์,14,3-105-17/62,-
3600000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,บางบอน,พรหมราษฎร์,,10100071225623,30,15,10150,กรุงเทพมหานคร,,เลขที่ 12,435,,บางบอนใต้,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,15,3-105-19/62,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด
16500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,วังทองหลาง,,รามคำแหง 39(เทพลีลา1),10100102025596,14,16,10310,กรุงเทพมหานคร,,เลขที่ 518/29,815,29348025,วังทองหลาง,บริษัท จ.ทวีโชค จำกัด,16,3-105-20/59,บริษัท จ.ทวีโชค จำกัด
31600000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สายไหม ,,,10100102025604,8,17,10270,กรุงเทพมหานคร,7,เลขที่ 117,375,,สายไหม,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,17,3-105-20/60,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด
41000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,,,10100081925626,15,18,10150,กรุงเทพมหานคร,,เลขที่ โฉนดที่ดินเลขที่ 137798,0,852154299,แสมดำ,-,18,3-105-20/62,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ
5000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จอมทอง,เอกชัย,กำนันแม้น,10100102225592,14,19,10150,กรุงเทพมหานคร,3,เลขที่ 88/71-72,585,,บางขุนเทียน,บริษัท กวงเซ่งหลี จำกัด,19,3-105-22/59,บริษัท กวงเซ่งหลี จำกัด
1900000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บึงกุ่ม,เสรีไทย,,10100500325606,7,20,10240,กรุงเทพมหานคร,3,เลขที่ 60/50,89,,คลองกุ่ม,บริษัท คูซุ่นฮวด จำกัด,20,3-105-3/60,บริษัท คูซุ่นฮวด จำกัด
2300000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,,,10100006925628,6,21,10530,กรุงเทพมหานคร,5,เลขที่ 6/3,138,085-3215626,โคกแฝด,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,21,3-105-3/62,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด
7000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ประเวศ,เฉลิมพระเกียรติ ,เฉลิมพระเกียรติ 30,10100103025603,7,22,10250,กรุงเทพมหานคร,11,เลขที่ 30/12,52.5,,ดอกไม้,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,22,3-105-30/60,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด
8500000,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,บางขุนเทียน-ชายทะเล,เทียนทะเล 24,10100003225543,7,23,10150,กรุงเทพมหานคร,7,เลขที่ 12/239,129,,ท่าข้าม,นายอำพล ประสพศิริ,23,3-105-32/54,ศรีนคร
29000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,พระรามที่ 2,,10100103925596,6,24,10150,กรุงเทพมหานคร,,เลขที่ 549,91,02-0489980,แสมดำ,บริษัท เอ็มบอส กรุ๊ป จำกัด,24,3-105-39/59,บริษัท เอ็มบอส กรุ๊ป จำกัด
115000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบอน,บางบอน 4,,10100400425605,32,25,10150,กรุงเทพมหานคร,,เลขที่ 249,954,,บางบอน,บริษัท เจดีย์ไทย สตีล จำกัด,25,3-105-4/60,บริษัท เจดีย์ไทย สตีล จำกัด
12900000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จตุจักร,รัชดาภิเษก,เสือใหญ่อุทิศ,10100004825598,10,26,10900,กรุงเทพมหานคร,,เลขที่ 743/7,228.5,29300668,จันทรเกษม,นายธวัช ไกรรักษ์,26,3-105-48/59,ธวัช รีไซเคิล
27000000,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,บางขุนเทียน,บางขุนเทียน-ชายทะเล,เทียนทะเล 30,10100004925596,21,27,10150,กรุงเทพมหานคร,,เลขที่ 19,295,28972394,ท่าข้าม,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,27,3-105-49/59,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์
120000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,ฉลองกรุง,,10100005125592,33,28,10530,กรุงเทพมหานคร,9,เลขที่ 92/78-79,1247,892029400,ลำผักชี,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,28,3-105-51/59,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด
13000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองแขม,เพชรเกษม,เพชรเกษม114,10100005225590,14,29,10150,กรุงเทพมหานคร,,เลขที่ 26/5,766.34,,หนองค้างพลู,นางวรรณา กนกทิพย์,29,3-105-52/59,
2000000,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,บางขุนเทียน,แสมดำ,-,10100105325548,2,30,10150,กรุงเทพมหานคร,,เลขที่ 4,485,,แสมดำ,บริษัท ส.พัฒนาเปเปอร์ จำกัด,30,3-105-53/54,บริษัท ส.พัฒนาเปเปอร์ จำกัด
12300000,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,พระราม 2,,10100105425595,9,31,10150,กรุงเทพมหานคร,,เลขที่ 597,426.5,24155642,แสมดำ,บริษัท ช.รุ่งทรัพย์ จำกัด,31,3-105-54/59,บริษัท ช.รุ่งทรัพย์ จำกัด
12198000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,,บางกระดี่ 1 แยก 9,10100005425612,4,32,10150,กรุงเทพมหานคร,,"เลขที่ 16/1,16/2",98,09 5596 4555,แสมดำ,นางสาวสุภารัตน์ วุฒิเลิศเจริญวงศ์,32,3-105-54/61,นวกลกิจ
185000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จอมทอง,เอกชัย,กำนันแม้น,10100105725614,29,33,10150,กรุงเทพมหานคร,3,เลขที่ 88/164,745,02-8978134-5,บางขุนเทียน,บริษัท ตั้งซุ่ยเฮง จำกัด,33,3-105-57/61,บริษัท ตั้งซุ่ยเฮง จำกัด
515000,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,หนองจอก,ประชาสำราญ 2,-,10100500625484,9,34,10530,กรุงเทพมหานคร,3,เลขที่ 29/6,2,,หนองจอก,นางฉลอง น้อยแสง,34,3-105-6/48,มิตรไพบูลย์
37500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,,บางกระดี่ 19,10100006025601,30,35,10150,กรุงเทพมหานคร,,เลขที่ 89,435,081-8447639,แสมดำ,นายการัณย์ อัครกุลพรรณ,35,3-105-60/60,นายการัณย์ อัครกุลพรรณ
63000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองแขม,มาเจริญ,,10100006825604,34,36,10160,กรุงเทพมหานคร,,เลขที่ 159,2992.81,02-8121576,หนองค้างพลู,บริษัท เหล็กหมุนเวียน จำกัด,36,3-105-68/60,บริษัท เหล็กหมุนเวียน จำกัด
175000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,มีนบุรี,หทัยราษฎร์,,10100006925594,30,37,10510,กรุงเทพมหานคร,,เลขที่ 888,795,29565125,มีนบุรี,บริษัท ไคฮวดจั่น จำกัด,37,3-105-69/59,บริษัท ไคฮวดจั่น จำกัด
220000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,มีนบุรี,สุวินทวงษ์,,10100007025592,30,38,10510,กรุงเทพมหานคร,,เลขที่ 888,1041,29565125,แสนแสบ,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,38,3-105-70/59,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด
20000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ทุ่งครุ,พุทธบูชา ,พุทธบูชา 36 แยก 1,10100107125599,17,39,10140,กรุงเทพมหานคร,,เลขที่ 9,589,24264961,บางมด,บริษัท เอส.เอช.เปเปอร์ จำกัด,39,3-105-71/59,บริษัท เอส.เอช.เปเปอร์ จำกัด
9000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ราษฎร์บูรณะ,,ราษฎร์บูรณะ,10100107225597,14,40,10140,กรุงเทพมหานคร,,เลขที่ 8,300,287220724,บางปะกอก,บริษัท เจ พี เปเปอร์ จำกัด,40,3-105-72/59,บริษัท เจ พี เปเปอร์ จำกัด
14500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,วังทองหลาง,,รามคำแหง 39 (เทพลีลา 1),10100007225614,5,41,10310,กรุงเทพมหานคร,,เลขที่ 518/27,100,,วังทองหลาง,นายสิทธิพงศ์ อนันต์หล่อพันธ์	,41,3-105-72/61,นายสิทธิพงศ์ อนันต์หล่อพันธ์
93000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,แสมดำ,แสมดำ 5,10100107325595,30,42,10120,กรุงเทพมหานคร,,เลขที่ 22,808.18,,แสมดำ,บริษัท ส.พัฒนาเปเปอร์ จำกัด,42,3-105-73/59,บริษัท ส.พัฒนาเปเปอร์ จำกัด
20000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จอมทอง,,,10100032525624,50,43,10150,กรุงเทพมหานคร,11,เลขที่ 114/3,264,,บางขุนเทียน,นายสิทธิชัย เอื้อโภศิณธ์,43,3-105-8/62,-
13000000,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,บางซื่อ,ประชาชื่น,โชติวัฒน์ ซอย 14,10100108125481,10,44,10800,กรุงเทพมหานคร,,เลขที่ 3,255,02-5852521,บางซื่อ,นายชุณห์ เลิศชัยประเสริฐ,44,3-105-81/48,ซั่งเฮงจั่น
8700000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบอน,กาญจนาภิเษก,,10100008425593,7,45,10150,กรุงเทพมหานคร,,เลขที่ 91,55.5,02-8999995,บางบอน,นางกนกนภัส ชาญวโรจน์,45,3-105-84/59,วงษ์พาณิชย์บางบอน
2700000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,ประชาร่วมใจ,ประชาร่วมใจ 59,10100008425601,15,46,10510,กรุงเทพมหานคร,,เลขที่ 19,836.5,02-9169933,ทรายกองดินใต้,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,46,3-105-84/60,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด
49000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,,,10100008525590,7,47,10530,กรุงเทพมหานคร,6,เลขที่ 4/14,457,02-9565899,ลำผักชี,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,47,3-105-85/59,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด
22500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,,บางกระดี่ 43,10100008625614,15,48,10150,กรุงเทพมหานคร,,เลขที่ 11,283,,แสมดำ,นายปรีชา ธนงค์,48,3-105-86/61,นายปรีชา ธนงค์
7000000,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,ประเวศ,อ่อนนุช,อ่อนนุช 80,10100008825594,7,49,10250,กรุงเทพมหานคร,,"เลขที่ 25,27",119,,ประเวศ,บริษัท คูเซ่งฮวด จำกัด,49,3-105-88/59,บริษัท คูเซ่งฮวด จำกัด
5000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดกระบัง,เลียบคลองมอญ,,10100008925592,10,50,10520,กรุงเทพมหานคร,,เลขที่ 169/2,61,,ทับยาว,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,50,3-105-89/59,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด
24500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,,บางกระดี่ 25,10100200925606,14,51,10150,กรุงเทพมหานคร,,เลขที่ 61,200,,แสมดำ,นายคมกริช นิธิธนปรีดา,51,3-105-9/60,นายคมกริช นิธิธนปรีดา
17556000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สะพานสูง,,กรุงเทพกรีฑา 47,10100109125605,8,52,10240,กรุงเทพมหานคร,,เลขที่ 2,191,02-2451532,สะพานสูง,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,52,3-105-91/60,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด
1800000,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,หนองแขม,เพชรเกษม 81, -,10100009825502,7,53,10160,กรุงเทพมหานคร,7,เลขที่ 13/16,33,,หนองแขม,นายคำรณ มูลเงิน,53,3-105-98/50,หนองแขมของเก่า
0,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),หนองแขม,-,เพชรเกษม 110 แยก 14-1-1,10103700125461,8,54,10160,กรุงเทพมหานคร,,เลขที่ 40,335.5,081-5929569,หนองค้างพลู,นางกิมเอ็ง ยิ่งแจ่มจันทร์,54,3-106-1/46,อุตสาหกรรมน้ำมันไทย
22000000,ซ่อมแซมถังน้ำมัน,ทุ่งครุ,ประชาอุทิศ,วิเชียร,10102100225467,12,55,10140,กรุงเทพมหานคร,,เลขที่ 71/5,153,,บางมด,บริษัท นิ้วเจริญ จำกัด,55,3-106-2/46,บริษัท นิ้วเจริญ จำกัด
80000000,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,บางบอน,บางบอน 4,6,10100003425606,10,56,10150,กรุงเทพมหานคร,,เลขที่ 74,769.5,02-892-2679,บางบอน,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,56,3-106-34/60,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด
24000000,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองแขม,มาเจริญ,,10100003625601,8,57,10160,กรุงเทพมหานคร,,เลขที่ 159,655.12,28121576,หนองค้างพลู,บริษัท เหล็กหมุนเวียน จำกัด,57,3-106-36/60,บริษัท เหล็กหมุนเวียน จำกัด
1370000000,เชื้อเพลิงแข็งจากขยะชุมชน,ประเวศ,อ่อนนุช,อ่อนนุช 86,10100105425611,47,58,10250,กรุงเทพมหานคร,,เลขที่ โฉนดที่ดินเลขที่ 121,2693.21,0 2168 3368,ประเวศ,บริษัท กรุงเทพธนาคม จำกัด,58,3-106-54/61,บริษัท กรุงเทพธนาคม จำกัด
1000000,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,พระรามที่ 2,,10100006225607,12,59,10150,กรุงเทพมหานคร,4,เลขที่ 99/231,90,084-4244701,แสมดำ,บริษัท ผลพาณิชย์ จำกัด,59,3-106-62/60,บริษัท ผลพาณิชย์ จำกัด
47000000,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,สะพานสูง,,กรุงเทพกรีฑา 37,10100107225613,9,60,10240,กรุงเทพมหานคร,,เลขที่ 15/115,146.35,,สะพานสูง,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,60,3-106-72/61,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด
0,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,หนองจอก,สุวินทวงศ์,-,91020201825484,9,61,10530,กรุงเทพมหานคร,9,เลขที่ 3/356-357,73.86,02-5435436-7,ลำผักชี,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,61,ข3-106-18/48,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด
10000000,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,ลาดกระบัง,ฉลองกรุง,-,82030200125530,15,62,10520,กรุงเทพมหานคร,4,เลขที่ 115,1265,02-326-1256,ลำปลาทิว,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,62,น.105-1/2553-นนล.,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด
65000000,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดกระบัง,-,#NAME?,82030000125516,13,63,10520,กรุงเทพมหานคร,,เลขที่ 66,310,02739-6388,ลำปลาทิว,บริษัท โลหะ สยาม จำกัด,63,น.106-1/2551-นนล.,บริษัท โลหะ สยาม จำกัด
0,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,ลาดกระบัง,ฉลองกรุง,ฉลองกรุง31,82030300125539,0,64,10520,กรุงเทพมหานคร,,เลขที่ 66,329.5,814334212,ลำปลาทิว,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,64,น.106-1/2553-นนล.,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด
