ตำบล,ประกอบกิจการ,คนงานรวม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,GPSlat,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPSlong,เงินทุนรวม
บัวปากท่า,การผลิต และหรือจำหน่ายไอน้ำ,8,,เลขที่ 99,8,นครปฐม,,10,บริษัท สิงห์ เบเวอเรช จำกัด,14.16213246,,บริษัท สิงห์ เบเวอเรช จำกัด,73130,0,29,บางเลน,100.278228,200000000
บ้านหลวง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,บ้านหลวง-บ่อพลับ,เลขที่ 113/7,18,นครปฐม,087-3695666,3,นายวิษณุพงษ์ ห้วยกรดวัฒนา,,,ทวีภัทร รีไซเคิล,73150,12,30,ดอนตูม,,10000000
บางภาษี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20,,"เลขที่ โฉนดที่ดินเลขที่ 48327 , 48328",10,นครปฐม,,12,บริษัท สยามไชน่าโลหะกิจ จำกัด,,,บริษัท สยามไชน่าโลหะกิจ จำกัด,73130,10,31,บางเลน,,45000000
พะเนียด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,25,,เลขที่ 88/8,20,นครปฐม,08-9987-0582,1,บริษัท บ้านไร่พัฒนา จำกัด,,,บริษัท บ้านไร่พัฒนา จำกัด,73120,5,32,นครชัยศรี,,68000000
คลองใหม่,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,,เลขที่ โฉนดที่ดินเลขที่ 48893 . 48878,2,นครปฐม,,6,นางสาวจรินทร์  ทะรังศรี,,,-,73110,1,33,สามพราน,,13000000
พะเนียด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) คัดแยกวัสดุที่ไม่ใช้แล้วตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 6 (พ.ศ.2540) เฉพาะแบตเตอรี่เท่านั้น และผลิตน้ำมันเชื้อเพลิงทดแทน,21, -,เลขที่ 63/3,16,นครปฐม,,2,ห้างหุ้นส่วนจำกัด ธนนิพัฒน์ยนต์,13.79911667, -,บริษัท ธนนิพัฒน์ยนต์ตระการ จำกัด,73120,5,34,นครชัยศรี,100.12915,5500000
แหลมบัว,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),60, -,เลขที่ 22/14,50,นครปฐม,,2,นายวันชัย อินทชยาคม,13.85496667, -,นายวันชัย อินทชยาคม,73120,10,35,นครชัยศรี,100.15045,1400000
สระสี่มุม,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก ซ่อมแซม ดัดแปลง คอมพิวเตอร์ อุปกรณ์อิเล็กทรอนิกส์และเครื่องใช้ไฟฟ้าทุกชนิดที่ผ่านการใช้งานแล้ว,20,มาลัยแมน,เลขที่ 69,13,นครปฐม,,21,บริษัท อาร์ที โกลเบิล กรุ๊ป จำกัด,14.0671813, -,บริษัท อาร์ที โกลเบิล กรุ๊ป จำกัด,73140,7,36,กำแพงแสน,99.98955488,12000000
อ้อมใหญ่,คัดแยกสายไฟฟ้า,17,-,เลขที่ 40/1,14,นครปฐม,,6,บริษัท หงเหวิน จำกัด,13.69341667,-,บริษัท หงเหวิน จำกัด,73160,3,37,สามพราน,100.2681,48000000
กระทุ่มล้ม,เกี่ยวกับคัดแยกเศษผ้า,51, -,เลขที่ 12/200,35,นครปฐม,,6,นางสาวรัญญา แซ่หลิ่ม,, -,วรัญญา,73220,16,38,สามพราน,,5000000
ตาก้อง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และล้าง บดหรือย่อยพลาสติก ผลิตเม็ดพลาสติก,5, -,เลขที่ 36/2,3,นครปฐม,0 3434 8155,6,ห้างหุ้นส่วนจำกัด พี แอนด์ แอล รีไซเคิล,13.8813, -,ห้างหุ้นส่วนจำกัด พี แอนด์ แอล รีไซเคิล,73000,2,39,เมืองนครปฐม,100.0403,4000000
คลองใหม่,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,,เลขที่ 117,7,นครปฐม,,3,บริษัท เพชรพูล อินเตอร์เทรด จำกัด,13.73127515,,บริษัท เพชรพูล อินเตอร์เทรด จำกัด,73110,0,40,สามพราน,100.1943365,5000000
หนองดินแดง,คัดเเยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษโลหะ พลาสติก กระดาษ อัดเศษโละ ทุกชนิด,10,,"เลขที่ โฉนดที่ดินเลขที่ 76778 , 76779",5,นครปฐม,,,นายโสภณ  ก้องเสียง,,,-,73000,5,41,เมืองนครปฐม,,30000000
ขุนแก้ว,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,45,ปิ่นเกล้า-นครชัยศรี,เลขที่ 53/15,30,นครปฐม,,2,นายทศพล บุญมูสิก,13.76983567,-,บริษัท ดีสมใจ สแครป ยาร์ด จำกัด ),73120,15,42,นครชัยศรี,100.2181798,20020000
สนามจันทร์,ทำพลาสติกเป็นเม็ด หรือรูปทรงต่างๆ,36,ยิงเป้าใต้,เลขที่ 143/19,26,นครปฐม,0 3421 8360,2,บริษัท อภิสิทธิ์ เอ็นเตอร์ไพร์ส จำกัด,13.794602,,บริษัท อภิสิทธิ์ เอ็นเตอร์ไพร์ส จำกัด,73000,10,43,เมืองนครปฐม,100.052818,22220000
บางภาษี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียหรืออันตราย ,24,,เลขที่ 108,19,นครปฐม,061-6239279,9,บริษัท ทรัพย์ไพศาล เมทัลเวิร์ค จำกัด,,,บริษัท ทรัพย์ไพศาล เมทัลเวิร์ค จำกัด,73130,5,44,บางเลน,,28300000
หนองปากโลง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,,เลขที่ 100,9,นครปฐม,,8,นายยุทธนา จำเริญ,,,พี วาย พลาสติกรีไซเคิล,73000,4,45,เมืองนครปฐม,,7000000
บางไทรป่า,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และล้างเศษพลาสติก,7,-,เลขที่ 67/2,7,นครปฐม,929320690,2,นายจ้อน สรรุวัตร,,-,นายจ้อน สรรุวัตร,73130,0,46,บางเลน,,8000000
ท่าตำหนัก,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและกรองน้ำมันพืชที่ใช้แล้วเพื่อนำไปเป็นพลังงานทดแทน,10,,เลขที่ 53/9,10,นครปฐม,,4,บริษัท 3 กฤษ ออยล์ จำกัด,,,บริษัท 3 กฤษ ออยล์ จำกัด,73120,0,47,นครชัยศรี,,6500000
ตลาดจินดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,18,,เลขที่ 99,10,นครปฐม,,6,บริษัท หัง ไท่ เมททอล อิเล็กทรอนิกส์ เทรดดิ้ง จำกัด,,,บริษัท หัง ไท่ เมททอล อิเล็กทรอนิกส์ เทรดดิ้ง จำกัด,73110,8,48,สามพราน,,5300000
ดอนตูม,คัดแยกวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมที่ไม่เป็นของเสียอันตราย,14,,เลขที่ 55/1,9,นครปฐม,,11,บริษัท ยง ถัง จำกัด,13.97518667,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,5,49,บางเลน,100.1134798,7000000
ท่าพระยา,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะตัดพับหรือม้วนโลหะ,31,-,เลขที่ 45/7,22,นครปฐม,081-8505376,4,บริษัท เอ็ส.เอ็น.เค.เมทัล กรุ๊ป จำกัด,,วัดน้อยเจริญสุข,บริษัท เอ็ส.เอ็น.เค.เมทัล กรุ๊ป จำกัด,73120,9,50,นครชัยศรี,,41273800
ทุ่งลูกนก,คัดเเยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,,เลขที่ โฉนดที่ดินเลขที่ 3073,5,นครปฐม,,4,บริษัท ทองรุ่งแสง พลาสติก แอนด์ รับเบอร์ จำกัด,,,บริษัท ทองรุ่งแสง พลาสติก แอนด์ รับเบอร์ จำกัด,73140,3,51,กำแพงแสน,,12000000
วังน้ำเขียว,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายของเสีย,12,,เลขที่ 99/9,6,นครปฐม,089-9870582,10,บริษัท สยามวรกุล กรุ๊ป จำกัด,,,บริษัท สยามวรกุล กรุ๊ป จำกัด,73140,6,52,กำแพงแสน,,29000000
ตลาดจินดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,,เลขที่ 38/11,7,นครปฐม,,11,บริษัท ประเสริฐสุข รีไซเคิล จำกัด ,13.65948897,,บริษัท ประเสริฐสุข รีไซเคิล จำกัด,73110,3,53,สามพราน,100.1052073,2200000
คลองใหม่,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) ผลิตยางปูพื้นรถยนต์ และอื่น ๆ จากยางธรรมชาติหรือยางสังเคราะห์ ผลิตภัณฑ์จากวัสดุที่ไม่ใช้แล้วหรือของเสียจากโรงงาน ผลิตยางปูพื้นรถยนต์และอื่นๆ,200,เพชรเกษม,เลขที่ 55,120,นครปฐม,,6,บริษัท สยามยูไนเต็ดรับเบอร์ จำกัด,13.74808333,-,บริษัท สยามยูไนเต็ดรับเบอร์ จำกัด,73110,80,54,สามพราน,100.2032667,190000000
ถนนขาด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดพลาสติก กระดาษ,8,,เลขที่ 14,4,นครปฐม,,3,นายภัทรพงษ์  คงยนต์,,,เอ็ม เอ็ม รีไซเคิล,73000,4,55,เมืองนครปฐม,,3000000
วังน้ำเขียว,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษโลหะ,7, -,เลขที่ 99,6,นครปฐม,,11,ห้างหุ้นส่วนจำกัด เจริญสิน รีไซเคิล,13.9679, -,ห้างหุ้นส่วนจำกัด เจริญสิน รีไซเคิล,73140,1,56,กำแพงแสน,100.0039667,6410000
ห้วยพระ,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เหล็ก กระดาษ พลาสติก แก้ว ไม้หรือวัสดุอื่นๆ,20,,เลขที่ 160,15,นครปฐม,,1,บริษัท เอส.ที.เอ็น 1995 รีไซเคิล จำกัด,13.91816361,,บริษัท เอส.ที.เอ็น 1995 รีไซเคิล จำกัด,73150,5,57,ดอนตูม,100.0806382,48000000
สามพราน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,,เลขที่ 158,5,นครปฐม,,7,บริษัท สามพรานรีไซเคิล จำกัด,13.73561575,,บริษัท สามพรานรีไซเคิล จำกัด,73110,0,58,สามพราน,100.2209808,11000000
ดอนตูม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,47,,เลขที่ โฉนดที่ดินเลขที่ 2608,37,นครปฐม,,6,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,13.98585644,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,10,59,บางเลน,100.12178,6350000
ดอนตูม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,,เลขที่ 90,7,นครปฐม,,2,บริษัท เอเชีย บราเทอร์ เทคโนโลยี จำกัด,,,บริษัท เอเชีย บราเทอร์ เทคโนโลยี จำกัด,73130,3,60,บางเลน,,25500000
สระกะเทียม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,,เลขที่ โฉนดที่ดินเลขที่ 23361,22,นครปฐม,,1,นายวิศรุต เปี่ยมศิริ,,,อุดมทรัพย์,73000,8,61,เมืองนครปฐม,,12000000
พระประโทน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,เพชรเกษม,เลขที่ 12,7,นครปฐม,,,นายนพดล เพ็ญตระกูลชัย,,เพชรเกษม 9 ,นายนพดล เพ็ญตระกูลชัย,73000,3,62,เมืองนครปฐม,,14000000
ทุ่งลูกนก,ผลิตเชื้อเพลิงสังเคราะห์จากพลาสติกที่ใช้แล้ว ด้วยกระบวนการ Pyrolysis,15,-,เลขที่ 75,15,นครปฐม,,4,บริษัท ปฐมชัยไฮเทค จำกัด,14.02459,-,บริษัท ปฐมชัยไฮเทค จำกัด,73140,0,63,กำแพงแสน,99.884953,4000000
ดอนตูม,นำชิ้นส่วนอุปกรณ์ไฟฟ้าอิเล็กทรอนิกส์เข้าสู่กระบวนการทางอุตสาหกรรม เพื่อนำโลหะกลับมาใช้ประโยชน์ใหม่,150,,เลขที่ 55,106,นครปฐม,,11,บริษัท ยง ถัง จำกัด,13.97510338,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,44,64,บางเลน,100.1103899,14300000
โพรงมะเดื่อ,กลั่นตัวทำละลายใช้งานแล้วกลับมาใช้ใหม่ (Solvents Recovery) ทำเชื้อเพลิงทดแทนจาก น้ำมันหล่อลื่นและตัวทำละลายที่ใช้แล้ว,14,-,เลขที่ 50,10,นครปฐม,,12,บริษัท รีฟายน์พลัส จำกัด,13.82146,-,บริษัท รีฟายน์พลัส จำกัด,73000,4,65,เมืองนครปฐม,99.936027,10000000
ท่ากระชับ,นำยางรถยนต์ใช้แล้วมาสับ บดย่อย เพื่อนำเศษลวดและยางกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,6,เพชรเกษม,เลขที่ 18,6,นครปฐม,,2,นางสาวพรทิพย์ จงยิ่งยศ,,-,บริษัท เมก้า ไทร์ แมนูแฟคเจอริ่ง (ไทย) จำกัด,73120,0,66,นครชัยศรี,,14200000
ทัพหลวง,บดแก้ว และล้างขวด,20,-,เลขที่ 59/6,15,นครปฐม,0 3426 1768,6,นายวัลลภ จีบบุบผา,13.852321,-,ปฐมแก้ววัฒนา,73000,5,67,เมืองนครปฐม,99.989265,14000000
หนองดินแดง,นำยางรถยนต์เก่ามาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,6,เพชรเกษม,เลขที่ 24/1,6,นครปฐม,,3,นายคำรณ จงยิ่งยศ,13.79928,-,,73000,0,68,เมืองนครปฐม,99.978758,6850000
บ้านหลวง,ถอดแยกชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ และบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้า และอิเล็กทรอนิกส์เพื่อนำมาร่อนแยกโลหะมีค่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,,เลขที่ 119,6,นครปฐม,,5,บริษัท เจี๋ยฮง อินเตอร์ จำกัด,,,บริษัท เจี๋ยฮง อินเตอร์ จำกัด,73150,4,69,ดอนตูม,,4000000
หนองงูเหลือม,ตัด กรีด บด อัดยางรถยนต์เก่าที่ไม่ใช้แล้วมาแปรรูป,6,-,เลขที่ 52/8,4,นครปฐม,,6,บริษัท ไทย อาร์.ซี.พรีเมียม จำกัด,,-,บริษัท ยูเนี่ยน รีไซคลิ่ง จำกัด,73000,2,70,เมืองนครปฐม,,3800000
