รายการชุดข้อมูล,จำนวน,ที่มา,_id,ปี,หน่วยนับ,เพศ,อำเภอ,จังหวัด
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10912,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,18,2561,คน,ชาย,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,4603,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,19,2561,คน,ชาย,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,725,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,20,2561,คน,ชาย,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,452,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,21,2561,คน,ชาย,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1255,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,22,2561,คน,ชาย,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1081,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,23,2561,คน,ชาย,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,531,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,24,2561,คน,ชาย,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,89,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,25,2561,คน,ชาย,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,503,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,26,2561,คน,ชาย,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1450,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,27,2562,คน,หญิง,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,79,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,28,2562,คน,หญิง,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,800,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,29,2562,คน,หญิง,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,15,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,30,2562,คน,หญิง,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9144,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,31,2562,คน,หญิง,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,2438,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,32,2562,คน,หญิง,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,184,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,33,2562,คน,หญิง,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,758,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,34,2562,คน,หญิง,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,477,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,35,2562,คน,หญิง,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,434,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,36,2562,คน,หญิง,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,90,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,37,2562,คน,หญิง,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,11,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,38,2562,คน,หญิง,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,140,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,39,2562,คน,หญิง,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,2978,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,40,2562,คน,ชาย,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,245,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,41,2562,คน,ชาย,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1005,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,42,2562,คน,ชาย,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,142,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,43,2562,คน,ชาย,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10485,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,44,2562,คน,ชาย,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,4161,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,45,2562,คน,ชาย,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,660,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,46,2562,คน,ชาย,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,449,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,47,2562,คน,ชาย,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,998,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,48,2562,คน,ชาย,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,732,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,49,2562,คน,ชาย,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,397,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,50,2562,คน,ชาย,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,78,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,51,2562,คน,ชาย,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,433,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,52,2562,คน,ชาย,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1459,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,53,2563,คน,หญิง,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,74,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,54,2563,คน,หญิง,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,894,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,55,2563,คน,หญิง,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,56,2563,คน,หญิง,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,8168,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,57,2563,คน,หญิง,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1913,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,58,2563,คน,หญิง,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,134,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,59,2563,คน,หญิง,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,879,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,60,2563,คน,หญิง,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,567,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,61,2563,คน,หญิง,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,419,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,62,2563,คน,หญิง,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,95,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,63,2563,คน,หญิง,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,64,2563,คน,หญิง,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,169,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,65,2563,คน,หญิง,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,2470,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,66,2563,คน,ชาย,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,160,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,67,2563,คน,ชาย,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1342,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,68,2563,คน,ชาย,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,112,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,69,2563,คน,ชาย,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9394,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,70,2563,คน,ชาย,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,3761,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,71,2563,คน,ชาย,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,615,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,72,2563,คน,ชาย,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,338,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,73,2563,คน,ชาย,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1000,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,74,2563,คน,ชาย,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,824,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,75,2563,คน,ชาย,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,291,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,76,2563,คน,ชาย,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,53,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,77,2563,คน,ชาย,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,465,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,78,2563,คน,ชาย,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1464,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,79,2564,คน,หญิง,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,74,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,80,2564,คน,หญิง,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,894,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,81,2564,คน,หญิง,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,82,2564,คน,หญิง,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9439,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,83,2564,คน,หญิง,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,3757,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,84,2564,คน,หญิง,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,134,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,85,2564,คน,หญิง,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,879,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,86,2564,คน,หญิง,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,567,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,87,2564,คน,หญิง,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,428,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,88,2564,คน,หญิง,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,95,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,89,2564,คน,หญิง,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,90,2564,คน,หญิง,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,179,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,91,2564,คน,หญิง,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,204,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,92,2564,คน,ชาย,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,166,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,93,2564,คน,ชาย,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1357,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,94,2564,คน,ชาย,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,112,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,95,2564,คน,ชาย,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9600,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,96,2564,คน,ชาย,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5171,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,97,2564,คน,ชาย,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,615,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,98,2564,คน,ชาย,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,338,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,99,2564,คน,ชาย,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1013,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,100,2564,คน,ชาย,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,826,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,101,2564,คน,ชาย,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,291,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,102,2564,คน,ชาย,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,53,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,103,2564,คน,ชาย,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,480,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,104,2564,คน,ชาย,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1469,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,105,2565,คน,หญิง,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,106,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,106,2565,คน,หญิง,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,896,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,107,2565,คน,หญิง,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,108,2565,คน,หญิง,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10118,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,109,2565,คน,หญิง,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,3752,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,110,2565,คน,หญิง,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,134,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,111,2565,คน,หญิง,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,879,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,112,2565,คน,หญิง,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,580,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,113,2565,คน,หญิง,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,449,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,114,2565,คน,หญิง,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,122,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,115,2565,คน,หญิง,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,116,2565,คน,หญิง,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,234,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,117,2565,คน,หญิง,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,2520,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,118,2565,คน,ชาย,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,198,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,119,2565,คน,ชาย,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1378,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,120,2565,คน,ชาย,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,112,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,121,2565,คน,ชาย,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10266,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,122,2565,คน,ชาย,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5215,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,123,2565,คน,ชาย,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,585,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,124,2565,คน,ชาย,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,338,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,125,2565,คน,ชาย,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1017,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,126,2565,คน,ชาย,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,840,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,127,2565,คน,ชาย,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,332,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,128,2565,คน,ชาย,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,53,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,129,2565,คน,ชาย,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,551,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,130,2565,คน,ชาย,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1489,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,131,2566,คน,หญิง,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,111,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,132,2566,คน,หญิง,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,911,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,133,2566,คน,หญิง,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,134,2566,คน,หญิง,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10158,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,135,2566,คน,หญิง,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,3747,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,136,2566,คน,หญิง,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,84,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,137,2566,คน,หญิง,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,879,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,138,2566,คน,หญิง,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,578,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,139,2566,คน,หญิง,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,453,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,140,2566,คน,หญิง,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,122,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,141,2566,คน,หญิง,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,9,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,142,2566,คน,หญิง,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,239,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,143,2566,คน,หญิง,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,2546,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,144,2566,คน,ชาย,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,208,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,145,2566,คน,ชาย,ไทรโยค,กาญจนบุรี
