ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,228.5,12900000,21,10,3-105-48/59,22,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29300668,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,295,27000000,22,21,3-105-49/59,23,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,28972394,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,1247,120000000,23,33,3-105-51/59,24,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,892029400,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,766.34,13000000,24,14,3-105-52/59,25,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
แสมดำ,เลขที่ 4,-,485,2000000,25,2,3-105-53/54,26,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระราม 2,เลขที่ 597,,426.5,12300000,26,9,3-105-54/59,27,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,24155642,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,"เลขที่ 16/1,16/2",บางกระดี่ 1 แยก 9,98,12198000,27,4,3-105-54/61,28,นวกลกิจ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,09 5596 4555,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/164,กำนันแม้น,745,185000000,28,29,3-105-57/61,29,บริษัท ตั้งซุ่ยเฮง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-8978134-5,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
ประชาสำราญ 2,เลขที่ 29/6,-,2,515000,29,9,3-105-6/48,30,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3
,เลขที่ 89,บางกระดี่ 19,435,37500000,30,30,3-105-60/60,31,นายการัณย์ อัครกุลพรรณ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-8447639,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,2992.81,63000000,31,34,3-105-68/60,32,บริษัท เหล็กหมุนเวียน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-8121576,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
หทัยราษฎร์,เลขที่ 888,,795,175000000,32,30,3-105-69/59,33,บริษัท ไคฮวดจั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29565125,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
สุวินทวงษ์,เลขที่ 888,,1041,220000000,33,30,3-105-70/59,34,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29565125,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,
พุทธบูชา ,เลขที่ 9,พุทธบูชา 36 แยก 1,589,20000000,34,17,3-105-71/59,35,บริษัท เอส.เอช.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,24264961,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
,เลขที่ 8,ราษฎร์บูรณะ,300,9000000,35,14,3-105-72/59,36,บริษัท เจ พี เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,287220724,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
,เลขที่ 518/27,รามคำแหง 39 (เทพลีลา 1),100,14500000,36,5,3-105-72/61,37,นายสิทธิพงศ์ อนันต์หล่อพันธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
แสมดำ,เลขที่ 22,แสมดำ 5,808.18,93000000,37,30,3-105-73/59,38,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10120,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 114/3,,264,20000000,38,50,3-105-8/62,39,นายสิทธิชัย เอื้อโภศิณธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,11
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,255,13000000,39,10,3-105-81/48,40,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,02-5852521,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
กาญจนาภิเษก,เลขที่ 91,,55.5,8700000,40,7,3-105-84/59,41,วงษ์พาณิชย์บางบอน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-8999995,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
ประชาร่วมใจ,เลขที่ 19,ประชาร่วมใจ 59,836.5,2700000,41,15,3-105-84/60,42,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-9169933,10510,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,
,เลขที่ 4/14,,457,49000000,42,7,3-105-85/59,43,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-9565899,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,6
,เลขที่ 11,บางกระดี่ 43,283,22500000,43,15,3-105-86/61,44,นายปรีชา ธนงค์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
อ่อนนุช,"เลขที่ 25,27",อ่อนนุช 80,119,7000000,44,7,3-105-88/59,45,บริษัท คูเซ่งฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 169/2,,61,5000000,45,10,3-105-89/59,46,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 61,บางกระดี่ 25,200,24500000,46,14,3-105-9/60,47,นายคมกริช นิธิธนปรีดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 2,กรุงเทพกรีฑา 47,191,17556000,47,8,3-105-91/60,48,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-2451532,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16, -,33,1800000,48,7,3-105-98/50,49,หนองแขมของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,335.5,0,49,8,3-106-1/46,50,อุตสาหกรรมน้ำมันไทย,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),081-5929569,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
ประชาอุทิศ,เลขที่ 71/5,วิเชียร,153,22000000,50,12,3-106-2/46,51,บริษัท นิ้วเจริญ จำกัด,ซ่อมแซมถังน้ำมัน,,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 74,6,769.5,80000000,51,10,3-106-34/60,52,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,02-892-2679,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,655.12,24000000,52,8,3-106-36/60,53,บริษัท เหล็กหมุนเวียน จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,28121576,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
อ่อนนุช,เลขที่ โฉนดที่ดินเลขที่ 121,อ่อนนุช 86,2693.21,1370000000,53,47,3-106-54/61,54,บริษัท กรุงเทพธนาคม จำกัด,เชื้อเพลิงแข็งจากขยะชุมชน,0 2168 3368,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
พระรามที่ 2,เลขที่ 99/231,,90,1000000,54,12,3-106-62/60,55,บริษัท ผลพาณิชย์ จำกัด,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,084-4244701,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,4
,เลขที่ 15/115,กรุงเทพกรีฑา 37,146.35,47000000,55,9,3-106-72/61,56,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 3/356-357,-,73.86,0,56,9,ข3-106-18/48,57,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,02-5435436-7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
ฉลองกรุง,เลขที่ 115,-,1265,10000000,57,15,น.105-1/2553-นนล.,58,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,02-326-1256,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
-,เลขที่ 66,#NAME?,310,65000000,58,13,น.106-1/2551-นนล.,59,บริษัท โลหะ สยาม จำกัด,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02739-6388,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,329.5,0,59,0,น.106-1/2553-นนล.,60,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,814334212,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 239,ฉลองกรุง31,1100,7000000000,60,286,น.106-1/2559-นนล.,61,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,904100066,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ -,ฉลองกรุง 31,0,0,61,0,น.106-1/2561-นนล.,62,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซม ดัดแปลง ปรับปรุง เครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดี บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ เครื่องโทรทัศน์ เครื่องโทรศัพท์ เครื่องเราต์เตอร์ คอมพิวเตอร์ ชิ,-,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 40,ฉลองกรุง31,0,0,62,0,น.106-2/2559-นนล.,63,บริษัท กรีนรีพับลิค จำกัด,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),26888200,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
-,เลขที่ -,-,0,0,63,0,น.106-2/2561-นนล.,64,บริษัท อิซัน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไหล่เครื่องโมเด็ม,-,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
เทพารักษ์ กม.23,เลขที่ 159/1,,500,109363616,64,10,3-101-1/34สป,65,บริษัท เอ็ม.ไทย เอสเตท จำกัด,บำบัดน้ำเสียรวม,02-706-1515,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,16
เทพารักษ์ กม.20.5,เลขที่ 209,,1775.42,86160000,65,24,3-101-1/35สป,66,บริษัท จีเอฟพีที จำกัด (มหาชน),บำบัดน้ำเสียรวม,02-3159400,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,1
สุขมวิท,เลขที่ ,-,30000,5468790000,66,80,3-101-1/44สป,67,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,      -,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,11
ปานวิถี,เลขที่ 261/93,    -,38.58,7220000,67,5,3-101-1/45สป,68,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,บ่อบำบัดน้ำเสียรวม,02-708-3659-60,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,2
ทางรถไฟสายเก่า,เลขที่ 82/1, -,621.55,60000000,68,4,3-101-1/46สป,69,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",0-2386-1331,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,2
สุขุมวิท กม.34,เลขที่ ,ฟอกหนัง,577.4,13000000,69,15,3-101-2/36สป,70,สมาคมอุตสาหกรรมฟอกหนัง,ปรับคุณภาพน้ำเสียรวม,7039009-10,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,
พุทธรักษา,เลขที่ 199,-,50,6000000,70,3,3-101-2/45สป,71,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),02 388-0868,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,8
สุขุมวิท กม.30,เลขที่ ,ฟอกหนัง,1493,33000000,71,15,3-101-3/36สป,72,สมาคมอุตสาหกรรมฟอกหนัง,ปรับปรุงคุณภาพน้ำเสีย,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,11
ปู่เจ้าสมิงพราย,เลขที่ 89/2,วัดสวนส้ม,460.92,48000000,72,3,3-101-3/41สป,73,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),บำบัดน้ำเสียรวม,3842760-1,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,8
สุขาภิบาล 6,เลขที่ 33/2-5 อาคารเดิมอาคารที่ 2,-,60,1500000,73,18,3-105-1/46สป,74,บริษัท สวารินทร์ จำกัด,เกี่ยวกับการคัดแยกหรือผังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดในกฎกระทรวงฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน,0 2383 0997-8,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,4
