จำนวนเงินทุน ล้านบาท,โทร,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,อันดับ,ที่อยู่
"140,000,000",043-723664,11,2566,บริษัท ขอนแก่นแหอวน จำกัด (สาขามหาสารคาม) ,ผลิต ประกอบ แห อวน ตาข่าย ,11,85 ม.5 ถ.มหาสารคาม-วาปีปทุม ต.แวงน่าง อ.เมืองมหาสารคาม
"122,000,000",043-986584-6,12,2566,บริษัท ขอนแก่นแหอวน จำกัด ,"ผลิตเชือก, ตาข่าย, แห, อวน ",12,99 บ้านผักแว่น ม.4 ถ.เชียงยืน - คำใหญ่ ต.เหล่าดอกไม้ อ.ชื่นชม
"122,000,000",0-4372-2722,13,2566,บริษัท โตโยต้ามหาสารคาม จำกัด ,ศูนย์บริการซ่อมรถยนต์และเคาะพ่นสีรถยนต์ ,13,180 ถ.ผดุงวิถี ต.ตลาด อ.เมืองมหาสารคาม
"105,200,000",083-6555162,14,2566,บริษัท ยิ่งเจริญค้าข้าวสารคาม จำกัด ,อบข้าวเปลือก ,14,ม.15 ถ.พยัคฆภูมิพิสัย-นาเชือก ต.ปะหลาน อ.พยัคฆภูมิพิสัย
"104,900,000",099-4149872,15,2566,ห้างหุ้นส่วนจำกัด เพชรสมวงศ์การโยธา ,ผลิตคอนกรีตผสมเสร็จ ,15,โฉนดที่ดินเลขที่ 31285 ม.3 ต.หนองแสง อ.วาปีปทุม
"100,000,000",,16,2566,บริษัท บี.เค.เค. (1985) จำกัด (มหาชน) ,ผลิตคอนกรีตผสมเสร็จและผลิตภัณฑ์จากคอนกรีต ,16,108 ม.6 ต.ท่าขอนยาง อ.กันทรวิชัย
"85,000,000",,17,2566,บริษัท กรีนไบ-โอ มหาสารคาม จำกัด ,ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 1 เมกกะวัตต์  ,17,106 ม.6 ต.ก้ามปู อ.พยัคฆภูมิพิสัย
"85,000,000","043-988141,081-8734344",18,2566,บริษัท วิโรจน์คอนกรีต จำกัด ,ทำผลิตภัณฑ์คอนกรีต เช่น เสาเข็มคอนกรีต คานคอนกรีต แผ่นพื้น คอนกรีต อิฐบล๊อค คอนกรีตผสมเสร็จ และอื่น ๆ ,18,63 ม.8 ถ.เชียงยืน-ขอนแก่น ต.เสือเฒ่า อ.เชียงยืน
"84,100,000",,19,2566,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด โรงงานแปรรูปไก่มหาสารคาม ,การฆ่าสัตว์ และชำแหละไก่ ,19,260 ม.7 ต.นาโพธิ์ อ.กุดรัง
"84,000,000",,20,2566,บริษัท เจ.บี.แอล.สถาปัตย์ จำกัด ,ผลิตแอสฟัลท์ติกคอนกรีต ,20,โฉนดที่ดินเลขที่ 35582 เลขที่ดิน 95 ม.2 ต.เมืองเสือ อ.พยัคฆภูมิพิสัย
