_id,ปี,เจ้าของข้อมูล,อำเภอ,ตำบล,หน่วย,เนื้อที่ปลูก
46,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,คำหยาด,ไร่,5710
47,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,แสวงหา,ไร่,12545
48,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ศรีพราน,ไร่,9088
49,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,บ้านพราน,ไร่,10770
50,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,วังน้ำเย็น,ไร่,23270
51,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,สีบัวทอง,ไร่,16915
52,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ห้วยไผ่,ไร่,6217
53,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,จำลอง,ไร่,1517
54,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,ไร่,2710
55,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ศาลเจ้าโรงทอง,ไร่,3035
56,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่ดำพัฒนา,ไร่,5440
57,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สาวร้องไห้,ไร่,8790
58,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ท่าช้าง,ไร่,5550
59,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ยี่ล้น,ไร่,4728
60,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,บางจัก,ไร่,7900
61,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ห้วยคันแหลน,ไร่,5981
62,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,คลองขนาก,ไร่,2867
63,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่วง,ไร่,7107
64,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สี่ร้อย,ไร่,1100
65,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ม่วงเตี้ย,ไร่,24800
66,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หัวตะพาน,ไร่,1950
67,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หลักแก้ว,ไร่,10610
68,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ตลาดใหม่,ไร่,3000
69,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,สามโก้,ไร่,12674
70,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,ราษฎรพัฒนา,ไร่,11546
71,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,อบทม,ไร่,13370
72,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,โพธิ์ม่วงพันธ์,ไร่,10800
73,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,มงคลธรรมนิมิต,ไร่,17950
74,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดหลวง,ไร่,8
75,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บางแก้ว,ไร่,13
76,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ศาลาแดง,ไร่,1295
77,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ป่างิ้ว,ไร่,2640
78,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านแห,ไร่,370
79,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดกรวด,ไร่,1449
80,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,มหาดไทย,ไร่,1900
81,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านอิฐ,ไร่,2010
82,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,หัวไผ่,ไร่,2240
83,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,จำปาหล่อ,ไร่,1070
84,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,โพสะ,ไร่,1200
85,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านรี,ไร่,400
86,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,คลองวัว,ไร่,1980
87,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ย่านซื่อ,ไร่,640
88,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,จรเข้ร้อง,ไร่,3238
89,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชยภูมิ,ไร่,1590
90,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชัยฤทธิ์,ไร่,3641
91,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,เทวราช,ไร่,2766
92,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ราชสถิตย์,ไร่,1457
93,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชโย,ไร่,2574
94,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,หลักฟ้า,ไร่,2898
95,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,ไร่,2298
96,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,ไร่,2758
97,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,ไร่,196
98,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,ไร่,335
99,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,ไร่,2051
100,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โรงช้าง,ไร่,1233
101,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางเสด็จ,ไร่,686
102,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,นรสิงห์,ไร่,1050
103,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,เอกราช,ไร่,841
104,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โผงเผง,ไร่,87
105,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อ่างแก้ว,ไร่,3383
106,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อินทประมูล,ไร่,2753
107,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางพลับ,ไร่,2150
108,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,หนองแม่ไก่,ไร่,7217
109,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,รำมะสัก,ไร่,17026
110,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางระกำ,ไร่,3354
111,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โพธิ์รังนก,ไร่,1974
112,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,องครักษ์,ไร่,5450
113,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โคกพุทรา,ไร่,4434
114,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ยางช้าย,ไร่,11491
115,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บ่อแร่,ไร่,859
116,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ทางพระ,ไร่,3319
117,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,สามง่าม,ไร่,1771
118,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางเจ้าฉ่า,ไร่,4978
119,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,คำหยาด,ไร่,9001
120,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,แสวงหา,ไร่,11447
121,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ศรีพราน,ไร่,5968
122,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,บ้านพราน,ไร่,9350
123,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,วังน้ำเย็น,ไร่,10177
124,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,สีบัวทอง,ไร่,12352
125,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ห้วยไผ่,ไร่,4773
126,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,จำลอง,ไร่,3155
127,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,ไร่,1220
128,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ศาลเจ้าโรงทอง,ไร่,6790
129,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่ดำพัฒนา,ไร่,6245
130,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สาวร้องไห้,ไร่,9848
131,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ท่าช้าง,ไร่,9396
132,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ยี่ล้น,ไร่,11105
133,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,บางจัก,ไร่,8130
134,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ห้วยคันแหลน,ไร่,6989
135,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,คลองขนาก,ไร่,3080
136,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่วง,ไร่,6135
137,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สี่ร้อย,ไร่,1050
138,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ม่วงเตี้ย,ไร่,21040
139,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หัวตะพาน,ไร่,1080
140,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หลักแก้ว,ไร่,14320
141,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ตลาดใหม่,ไร่,5090
142,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,สามโก้,ไร่,10740
143,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,ราษฎรพัฒนา,ไร่,12150
144,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,อบทม,ไร่,12200
145,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,โพธิ์ม่วงพันธ์,ไร่,7450
146,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,มงคลธรรมนิมิต,ไร่,10550
147,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดหลวง,ไร่,117
148,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ศาลาแดง,ไร่,3555
149,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ป่างิ้ว,ไร่,3624
150,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านแห,ไร่,610
151,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดกรวด,ไร่,1402
152,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,มหาดไทย,ไร่,3385
153,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านอิฐ,ไร่,1332
154,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,หัวไผ่,ไร่,1868
155,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,จำปาหล่อ,ไร่,2840
156,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,โพสะ,ไร่,1582
157,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านรี,ไร่,804
158,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,คลองวัว,ไร่,3220
159,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ย่านซื่อ,ไร่,949
160,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,จรเข้ร้อง,ไร่,3371
161,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชยภูมิ,ไร่,1673
162,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชัยฤทธิ์,ไร่,3252
163,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,เทวราช,ไร่,2387
164,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ราชสถิตย์,ไร่,2443
165,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชโย,ไร่,1773
166,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,หลักฟ้า,ไร่,1545
167,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,ไร่,916
168,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,ไร่,2197
169,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,ไร่,190
170,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,ไร่,188
171,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,ไร่,2117
172,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โรงช้าง,ไร่,1246
173,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางเสด็จ,ไร่,1633
174,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,นรสิงห์,ไร่,1082
175,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,เอกราช,ไร่,1235
176,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โผงเผง,ไร่,190
177,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อ่างแก้ว,ไร่,4145
178,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อินทประมูล,ไร่,3304
179,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางพลับ,ไร่,2094
180,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,หนองแม่ไก่,ไร่,8100
181,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,รำมะสัก,ไร่,18588
182,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางระกำ,ไร่,3101
183,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โพธิ์รังนก,ไร่,1468
184,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,องครักษ์,ไร่,10108
185,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โคกพุทรา,ไร่,6383
186,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ยางช้าย,ไร่,18708
187,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บ่อแร่,ไร่,2155
188,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ทางพระ,ไร่,4194
189,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,สามง่าม,ไร่,2167
190,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางเจ้าฉ่า,ไร่,5560
191,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,คำหยาด,ไร่,8742
192,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,แสวงหา,ไร่,16832
193,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ศรีพราน,ไร่,8553
194,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,บ้านพราน,ไร่,10175
195,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,วังน้ำเย็น,ไร่,19847
196,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,สีบัวทอง,ไร่,22519
197,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ห้วยไผ่,ไร่,5440
198,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,จำลอง,ไร่,6015
199,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,ไร่,2910
200,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ศาลเจ้าโรงทอง,ไร่,6070
201,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่ดำพัฒนา,ไร่,4840
202,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สาวร้องไห้,ไร่,18005
203,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ท่าช้าง,ไร่,9100
204,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ยี่ล้น,ไร่,9280
205,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,บางจัก,ไร่,6058
206,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ห้วยคันแหลน,ไร่,9870
207,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,คลองขนาก,ไร่,4265
208,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่วง,ไร่,8150
209,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สี่ร้อย,ไร่,1585
210,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ม่วงเตี้ย,ไร่,13278
211,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หัวตะพาน,ไร่,2265
212,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หลักแก้ว,ไร่,10858
213,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ตลาดใหม่,ไร่,3978
214,2562,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,สามโก้,ไร่,11371
215,2562,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,ราษฎรพัฒนา,ไร่,10823
216,2562,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,อบทม,ไร่,6051
217,2562,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,โพธิ์ม่วงพันธ์,ไร่,6994
218,2562,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,มงคลธรรมนิมิต,ไร่,20180
219,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดหลวง,ไร่,90
220,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บางแก้ว,ไร่,25
221,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ศาลาแดง,ไร่,719
222,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ป่างิ้ว,ไร่,1512
223,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านแห,ไร่,90
224,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดกรวด,ไร่,665
225,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,มหาดไทย,ไร่,1350
226,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านอิฐ,ไร่,595
227,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,หัวไผ่,ไร่,1648
228,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,จำปาหล่อ,ไร่,990
229,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,โพสะ,ไร่,721
230,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านรี,ไร่,864
231,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,คลองวัว,ไร่,644
232,2563,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ย่านซื่อ,ไร่,130
233,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,จรเข้ร้อง,ไร่,1774
234,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชยภูมิ,ไร่,1457
235,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชัยฤทธิ์,ไร่,1744
236,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,เทวราช,ไร่,1891
237,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ราชสถิตย์,ไร่,1998
238,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชโย,ไร่,1718
239,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,หลักฟ้า,ไร่,951
240,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,ไร่,764.5
241,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,ไร่,1472
242,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,ไร่,150
243,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,ไร่,188
244,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,ไร่,742
245,2563,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โรงช้าง,ไร่,502
