มยส-เคยผ่านเมื่อ,มยส-ลูกจ้าง,มยส-วันที่ผ่าน,รง.สีขาว-ลูกจ้าง,รง.สีขาว-ระดับ,รง.สีขาว-เคยผ่านเมื่อ,รง.สีขาว-วันที่ผ่าน,อำเภอ,รง.สีขาว-เข้าร่วม/จัด,รง.สีขาว-ระดับ-2,จังหวัด,มยส-วันหมดอายุ,ชื่อบริษัท,ตำบล,ปีงบประมาณ,รง.สีขาว-เข้าส่งเสริม,มยส-เข้าร่วม/จัด,_id,มยส-เข้าส่งเสริม
,,,41,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด สมนึกรวมช่าง,ตำบลหินซ้อน,2567,2024-06-02T00:00:00,,47,
,,,52,,,,อำเภอวังม่วง,,,จังหวัดสระบุรี,,บริษัทจำกัด ซันฟู้ด อินเตอร์เนชั่นแนล(ฟาร์มไก่พ่อเม่พันธ์ 1),ตำบลแสลงพัน,2567,2024-05-07T00:00:00,,48,
,,,46,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด ไอ.เทค คอม กรุ๊ป,ตำบลปากเพรียว,2567,2024-09-02T00:00:00,,49,
,,,79,,,,อำเภอวังม่วง,,,จังหวัดสระบุรี,,บริษัทจำกัด ซันฟู้ด อินเตอร์เนชั่นแนล (โรงฟักไข่),ตำบลแสลงพัน,2567,2023-09-10T00:00:00,,50,
,,,44,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด ช.บุญเลิศ,ตำบลหินซ้อน,2567,2024-06-02T00:00:00,,51,
,,,36,,2016-12-15T00:00:00,,อำเภอเมืองสระบุรี,,3,จังหวัดสระบุรี,,บริษัทจำกัด สามชายปิโตรเลียม (ดาวเรือง),ตำบลดาวเรือง,2567,2024-03-01T00:00:00,,52,
,,,23,1,,2024-02-14T00:00:00,อำเภอมวกเหล็ก,2023-01-12T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) (ฟาร์มซับสนุ่น),ตำบลซับสนุ่น,2567,2023-11-17T00:00:00,,53,
,,,45,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด ไทย เกลซ อุตสาหกรรม,ตำบลโคกตูม,2567,2024-02-02T00:00:00,,54,
,,,47,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด โชคพัฒนา ไทร์ เซอร์วิส,ตำบลดาวเรือง,2567,2024-02-01T00:00:00,,55,
,,,48,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด วี.ซี.อาร์ ลิสซิ่ง,ตำบลปากเพรียว,2567,2024-11-01T00:00:00,,56,
,,,44,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด ศรีมาเรียม(รับเหมาในบมจ.เอสซีจี เซรามิคส์),ตำบลโคกแย้,2567,2024-06-02T00:00:00,,57,
,,,61,1,,2024-06-09T00:00:00,อำเภอวังม่วง,2024-02-09T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) ฟาร์มสุกรคำพราน 1,ตำบลคำพราน,2567,2024-08-22T00:00:00,,58,
,,,83,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เพอร์เฟค โลจิสติกส์,ตำบลหนองโน,2567,2024-01-03T00:00:00,,59,
,,,42,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด ส.เลิศทรัพย์(รับเหมา บจก.อดิตยาเบอร์ล่า เคมีคัลส์(ประเทศไทย),ตำบลตาลเดี่ยว,2567,2024-02-14T00:00:00,,60,
,,,48,,2021-04-26T00:00:00,,อำเภอแก่งคอย,,1,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) (โรงฟักไข่แก่งคอย),ตำบลท่ามะปราง,2567,2024-02-02T00:00:00,,61,
,,,55,,2018-07-31T00:00:00,,อำเภอหนองแค,,3,จังหวัดสระบุรี,,บริษัทจำกัด สยามคัลเล็ต,ตำบลไผ่ต่ำ,2567,2024-03-07T00:00:00,,62,
,,,46,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด ซี เอช เค แอนด์ มาณัฐ กรุ๊ป (รับเหมาในบมจ.เอสซีจี เซรามิคส์) 61 ม.1,ตำบลโคกแย้,2567,2024-07-02T00:00:00,,63,
,,,280,3,,2024-05-09T00:00:00,อำเภอหนองแค,2024-03-27T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด เน็กซ์ แคน อินโนเวชั่น,ตำบลโคกแย้,2567,2024-05-03T00:00:00,,64,
,,,39,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด ปัญญาสตีล (2005),ตำบลดาวเรือง,2567,2024-03-01T00:00:00,,65,
,,,80,,2023-09-22T00:00:00,,อำเภอแก่งคอย,,1,จังหวัดสระบุรี,,บริษัทจำกัด ไก่พันธุ์ พีพี แก่งคอย (ฟาร์มไก่พันธุ์),ตำบลท่ามะปราง,2567,2024-12-03T00:00:00,,66,
,,,45,,2020-08-07T00:00:00,,อำเภอแก่งคอย,,2,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด เต็มดาวการช่าง(รับเหมา ปูนซิเมนต์ไทยแก่งคอย),ตำบลบ้านป่า,2567,2024-02-14T00:00:00,,67,
,,,31,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด ซันไมโครเทคโนโลยี,ตำบลหนองยาว,2567,2024-08-01T00:00:00,,68,
,,,79,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เอสโบ้ โฮมเวิลด์,ตำบลปากเพรียว,2567,2023-11-10T00:00:00,,69,
,,,57,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด เอ็น.แอล.สยามฟิตติ้ง (2003),ตำบลสองคอน,2567,2024-02-13T00:00:00,,70,
,,,77,,2021-02-18T00:00:00,,อำเภอหนองแค,,3,จังหวัดสระบุรี,,บริษัทจำกัด รักษาความปลอดภัย เค.ไอ.เอส.จี,ตำบลหนองแค,2567,2023-12-10T00:00:00,,71,
,233,,,,2018-02-22T00:00:00,,อำเภอเมืองสระบุรี,,3,จังหวัดสระบุรี,,บริษัทจำกัด ทีพีไอ ออลซีซั่นส์,ตำบลนาโฉง,2567,,,72,2024-01-18T00:00:00
,,,42,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด สหรุ่งเรือง เอ็นจิเนียริ่ง(1999)(รับเหมา ปูนแก่งคอย),ตำบลบ้านป่า,2567,2024-08-02T00:00:00,,73,
,,,49,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) สยามราชธานี (สาขาสระบุรี),ตำบลปากเพรียว,2567,2024-10-01T00:00:00,,74,
,,,182,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด พวงสุวรรณ(รับเหมาบ.นวพลาสติกอุตสาหกรรม),ตำบลหนองปลิง,2567,2024-03-29T00:00:00,,75,
,,,59,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด ฟูตามิ พริซิชั่น,ตำบลโคกแย้,2567,2024-08-02T00:00:00,,76,
,,,54,1,2020-06-24T00:00:00,2024-04-09T00:00:00,อำเภอแก่งคอย,2024-08-08T00:00:00,3,จังหวัดสระบุรี,,บริษัทจำกัด ทีเออาร์เอฟ,ตำบลชำผักแพว,2567,2024-07-18T00:00:00,,77,
,,,59,,2015-02-18T00:00:00,,อำเภอแก่งคอย,,3,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด เต็มดาว การช่าง,ตำบลบ้านป่า,2567,2024-06-02T00:00:00,,78,
,,,79,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด มาสเตอร์ แอสเซท,ตำบลบ้านป่า,2567,2023-02-10T00:00:00,,79,
,,,40,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เอสเค ลิเควอร์ มาร์เก็ตติ้ง 1995,ตำบลปากเพรียว,2567,2024-05-02T00:00:00,,80,
,,,41,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด สินสมัย 1997 สาขาสระบุรี,ตำบลบ้านป่า,2567,2024-05-02T00:00:00,,81,
,,,82,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด อ.ดำรงค์รัตน์,ตำบลบ้านป่า,2567,2024-05-03T00:00:00,,82,
,,,41,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด เพชรพลอย ซัพพลาย แอนด์ เซอร์วิส,ตำบลบ้านธาตุ,2567,2024-01-02T00:00:00,,83,
,,,42,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เอ็น.เค.จี.พลัส สาขาสระบุรี,ตำบลปากเพรียว,2567,2024-08-02T00:00:00,,84,
,,,3,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เอส แอนด์ พี ซินดิเคท - สาขา ปตท.สามชายดาวเรือง,ตำบลดาวเรือง,2567,2024-05-06T00:00:00,,85,
44265,113,2024-06-17T00:00:00,,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,2027-06-16T00:00:00,บริษัทจำกัด นิคอน (ประเทศไทย) ส่วนผลิต อาคาร93E-F,ตำบลหนองปลาหมอ,2567,,2024-05-23T00:00:00,86,2024-02-05T00:00:00
,,,17,1,,2024-06-09T00:00:00,อำเภอหนองโดน,2024-08-15T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) ฟาร์มสุกรพระพุทธบาท,ตำบลบ้านโปร่ง,2567,2024-07-18T00:00:00,,87,
,,,84,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด เค.เอส.ไอ.อินเตอร์ซัพพลาย (รับเหมาในบจก.กลุ่มสยามบรรจุภัณฑ์),ตำบลตาลเดี่ยว,2567,2024-06-03T00:00:00,,88,
,,,28,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด บ้านสุชาดา,ตำบลหินซ้อน,2567,2024-01-03T00:00:00,,89,
,,,46,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด ออโต้ แกลเลอรี่ สระบุรี,ตำบลปากเพรียว,2567,2024-02-02T00:00:00,,90,
,,,2,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด สุคนธ์ทิพย์ สิงห์บุรี,ตำบลดาวเรือง,2567,2024-05-06T00:00:00,,91,
,,,119,,2019-12-18T00:00:00,,อำเภอแก่งคอย,,1,จังหวัดสระบุรี,,บริษัทจำกัด ยู-เซอร์วิสเซส (ประเทศไทย),ตำบลตาลเดี่ยว,2567,2024-06-03T00:00:00,,92,
,,,48,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด รชานนท์ การช่าง,ตำบลบ้านป่า,2567,2024-07-02T00:00:00,,93,
,,,43,,,,อำเภอพระพุทธบาท,,,จังหวัดสระบุรี,,บริษัทจำกัด โตโยต้าสระบุรี (สาขา พระพุทธบาท),ตำบลธารเกษม,2567,2024-05-01T00:00:00,,94,
,,,2,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ทริปเปิลที บรอดแบนด์ (ศูนย์บริการสาขาทวีกิจพลาซ่า),ตำบลปากเพรียว,2567,2024-02-05T00:00:00,,95,
,,,3,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,ร้าน สามพี่น้องคาร์แคร์,ตำบลดาวเรือง,2567,2024-06-13T00:00:00,,96,
,208,,,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เพื่อนเพชร,ตำบลหนองปลาไหล,2567,,,97,2024-09-05T00:00:00
,,,254,1,,2024-12-09T00:00:00,อำเภอแก่งคอย,2024-02-08T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) เบตเตอร์ เวิลด์ กรีน,ตำบลห้วยแห้ง,2567,2024-03-07T00:00:00,,98,
,,,52,,2021-04-28T00:00:00,,อำเภอพระพุทธบาท,,3,จังหวัดสระบุรี,,บริษัทจำกัด สกิลพาวเวอร์ เซอร์วิส (ประเทศไทย) (ประจำ บมจ.ปูนซีเมนต์เอเซีย),ตำบลพุกร่าง,2567,2024-08-07T00:00:00,,99,
,,,19,1,,2024-02-14T00:00:00,อำเภอบ้านหมอ,2024-12-02T00:00:00,,จังหวัดสระบุรี,,รัฐวิสาหกิจ การประปาส่วนภูมิภาค สาขาบ้านหมอ,ตำบลบ้านหมอ,2567,2024-01-19T00:00:00,,100,
,,,3,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ไอที ซิตี้ (อาคารศูนย์การค้าสุขอนันต์ ปาร์ค),ตำบลปากเพรียว,2567,2024-02-05T00:00:00,,101,
,,,120,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด ซิก้า (ประเทศไทย),ตำบลโคกแย้,2567,2024-12-03T00:00:00,,102,
,,,80,,2017-02-28T00:00:00,,อำเภอแก่งคอย,,3,จังหวัดสระบุรี,,บริษัทจำกัด รักษาความปลอดภัย เอ็นทีที 2509,ตำบลตาลเดี่ยว,2567,2023-10-16T00:00:00,,103,
,,,47,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,นางสาว จันทร์เพ็ญ กุดนอก,ตำบลเตาปูน,2567,2024-02-14T00:00:00,,104,
,,,3,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด สยามธนากร เอ็นจิเนียริ่ง,ตำบลปากเพรียว,2567,2024-05-14T00:00:00,,105,
,,,2,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,โรงแรม ต้นปาล์มหอมรีสอร์ท (ม่านรูด),ตำบลดาวเรือง,2567,2024-03-06T00:00:00,,106,
,,,30,1,,2024-02-14T00:00:00,อำเภอมวกเหล็ก,2023-11-17T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) (โรงฟักไข่ซับสนุ่น),ตำบลซับสนุ่น,2567,2023-10-11T00:00:00,,107,
,,,178,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด ไทยโคโคคุ รับเบอร์,ตำบลโคกแย้,2567,2024-03-13T00:00:00,,108,
,,,190,,,,อำเภอวิหารแดง,,,จังหวัดสระบุรี,,บริษัทจำกัด เอ็มพีพี ซากะ (ประเทศไทย),ตำบลวิหารแดง,2567,2024-03-28T00:00:00,,109,
,,,80,,,,อำเภอพระพุทธบาท,,,จังหวัดสระบุรี,,บริษัทจำกัด  เอ.อาร์.เอส.เอ็น คอนสตรัคชั่น,ตำบลพระพุทธบาท,2567,2023-10-10T00:00:00,,110,
,,,78,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด อาร์ทีเอ็นจิเนียริ่ง 2017 (ในบจก.ปูนซิเมนต์ไทย(ท่าหลวง) โรงงานนิคมหนองแค เดิมชื่อ บจก.เอสซีจี ซีเมนต์ รง.พรีคาสท์),ตำบลห้วยทราย,2567,2023-04-10T00:00:00,,111,
,,,52,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด กิจวาณิช คอนกรีต,ตำบลปากเพรียว,2567,2024-02-07T00:00:00,,112,
