ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ โฉนดที่ดินเลขที่ 101,,371,120000000,11,3-105-13/60,11,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,40,10120,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
พระราม2,เลขที่ 547,,1053,78000000,12,3-105-14/59,12,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,0 2452 2824,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,8,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 518/29,รามคำแหง 39(เทพลีลา1),815,16500000,13,3-105-20/59,13,บริษัท จ.ทวีโชค จำกัด,29348025,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
,เลขที่ 117,,375,31600000,14,3-105-20/60,14,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10270,สายไหม,สายไหม ,กรุงเทพมหานคร,7
เอกชัย,เลขที่ 88/71-72,กำนันแม้น,585,5000000,15,3-105-22/59,15,บริษัท กวงเซ่งหลี จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
เสรีไทย,เลขที่ 60/50,,89,1900000,16,3-105-3/60,16,บริษัท คูซุ่นฮวด จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,3
,เลขที่ 6/3,,138,2300000,17,3-105-3/62,17,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,085-3215626,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
เฉลิมพระเกียรติ ,เลขที่ 30/12,เฉลิมพระเกียรติ 30,52.5,7000000,18,3-105-30/60,18,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,11
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,129,8500000,19,3-105-32/54,19,ศรีนคร,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
พระรามที่ 2,เลขที่ 549,,91,29000000,20,3-105-39/59,20,บริษัท เอ็มบอส กรุ๊ป จำกัด,02-0489980,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 249,,954,115000000,21,3-105-4/60,21,บริษัท เจดีย์ไทย สตีล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,32,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,228.5,12900000,22,3-105-48/59,22,ธวัช รีไซเคิล,29300668,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,295,27000000,23,3-105-49/59,23,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,28972394,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,21,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,1247,120000000,24,3-105-51/59,24,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,892029400,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,33,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,766.34,13000000,25,3-105-52/59,25,นางวรรณา กนกทิพย์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
แสมดำ,เลขที่ 4,-,485,2000000,26,3-105-53/54,26,บริษัท ส.พัฒนาเปเปอร์ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,2,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระราม 2,เลขที่ 597,,426.5,12300000,27,3-105-54/59,27,บริษัท ช.รุ่งทรัพย์ จำกัด,24155642,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,9,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,"เลขที่ 16/1,16/2",บางกระดี่ 1 แยก 9,98,12198000,28,3-105-54/61,28,นวกลกิจ,09 5596 4555,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/164,กำนันแม้น,745,185000000,29,3-105-57/61,29,บริษัท ตั้งซุ่ยเฮง จำกัด,02-8978134-5,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
ประชาสำราญ 2,เลขที่ 29/6,-,2,515000,30,3-105-6/48,30,มิตรไพบูลย์,,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,9,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3
,เลขที่ 89,บางกระดี่ 19,435,37500000,31,3-105-60/60,31,นายการัณย์ อัครกุลพรรณ,081-8447639,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,2992.81,63000000,32,3-105-68/60,32,บริษัท เหล็กหมุนเวียน จำกัด,02-8121576,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,34,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
หทัยราษฎร์,เลขที่ 888,,795,175000000,33,3-105-69/59,33,บริษัท ไคฮวดจั่น จำกัด,29565125,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
สุวินทวงษ์,เลขที่ 888,,1041,220000000,34,3-105-70/59,34,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,29565125,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,
พุทธบูชา ,เลขที่ 9,พุทธบูชา 36 แยก 1,589,20000000,35,3-105-71/59,35,บริษัท เอส.เอช.เปเปอร์ จำกัด,24264961,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,17,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
,เลขที่ 8,ราษฎร์บูรณะ,300,9000000,36,3-105-72/59,36,บริษัท เจ พี เปเปอร์ จำกัด,287220724,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
,เลขที่ 518/27,รามคำแหง 39 (เทพลีลา 1),100,14500000,37,3-105-72/61,37,นายสิทธิพงศ์ อนันต์หล่อพันธ์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
แสมดำ,เลขที่ 22,แสมดำ 5,808.18,93000000,38,3-105-73/59,38,บริษัท ส.พัฒนาเปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10120,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,255,13000000,39,3-105-81/48,39,ซั่งเฮงจั่น,02-5852521,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,10,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
กาญจนาภิเษก,เลขที่ 91,,55.5,8700000,40,3-105-84/59,40,วงษ์พาณิชย์บางบอน,02-8999995,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
ประชาร่วมใจ,เลขที่ 19,ประชาร่วมใจ 59,836.5,2700000,41,3-105-84/60,41,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,02-9169933,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10510,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,
,เลขที่ 4/14,,457,49000000,42,3-105-85/59,42,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,02-9565899,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,6
,เลขที่ 11,บางกระดี่ 43,283,22500000,43,3-105-86/61,43,นายปรีชา ธนงค์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
อ่อนนุช,"เลขที่ 25,27",อ่อนนุช 80,119,7000000,44,3-105-88/59,44,บริษัท คูเซ่งฮวด จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,7,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 169/2,,61,5000000,45,3-105-89/59,45,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 61,บางกระดี่ 25,200,24500000,46,3-105-9/60,46,นายคมกริช นิธิธนปรีดา,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 2,กรุงเทพกรีฑา 47,191,17556000,47,3-105-91/60,47,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,02-2451532,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16, -,33,1800000,48,3-105-98/50,48,หนองแขมของเก่า,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,7,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,335.5,0,49,3-106-1/46,49,อุตสาหกรรมน้ำมันไทย,081-5929569,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),0,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
ประชาอุทิศ,เลขที่ 71/5,วิเชียร,153,22000000,50,3-106-2/46,50,บริษัท นิ้วเจริญ จำกัด,,ซ่อมแซมถังน้ำมัน,12,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 74,6,769.5,80000000,51,3-106-34/60,51,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,02-892-2679,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,10,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,655.12,24000000,52,3-106-36/60,52,บริษัท เหล็กหมุนเวียน จำกัด,28121576,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
อ่อนนุช,เลขที่ โฉนดที่ดินเลขที่ 121,อ่อนนุช 86,2693.21,1370000000,53,3-106-54/61,53,บริษัท กรุงเทพธนาคม จำกัด,0 2168 3368,เชื้อเพลิงแข็งจากขยะชุมชน,47,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
พระรามที่ 2,เลขที่ 99/231,,90,1000000,54,3-106-62/60,54,บริษัท ผลพาณิชย์ จำกัด,084-4244701,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,12,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,4
,เลขที่ 15/115,กรุงเทพกรีฑา 37,146.35,47000000,55,3-106-72/61,55,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,9,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 3/356-357,-,73.86,0,56,ข3-106-18/48,56,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,02-5435436-7,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,9,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
ฉลองกรุง,เลขที่ 115,-,1265,10000000,57,น.105-1/2553-นนล.,57,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,02-326-1256,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,15,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
-,เลขที่ 66,#NAME?,310,65000000,58,น.106-1/2551-นนล.,58,บริษัท โลหะ สยาม จำกัด,02739-6388,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,329.5,0,59,น.106-1/2553-นนล.,59,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,814334212,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 239,ฉลองกรุง31,1100,7000000000,60,น.106-1/2559-นนล.,60,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,904100066,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,286,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ -,ฉลองกรุง 31,0,0,61,น.106-1/2561-นนล.,61,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,-,ซ่อมแซม ดัดแปลง ปรับปรุง เครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดี บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ เครื่องโทรทัศน์ เครื่องโทรศัพท์ เครื่องเราต์เตอร์ คอมพิวเตอร์ ชิ,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 40,ฉลองกรุง31,0,0,62,น.106-2/2559-นนล.,62,บริษัท กรีนรีพับลิค จำกัด,26888200,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
-,เลขที่ -,-,0,0,63,น.106-2/2561-นนล.,63,บริษัท อิซัน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,-,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไหล่เครื่องโมเด็ม,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
เทพารักษ์ กม.23,เลขที่ 159/1,,500,109363616,64,3-101-1/34สป,64,บริษัท เอ็ม.ไทย เอสเตท จำกัด,02-706-1515,บำบัดน้ำเสียรวม,10,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,16
เทพารักษ์ กม.20.5,เลขที่ 209,,1775.42,86160000,65,3-101-1/35สป,65,บริษัท จีเอฟพีที จำกัด (มหาชน),02-3159400,บำบัดน้ำเสียรวม,24,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,1
สุขมวิท,เลขที่ ,-,30000,5468790000,66,3-101-1/44สป,66,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,      -,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,80,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,11
ปานวิถี,เลขที่ 261/93,    -,38.58,7220000,67,3-101-1/45สป,67,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,02-708-3659-60,บ่อบำบัดน้ำเสียรวม,5,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,2
ทางรถไฟสายเก่า,เลขที่ 82/1, -,621.55,60000000,68,3-101-1/46สป,68,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,0-2386-1331,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",4,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,2
สุขุมวิท กม.34,เลขที่ ,ฟอกหนัง,577.4,13000000,69,3-101-2/36สป,69,สมาคมอุตสาหกรรมฟอกหนัง,7039009-10,ปรับคุณภาพน้ำเสียรวม,15,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,
พุทธรักษา,เลขที่ 199,-,50,6000000,70,3-101-2/45สป,70,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,02 388-0868,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),3,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,8
สุขุมวิท กม.30,เลขที่ ,ฟอกหนัง,1493,33000000,71,3-101-3/36สป,71,สมาคมอุตสาหกรรมฟอกหนัง,,ปรับปรุงคุณภาพน้ำเสีย,15,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,11
ปู่เจ้าสมิงพราย,เลขที่ 89/2,วัดสวนส้ม,460.92,48000000,72,3-101-3/41สป,72,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),3842760-1,บำบัดน้ำเสียรวม,3,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,8
สุขาภิบาล 6,เลขที่ 33/2-5 อาคารเดิมอาคารที่ 2,-,60,1500000,73,3-105-1/46สป,73,บริษัท สวารินทร์ จำกัด,0 2383 0997-8,เกี่ยวกับการคัดแยกหรือผังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดในกฎกระทรวงฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน,18,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,4
