_id,ปี,เจ้าของข้อมูล,อำเภอ,ตำบล,หน่วย,ผลผลิตเฉลี่ย
22,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,กิโลกรัม/ไร่,895.24
23,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,กิโลกรัม/ไร่,937.5
24,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,กิโลกรัม/ไร่,700
25,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่,200
26,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,กิโลกรัม/ไร่,493.01
27,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โรงช้าง,กิโลกรัม/ไร่,793.81
28,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางเสด็จ,กิโลกรัม/ไร่,744.68
29,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,นรสิงห์,กิโลกรัม/ไร่,668.09
30,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,เอกราช,กิโลกรัม/ไร่,770.93
31,2560,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โผงเผง,กิโลกรัม/ไร่,746.67
32,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อ่างแก้ว,กิโลกรัม/ไร่,815.53
33,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อินทประมูล,กิโลกรัม/ไร่,797.11
34,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางพลับ,กิโลกรัม/ไร่,806.63
35,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,หนองแม่ไก่,กิโลกรัม/ไร่,820.42
36,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,รำมะสัก,กิโลกรัม/ไร่,891.2
37,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางระกำ,กิโลกรัม/ไร่,799.97
38,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โพธิ์รังนก,กิโลกรัม/ไร่,800
39,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,องครักษ์,กิโลกรัม/ไร่,783.46
40,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โคกพุทรา,กิโลกรัม/ไร่,808.94
41,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ยางช้าย,กิโลกรัม/ไร่,736.79
42,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บ่อแร่,กิโลกรัม/ไร่,809.1
43,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ทางพระ,กิโลกรัม/ไร่,781.1
44,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,สามง่าม,กิโลกรัม/ไร่,821.6
45,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางเจ้าฉ่า,กิโลกรัม/ไร่,800
46,2560,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,คำหยาด,กิโลกรัม/ไร่,819.19
47,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,แสวงหา,กิโลกรัม/ไร่,744.45
48,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ศรีพราน,กิโลกรัม/ไร่,800
49,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,บ้านพราน,กิโลกรัม/ไร่,1061.13
50,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,วังน้ำเย็น,กิโลกรัม/ไร่,790.27
51,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,สีบัวทอง,กิโลกรัม/ไร่,798.56
52,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ห้วยไผ่,กิโลกรัม/ไร่,800
53,2560,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,จำลอง,กิโลกรัม/ไร่,800
54,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,กิโลกรัม/ไร่,717.53
55,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ศาลเจ้าโรงทอง,กิโลกรัม/ไร่,767.26
56,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่ดำพัฒนา,กิโลกรัม/ไร่,811.4
57,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สาวร้องไห้,กิโลกรัม/ไร่,916.69
58,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ท่าช้าง,กิโลกรัม/ไร่,756.4
59,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ยี่ล้น,กิโลกรัม/ไร่,752.96
60,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,บางจัก,กิโลกรัม/ไร่,650.44
61,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ห้วยคันแหลน,กิโลกรัม/ไร่,905.7
62,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,คลองขนาก,กิโลกรัม/ไร่,763.52
63,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่วง,กิโลกรัม/ไร่,892.5
64,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สี่ร้อย,กิโลกรัม/ไร่,804.76
65,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ม่วงเตี้ย,กิโลกรัม/ไร่,520.6
66,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หัวตะพาน,กิโลกรัม/ไร่,742.56
67,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หลักแก้ว,กิโลกรัม/ไร่,690.39
68,2560,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ตลาดใหม่,กิโลกรัม/ไร่,773.33
69,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,สามโก้,กิโลกรัม/ไร่,748.87
70,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,ราษฎรพัฒนา,กิโลกรัม/ไร่,752.43
71,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,อบทม,กิโลกรัม/ไร่,700
72,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,โพธิ์ม่วงพันธ์,กิโลกรัม/ไร่,786.11
73,2560,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,มงคลธรรมนิมิต,กิโลกรัม/ไร่,834.61
74,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดหลวง,กิโลกรัม/ไร่,837.5
75,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บางแก้ว,กิโลกรัม/ไร่,769.23
76,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ศาลาแดง,กิโลกรัม/ไร่,764.48
77,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ป่างิ้ว,กิโลกรัม/ไร่,771.54
78,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านแห,กิโลกรัม/ไร่,770.27
79,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดกรวด,กิโลกรัม/ไร่,749.02
80,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,มหาดไทย,กิโลกรัม/ไร่,774.19
81,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านอิฐ,กิโลกรัม/ไร่,817.68
82,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,หัวไผ่,กิโลกรัม/ไร่,760.75
83,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,จำปาหล่อ,กิโลกรัม/ไร่,672.41
84,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,โพสะ,กิโลกรัม/ไร่,866.36
85,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านรี,กิโลกรัม/ไร่,812.5
86,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,คลองวัว,กิโลกรัม/ไร่,797.98
87,2561,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ย่านซื่อ,กิโลกรัม/ไร่,812.5
88,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,จรเข้ร้อง,กิโลกรัม/ไร่,784.99
89,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชยภูมิ,กิโลกรัม/ไร่,968.07
90,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชัยฤทธิ์,กิโลกรัม/ไร่,795.94
91,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,เทวราช,กิโลกรัม/ไร่,826.57
92,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ราชสถิตย์,กิโลกรัม/ไร่,797.7
93,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชโย,กิโลกรัม/ไร่,793.8
94,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,หลักฟ้า,กิโลกรัม/ไร่,842.05
95,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,กิโลกรัม/ไร่,817.06
96,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,กิโลกรัม/ไร่,886.22
97,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,กิโลกรัม/ไร่,4.08
98,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่,367.31
99,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,กิโลกรัม/ไร่,647.18
100,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โรงช้าง,กิโลกรัม/ไร่,775.18
101,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางเสด็จ,กิโลกรัม/ไร่,800
102,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,นรสิงห์,กิโลกรัม/ไร่,500
103,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,เอกราช,กิโลกรัม/ไร่,769.8
104,2561,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โผงเผง,กิโลกรัม/ไร่,522.99
105,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อ่างแก้ว,กิโลกรัม/ไร่,800.25
106,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อินทประมูล,กิโลกรัม/ไร่,800
107,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางพลับ,กิโลกรัม/ไร่,800
108,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,หนองแม่ไก่,กิโลกรัม/ไร่,770.92
109,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,รำมะสัก,กิโลกรัม/ไร่,794.09
110,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางระกำ,กิโลกรัม/ไร่,789.61
111,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โพธิ์รังนก,กิโลกรัม/ไร่,791.63
112,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,องครักษ์,กิโลกรัม/ไร่,769.7
113,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โคกพุทรา,กิโลกรัม/ไร่,800
114,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ยางช้าย,กิโลกรัม/ไร่,799.99
115,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บ่อแร่,กิโลกรัม/ไร่,802.21
116,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ทางพระ,กิโลกรัม/ไร่,793.08
117,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,สามง่าม,กิโลกรัม/ไร่,800
118,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางเจ้าฉ่า,กิโลกรัม/ไร่,800
119,2561,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,คำหยาด,กิโลกรัม/ไร่,795.4
120,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,แสวงหา,กิโลกรัม/ไร่,781.26
121,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ศรีพราน,กิโลกรัม/ไร่,802.01
122,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,บ้านพราน,กิโลกรัม/ไร่,800
123,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,วังน้ำเย็น,กิโลกรัม/ไร่,788.79
124,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,สีบัวทอง,กิโลกรัม/ไร่,784.85
125,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ห้วยไผ่,กิโลกรัม/ไร่,800
126,2561,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,จำลอง,กิโลกรัม/ไร่,789.55
127,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,กิโลกรัม/ไร่,766.39
128,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ศาลเจ้าโรงทอง,กิโลกรัม/ไร่,720.18
129,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่ดำพัฒนา,กิโลกรัม/ไร่,780.84
130,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สาวร้องไห้,กิโลกรัม/ไร่,704.71
131,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ท่าช้าง,กิโลกรัม/ไร่,746.4
132,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ยี่ล้น,กิโลกรัม/ไร่,740.66
133,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,บางจัก,กิโลกรัม/ไร่,725.93
134,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ห้วยคันแหลน,กิโลกรัม/ไร่,760.32
135,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,คลองขนาก,กิโลกรัม/ไร่,707.79
136,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่วง,กิโลกรัม/ไร่,722.9
137,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สี่ร้อย,กิโลกรัม/ไร่,734.12
138,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ม่วงเตี้ย,กิโลกรัม/ไร่,720.38
139,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หัวตะพาน,กิโลกรัม/ไร่,745.37
140,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,หลักแก้ว,กิโลกรัม/ไร่,737
141,2561,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ตลาดใหม่,กิโลกรัม/ไร่,735
142,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,สามโก้,กิโลกรัม/ไร่,886.73
143,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,ราษฎรพัฒนา,กิโลกรัม/ไร่,806.13
144,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,อบทม,กิโลกรัม/ไร่,716.3
145,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,โพธิ์ม่วงพันธ์,กิโลกรัม/ไร่,755.81
146,2561,สำนักงานเกษตรจังหวัดอ่างทอง,สามโก้,มงคลธรรมนิมิต,กิโลกรัม/ไร่,757.11
147,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดหลวง,กิโลกรัม/ไร่,846.15
148,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ศาลาแดง,กิโลกรัม/ไร่,876.36
149,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ป่างิ้ว,กิโลกรัม/ไร่,869.34
150,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านแห,กิโลกรัม/ไร่,845.71
151,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ตลาดกรวด,กิโลกรัม/ไร่,822.12
152,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,มหาดไทย,กิโลกรัม/ไร่,908.35
153,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านอิฐ,กิโลกรัม/ไร่,846.39
154,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,หัวไผ่,กิโลกรัม/ไร่,800
155,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,จำปาหล่อ,กิโลกรัม/ไร่,797.61
156,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,โพสะ,กิโลกรัม/ไร่,830.02
157,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,บ้านรี,กิโลกรัม/ไร่,792.57
158,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,คลองวัว,กิโลกรัม/ไร่,873.49
159,2562,สำนักงานเกษตรจังหวัดอ่างทอง,เมืองอ่างทอง,ย่านซื่อ,กิโลกรัม/ไร่,845.96
160,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,จรเข้ร้อง,กิโลกรัม/ไร่,792.73
161,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชยภูมิ,กิโลกรัม/ไร่,790.29
162,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชัยฤทธิ์,กิโลกรัม/ไร่,800
163,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,เทวราช,กิโลกรัม/ไร่,788.44
164,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ราชสถิตย์,กิโลกรัม/ไร่,765.25
165,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ไชโย,กิโลกรัม/ไร่,774.45
166,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,หลักฟ้า,กิโลกรัม/ไร่,822.01
167,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ชะไว,กิโลกรัม/ไร่,846.07
168,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ไชโย,ตรีณรงค์,กิโลกรัม/ไร่,814.75
169,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางปลากด,กิโลกรัม/ไร่,681.58
170,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่,800
171,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,สายทอง,กิโลกรัม/ไร่,777.04
172,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โรงช้าง,กิโลกรัม/ไร่,794.22
173,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,บางเสด็จ,กิโลกรัม/ไร่,798.71
174,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,นรสิงห์,กิโลกรัม/ไร่,531.61
175,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,เอกราช,กิโลกรัม/ไร่,702.83
176,2562,สำนักงานเกษตรจังหวัดอ่างทอง,ป่าโมก,โผงเผง,กิโลกรัม/ไร่,800
177,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อ่างแก้ว,กิโลกรัม/ไร่,714.15
178,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,อินทประมูล,กิโลกรัม/ไร่,730.54
179,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางพลับ,กิโลกรัม/ไร่,808.5
180,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,หนองแม่ไก่,กิโลกรัม/ไร่,798.52
181,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,รำมะสัก,กิโลกรัม/ไร่,801.29
182,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางระกำ,กิโลกรัม/ไร่,762.43
183,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โพธิ์รังนก,กิโลกรัม/ไร่,819.75
184,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,องครักษ์,กิโลกรัม/ไร่,734.49
185,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,โคกพุทรา,กิโลกรัม/ไร่,647.89
186,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ยางช้าย,กิโลกรัม/ไร่,801.03
187,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บ่อแร่,กิโลกรัม/ไร่,782.51
188,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,ทางพระ,กิโลกรัม/ไร่,794.85
189,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,สามง่าม,กิโลกรัม/ไร่,664.88
190,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,บางเจ้าฉ่า,กิโลกรัม/ไร่,731.98
191,2562,สำนักงานเกษตรจังหวัดอ่างทอง,โพธิ์ทอง,คำหยาด,กิโลกรัม/ไร่,806.28
192,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,แสวงหา,กิโลกรัม/ไร่,796.32
193,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ศรีพราน,กิโลกรัม/ไร่,809.06
194,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,บ้านพราน,กิโลกรัม/ไร่,800
195,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,วังน้ำเย็น,กิโลกรัม/ไร่,802.12
196,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,สีบัวทอง,กิโลกรัม/ไร่,792.65
197,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,ห้วยไผ่,กิโลกรัม/ไร่,703.05
198,2562,สำนักงานเกษตรจังหวัดอ่างทอง,แสวงหา,จำลอง,กิโลกรัม/ไร่,797.67
199,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,กิโลกรัม/ไร่,715.38
200,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ศาลเจ้าโรงทอง,กิโลกรัม/ไร่,713.6
201,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่ดำพัฒนา,กิโลกรัม/ไร่,796.9
202,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,สาวร้องไห้,กิโลกรัม/ไร่,751.49
203,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ท่าช้าง,กิโลกรัม/ไร่,804.71
204,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ยี่ล้น,กิโลกรัม/ไร่,772.04
205,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,บางจัก,กิโลกรัม/ไร่,679.93
206,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ห้วยคันแหลน,กิโลกรัม/ไร่,663.95
207,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,คลองขนาก,กิโลกรัม/ไร่,683.49
208,2562,สำนักงานเกษตรจังหวัดอ่างทอง,วิเศษชัยชาญ,ไผ่วง,กิโลกรัม/ไร่,704.5
