ไปรษณีย์,ประกอบกิจการ,TSIC,ลำดับ,เงินทุนรวม,เลขที่,อำเภอ,คนงานรวม,FID,หมู่,โทรศัพท์,คนงานชาย,ซอย,แรงม้า,GPS_lat,ถนน,ตำบล,คนงานหญิง,GPS_lng,ชื่อโรงงาน,สิ้นอายุ,factype,อนุญาต,_id,เลขทะเบียนเดิม,จังหวัด
,คัดแยกวัสดุไม่ใช้แล้ว เช่น เศษผ้า ด้าย สำลี นุ่น กระสอบ กระดาษ เศษเหล็ก เศษพลาสติก เพื่อจำหน่าย นำเข้า ส่งออก,106000000000,14,,เลขที่ 18/18-19-20,บางบัวทอง,500000,-10120001925472-,6,,700000,-,11,25/02/1461,-,ละหาร,240000,19/04/1461,บริษัท อุดมสุข เท็กซ์ไทล์ จำกัด,1,,,14,3-105-19/47นบ,นนทบุรี
,คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมเพื่อนำมารีไซเคิล,126000000000,15,,เลขที่ 14/25,ปากเกร็ด,3000000,-10120200225468-,6,,4352000,แจ้งวัฒนะ-ปากเกร็ด 3,30,12/06/1460,แจ้งวัฒนะ,บางพูด,150000,21/07/1460,บริษัท เค.รีไซเคิล แอนด์ เซอร์วิส จำกัด,1,,544,15,3-105-2/46นบ,นนทบุรี
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่ใช่ของเสียอันตราย เช่น เศษทองแดง เศษทองเหลือง เศษเหล็ก เศษสแตนเลส เศษอลูมิเนียม เศษสายไฟ เศษพลาสติก เศษกระดาษ เศษไม้ บดย่อยพลาสติก อัดเศษโลหะ ตัดโลหะ,126000000000,16,,เลขที่ 187/70,บางบัวทอง,18600000,-10120036925661-,3,,500000,,7,04/03/1480,บางกรวย-ไทรน้อย,บางรักพัฒนา,400000,18/04/1480,บริษัท สวัสดิ์รีไซเคิล จำกัด,1,,948,16,3-105-22/66นบ,นนทบุรี
11130,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),38211,17,141000000,เลขที่ 38/3,บางกรวย,60,-10120100325467-,6,0 2913 2197-9,40,-,1090,100.4301,นครอินทร์,บางขุนกอง,20,,บริษัท โลหะไทยสเตนเลส จำกัด,13.82228333,3,17/12/1460,17,3-105-3/46นบ,นนทบุรี
11110,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,38211,18,1400000,เลขที่ 187/48,บางบัวทอง,7,-10120003025479-,3,0-2920-5144,2,ร่มโพธิ์ทอง,90,100.4302833,บางกรวย-ไทรน้อย,บางรักพัฒนา,5,,บริษัท ธนานุกูลชัย จำกัด,13.88696667,3,25/03/1461,18,3-105-30/47นบ,นนทบุรี
11000,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,38211,19,9000000,"เลขที่ 141,143",เมืองนนทบุรี,11,-10120003125477-,,0-2969-0001-2,5,,421,100.4929,เลี่ยงเมืองนนทบุรี,ตลาดขวัญ,6,,บริษัท เอส.เค.รีไซเคิล จำกัด,13.85615,3,25/03/1461,19,3-105-31/47นบ,นนทบุรี
,คัดแยกวัสดุเหลือใช้จากโรงงาน เช่น กระดาษ พลาสติก โลหะ,3160000000000,20,,เลขที่ 1/4,บางบัวทอง,500000,-10120003225491-,13,,0, -,20,26/05/1463,ตลิ่งชัน-สุพรรณบุรี,บางบัวทอง,1000000,19/06/1463,นิตยารีไซเคิล,1,,0,20,3-105-32/49นบ,นนทบุรี
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,104000000000,21,,"เลขที่ 12, 14",เมืองนนทบุรี,2000000,-10120003225533-,-,,1000000,สามัคคี 8,12,16/06/1467,สามัคคี,ท่าทราย,500000,30/07/1467,บริษัท แสงไพศาลค้ากระดาษ จำกัด,1,,1448,21,3-105-32/53นบ,นนทบุรี
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,126000000000,22,,"เลขที่ 11,13",เมืองนนทบุรี,2000000,-10120003325531-,-,,2000000,สามัคคี 11,20,16/06/1467,สามัคคี,ท่าทราย,4000000,30/07/1467,บริษัท แสงไพศาลค้ากระดาษ จำกัด,1,,2260,22,3-105-33/53นบ,นนทบุรี
11140,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และหลอมหล่อโลหะ,38211,23,6100000,เลขที่ 4/5,บางใหญ่,14,-10120000425466-,3,,11,กันตนา,393.6,100.3606667,ตลิ่งชัน-สุพรรณบุรี,บางใหญ่,3,,,13.84165,3,29/12/1460,23,3-105-4/46นบ,นนทบุรี
,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,126000000000,24,,เลขที่ 27/14,บางบัวทอง,0,-10120004725598-,9,,5000000,,18,25/07/1473,บางบัวทอง-สุพรรณบุรี,ละหาร,10000000,12/09/1473,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,1,,4400,24,3-105-47/59นบ,นนทบุรี
,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,126000000000,25,,เลขที่ 38/13,บางกรวย,50000000,-10120005225606-,6,,200000000,,55,22/05/1474,นครอินทร์,บางขุนกอง,10000000,05/05/1477,บริษัท รวมโลหะ เทรดดิ้ง จำกัด,1,,2324,25,3-105-52/60นบ,นนทบุรี
11110,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติก และโลหะต่าง ๆ,38211,26,70000000,เลขที่ 27/6,บางบัวทอง,40,-10120006025476-,9,0 2925 5794,30,โรงเรียนแสงประทีป,1198,100.4060167,ตลิ่งชัน-สุพรรณบุรี,ละหาร,10,,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,13.9524,3,05/07/1461,26,3-105-60/47นบ,นนทบุรี
,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541),124000000000,27,,เลขที่ 10,เมืองนนทบุรี,1000000,-10120006925477-,,,0,สามัคคี 7,11,05/08/1461,สามัคคี,ท่าทราย,4400000,30/08/1461,ห้างหุ้นส่วนจำกัด ดวงพร รีไซเคิล,1,,1408,27,3-105-69/47นบ,นนทบุรี
11110,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก อัดเศษกระดาษ อัดโลหะ,38211,28,1000000,เลขที่ 94/8,บางบัวทอง,10,-10120007325537-,7,02 9833600-1,5,-,133,100.378693,บางบัวทอง-สุพรรณบุรี,ละหาร,5,,ทรัพย์เจริญเซียงกง,13.966722,3,16/11/1467,28,3-105-73/53นบ,นนทบุรี
,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ใช้แล้วและเครื่องใช้ไฟฟ้า บดย่อยเศษตะกรันโลหะ เก็บรวบรวมแบตเตอรี่ใช้แล้วโดยไม่มีการแปรสภาพ สกัดโลหะมีค่าจากกากตะกอนระบบบำบัดน้ำเสียที่มีโลหะมีค่า นำน้ำมันหล่อลี่นที่ใช้แล้วหรือสารทำละลายที่ใช้แล้วผ่านกรรมวิธีทางอุตสาหกรรม มาทำเชื้อเพลิงทดแทน และผลิตเชื้อเพลิงผสม,126000000000,29,,เลขที่ โฉนดที่ดินเลขที่ 5176,ไทรน้อย,2000000,-10120010425605-,8,,10000000,,15,01/12/1474,,คลองขวาง,2000000,30/10/1477,บริษัท เสริมพงษ์ ดีเวลลอปเม้นต์ จำกัด,1,,3200,29,3-106-104/60นบ,นนทบุรี
11150,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกที่ใช้แล้วด้วยกระบวนการ Pyrolysis,38300,30,55000000,เลขที่ 48,ไทรน้อย,25,-10120002125569-,2,29735188,24,,1696.98,100.318846,ไทรน้อย-บางเลน,คลองขวาง,1,,บริษัท คอร์สแอร์ แบงคอก จำกัด,14.008574,3,18/09/1470,30,3-106-21/56นบ,นนทบุรี
11150,ปรับสภาพกรดที่ใช้แล้วและล้างบรรจุภัณฑ์ที่ใช้แล้ว,38300,31,16000000,เลขที่ 92/10,ไทรน้อย,20,-10120094425679-,10,863456679,11,,159.29,100.293391,,ไทรใหญ่,9,,บริษัท ไทยคลอไรด์ แมนูแฟคเจอร์ริ่ง จำกัด,14.057088,3,07/06/1481,31,3-106-23/67นบ,นนทบุรี
11150,ถอดแยกบดย่อยแผงวงจรและชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ หลอมหล่อกากตะกอน ตะกรันทองแดง อลูมิเนียม ทองเหลือง และดีบุก เพื่อนำกลับมาใช้ประโยชน์ใหม่ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,38300,32,18000000,เลขที่ โฉนดเลขที่ 61796,ไทรน้อย,30,-10120099925673-,10,,15,,960.7,,,ไทรใหญ่,15,,บริษัท เจซี เมทัล จำกัด,,3,13/06/1481,32,3-106-32/67นบ,นนทบุรี
,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกใช้แล้วด้วยกระบวนการ Pyrolysis,106000000000,33,,เลขที่ 9/2,ไทรน้อย,4000000,-10120153325661-,2,,2000000,,23,27/09/1480,,คลองขวาง,10000000,,บริษัท คอร์สแอร์ แบงคอก ทู จำกัด,0,,3200,33,3-106-35/66นบ,นนทบุรี
11150,ถอด แยก บด ย่อย แผง โซลาร์เซลล์ใช้แล้ว,38300,34,40839072,เลขที่ โฉนดที่ดินเลขที่ 37170,ไทรน้อย,9,-10120180825667-,1,081-3989777,7,,1554.64,,,ราษฎร์นิยม,2,,บริษัท นภาเอ็นเทอร์ไพร์ส จำกัด,,3,25/10/1480,34,3-106-41/66นบ,นนทบุรี
,ผลิตเชื้อเพลิงขยะ (RDF),106000000000,35,,เลขที่ 59/1,ไทรน้อย,420000000,-10120103025650-,8,,19280000,-,24,14/06/1479,-,คลองขวาง,95000000,01/03/1480,บริษัท สยาม พาวเวอร์ จำกัด,1,,16199,35,3-106-45/65นบ,นนทบุรี
,ทำเชื้อเพลิงทดแทนจากน้ำมันที่ใช้แล้วและตัวทำละลายที่ใช้แล้วโดยกระบวนการกรองถอดแยกและบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ ถอดแยกมอเตอร์เก่าที่ไม่เป็นของเสียอันตราย ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย บดย่อยตะกรันโลหะ เช่น ตะกรันอลูมิเนียม ตะกรันทองแดง เก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพและคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,126000000000,36,,เลขที่ โฉนดที่ดินเลขที่ 59198,ไทรน้อย,1000000,-10120201525650-,10,,10000000,,16,23/11/1479,,คลองขวาง,5000000,09/09/1480,บริษัท เค.เอ.2018 เทรดดิ้ง จำกัด,1,,5622,36,3-106-71/65นบ,นนทบุรี
,ผลิตแผ่น วีซีดี ซีดีรอม ซีดีอาร์ ซีดีเกมส์ ซีดีไอ ดีวีดี ดีวีดี-รอม ซีดี เลเซอร์ดิสก์,126000000000,37,,เลขที่ 88/1,บางบัวทอง,15000000,-10120000425490-,4,,2400000,,43,27/07/1463,บ้านกล้วย-ไทรน้อย,พิมลราช,105054000,09/11/1463,บริษัท ทูไดเมนชั่น แมนูแฟคเจอริ่ง จำกัด,1,,1100,37,3-107-4/49นบ,นนทบุรี
11120,ทำลูกกวาดและขนมขบเคี้ยว ทำช็อกโกแลตผง ทำขิงผงและเก๊กฮวยผง ทำหมากฝรั่ง,10739,38,235000000,เลขที่ 51/3,ปากเกร็ด,182,-10120000125264-,2,5745170-1,62,ศรีตะปันย์,6104.89,100.5458667,แจ้งวัฒนะ,คลองเกลือ,120,,บริษัท เยเนอรัลแคนดี้ จำกัด,13.90288333,3,05/08/1450,38,3-12(10)-1/26นบ,นนทบุรี
,ทำไอศกรีม,126000000000,39,,เลขที่ 124/60,เมืองนนทบุรี,16500000,-10120100125297-,4,,0,เรวดี 22,8,09/02/1452,ติวานนท์,ตลาดขวัญ,0,16/05/1443,บริษัท ศิริเบญจ จำกัด,1,,3500,39,3-12(11)-1/29นบ,นนทบุรี
11120,ทำแยมผลไม้ ซอสพริก และน้ำมันสลัด,10774,40,13400000,เลขที่ 88/9,ปากเกร็ด,68,-10120000125322-,8,5831843,17,,833.98,100.51785,ติวานนท์,บางพูด,51,,บริษัท สุขุมพาณิชย์ จำกัด,13.9243,3,29/09/1450,40,3-13(2)-1/32นบ,นนทบุรี
,ผลิตน้ำสลัดและน้ำซอส,106000000000,41,,เลขที่ 99,บางบัวทอง,2000000,-10120000125538-,8,,10000000,สุเหร่าแดง,9,16/07/1467,ตลิ่งชัน-สุพรรณบุรี,ละหาร,3000000,01/10/1467,บริษัท พรีมาฟูดส์ ซัพพลาย จำกัด,1,,48255,41,3-13(6)-1/53นบ,นนทบุรี
,"ทำน้ำแข็งซอง เพิ่มขึ้นได้วันละ 648 ซอง รวมเป็น 1,297 ซอง/วัน",104000000000,42,,เลขที่ 86/3,เมืองนนทบุรี,3000000,-10120100125180-,1,,0,-,7,09/04/1450,นนทบุรี 1,บางกระสอ,20000000,20/08/1432,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,1,,2400,42,3-14-1/18นบ,นนทบุรี
,ทำน้ำแข็งซองได้วันละ 2681 ซอง และทำน้ำแข็งก้อนเล็กวันละ 58.36 ตัน,3120000000000,43,,เลขที่ 77,ปากเกร็ด,3200000,-10120000125199-,3,,4000000,,15,09/02/1451,สุขาประชาสรรค์,ปากเกร็ด,12500000,09/04/1433,-,1,ใช้สารแอมโมเนีย,8000,43,3-14-1/19นบ,นนทบุรี
,ทำน้ำแข็งก้อนเล็ก ได้วันละ 190.91 ตัน,126000000000,44,,เลขที่ 3,เมืองนนทบุรี,100000,-10120100125214-,,,0,,15,19/03/1450,,บางกระสอ,3000000,20/06/1435,บริษัท ร่วมพัฒนาน้ำแข็งหลอด จำกัด,1,,4000,44,3-14-1/21นบ,นนทบุรี
,ผลิตน้ำแข็ง ได้วันละ 651 ซอง,3100000000000,45,,เลขที่ 87,เมืองนนทบุรี,100000,-10120100125230-,1,,12000000,,11,05/07/1452,นนทบุรีสาย 1,บางกระสอ,850000,07/04/1437,,1,ใช้สารแอมโมเนีย,4412,45,3-14-1/23นบ,นนทบุรี
,ทำน้ำแข็งก้อนเล็ก ได้วันละ 33.98 ตัน,126000000000,46,,เลขที่ 49/4/1,เมืองนนทบุรี,200000,-10120000125314-,2,,0,วัดบัวขวัญ,4,01/02/1451,งามวงศ์วาน,บางเขน,3000000,14/01/1445,บริษัท มั่งมีโภคทรัพย์ จำกัด,3,,996,46,3-14-1/31นบ,นนทบุรี
,ผลิตน้ำแข็งซอง,126000000000,47,,เลขที่ 75/17,บางกรวย,2000000,-10120100125420-,2,,0,วัดบางไกรใน,10,16/08/1456,ปลายบาง,มหาสวัสดิ์,19000000,20/01/1457,บริษัท โรงน้ำแข็งนวลวรรณ จำกัด,1,,4290,47,3-14-1/42นบ,นนทบุรี
,ผลิตน้ำแข็งก้อนเล็ก ผลิตได้วันละ 150 ตัน/วัน,3610000000000,48,,เลขที่ 64/4,บางกรวย,500000,-10120000125447-,6,,2000000,,8,23/07/1458,จงถนอม - วัดต้นเชือก,ศาลากลาง,10000000,08/04/1459,น้ำแข็งศาลายา,1,,0,48,3-14-1/44นบ,นนทบุรี
,"ผลิตน้ำแข็งซอง เพิ่มขึ้นอีก 400 ซอง/วัน รวมเป็น 2,000 ซอง/วัน",126000000000,49,,เลขที่ 47/164,เมืองนนทบุรี,4000000,-10120000125454-,7,,24200000,12  (ศิริชัย 1),12,20/09/1459,กรุงเทพ-นนทบุรี,บางเขน,32000000,22/09/1460,บริษัท ศรีวัฒนะชัยน้ำแข็งซองและหลอด จำกัด,1,,5624,49,3-14-1/45นบ,นนทบุรี
,"ผลิตน้ำแข็งซอง เพิ่มวันละ 1,080 ซอง รวมเป็น 1,800 ซองต่อวัน",126000000000,50,,เลขที่ 88,บางบัวทอง,2000000,-10120001725526-,6,,8000000,วัดลาดปลาดุก,32,26/05/1466,ตลิ่งชัน-สุพรรณบุรี,บางคูรัด,70000000,13/09/1467,บริษัท โรงน้ำแข็งกังวานสิน จำกัด,1,,10860,50,3-14-17/52นบ,นนทบุรี
,ทำน้ำแข็งได้วันละ978ซอง,124000000000,51,,เลขที่ 86/2,เมืองนนทบุรี,600000,-10120000225130-,1,,400000,-,13,24/12/1450,นนทบุรี 1,บางกระสอ,1550000,16/10/1427,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทิพย์,1,,984,51,3-14-2/13นบ,นนทบุรี
,ทำน้ำแข็งซองได้วันละ 936 ซอง และทำน้ำแข็งก้อนเล็กวันละ 13,104000000000,52,,เลขที่ 34/7,ปากเกร็ด,500000,-10120000225197-,3,,1500000,สุขาประชาสรรค์ 1,14,08/02/1451,แจ้งวัฒนะ,ปากเกร็ด,4425680,23/06/1433,ห้างหุ้นส่วนจำกัด ส.วารีพัฒนา,1,,1200,52,3-14-2/19นบ,นนทบุรี
,ทำน้ำแข็งซอง ได้วันละ 752 ซอง,3100000000000,53,,เลขที่ 87/5,เมืองนนทบุรี,500000,-10120100225311-,1,,1200000,โรงน้ำแข็ง,10,14/12/1450,นนทบุรี 1,บางกระสอ,1200000,29/06/1445,นางสาวนวลฉวี ประเสริฐสุขสม,1,ใช้สารฟรีออน,2000,53,3-14-2/31นบ,นนทบุรี
,ผลิตน้ำแข็งซองและน้ำแข็งหลอด,126000000000,54,,เลขที่ โฉนดที่ดินที่ 8553,บางบัวทอง,5000000,-10120170125623-,2,,10000000,,14,03/07/1476,,ลำโพ,8000000,15/08/1479,บริษัท โรงน้ำแข็งอานนท์ จำกัด,1,,2066,54,3-14-20/62นบ,นนทบุรี
11000,"ทำน้ำแข็งซอง ได้วันละ 1,000 ซอง/วัน",10795,55,105000000,เลขที่ 54/9,เมืองนนทบุรี,13,-10120002425563-,9,,9,เพิ่มแฉล้มอุทิศ,1102,100.468569,บางศรีเมือง-วัดโบสถ์,บางกร่าง,4,,วารีน้ำแข็ง 2,13.842854,3,02/05/1470,55,3-14-24/56นบ,นนทบุรี
,ทำน้ำแข็งซอง ได้วันละ 330 ซอง และทำน้ำแข็งก้อนเล็ก ได้วันละ 50 ตัน,104000000000,56,,เลขที่ ,บางบัวทอง,1000000,-10120002925521-,2,,40000000,-,14,06/08/1466,บางบัวทอง-ประตูน้ำพระอุดม,ละหาร,10000000,,ห้างหุ้นส่วนจำกัด วรรณวารี,0,,6108,56,3-14-29/52นบ,นนทบุรี
11000,ทำน้ำแข็งซองได้วันละ963ซองและทำน้ำแข็งก้อนเล็กได้วันละ,10795,57,45000000,เลขที่ 86/4,เมืองนนทบุรี,12,-10120000325153-,1,5250172,12,โรงน้ำแข็ง,4586,100.4883167,นนทบุรี 1,บางกระสอ,0,,บริษัท โรงน้ำแข็ง แสงพิทักษ์ จำกัด,13.87866667,3,08/03/1450,57,3-14-3/15นบ,นนทบุรี
,ผลิตน้ำแข็งก้อนเล็กเพิ่มขึ้นวันละ70 ตัน ,104000000000,58,,เลขที่ 86/3,เมืองนนทบุรี,2000000,-10120000325310-,1,,0,นนทบุรี 20,2,24/12/1450,นนทบุรี 1,บางกระสอ,6500000,03/08/1445,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,1,,6400,58,3-14-3/31นบ,นนทบุรี
,ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 400 ตันต่อวัน,106000000000,59,,เลขที่ ,บางกรวย,500000,-10120003025578-,5,,20000000,,6,08/05/1471,,มหาสวัสดิ์,42500000,29/06/1475,บริษัท อุตสาหกรรมน้ำแข็งไทย จำกัด,1,,5116,59,3-14-30/57นบ,นนทบุรี
,ทำน้ำแข็งซองและทำน้ำแข็งก้อนเล็ก,476000000000,60,,เลขที่ ,บางใหญ่,1000000,-10120003225582-,6,,25000000,,6,09/06/1472,อบจ.สายทางบางแม่นาง (เทิดพระเกียรติ),บางแม่นาง,20000000,,บริษัท คิงส์ไอซ์แมน จำกัด,0,,9216,60,3-14-32/58นบ,นนทบุรี
11000,"ทำน้ำแข็ง ได้วันละ 1,872 ซอง",10795,61,16000000,เลขที่ 85/1,เมืองนนทบุรี,7,-10120000425151-,1,081-5135577,7,,1541.42,100.4871667,นนทบุรี 1,บางกระสอ,0,,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสินทิพย์,13.87833333,3,09/04/1450,61,3-14-4/15นบ,นนทบุรี
