ประเภทรอง,ทุนหมุนเวียน,เงินทุนรวม,รหัสแฟ้ม,ประกอบกิจการ,พื้นที่อาคาร,อำเภอ,ta_id,ประเภทย่อย,TSIC,หน่วย,ถนน,GPS_lat,ซอย,FID,คนงานรวม,ลำดับ,ไปรษณีย์,จังหวัด,ค่าอาคาร,หมู่,เลขที่,แรงม้า,ประเภท,โทรศัพท์,ค่าเครื่องจักร,อนุญาต,เริ่มดำเนินการ,กำลังผลิต,ค่าที่ดิน,ตำบล,factype,ผู้ประกอบการ,fflag,คนงานชาย,facreg,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,GPS_lng,แรงม้าตรวจพบ,พื้นที่โรงงาน,สิ้นอายุ,คนงานหญิง
64(11),8000000,33409000,05-002,คัดแยกสิ่งปฎิกูลและวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมที่ไม่เป็นของเสียอันตราย,0,นครชัยศรี,730307,,38211,ตัน/วัน,,13.78667,,-20730004825525-,14,11,73120,นครปฐม,5300000,1,เลขที่ 64/21,91.45,-10500-,,5100000,2009-04-30T00:00:00,2009-05-29T00:00:00,0,15009000,ขุนแก้ว,3,บริษัท เอ เอ็น ดี 4554 สแคป เมทัล จำกัด,1,9,จ10500304852นฐ,11,จ3-105-48/52นฐ,บริษัท เอ เอ็น ดี 4554 สแคป เมทัล จำกัด,100.20194,407.45,0,2024-01-01T00:00:00,5
8(1),20000000,113099308,051-07,ทำไอศกรีม และอาหารหรือเครื่องดื่มจากพืช ผัก และผลไม้,4015,นครชัยศรี,730324,,10503,ตัน/ปี,,13.80134518,,-20730200225579-,212,12,73120,นครปฐม,67037330,1,เลขที่ 104/2,3968.9,-01211-,,17801978,2014-07-06T00:00:00,2014-07-17T00:00:00,0,8260000,ไทยาวาส,3,บริษัท บูโอโน่ (ประเทศไทย) จำกัด (มหาชน),1,58,จ01211300257นฐ,12,จ3-12(11)-2/57นฐ,บริษัท บูโอโน่(ประเทศไทย) จำกัด (มหาชน),100.1989892,6271.91,28524,2019-01-01T00:00:00,154
46(2),10000000,40000000,019-04,ผลิตอาหารสัตว์,2755,เมืองนครปฐม,730124,,10801,ตัน/ปี,,13.83323627,,-20730000125490-,16,13,73000,นครปฐม,15000000,1,เลขที่ 19/1,1821.611,-01501-,,10000000,2006-07-04T00:00:00,2015-04-25T00:00:00,0,5000000,หนองงูเหลือม,3,บริษัท เซตต้า ฟาร์มา จำกัด,1,10,จ01501300149นฐ,13,จ3-15(1)-1/49นฐ,บริษัท เซตต้า ฟาร์มา จำกัด,100.0623177,421,43200,2020-01-01T00:00:00,6
,2000000,13500000,,ผลิตเครื่องดื่มบำรุงกำลัง,4400,เมืองนครปฐม,730113,,11049,ลิตร/ปี,,13.83781718,,-20730200125589-,10,14,73000,นครปฐม,3000000,2,เลขที่ 16/3,3075.21,-02002-,034-377800,5000000,2015-01-19T00:00:00,2017-11-27T00:00:00,0,3500000,หนองปากโลง,3,บริษัท เอชซี(ไทยแลนด์) จำกัด,1,2,จ02002300158นฐ,14,จ3-20(2)-1/58นฐ,บริษัท เอชซี(ไทยแลนด์) จำกัด,100.0039352,190.62,8800,2022-01-01T00:00:00,8
,15000000,116000000,,เครื่องตกแต่งภายในอาคารจากกระจก,3456,กำแพงแสน,730208,,31001,ชิ้น/ปี,,,,-20730283625646-,26,15,73140,นครปฐม,60000000,4,เลขที่ -,2302.48,-03700-,,35000000,2021-04-28T00:00:00,2023-06-05T00:00:00,361.97,6000000,ดอนข่อย,3,บริษัท เอส.วี.อินเตอร์ กลาส จำกัด ,1,26,จ03700301764นฐ,15,จ3-37-17/64นฐ,บริษัท เอส.วี.อินเตอร์ กลาส จำกัด ,,284.89,9772,2028-01-01T00:00:00,0
4(6),500000,500000,09-241,ฆ่าสุกร และชำแหละเนื้อสุกร,12168,สามพราน,730606,,10111,ตัว/ปี,,13.7294,,-20730001625506-,8,16,73110,นครปฐม,0,5,เลขที่ 99,106.45,-00401-,081-8513774,0,2007-04-30T00:00:00,2015-09-20T00:00:00,0,0,สามพราน,3,นางศนิศุภร นิ่มนวลรุ่งโรจน์,1,8,จ00401301650นฐ,16,จ3-4(1)-16/50นฐ,โรงฆ่าสัตว์พรวัฒนา,100.21185,0,12620,2020-01-01T00:00:00,0
,10000000,68994840,,ผลิตอาหารแปรรูปจากเนื้อสัตว์,1215,บางเลน,730513,,10139,ตัน/ปี,,,,-20730002225595-,65,17,10160,นครปฐม,30000000,1,เลขที่ 146,376.96,-00403-,,20000000,2016-07-10T00:00:00,2018-09-02T00:00:00,0,8994840,นราภิรมย์,3,บริษัท แม่ไก่ อินเตอร์ฟู้ดส์ 2019 จำกัด,1,25,จ00403302259นฐ,17,จ3-4(3)-22/59นฐ,บริษัท แม่ไก่ อินเตอร์ฟู้ดส์ 2019 จำกัด,,262.64,3200,2023-01-01T00:00:00,40
,1500000,24000000,,ผลิตอาหารจากเนื้อสุกร เนื้อไก่ เช่น ลูกชิ้น,594,เมืองนครปฐม,730111,,10139,ตัน/ปี,,,,-20730063625667-,15,18,73000,นครปฐม,3500000,5,เลขที่ 92,576.45,-00403-,,4000000,2023-04-24T00:00:00,2023-10-10T00:00:00,0,15000000,นครปฐม,3,นายบุญใฮ้  เจนกิจณรงค์,1,10,จ00403300566นฐ,18,จ3-4(3)-5/66นฐ,เฮง ฮั้ว เส็ง เจ-เจ,,260.7,5160,2028-01-01T00:00:00,5
"15(1),106",500000,5040000,043-10,ผลิตปุ๋ยอินทรีย์ และทำอาหารผสมหรืออาหารสำเร็จสำหรับเลี้ยงสัตว์ และนำกากตะกอนชีวภาพจากอุตสาหกรรมเยื่อและกระดาษ กากตะกอนชีวกาพจากอุตสาหกรรมอาหารและเกษตรแปรรูป มาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,3080,กำแพงแสน,730203,,20121,ตัน/ปี,,14.05261103,,-20730002425567-,3,19,73140,นครปฐม,100000,4,เลขที่ โฉนดที่ดินเลขที่ 3315,1815.24,-04301-,,120000,2013-05-04T00:00:00,2015-10-25T00:00:00,0,4320000,ทุ่งลูกนก,3,บริษัท สมบูรณ์ผลการเกษตร จำกัด,1,0,จ04301302456นฐ,19,จ3-43(1)-24/56นฐ,บริษัท สมบูรณ์ผลการเกษตร จำกัด,99.92397083,1815.24,76800,2020-01-01T00:00:00,3
43(2),10000000,60000000,027-07,ผลิตและแบ่งบรรจุปุ๋ยและสารป้องกันกำจัดศัตรูพืชและสัตว์,6000,กำแพงแสน,730208,,20121,ตัน/ปี,,14.02977477,,-20730005125560-,54,20,73140,นครปฐม,40000000,14,เลขที่ 222,595.74,-04301-,29279435,5000000,2013-11-07T00:00:00,2014-07-16T00:00:00,0,5000000,ดอนข่อย,3,บริษัท ฟอร์มูล่าร์-เอ จำกัด,1,12,จ04301305156นฐ,20,จ3-43(1)-51/56นฐ,บริษัท ฟอร์มูล่าร์-เอ จำกัด ,100.0202083,150,19296,2024-01-01T00:00:00,42
"53(4),53(5),53(9),105",1000000,30000000,,เกี่ยวกับผลิตภัณฑ์พลาสติก เช่นเครื่องใช้จากพลาสติก การทำภาชนะบรรจุ เช่น ถุง การทำพลาสติกเป็นเม็ด หรือรูปทรงต่าง ๆ และการบดย่อยพลาสติก,966,นครชัยศรี,730307,,22210,ชิ้น/ปี,-,13.7477,-,-20730006925471-,25,21,73120,นครปฐม,15000000,4,เลขที่ 31/2,1639.98,-05301-,,6000000,2004-08-17T00:00:00,2006-04-12T00:00:00,0,8000000,ขุนแก้ว,3,บริษัท หลวงนครกรุ๊ป จำกัด,1,15,จ05301306947นฐ,21,จ3-53(1)-69/47นฐ,บริษัท หลวงนครกรุ๊ป จำกัด,100.18245,1964.1,52800,2021-01-01T00:00:00,10
53(5),10000000,30000000,,ผลิตถุงพลาสติก,3600,บางเลน,730505,,22220,ใบ/ปี,-,14.01308404,-,-20730003025564-,14,22,73120,นครปฐม,0,5,เลขที่ 112/3-4,2195.7,-05304-,,20000000,2013-05-28T00:00:00,2015-02-25T00:00:00,0,0,บางระกำ,3,บริษัท โชครุ่งเรือง พลาสติก จำกัด,1,5,จ05304303056นฐ,22,จ3-53(4)-30/56นฐ,บริษัท โชครุ่งเรือง พลาสติก จำกัด,100.2100536,482,14532,2020-01-01T00:00:00,9
"53(1),53(5)",10000000,97115000,05-197,ผลิตบรรจุภัณฑ์อาหารจากพลาสติกทุกชนิด ผลิตช้อน-ส้อมพลาสติก,2895,บางเลน,730505,,22220,ใบ/ปี,,13.87865555,,-20730400825608-,65,23,73130,นครปฐม,44800000,5,เลขที่ 88/15,3379.03,-05304-,,23560000,2017-01-23T00:00:00,2018-05-15T00:00:00,0,18755000,บางระกำ,3,บริษัท เปี่ยมพินันท์ พลาสติก จำกัด,1,25,จ05304300860นฐ,23,จ3-53(4)-8/60นฐ,บริษัท เปี่ยมพินันท์ พลาสติก จำกัด,100.2636743,331.88,6820,2023-01-01T00:00:00,40
,5000000,33000000,06-180,การทำพลาสติกเป็นรูปทรงต่างๆ,3600,บางเลน,730505,,22230,ตัน/ปี,,13.9308661,,-20730101925558-,40,24,73130,นครปฐม,20000000,5,เลขที่ 99/8,1164.31,-05305-,,6000000,2012-05-21T00:00:00,2012-06-15T00:00:00,0,2000000,บางระกำ,3,บริษัท ออมทรัพย์ อินเตอร์พลาสแพ็ค จำกัด,1,17,จ05305301955นฐ,24,จ3-53(5)-19/55นฐ,บริษัท ออมทรัพย์ อินเตอร์พลาสแพ็ค จำกัด,100.200898,1164.31,11900,2023-01-01T00:00:00,23
,20000000,100000000,,ทำหลอดดูดน้ำพลาสติกและลูกปัดพลาสติก,1633,สามพราน,730616,,22230,ตัน/ปี,เพชรเกษม,,กังวาล 2,-20730015125659-,10,25,73160,นครปฐม,0,8,เลขที่ 143/1,350.96,-05305-,02-8114700,80000000,2022-01-27T00:00:00,2022-04-16T00:00:00,0,0,อ้อมใหญ่,3,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),1,7,จ05305300665นฐ,25,จ3-53(5)-6/65นฐ,บริษํท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),,499.42,1739,2027-01-01T00:00:00,3
,1000000,11000000,,บดย่อยเศษพลาสติกและอัดเป็นก้อน เช่น เศษฟองน้ำ,2000,สามพราน,730612,,22299,ตัน/ปี,-,13.70592823,-,-20730002125555-,7,26,73110,นครปฐม,6000000,9,เลขที่ 66,559.3,-05309-,,4000000,2012-09-25T00:00:00,2012-09-11T00:00:00,0,0,ตลาดจินดา,3,บริษัท บางกอก พียู จำกัด,1,4,จ05309302155นฐ,26,จ3-53(9)-21/55นฐ,บริษัท บางกอก พียู จำกัด,100.1323433,317.9,4800,2021-01-01T00:00:00,3
,2000000,15000000,,ผลิตเสาเข็มคอนกรีตอัดแรง,43200,กำแพงแสน,730208,,23953,ลูกบาศก์เมตร/ปี,พลดำริห์,14.01851667,,-20731500125378-,282,27,73140,นครปฐม,1000000,3,เลขที่ 122,554,-05801-,2822185,2000000,1994-10-03T00:00:00,1994-04-26T00:00:00,0,10000000,ดอนข่อย,3,บริษัท วัสดุภัณฑ์คอนกรีต จำกัด,1,164,จ05801300137นฐ,27,จ3-58(1)-1/37นฐ,บริษัท วัสดุภัณฑ์คอนกรีต จำกัด,100.0260833,586,86400,2020-01-01T00:00:00,118
,5000000,22000000,,ผลิตเสาเข็มคอนกรีตอัดแรง และผลิตภัณฑ์คอนกรีตอื่น ๆ,1800,บางเลน,730509,,23953,ลูกบาศก์เมตร/ปี,,14.0252,,-20730000325389-,64,28,73130,นครปฐม,7000000,3,เลขที่ 65,1408.6,-05801-,416-3705,4000000,1995-07-21T00:00:00,1996-12-25T00:00:00,0,6000000,ดอนตูม,3,บริษัท คอนกรีตไลน์ จำกัด,1,36,จ05801300338นฐ,28,จ3-58(1)-3/38นฐ,บริษัท คอนกรีตไลน์ จำกัด,100.1175333,588,79653,2021-01-01T00:00:00,28
,400000,4900000,,ผลิต และประกอบชิ้นส่วนอะไหล่ช่วงล่างรถยนต์ เช่น ลูกหมาก เหล็กแท่นเครื่องรถยนต์,960,สามพราน,730610,,29309,ชุด/ปี,,13.74935,,-20731800125367-,21,29,73220,นครปฐม,2000000,1,เลขที่ 42,824.79,-07702-,,1000000,1993-02-24T00:00:00,1993-07-15T00:00:00,0,1500000,กระทุ่มล้ม,3,บริษัท เอส.ที.รับเบอร์ แฟคตอรี่ จำกัด,1,15,จ07702300136นฐ,29,จ3-77(2)-1/36นฐ,บริษัท เอส.ที.รับเบอร์ แฟคตอรี่ จำกัด,100.3195167,586.29,2400,2023-01-01T00:00:00,6
,1000000,16000000,,ผลิตอุปกรณ์สำหรับรถยนต์และเครื่องประดับรถยนต์,2169,บางเลน,730513,,29309,ชุด/ปี,ศาลายา-บางภาษี,13.93806667,,-20730300825484-,50,30,73130,นครปฐม,12000000,2,เลขที่ -,2473.78,-07702-,092-2246864,3000000,2005-02-28T00:00:00,2013-07-20T00:00:00,0,0,นราภิรมย์,3,บริษัท ทีเอฟพี อินดัสเตรียล จำกัด,1,40,จ07702300848นฐ,30,จ3-77(2)-8/48นฐ,บริษัท ทีเอฟพี อินดัสเตรียล จำกัด,100.23195,594.66,54400,2023-01-01T00:00:00,10
"8(2),12(1),12(2),20(1),20(2),20(3),20(4)",10000000,30000000,10-209,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ ที่บรรจุในภาชนะที่ผนึก และอากาศเข้าไม่ได้ การถนอมผัก พืช หรือผลไม้ โดยวิธี กวน ตากแห้ง ดอง หรือทำให้เยือกแข็ง โดยฉับพลันหรือเหือดแห้ง,3310,สามพราน,730612,,10302,ลิตร/ปี,พระประโทน-บ้านแพ้ว,13.72523,,-20730100425550-,20,31,73110,นครปฐม,10000000,3,เลขที่ 50/10,5062.75,-00801-,034-388455,10000000,2012-09-18T00:00:00,2012-10-10T00:00:00,0,0,ตลาดจินดา,3,บริษัท ทาโกฟู้ดส์อินดัสทรี จำกัด,1,10,จ00801300455นฐ,31,จ3-8(1)-4/55นฐ,บริษัท ทาโกฟู้ดส์อินดัสทรี จำกัด,100.16212,5329.6513,87400,2021-01-01T00:00:00,10
