_id,ลำดับ,จำนวน,ตำบล,ประกอบกิจการ,อำเภอ,ผู้ประกอบการ
22,22,1,เมืองเก่า,ผลิตน้ำแข็ง,เมืองขอนแก่น,บริษัท ยิ่งเจริญ ไอซ์ ขอนแก่น จำกัด
23,23,1,โพนเพ็ก,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 225 เมตริกตัน/วัน),มัญจาคีรี,บริษัท มุกนที ไอซ์ จำกัด
24,24,1,หนองเรือ,ผลิตน้ำแข็ง,หนองเรือ,บริษัท กรเดช หนองเรือ จำกัด
25,25,1,โนนหัน,ทำน้ำแข็งก้อนเล็ก,ชุมแพ,บริษัท กรเดช ชุมแพ จำกัด
26,26,1,ท่าพระ,ผลิตอาหารสัตว์,เมืองขอนแก่น,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
27,27,1,ท่าพระ,ทำกระดูกเม็ด และกระดูกป่นจากกระดูกสัตว์,เมืองขอนแก่น,บริษัท อุตสาหกรรมกระดูกสัตว์ จำกัด
28,28,1,ดอนหัน,ฆ่า ชำแหละเนื้อไก่และแปรรูปชิ้นส่วนไก่เนื้อเพื่อการส่งออก,เมืองขอนแก่น,บริษัท พีแอนด์พี โปรดิวส์ จำกัด
29,29,1,ดอนหัน,"ฆ่า, ชำแหละ, ตัดแต่ง, แปรรูปสุกรและ    ทำผลิตภัณฑ์อาหารสำเร็จรูป ",เมืองขอนแก่น,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
30,30,1,ในเมือง,ฆ่าและชำแหละสุกร,เมืองขอนแก่น,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด
31,31,1,โนนท่อน,ทำนมสดพาสเจอไรส์,เมืองขอนแก่น,บริษัท ขอนแก่น แดรี่ส์ จำกัด
32,32,1,ท่าพระ,ผลิตภัณฑ์นมพร้อมดื่ม ,เมืองขอนแก่น,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย
33,33,1,ท่าพระ,อาหารสำเร็จรูปพร้อมบริโภคทันที,เมืองขอนแก่น,บริษัท ซีพีแรม จำกัด
34,34,1,ในเมือง,แปรรูปผลผลิตทางการเกษตร อาหารและน้ำดื่ม,เมืองขอนแก่น,มหาวิทยาลัยขอนแก่น
35,35,1,ท่าพระ,ผลิตอาหารจากแป้ง เช่น ขนมปัง คุกกี้ ขนมเค็ก,เมืองขอนแก่น,บริษัท ซีพีแรม จำกัด
36,36,1,บ้านไผ่,ทำขนมปัง เบเกอรี่,บ้านไผ่,บริษัท แกรนด์ อินเตอร์ ฟูดส์ จำกัด
37,37,1,บ้านไผ่,ทำขนมปัง ขนมเค้ก เบเกอรี่,บ้านไผ่,บริษัท แกรนด์ อินเตอร์ ฟูดส์ จำกัด
38,38,1,ท่าพระ,ผลิตอาหารจากแป้ง เช่น ขนมปัง ขนมเค้ก เป็นต้น,เมืองขอนแก่น,บริษัท โออิชิ ฟู้ด จำกัด
39,39,1,หนองแวง,ผลิตขนมขบเคี้ยว เช่น ข้าวเกรียบกุ้ง ข้าวโพดแท่งอบ,พระยืน,ห้างหุ้นส่วนจำกัด สแน็บฟู๊ดส์
40,40,1,เขาสวนกวาง,ทำเส้นขนมจีนอบแห้งและเส้นหมี่อบแห้ง,เขาสวนกวาง,ห้างหุ้นส่วนจำกัด โรงงานผลิตแป้งทำขนมจีน กวางคู่
41,41,1,ในเมือง,ทำผลิตภัณฑ์อาหารจากแป้ง เช่น เส้นก๋วยจั๊บ,เมืองขอนแก่น,นางเจียมจิรา ทรงชัยภัทร
42,42,1,ชุมแพ,ผลิตเส้นหมี่,ชุมแพ,นางสาวอรวรรณ์ ทองเทียม
43,43,1,ในเมือง,ผลิตไอศกรีม,เมืองขอนแก่น,บริษัท เพอร์เฟค คอมพาเนียน กรุ๊ป จำกัด
44,44,1,คูคำ,ผลิตซอสปลาร้าบรรจุปี๊บและบรรจุขวด,ซำสูง,บริษัท โรงงานปลาร้าแม่ประกาศ จำกัด
45,45,1,บ้านเป็ด,"ผลิตซอสอเนกประสงค์สไตล์ญี่ปุ่น, ผลิตอาหารและแปรรูปผลิตภัณฑ์อาหารทุกชนิด",เมืองขอนแก่น,บริษัท ฮารุมิ ฮานะ จำกัด
46,46,1,หนองโก,ทำน้ำแข็งก้อนเล็กวันละ30ตัน,กระนวน,นายเรืองพจน์ โนนใหม่
47,47,1,เมืองเก่า,ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 63 ตัน/วัน และทำน้ำดื่ม,เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งหลอดศรีนวล
48,48,1,แดงใหญ่,ทำน้ำแข็งก้อนเล็ก,เมืองขอนแก่น,บริษัท จารุธนิตกุล (2009) จำกัด
49,49,1,ตะกั่วป่า,ผลิตน้ำแข็งก้อน 100 ตัน/วัน,หนองสองห้อง,ห้างหุ้นส่วนจำกัด ตั้งสุรเสียง ไอซ์ หนองสองห้อง
50,50,1,สงเปือย,ทำน้ำแข็งก้อนเล็ก,ภูเวียง,บริษัท โรงงานน้ำแข็งและเครื่องดื่ม เคเอสไอ จำกัด 
51,51,1,หนองมะเขือ,ผลิตน้ำแข็ง,พล,บริษัท กรเดช เมืองพล จำกัด
52,52,1,ชุมแพ,ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 40 ตัน/วัน รวมเป็น 110 ตัน/วัน,ชุมแพ,นางนวรัตน์ ศรีสมุดคำ 
53,53,1,หนองแวงนางเบ้า,ทำน้ำแข็งก้อนเล็ก,พล,ห้างหุ้นส่วนจำกัด ประสงค์ทรัพย์
54,54,1,น้ำพอง,ทำน้ำแข็งก้อนเล็ก,น้ำพอง,ห้างหุ้นส่วนจำกัด คิงส์น้ำพอง
55,55,1,เขื่อนอุบลรัตน์,ทำน้ำแข็งก้อนเล็กและทำน้ำดื่ม,อุบลรัตน์,นายวิสิทธิ์ ตันติบัญชาชัย
56,56,1,ในเมือง,ผลิตน้ำแข็งหลอด,บ้านไผ่,นายอภิสิทธิ์ เกาะลอย
57,57,1,ภูเวียง,ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 50 ตันต่อวัน,ภูเวียง,นายกริชดา ดวงเตชะ
58,58,1,หนองกุงเซิน,ผลิตน้ำแข็งก้อนเล็ก,ภูเวียง,นายสุพจน์ แดนไก่แก้ว
59,59,1,ในเมือง,ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,เมืองขอนแก่น,นายเรืองศักดิ์ รุ่งไมตรี
60,60,1,ชุมแพ,ทำน้ำแข็งก้อนเล็ก,ชุมแพ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็ง เอสซีขอนแก่น
61,61,1,หนองแวงโสกพระ,ทำน้ำแข็งก้อนเล็ก,พล,บริษัท ธาราทิพย์ โนนเพ็ก จำกัด
62,62,1,บ้านฝาง,ผลิตและจำหน่ายน้ำแข็งหลอด น้ำดื่ม,บ้านฝาง,นางนวรัตน์ ศรีสมุดคำ
63,63,1,ในเมือง,ทำน้ำแข็งก้อนเล็ก,เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งหลอดศรีนวล
64,64,1,ในเมือง,ทำน้าแข็งซอง,เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด สมชัยพานิช ชุมแพ
65,65,1,ชุมแพ,ทำน้ำแข็งก้อนเล็ก,ชุมแพ,นางตุ๊ ฐิตรัตน์สกุล
66,66,1,พระลับ,ผลิตน้ำแข็งหลอด กำลังการผลิต 60 ตันต่อวัน,เมืองขอนแก่น,นายอภิชา ชาญเมธีกิติกุล
67,67,1,กระนวน,ทำน้ำแข็งก้อนเล็ก,ซำสูง,ห้างหุ้นส่วนจำกัด ซำสูงน้ำทิพย์
68,68,1,ท่าพระ,ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 100 ตัน/วัน,เมืองขอนแก่น,บริษัท กิจวารีท่าพระ จำกัด
69,69,1,หนองกุงใหญ่,ทำน้ำแข็งก้อนเล็ก,กระนวน,ห้างหุ้นส่วนจำกัด ส.สยามไอซ์
70,70,1,เมืองเก่า,ผลิตน้ำแข็งก้อนเล็ก,เมืองขอนแก่น,บริษัท ธาราทิพย์ ขอนแก่น จำกัด
71,71,1,สงเปือย,ทำน้ำแข็งก้อนเล็ก,ภูเวียง,บริษัท โรงน้ำแข็งสุขสมนึก จำกัด
72,72,1,กุดเค้า,ทำน้ำแข็งก้อนเล็ก,มัญจาคีรี,ห้างหุ้นส่วนจำกัด น้ำแข็ง พูนทรัพย์
73,73,1,ท่าศาลา,ทำน้ำแข็งก้อนเล็ก,มัญจาคีรี,นายอนนท์ ธงศิลา
74,74,1,บ้านโต้น,ทำน้ำแข็งก้อนเล็ก วันละ 20 ตัน,พระยืน,นายวีระศักดิ์ สรรพทรัพย์
75,75,1,กุดกว้าง,ผลิตน้ำแข็งก้อนเล็ก,หนองเรือ,บริษัท โรงน้ำแข็งขอนแก่นกิจวารี (หนองเรือ) จำกัด
76,76,1,ชนบท,ทำน้ำแข็งก้อนเล็ก,ชนบท,ห้างหุ้นส่วนจำกัด ซันนี่ขอนแก่น
77,77,1,หนองเรือ,ทำน้ำแข็งก้อนเล็ก,หนองเรือ,ห้างหุ้นส่วนจำกัด ซันนี่ขอนแก่น
78,78,1,หนองแวงนางเบ้า,ทำน้ำแข็งก้อนเล็ก,พล,ห้างหุ้นส่วนจำกัด ธาราทิพย์ เมืองพล
79,79,1,โนนหัน,ผลิตน้ำแข็งก้อนเล็ก,ชุมแพ,บริษัท โรงน้ำแข็ง อ.ลักขณาชุมแพ จำกัด
80,80,1,น้ำพอง,ผลิตและจำหน่ายน้ำแข็งหลอด,น้ำพอง,นายอนุชา นิมพิศุทธิ์
81,81,1,น้ำพอง,ทำน้ำแข็งก้อนเล็ก,น้ำพอง,ห้างหุ้นส่วนจำกัด น้ำแข็งซันนี่ 2010
82,82,1,โคกสี,ทำน้ำแข็งก้อนเล็ก,เมืองขอนแก่น,นายเรืองศักดิ์ รุ่งไมตรี
83,83,1,ขัวเรียง,ทำน้ำแข็งก้อนเล็ก,ชุมแพ,นายเรืองศักดิ์ รุ่งไมตรี
84,84,1,ท่านางแนว,ทำน้ำแข็ง และน้ำดื่ม,แวงน้อย,นางสุภาพร แก้วสิงห์
85,85,1,บ้านโคก,ทำน้ำแข็งก้อนเล็ก,โคกโพธิ์ไชย,ห้างหุ้นส่วนจำกัด พิศมัย น้ำแข็ง-น้ำดื่ม
86,86,1,หนองเสาเล้า,ผลิตอาหารสัตว์,ชุมแพ,บริษัท พาราไดซ์ กรีนเอนเนอยี่ จำกัด
87,87,1,บ้านแฮด,ทำอาหารผสมสำหรับเลี้ยงสัตว์และป่น บดผลิตผลทางการเกษตร,บ้านแฮด,บริษัท ขอนแก่น ครอพ จำกัด
88,88,1,บ้านลาน,ตากกากข้าวมอลท์เพื่อทำเป็นอาหารสัตว์,บ้านไผ่,ห้างหุ้นส่วนจำกัด ญาณมารี
89,89,1,บ้านไผ่,บดและผสมอาหารสัตว์,บ้านไผ่,นายสุจินต์ เรืองชยจตุพร
90,90,1,แดงใหญ่,ฆ่าสัตว์,เมืองขอนแก่น,บริษัท ไทย ฟู้ดส์ สไวน อินเตอร์เนชั่นแนล จำกัด
91,91,1,โนนสมบูรณ์,ฆ่าสัตว์ การล้าง ชำแหละ แกะ ต้มไก่,บ้านแฮด,นางสาวทองขันธ์ อินอุ่นโชติ
92,92,1,บ้านเป็ด,ฆ่าสัตว์,เมืองขอนแก่น,นายธีระยุทธ์ พันธุ์ต่วน
93,93,1,แคนเหนือ,ทำกุนเชียงหมูหยอง,บ้านไผ่,บริษัท บ้านไผ่ลิ้มซินเฮียง จำกัด
94,94,1,แดงใหญ่,ล้าง ชำแหละ หรือบดสัตว์ แปรรูปอาหารจากเนื้อสัตว์ เช่น ไส้กรอก แหนม หมูยอ เป็นต้น,เมืองขอนแก่น,บริษัท ไทย เกรทเนส กรุ๊ป จำกัด
95,95,1,บ้านหว้า,ผลิต ตัดแต่ง แปรรูปเนื้อสัตว์,เมืองขอนแก่น,บริษัท อีอ้วน ฟู้ด จำกัด
96,96,1,เมืองเก่า,ผลิตกุนเชียง หมูหยอง หมูยอ แหนม ไส้กรอก,เมืองขอนแก่น,นางสาวอาภรณ์ ลิ้มธีระกุล
97,97,1,ดอนหัน,ผลิตอาหารสำเร็จรูปที่ทำจากเนื้อสัตว์ แป้ง ผัก และวัตถุเจือปนในอาหาร หรือผลิตภัณฑ์ที่คล้ายคลึงกัน,เมืองขอนแก่น,บริษัท เตี๋ยวตุ๋นหม้อไฟอินดี้ จำกัด
98,98,1,น้ำพอง,ทำครั่งเม็ด,น้ำพอง,ห้างหุ้นส่วนจำกัด น้ำพองซีดแล็ค
99,99,1,ดอนหัน,ตัดแต่งและแปรรูปผลิตภัณฑ์จากเนื้อสัตว์,เมืองขอนแก่น,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
100,100,1,บ้านผือ,ผลิตเต้าหู้ไข่,หนองเรือ,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด
101,101,1,บ้านค้อ,แปรรูปน้ำนมดิบเป็นผลิตภัณฑ์นมพลาสเจอร์ไรส์ เพื่อจำหน่าย,เมืองขอนแก่น,สหกรณ์โคนมขอนแก่น จำกัด
102,102,1,โนนท่อน,ผลิตและจำหน่ายนมสด นมเปรี้ยว  โยเกิร์ต ผลิตภัณฑ์แปรรูปจากนมทุกประเภท,เมืองขอนแก่น,บริษัท กาฬสินธุ์แดรี่ฟูด จำกัด
103,103,1,กุดเค้า,ผลิตนมพาสเจอร์ไรส์,มัญจาคีรี,วิทยาลัยเกษตรและเทคโนโลยีขอนแก่น
104,104,1,ดอนหัน,ถนอมและแปรรูปน้ำนมดิบ,เมืองขอนแก่น,บริษัท เทียนขำ แดรี่ คอร์ปอร์เรชั่น จำกัด
105,105,1,บ้านดง,การทำอาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้  เช่น ปลาร้าบรรจุขวด,อุบลรัตน์,บริษัท ปลาร้าเชฟไพรฑูรย์ ฟู้ดโปรดักส์ จำกัด
106,106,1,พระยืน,สกัดน้ำมันและผลิตชิ้นไม้จากไม้กฤษณา,พระยืน,ห้างหุ้นส่วนจำกัด เค.เค อะกร้า วู๊ด
107,107,1,ชุมแพ,ทำน้ำแข็งก้อนเล็ก ได้วันละ 36.5 ตัน,ชุมแพ,นายเรืองศักดิ์ รุ่งเรืองไมตรี
108,108,1,ชุมแพ,ทำหน่อไม้ปี๊ป,ชุมแพ,นางสมบูรณ์ อ้วนภักดี
109,109,1,ในเมือง,"ทำขนมปัง,ขนมเค็กและอื่นๆ",เมืองขอนแก่น,โรงแรม โซฟิเทล ราชาออคิด
110,110,1,พระลับ,ผลิตขนมปังปอนด์,เมืองขอนแก่น,นายฉลอง ไวยบุรี
111,111,1,หนองไผ่,ทำน้ำแข็งก้อนเล็ก,ชุมแพ,นายปริญญา แซ่ผุง
112,112,1,ในเมือง,ทำน้ำแข็งก้อนเล็ก,เมืองขอนแก่น,บริษัท โรงแรมราชาออคิด จำกัด
113,113,1,โนนท่อน,ผลิตน้ำแข็งก้อนเล็ก กำลังผลิต 8 ตัน/วัน,เมืองขอนแก่น,นายสมจิตร พลทะอินทร์
114,114,1,โนนท่อน,ผสมและบดอาหารสตว์,เมืองขอนแก่น,วิสาหกิจชุมชนเกษตรกรผู้เลี้ยงโคนมทรัพย์เจริญ
115,115,1,ในเมือง,ทำลูกชิ้น,เมืองขอนแก่น,บริษัท ลูกชิ้นตราเพชร จำกัด
116,116,1,ในเมือง,ผลิตกะทิสดสำเร็จ,เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด ดอกคูณกะทิสด
117,,116,,,,
