ADM0_PCODE,ADM0_EN,_id,REGION4,ปี,ผู้มีงานทำ,สถานภาพการทำงาน,เพศ,ไตรมาส,ADM0_TH,ADM1_TH
TH,Thailand,26,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,ยโสธร
TH,Thailand,27,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,28,ภาคตะวันออกเฉียงเหนือ,2566,239.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,29,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,30,ภาคตะวันออกเฉียงเหนือ,2566,188.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,31,ภาคตะวันออกเฉียงเหนือ,2566,714.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,32,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,อุดรธานี
TH,Thailand,33,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,เลย
TH,Thailand,34,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,หนองคาย
TH,Thailand,35,ภาคตะวันออกเฉียงเหนือ,2566,124.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,36,ภาคตะวันออกเฉียงเหนือ,2566,501.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,37,ภาคตะวันออกเฉียงเหนือ,2566,1863.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,38,ภาคตะวันออกเฉียงเหนือ,2566, - ,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,สกลนคร
TH,Thailand,39,ภาคตะวันออกเฉียงเหนือ,2566,286.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,นครพนม
TH,Thailand,40,ภาคตะวันออกเฉียงเหนือ,2566,151.00,การรวมกลุ่ม,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,41,ภาคตะวันออกเฉียงเหนือ,2566,66439.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,42,ภาคตะวันออกเฉียงเหนือ,2566,62165.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,43,ภาคตะวันออกเฉียงเหนือ,2566,27343.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,สุรินทร์
TH,Thailand,44,ภาคตะวันออกเฉียงเหนือ,2566,69390.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,45,ภาคตะวันออกเฉียงเหนือ,2566,61643.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,46,ภาคตะวันออกเฉียงเหนือ,2566,22251.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,ยโสธร
TH,Thailand,47,ภาคตะวันออกเฉียงเหนือ,2566,33179.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,48,ภาคตะวันออกเฉียงเหนือ,2566,9507.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,49,ภาคตะวันออกเฉียงเหนือ,2566,30354.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,50,ภาคตะวันออกเฉียงเหนือ,2566,14658.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,51,ภาคตะวันออกเฉียงเหนือ,2566,62344.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,52,ภาคตะวันออกเฉียงเหนือ,2566,46334.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,อุดรธานี
TH,Thailand,53,ภาคตะวันออกเฉียงเหนือ,2566,51837.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,เลย
TH,Thailand,54,ภาคตะวันออกเฉียงเหนือ,2566,23093.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,หนองคาย
TH,Thailand,55,ภาคตะวันออกเฉียงเหนือ,2566,21692.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,56,ภาคตะวันออกเฉียงเหนือ,2566,39383.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,57,ภาคตะวันออกเฉียงเหนือ,2566,39751.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,58,ภาคตะวันออกเฉียงเหนือ,2566,34444.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,สกลนคร
TH,Thailand,59,ภาคตะวันออกเฉียงเหนือ,2566,21046.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,นครพนม
TH,Thailand,60,ภาคตะวันออกเฉียงเหนือ,2566,22778.00,ช่วยธุรกิจครัวเรือน,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,61,ภาคตะวันออกเฉียงเหนือ,2566,107635.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,62,ภาคตะวันออกเฉียงเหนือ,2566,62963.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,63,ภาคตะวันออกเฉียงเหนือ,2566,43797.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,สุรินทร์
TH,Thailand,64,ภาคตะวันออกเฉียงเหนือ,2566,79445.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,65,ภาคตะวันออกเฉียงเหนือ,2566,148887.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,66,ภาคตะวันออกเฉียงเหนือ,2566,36265.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,ยโสธร
TH,Thailand,67,ภาคตะวันออกเฉียงเหนือ,2566,50255.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,68,ภาคตะวันออกเฉียงเหนือ,2566,13435.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,69,ภาคตะวันออกเฉียงเหนือ,2566,33870.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,70,ภาคตะวันออกเฉียงเหนือ,2566,32792.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,71,ภาคตะวันออกเฉียงเหนือ,2566,137850.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,72,ภาคตะวันออกเฉียงเหนือ,2566,79823.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,อุดรธานี
TH,Thailand,73,ภาคตะวันออกเฉียงเหนือ,2566,64688.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,เลย
TH,Thailand,74,ภาคตะวันออกเฉียงเหนือ,2566,33569.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,หนองคาย
TH,Thailand,75,ภาคตะวันออกเฉียงเหนือ,2566,53139.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,76,ภาคตะวันออกเฉียงเหนือ,2566,45150.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,77,ภาคตะวันออกเฉียงเหนือ,2566,49928.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,78,ภาคตะวันออกเฉียงเหนือ,2566,41436.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,สกลนคร
TH,Thailand,79,ภาคตะวันออกเฉียงเหนือ,2566,26061.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,นครพนม
TH,Thailand,80,ภาคตะวันออกเฉียงเหนือ,2566,34395.00,ช่วยธุรกิจครัวเรือน,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,81,ภาคตะวันออกเฉียงเหนือ,2566,300357.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,82,ภาคตะวันออกเฉียงเหนือ,2566,193623.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,83,ภาคตะวันออกเฉียงเหนือ,2566,127716.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,สุรินทร์
TH,Thailand,84,ภาคตะวันออกเฉียงเหนือ,2566,131142.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,85,ภาคตะวันออกเฉียงเหนือ,2566,260152.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,86,ภาคตะวันออกเฉียงเหนือ,2566,69524.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,ยโสธร
TH,Thailand,87,ภาคตะวันออกเฉียงเหนือ,2566,85381.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,88,ภาคตะวันออกเฉียงเหนือ,2566,37400.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,89,ภาคตะวันออกเฉียงเหนือ,2566,42499.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,90,ภาคตะวันออกเฉียงเหนือ,2566,60852.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,91,ภาคตะวันออกเฉียงเหนือ,2566,204413.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,92,ภาคตะวันออกเฉียงเหนือ,2566,150516.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,อุดรธานี
TH,Thailand,93,ภาคตะวันออกเฉียงเหนือ,2566,74062.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,เลย
TH,Thailand,94,ภาคตะวันออกเฉียงเหนือ,2566,53906.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,หนองคาย
TH,Thailand,95,ภาคตะวันออกเฉียงเหนือ,2566,115816.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,96,ภาคตะวันออกเฉียงเหนือ,2566,149335.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,97,ภาคตะวันออกเฉียงเหนือ,2566,115863.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,98,ภาคตะวันออกเฉียงเหนือ,2566,125189.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,สกลนคร
TH,Thailand,99,ภาคตะวันออกเฉียงเหนือ,2566,73457.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,นครพนม
TH,Thailand,100,ภาคตะวันออกเฉียงเหนือ,2566,66409.00,ทำงานส่วนตัว,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,101,ภาคตะวันออกเฉียงเหนือ,2566,181301.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,102,ภาคตะวันออกเฉียงเหนือ,2566,148887.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,103,ภาคตะวันออกเฉียงเหนือ,2566,97210.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,สุรินทร์
TH,Thailand,104,ภาคตะวันออกเฉียงเหนือ,2566,107330.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,105,ภาคตะวันออกเฉียงเหนือ,2566,109001.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,106,ภาคตะวันออกเฉียงเหนือ,2566,53124.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,ยโสธร
TH,Thailand,107,ภาคตะวันออกเฉียงเหนือ,2566,57335.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,108,ภาคตะวันออกเฉียงเหนือ,2566,25944.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,109,ภาคตะวันออกเฉียงเหนือ,2566,33130.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,110,ภาคตะวันออกเฉียงเหนือ,2566,30553.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,111,ภาคตะวันออกเฉียงเหนือ,2566,138154.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,112,ภาคตะวันออกเฉียงเหนือ,2566,89632.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,อุดรธานี
TH,Thailand,113,ภาคตะวันออกเฉียงเหนือ,2566,50865.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,เลย
TH,Thailand,114,ภาคตะวันออกเฉียงเหนือ,2566,34400.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,หนองคาย
TH,Thailand,115,ภาคตะวันออกเฉียงเหนือ,2566,76057.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,116,ภาคตะวันออกเฉียงเหนือ,2566,133939.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,117,ภาคตะวันออกเฉียงเหนือ,2566,66843.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,118,ภาคตะวันออกเฉียงเหนือ,2566,61386.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,สกลนคร
TH,Thailand,119,ภาคตะวันออกเฉียงเหนือ,2566,54302.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,นครพนม
TH,Thailand,120,ภาคตะวันออกเฉียงเหนือ,2566,38112.00,ทำงานส่วนตัว,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,121,ภาคตะวันออกเฉียงเหนือ,2566,17386.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,122,ภาคตะวันออกเฉียงเหนือ,2566,12729.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,123,ภาคตะวันออกเฉียงเหนือ,2566,5324.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,สุรินทร์
TH,Thailand,124,ภาคตะวันออกเฉียงเหนือ,2566,2810.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,125,ภาคตะวันออกเฉียงเหนือ,2566,8880.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,126,ภาคตะวันออกเฉียงเหนือ,2566,1780.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,ยโสธร
TH,Thailand,127,ภาคตะวันออกเฉียงเหนือ,2566,4901.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,128,ภาคตะวันออกเฉียงเหนือ,2566,1897.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,129,ภาคตะวันออกเฉียงเหนือ,2566,1909.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,130,ภาคตะวันออกเฉียงเหนือ,2566,1209.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,131,ภาคตะวันออกเฉียงเหนือ,2566,18516.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,132,ภาคตะวันออกเฉียงเหนือ,2566,4783.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,อุดรธานี
TH,Thailand,133,ภาคตะวันออกเฉียงเหนือ,2566,1092.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,เลย
TH,Thailand,134,ภาคตะวันออกเฉียงเหนือ,2566,738.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,หนองคาย
TH,Thailand,135,ภาคตะวันออกเฉียงเหนือ,2566,4990.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,136,ภาคตะวันออกเฉียงเหนือ,2566,4762.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,137,ภาคตะวันออกเฉียงเหนือ,2566,2577.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,138,ภาคตะวันออกเฉียงเหนือ,2566,4237.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,สกลนคร
TH,Thailand,139,ภาคตะวันออกเฉียงเหนือ,2566,1882.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,นครพนม
TH,Thailand,140,ภาคตะวันออกเฉียงเหนือ,2566,1577.00,นายจ้าง,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,141,ภาคตะวันออกเฉียงเหนือ,2566,4881.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,142,ภาคตะวันออกเฉียงเหนือ,2566,2593.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,143,ภาคตะวันออกเฉียงเหนือ,2566,3001.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,สุรินทร์
TH,Thailand,144,ภาคตะวันออกเฉียงเหนือ,2566,1565.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,145,ภาคตะวันออกเฉียงเหนือ,2566,1722.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,146,ภาคตะวันออกเฉียงเหนือ,2566,574.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,ยโสธร
TH,Thailand,147,ภาคตะวันออกเฉียงเหนือ,2566,1063.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,148,ภาคตะวันออกเฉียงเหนือ,2566,424.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,149,ภาคตะวันออกเฉียงเหนือ,2566,2126.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,150,ภาคตะวันออกเฉียงเหนือ,2566,433.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,151,ภาคตะวันออกเฉียงเหนือ,2566,2024.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
TH,Thailand,152,ภาคตะวันออกเฉียงเหนือ,2566,1033.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,อุดรธานี
TH,Thailand,153,ภาคตะวันออกเฉียงเหนือ,2566,864.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,เลย
TH,Thailand,154,ภาคตะวันออกเฉียงเหนือ,2566,243.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,หนองคาย
TH,Thailand,155,ภาคตะวันออกเฉียงเหนือ,2566,498.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
TH,Thailand,156,ภาคตะวันออกเฉียงเหนือ,2566,483.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
TH,Thailand,157,ภาคตะวันออกเฉียงเหนือ,2566,1112.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
TH,Thailand,158,ภาคตะวันออกเฉียงเหนือ,2566,494.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,สกลนคร
TH,Thailand,159,ภาคตะวันออกเฉียงเหนือ,2566,331.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,นครพนม
TH,Thailand,160,ภาคตะวันออกเฉียงเหนือ,2566,803.00,นายจ้าง,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
TH,Thailand,161,ภาคตะวันออกเฉียงเหนือ,2566,52531.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
TH,Thailand,162,ภาคตะวันออกเฉียงเหนือ,2566,29943.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
TH,Thailand,163,ภาคตะวันออกเฉียงเหนือ,2566,28405.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,สุรินทร์
TH,Thailand,164,ภาคตะวันออกเฉียงเหนือ,2566,21979.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
TH,Thailand,165,ภาคตะวันออกเฉียงเหนือ,2566,38591.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
TH,Thailand,166,ภาคตะวันออกเฉียงเหนือ,2566,13879.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,ยโสธร
TH,Thailand,167,ภาคตะวันออกเฉียงเหนือ,2566,20773.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
TH,Thailand,168,ภาคตะวันออกเฉียงเหนือ,2566,9870.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
TH,Thailand,169,ภาคตะวันออกเฉียงเหนือ,2566,8427.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
TH,Thailand,170,ภาคตะวันออกเฉียงเหนือ,2566,11501.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
TH,Thailand,171,ภาคตะวันออกเฉียงเหนือ,2566,35280.00,ลูกจ้างรัฐบาล,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
