ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
แสมดำ,เลขที่ 22,แสมดำ 5,10100100000000,808.18,93000000,43,3-105-73/59,43,บริษัท ส.พัฒนาเปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10120,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 114/3,,10100000000000,264,20000000,44,3-105-8/62,44,นายสิทธิชัย เอื้อโภศิณธ์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,50,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,11
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,10100100000000,255,13000000,45,3-105-81/48,45,ซั่งเฮงจั่น,02-5852521,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,10,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
กาญจนาภิเษก,เลขที่ 91,,10100000000000,55.5,8700000,46,3-105-84/59,46,วงษ์พาณิชย์บางบอน,02-8999995,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
ประชาร่วมใจ,เลขที่ 19,ประชาร่วมใจ 59,10100000000000,836.5,2700000,47,3-105-84/60,47,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,02-9169933,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10510,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,
,เลขที่ 4/14,,10100000000000,457,49000000,48,3-105-85/59,48,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,02-9565899,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,6
,เลขที่ 11,บางกระดี่ 43,10100000000000,283,22500000,49,3-105-86/61,49,นายปรีชา ธนงค์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
อ่อนนุช,"เลขที่ 25,27",อ่อนนุช 80,10100000000000,119,7000000,50,3-105-88/59,50,บริษัท คูเซ่งฮวด จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,7,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 169/2,,10100000000000,61,5000000,51,3-105-89/59,51,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 61,บางกระดี่ 25,10100200000000,200,24500000,52,3-105-9/60,52,นายคมกริช นิธิธนปรีดา,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 2,กรุงเทพกรีฑา 47,10100100000000,191,17556000,53,3-105-91/60,53,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,02-2451532,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16, -,10100000000000,33,1800000,54,3-105-98/50,54,หนองแขมของเก่า,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,7,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,10103700000000,335.5,0,55,3-106-1/46,55,อุตสาหกรรมน้ำมันไทย,081-5929569,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),8,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 74,6,10100000000000,769.5,80000000,56,3-106-34/60,56,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,02-892-2679,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,10,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,10100000000000,655.12,24000000,57,3-106-36/60,57,บริษัท เหล็กหมุนเวียน จำกัด,28121576,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
อ่อนนุช,เลขที่ โฉนดที่ดินเลขที่ 121,อ่อนนุช 86,10100100000000,2693.21,1370000000,58,3-106-54/61,58,บริษัท กรุงเทพธนาคม จำกัด,0 2168 3368,เชื้อเพลิงแข็งจากขยะชุมชน,47,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
พระรามที่ 2,เลขที่ 99/231,,10100000000000,90,1000000,59,3-106-62/60,59,บริษัท ผลพาณิชย์ จำกัด,084-4244701,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,12,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,4
,เลขที่ 15/115,กรุงเทพกรีฑา 37,10100100000000,146.35,47000000,60,3-106-72/61,60,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,9,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 3/356-357,-,91020200000000,73.86,0,61,ข3-106-18/48,61,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,02-5435436-7,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,9,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
ฉลองกรุง,เลขที่ 115,-,82030200000000,1265,10000000,62,น.105-1/2553-นนล.,62,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,02-326-1256,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,15,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
-,เลขที่ 66,#NAME?,82030000000000,310,65000000,63,น.106-1/2551-นนล.,63,บริษัท โลหะ สยาม จำกัด,02739-6388,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,82030300000000,329.5,0,64,น.106-1/2553-นนล.,64,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,814334212,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 239,ฉลองกรุง31,82030000000000,1100,7000000000,65,น.106-1/2559-นนล.,65,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,904100066,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,286,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ -,ฉลองกรุง 31,82030000000000,0,0,66,น.106-1/2561-นนล.,66,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,-,ซ่อมแซม ดัดแปลง ปรับปรุง เครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดี บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์ เครื่องโทรทัศน์ เครื่องโทรศัพท์ เครื่องเราต์เตอร์ คอมพิวเตอร์ ชิ,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 40,ฉลองกรุง31,82030000000000,0,0,67,น.106-2/2559-นนล.,67,บริษัท กรีนรีพับลิค จำกัด,26888200,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
-,เลขที่ -,-,82030000000000,0,0,68,น.106-2/2561-นนล.,68,บริษัท อิซัน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,-,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไหล่เครื่องโมเด็ม,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
เทพารักษ์ กม.23,เลขที่ 159/1,,10112800000000,500,109363616,69,3-101-1/34สป,69,บริษัท เอ็ม.ไทย เอสเตท จำกัด,02-706-1515,บำบัดน้ำเสียรวม,10,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,16
เทพารักษ์ กม.20.5,เลขที่ 209,,10113600000000,1751.26,86160000,70,3-101-1/35สป,70,บริษัท จีเอฟพีที จำกัด (มหาชน),02-3159400,บำบัดน้ำเสียรวม,24,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,1
สุขมวิท,เลขที่ ,-,10110500000000,30000,5468790000,71,3-101-1/44สป,71,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,      -,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,80,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,11
