แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
71.78,ชัยนารายณ์,ซ่อมเครื่องยนต์และช่วงล่าง,จ3-95(1)-3/36ลบ,สระบุรี-หล่มสัก,59/2,9501,ลพบุรี,461806,24683304,1,20160100325362,บริษัท สยามนิสสันลำนารายณ์ จำกัด,,บริษัท สยามนิสสัน แอล.เค.เอส ลำนารายณ์ จำกัด,15130,33121,30,ชัยบาดาล,20
46,ชัยนารายณ์,ตัวแทนจำหน่ายรถยนต์ และซ่อมรถยนต์,จ3-95(1)-273/58ลบ,,24,9501,ลพบุรี,,62600000,4,20160027325586,บริษัท ไทยธาดากรุ๊ป จำกัด,,บริษัท ไทยธาดากรุ๊ป จำกัด,15000,33121,31,ชัยบาดาล,25
709.2,ศิลาทิพย์,กระเทาะเมล็ด หรือ เปลือกเมล็ดพืช โดยกรรมวิธีการร่อน ล้าง คัด แยกขนาดหรือคุณภาพ,จ3-2(9)-1/36ลบ,สระบุรี-หล่มสัก,111/1,209,ลพบุรี,799455,10000000,1,20160000125367,บริษัท ไทยอุตสาหกรรมกิจเกษตร จำกัด,,บริษัท ไทยอุตสาหกิจเกษตร จำกัด,15130,28240,32,ชัยบาดาล,20
13106.3,ศิลาทิพย์,ผลิตแป้งมันสำปะหลัง และแป้งมันดัดแปร,3-9(2)-8/49ลบ,ทางหลวงหมายเลข 2212 กม.,"นส.3ก.เลขที่ 2017,2018,2859",902,ลพบุรี,,361590000,9,10160000825497,บริษัท บลูเวฟ สตาร์ช จำกัด,-,บริษัท บลูเวฟ สตาร์ช จำกัด,15130,10612,33,ชัยบาดาล,111
300,ศิลาทิพย์,ทำมันเส้น,จ3-9(6)-84/56ลบ,-,-,906,ลพบุรี,086-3199464,1000000,12,20160008425561,นายอำนาจ แซ่เฮง,-,ลิ้มควงเส็งพืชผล,15130,10621,34,ชัยบาดาล,5
120,ศิลาทิพย์,ทำลานมัน,จ3-9(6)-115/56ลบ,ศิลาทิพย์-โคกเจริญ,,906,ลพบุรี,,6150000,6,20160011525563,นางสาววีรญา กุลพรพันธ์,,,15130,10621,35,ชัยบาดาล,3
120,ศิลาทิพย์,ทำลานมัน,จ3-9(6)-165/55ลบ,-,13/1,906,ลพบุรี,,4450000,6,20160016525550,นางวรรณิภา สุทธิอาจ,-,ทรัพย์ไทรพืชผล,15130,10621,36,ชัยบาดาล,3
448,ศิลาทิพย์,ทำชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,3-34(4)-3/56ลบ,,16/1,3404,ลพบุรี,,5000000,12,10160000325563,นางสาววิลาสินี ตันตินันท์ธร,,,15130,16299,37,ชัยบาดาล,6
73,ศิลาทิพย์,ผลิตไม้พาเลท และชิ้นส่วน,จ3-36(1)-37/50ลบ,,โฉนดที่ดินเลขที่ 4596,3601,ลพบุรี,,10000000,12,20160103725501,ห้างหุ้นส่วนจำกัด ลัทธสิทธิ์การค้า,วัดซับยาง,ห้างหุ้นส่วนจำกัด ลัทธสิทธิ์การค้า,15130,16230,38,ชัยบาดาล,12
455.8,ศิลาทิพย์,ผลิตแอสฟัลท์ติกคอนกรีต,จ3-50(4)-49/59ลบ,สระบุรี-หล่มสัก,55,5004,ลพบุรี,,30000000,7,20160004925598,บริษัท อึ้งเจริญพูลทรัพย์ลำนารายณ์ จำกัด,,บริษัท อึ้งเจริญพูลทรัพย์ลำนารายณ์ จำกัด,15130,19209,39,ชัยบาดาล,5
124.5,ศิลาทิพย์,ทำผลิตภัณฑ์เกี่ยวกับโลหะแผ่น สำหรับทำหลังคาหรือผนังในงานก่อสร้าง,จ3-63(2)-57/55ลบ,,52/4,6302,ลพบุรี,,8000000,1,20160005725559,บริษัท บารมี เม็ททอลชีท จำกัด,,บริษัท บารมี เม็ททอลชีท จำกัด,15130,25111,40,ชัยบาดาล,3
3501.28,ศิลาทิพย์,ผลิตไฟฟ้าจากแสงอาทิตย์แบบติดตั้งบนพื้นดิน ขนาดกำลังการผลิต 1.406 mw,3-88(1)-39/64ลบ,,"โฉนดที่ดิน 20579, 20588, 20587 นส3ก 327",8801,ลพบุรี,,47000000,11,40160491025643,บริษัท กรีนเยลโล่ โซล่าร์ 2 (ไทยแลนด์) จำกัด,,บริษัท กรีนเยลโล่ โซล่าร์ 2 (ไทยแลนด์) จำกัด,15130,35101,41,ชัยบาดาล,10
5656,ศิลาทิพย์,ผลิต ส่ง และจำหน่ายกระแสไฟฟ้า(กำลังการผลิต 4.1 เมกะวัตต์/ชั่วโมง),3-88(2)-32/56ลบ,,168,8802,ลพบุรี,,112000000,9,40160003225566,บริษัท บลูเวฟ เอ็นเนอยี่ จำกัด,,บริษัท บลูเวฟ เอ็นเนอยี่ จำกัด,15130,35101,42,ชัยบาดาล,18
81.99,ศิลาทิพย์,บรรจุอ๊อกซิเจน,จ3-89-1/39ลบ,,28,8900,ลพบุรี,,7150000,7,20160800125393,ห้างหุ้นส่วนจำกัด จันวรากรณ์ อ๊อกซิเจน,,จันวรากรณ์ อ๊อกซิเจน,15130,20111,43,ชัยบาดาล,10
257,ศิลาทิพย์,"ผลิต ส่ง และจำหน่ายก๊าซชีวภาพ 30,000 ลบม./วัน",จ3-89-5/55ลบ,,168,8900,ลพบุรี,,71000000,9,20160100525557,บริษัท บลูเวฟ เอ็นเนอยี่ จำกัด,,บริษัท บลูเวฟ เอ็นเนอยี่ จำกัด,15130,20111,44,ชัยบาดาล,4
270,ศิลาทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-97/63ลบ,,นส.3ก.เลขที่ 02808,10500,ลพบุรี,,11600000,7,10160293825634,บริษัท กษิตทาน์ จำกัด,,บริษัท กษิตทาน์ จำกัด,15130,38211,45,ชัยบาดาล,20
190,ศิลาทิพย์,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์,3-106-59/64ลบ,,49,10600,ลพบุรี,,5500000,7,10160419425640,บริษัท กษิตทาน์ จำกัด,,บริษัท กษิตทาน์ จำกัด,15130,38300,46,ชัยบาดาล,12
13784.43,ห้วยหิน,ฆ่าไก่ ชำแหละ และห้องเย็นแช่แข็ง,ศ3-4(1)-1/35ลบ,สระบุรี-หล่มสัก,99,401,ลพบุรี,,1195000000,5,00160000125353,บริษัท สหฟาร์ม จำกัด,กม.ที่ 54-55,บริษัท สหฟาร์ม จำกัด,15130,10111,47,ชัยบาดาล,4800
14503.46,ห้วยหิน,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ไก่ย่าง ไก่ทอด ไก่คลุกแป้ง,3-4(3)-2/43ลบ,สระบุรี-หล่มสัก,99/99,403,ลพบุรี,036-643222,622476195,8,10160000225433,บริษัท สหฟาร์ม จำกัด,,สหอินเตอร์ฟูดส์,15130,10139,48,ชัยบาดาล,819
145.62,ห้วยหิน,ผลิตยาสัตว์,จ3-46(2)-1/45ลบ,สระบุรี-หล่มสัก,9/1,4602,ลพบุรี,036-643423,48355500,8,20160300125455,บริษัท โกลเด้น ไลน์ บิสซิเนส จำกัด,,บริษัท โกลเด้น ไลน์ บิสซิเนส จำกัด,15130,21001,49,ชัยบาดาล,17
290,ห้วยหิน,บำบัดของเสีย (ปรับคุณภาพน้ำเสีย),3-101-1/44ลบ,สระบุรี- หล่มสัก,99,10100,ลพบุรี,036-643222,175130000,8,10160100125442,บริษัท สหฟาร์ม จำกัด,,บริษัท สหฟาร์ม จำกัด,15130,37000,50,ชัยบาดาล,5
109,ม่วงค่อม,ผลิตและจำหน่ายเมล็ดทานตะวัน และธัญญพืช,จ3-2(2)-1/46ลบ,-,88,202,ลพบุรี,,15360000,4,20160100125465,บริษัท ท่าหลวงเกษตร จำกัด ,-,บริษัท ท่าหลวงเกษตร จำกัด,15230,1630,51,ชัยบาดาล,11
185,ม่วงค่อม,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,จ3-9(1)-1/42ลบ,สระบุรี-หล่มสัก,99,901,ลพบุรี,01-9898314,4000000,8,20160100125424,นายศุภฤทธิ์ กิตติอมรภิวัฒน์,,ชัยเทพวัฒนา,15230,10611,52,ชัยบาดาล,4
73.75,ม่วงค่อม,ผลิตคอนกรีตผสมเสร็จ,จ3-58(1)-1/40ลบ,สุระนารายณ์,109,5801,ลพบุรี,,17855627,2,20161000125407,บริษัท นิยมชัยคอนกรีต จำกัด,,บริษัท นิยมชัยคอนกรีต จำกัด,15230,23953,53,ชัยบาดาล,10
150,ม่วงค่อม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-33/63ลบ,,โฉนดที่ดินเลขที่ 16950,10500,ลพบุรี,,800000,9,10160090225632,นายเสน่ห์ ทองพรหม,,ทองพรหมาการค้า,15230,38211,54,ชัยบาดาล,8
544.57,ท่าดินดำ,ผลิตเสื้อสำเร็จรูป,จ3-28(1)-1/42ลบ,,199,2801,ลพบุรี,,137500000,6,20160300125422,บริษัท โอเอแซคที จำกัด,,บริษัท โอเอแซดที จำกัด,15130,14111,55,ชัยบาดาล,3530
90,ซับตะเคียน,ทำมันเส้น,จ3-9(6)-1/42ลบ,ชัยบาดาล-ดานขุนทด,13/9,906,ลพบุรี,,350000,3,20160200125423,นางสาวสุกัลยา แผลงปัญญา,บ้านเขาตะแคง,-,15130,10621,56,ชัยบาดาล,4
120,ซับตะเคียน,ทำลานตากมันสำปะหลัง,จ3-9(6)-2/36ลบ,ท่าหลวง-ด่านขุนทด,113,906,ลพบุรี,,1100000,4,20160200225363,นายจักรกฤษณ์ โล่ห์คุณสมบัติ,,มิตรชาวไร่,15130,10621,57,ชัยบาดาล,4
90,ซับตะเคียน,ทำมันเส้น ได้เดือน 330 ตัน,จ3-9(6)-23/54ลบ,ชัยบาดาล-ด่านขุนทด,78/1,906,ลพบุรี,,440000,4,20160002325544,นายภูวสิชณ์ หวังศุภกิจโกศล,-,นิคมพืชผล,15130,10621,58,ชัยบาดาล,3
1953,นาโสม,โม่ บด ย่อยหิน,3-3(1)-1/21ลบ,สุระนารายณ์,54,301,ลพบุรี, ,6100000,3,10160000125211,บริษัท ศิลานิยมทองมา จำกัด, ,บริษัท ศิลานิยมทองมา จำกัด,15190,23961,59,ชัยบาดาล,20
855,นาโสม,โม่ บด ย่อยหิน,3-3(1)-3/15ลบ,สุระนารายณ์,54/1,301,ลพบุรี,461323,1000000,3,10160000325159,บริษัท ศิลานิยมชัย จำกัด, ,บริษัท ศิลานิยมชัย จำกัด,15190,23961,60,ชัยบาดาล,12
2398,นาโสม,โม่ บด หรือย่อยหิน,ธ3-3(1)-2/40ลบ,ลำนารายณ์-ชัยภูมิ,,301,ลพบุรี,,25500000,,30160000225405,ห้างหุ้นส่วนจำกัด ศิลาแผ่นดินทองเขาตำบล,,ห้างหุ้นส่วนจำกัด ศิลาแผ่นดินทองเขาตำบล,15130,23961,61,ชัยบาดาล,35
558,นาโสม,ทำมันเส้น,จ3-9(6)-2/40ลบ,สระนารายณ์,22/1,906,ลพบุรี,,850000,4,20160000225407,นายสามารถ วิมุติสุนทร,,ตั้งเง็กฮะ,15190,10621,62,ชัยบาดาล,5
120,นาโสม,ทำมันเส้น,จ3-9(6)-3/36ลบ,,77/2,906,ลพบุรี,,1009000,2,20160000325363,นางสาวรวมพร สมประสิทธิ์,,พันธุ์พืชผล,15190,10621,63,ชัยบาดาล,7
195,นาโสม,ทำมันเส้น และตากพืชหรือเมล็ดพืช,จ3-9(6)-12/62ลบ,,77/2,906,ลพบุรี,,9500000,,20160250525621,นายวุฒิชัย สงวนตระกูล,,ลิ้มรุ่งเรือง,15190,10621,64,ชัยบาดาล,2
479.5,นาโสม,ผลิตแอสฟัลท์ติดคอนกรีต,จ3-50(1)-1/44ลบ,สุรนารายณ์-ชัยภูมิ,54/6,5001,ลพบุรี,,13015067,3,20160500125446,บริษัท สำราญกิจ 1994 จำกัด,,บริษัท สำราญกิจ จำกัด,15190,19100,65,ชัยบาดาล,9
58.75,นาโสม,ทำปูนขาว,3-57(1)-1/34ลบ,,71-76,5701,ลพบุรี,461323,5500000,3,10160100125343,ห้างหุ้นส่วนจำกัด ศาลาแผ่นดินทองเขาตำบล,,ห้างหุ้นส่วนจำกัด ศิลาแผ่นดินทองเขาตำบล,15190,23941,66,ชัยบาดาล,6
58.75,นาโสม,ทำปูนขาว,3-57(1)-2/34ลบ,,54,5701,ลพบุรี,,2500000,3,10160000225342,ห้างหุ้นส่วนจำกัด ศิลาเขาตำบล,,เขาตำบลปูนขาว,15190,23941,67,ชัยบาดาล,6
57.75,นาโสม,ทำปูนขาว,3-57(1)-3/34ลบ,สุระนารายณ์,54/1,5701,ลพบุรี,461323,2500000,3,10160000325340,ห้างหุ้นส่วนจำกัด ศิลานิยมชัย,-,นิยมชัยปูนขาว,15190,23941,68,ชัยบาดาล,60
132,หนองยายโต๊ะ,ขุดตักดิน-และดินลูกรัง,จ3-3(2)-195/48ลบ,-,น.ส.3 ก เลขที่ 1162,302,ลพบุรี,,1180000,3,20160019525482,นางสำราญ วรปัญญา,-,สำราญบ่อดินทอง,15130,8103,69,ชัยบาดาล,5
135,หนองยายโต๊ะ,ทำมันเส้น,จ3-9(6)-3/40ลบ,,-,906,ลพบุรี,,8900000,1,20160000325405,นายแก้ว บัวหลวงงาม,,ยิ่งเฮงพืชผล,15130,10621,70,ชัยบาดาล,2
85,เกาะรัง,มันเส้น,จ3-9(6)-5/43ลบ,ชัยบาดาล-วิเชียรบุรี,183,906,ลพบุรี,-,1100000,10,20160000525434,นายวิรัช ชุ่มเมืองปัก,-,เทพธงชัยพืชผล,15130,10621,71,ชัยบาดาล,3
237,เกาะรัง,ทำมันเส้นและอัดกากอ้อย,จ3-15(1)-1/46ลบ,,25/1,1501,ลพบุรี,,4400000,7,20160300125463,นายสุวิชาญ สมประสิทธิ์,,พันธ์พืชผล,15130,10801,72,ชัยบาดาล,19
115,เกาะรัง,ผลิตชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,3-34(4)-17/60ลบ,,265,3404,ลพบุรี,,2300000,1,10160001725605,นายอุบล เพียเพ็ชร,,-,18000,16299,73,ชัยบาดาล,5
109.5,ท่ามะนาว,"อบเมล็ดข้าวโพดและพืชไร่อื่นๆ , ปอกหัวพืชหรือทำให้เป็นเส้นหรือแว่นของพืชไร่ต่าง ๆ เช่น มันสำปะหลัง เป็นต้น",จ3-2(1)-33/49ลบ,,87,201,ลพบุรี,,134000000,2,20160003325493,นายสุรพงษ์ หาษดำรงกุล,,ศรีพงษ์พานิช,15130,1630,74,ชัยบาดาล,10
120,ท่ามะนาว,แปลงสภาพมันหัวให้เป็นมันเส้น,จ3-9(6)-7/43ลบ,,108,906,ลพบุรี, (036)631128,1000000,8,20160000725430,นายปัญญา บุญบันดาลฤทธิ์,,ร้านปัญญาพาณิชย์,15130,10621,75,ชัยบาดาล,3
56,ท่ามะนาว,ผลิตพริกไทยป่น,จ2-13(8)-7/64ลบ,,112/1,1308,ลพบุรี,036-461090,5000000,7,20160234525648,บริษัท สยาม พรีเมียม เฮิร์บ จำกัด,,บริษัท สยาม พรีเมี่ยม เฮิร์บส์ จำกัด,15130,10771,76,ชัยบาดาล,7
494,นิคมลำนารายณ์,"สี, อบ เมล็ดข้าวโพด",จ3-2(1)-12/58ลบ,,114,201,ลพบุรี,,16000000,4,20160001225588,นายโชคชัย ธรรมานุธรรม,,จิ้นหลีจั่น,15130,1630,77,ชัยบาดาล,6
2244.52,นิคมลำนารายณ์,อบพืชและไซโล,3-2(5)-1/31ลบ,สายสระบุรี - หล่มสัก,43,205,ลพบุรี,036-632067-71,219400000,2,10160000125310,บริษัท สหฟาร์ม จำกัด,,โรงงานไซโลลำนารายณ์,15130,52102,78,ชัยบาดาล,26
420,นิคมลำนารายณ์,บดย่อย ป่น ย่อยส่วนต่าง ๆ ของพืช เพื่ออัดเม็ดสำหรับเป็นเชื้อเพลิงเพื่อจำหน่าย,จ3-2(6)-3/64ลบ,,99/8,206,ลพบุรี,,10500000,2,20160409325642,ห้างหุ้นส่วนจำกัด เอ ซี ไบโอแมส,,ห้างหุ้นส่วนจำกัด เอ ซี ไบโอแมส,15130,1630,79,ชัยบาดาล,5
53,นิคมลำนารายณ์,ผลิตเมล็ดพันธุ์พืช โดยคัดแยกทำความสะอาดเมล็ดพันธุ์พืช,จ2-2(9)-12/64ลบ,สระบุรี-หล่มสัก,90,209,ลพบุรี,461701,8000000,5,20160231625649,ห้างหุ้นส่วนจำกัด ชัยชนะเกษตร,,ห้างหุ้นส่วนจำกัด ชัยชนะเกษตร,15130,28240,80,ชัยบาดาล,15
4650.71,นิคมลำนารายณ์,โรงฟักไข่,จ1-2(11)-1/63ลบ,,8,211,ลพบุรี,,1681000000,1,20160202525638,บริษัท อาหารเบทเทอร์ จำกัด,,บริษัท อาหารเบทเทอร์ จำกัด,15130,1461,81,ชัยบาดาล,137
