ชั่วโมงการทำงาน,ADM0_PCODE,ADM0_EN,_id,REGION4,ปี,ผู้มีงานทำ,เพศ,ไตรมาส,ADM0_TH,ADM1_TH
 1 - 9 ชั่วโมง,TH,Thailand,26,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,ยโสธร
 1 - 9 ชั่วโมง,TH,Thailand,27,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
 1 - 9 ชั่วโมง,TH,Thailand,28,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
 1 - 9 ชั่วโมง,TH,Thailand,29,ภาคตะวันออกเฉียงเหนือ,2566,181.54,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
 1 - 9 ชั่วโมง,TH,Thailand,30,ภาคตะวันออกเฉียงเหนือ,2566,360.21,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
 1 - 9 ชั่วโมง,TH,Thailand,31,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
 1 - 9 ชั่วโมง,TH,Thailand,32,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,อุดรธานี
 1 - 9 ชั่วโมง,TH,Thailand,33,ภาคตะวันออกเฉียงเหนือ,2566,566.71,       หญิง                        ,1,ประเทศไทย,เลย
 1 - 9 ชั่วโมง,TH,Thailand,34,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,หนองคาย
 1 - 9 ชั่วโมง,TH,Thailand,35,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
 1 - 9 ชั่วโมง,TH,Thailand,36,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
 1 - 9 ชั่วโมง,TH,Thailand,37,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
 1 - 9 ชั่วโมง,TH,Thailand,38,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,สกลนคร
 1 - 9 ชั่วโมง,TH,Thailand,39,ภาคตะวันออกเฉียงเหนือ,2566,969.61,       หญิง                        ,1,ประเทศไทย,นครพนม
 1 - 9 ชั่วโมง,TH,Thailand,40,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
 10 - 19 ชั่วโมง,TH,Thailand,41,ภาคตะวันออกเฉียงเหนือ,2566,12269.19,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
 10 - 19 ชั่วโมง,TH,Thailand,42,ภาคตะวันออกเฉียงเหนือ,2566,9410.69,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
 10 - 19 ชั่วโมง,TH,Thailand,43,ภาคตะวันออกเฉียงเหนือ,2566,6074.12,       ชาย                         ,1,ประเทศไทย,สุรินทร์
 10 - 19 ชั่วโมง,TH,Thailand,44,ภาคตะวันออกเฉียงเหนือ,2566,3533.67,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
 10 - 19 ชั่วโมง,TH,Thailand,45,ภาคตะวันออกเฉียงเหนือ,2566,2488.93,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
 10 - 19 ชั่วโมง,TH,Thailand,46,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,ยโสธร
 10 - 19 ชั่วโมง,TH,Thailand,47,ภาคตะวันออกเฉียงเหนือ,2566,259.24,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
 10 - 19 ชั่วโมง,TH,Thailand,48,ภาคตะวันออกเฉียงเหนือ,2566,2287.9,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
 10 - 19 ชั่วโมง,TH,Thailand,49,ภาคตะวันออกเฉียงเหนือ,2566,4797.09,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
 10 - 19 ชั่วโมง,TH,Thailand,50,ภาคตะวันออกเฉียงเหนือ,2566,2298.38,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
 10 - 19 ชั่วโมง,TH,Thailand,51,ภาคตะวันออกเฉียงเหนือ,2566,10714.02,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
 10 - 19 ชั่วโมง,TH,Thailand,52,ภาคตะวันออกเฉียงเหนือ,2566,411.04,       ชาย                         ,1,ประเทศไทย,อุดรธานี
 10 - 19 ชั่วโมง,TH,Thailand,53,ภาคตะวันออกเฉียงเหนือ,2566,1955.45,       ชาย                         ,1,ประเทศไทย,เลย
 10 - 19 ชั่วโมง,TH,Thailand,54,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,หนองคาย
 10 - 19 ชั่วโมง,TH,Thailand,55,ภาคตะวันออกเฉียงเหนือ,2566,2665.27,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
 10 - 19 ชั่วโมง,TH,Thailand,56,ภาคตะวันออกเฉียงเหนือ,2566,2055.55,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
 10 - 19 ชั่วโมง,TH,Thailand,57,ภาคตะวันออกเฉียงเหนือ,2566,543.84,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
 10 - 19 ชั่วโมง,TH,Thailand,58,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,สกลนคร
 10 - 19 ชั่วโมง,TH,Thailand,59,ภาคตะวันออกเฉียงเหนือ,2566,18145.53,       ชาย                         ,1,ประเทศไทย,นครพนม
 10 - 19 ชั่วโมง,TH,Thailand,60,ภาคตะวันออกเฉียงเหนือ,2566,815.41,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
 10 - 19 ชั่วโมง,TH,Thailand,61,ภาคตะวันออกเฉียงเหนือ,2566,11943.98,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
 10 - 19 ชั่วโมง,TH,Thailand,62,ภาคตะวันออกเฉียงเหนือ,2566,3954.46,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
 10 - 19 ชั่วโมง,TH,Thailand,63,ภาคตะวันออกเฉียงเหนือ,2566,10678.81,       หญิง                        ,1,ประเทศไทย,สุรินทร์
 10 - 19 ชั่วโมง,TH,Thailand,64,ภาคตะวันออกเฉียงเหนือ,2566,9510.32,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
 10 - 19 ชั่วโมง,TH,Thailand,65,ภาคตะวันออกเฉียงเหนือ,2566,3604.61,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
 10 - 19 ชั่วโมง,TH,Thailand,66,ภาคตะวันออกเฉียงเหนือ,2566,613.93,       หญิง                        ,1,ประเทศไทย,ยโสธร
 10 - 19 ชั่วโมง,TH,Thailand,67,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
 10 - 19 ชั่วโมง,TH,Thailand,68,ภาคตะวันออกเฉียงเหนือ,2566,2019.1,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
 10 - 19 ชั่วโมง,TH,Thailand,69,ภาคตะวันออกเฉียงเหนือ,2566,4423.97,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
 10 - 19 ชั่วโมง,TH,Thailand,70,ภาคตะวันออกเฉียงเหนือ,2566,1973.48,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
 10 - 19 ชั่วโมง,TH,Thailand,71,ภาคตะวันออกเฉียงเหนือ,2566,9355.32,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
 10 - 19 ชั่วโมง,TH,Thailand,72,ภาคตะวันออกเฉียงเหนือ,2566,346.76,       หญิง                        ,1,ประเทศไทย,อุดรธานี
 10 - 19 ชั่วโมง,TH,Thailand,73,ภาคตะวันออกเฉียงเหนือ,2566,1174.67,       หญิง                        ,1,ประเทศไทย,เลย
 10 - 19 ชั่วโมง,TH,Thailand,74,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,หนองคาย
 10 - 19 ชั่วโมง,TH,Thailand,75,ภาคตะวันออกเฉียงเหนือ,2566,3020.93,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
 10 - 19 ชั่วโมง,TH,Thailand,76,ภาคตะวันออกเฉียงเหนือ,2566,5310.39,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
 10 - 19 ชั่วโมง,TH,Thailand,77,ภาคตะวันออกเฉียงเหนือ,2566,683.91,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
 10 - 19 ชั่วโมง,TH,Thailand,78,ภาคตะวันออกเฉียงเหนือ,2566,0,       หญิง                        ,1,ประเทศไทย,สกลนคร
 10 - 19 ชั่วโมง,TH,Thailand,79,ภาคตะวันออกเฉียงเหนือ,2566,15475.51,       หญิง                        ,1,ประเทศไทย,นครพนม
 10 - 19 ชั่วโมง,TH,Thailand,80,ภาคตะวันออกเฉียงเหนือ,2566,1770.58,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
 20 - 29 ชั่วโมง,TH,Thailand,81,ภาคตะวันออกเฉียงเหนือ,2566,52955.28,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
 20 - 29 ชั่วโมง,TH,Thailand,82,ภาคตะวันออกเฉียงเหนือ,2566,46595.3,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
 20 - 29 ชั่วโมง,TH,Thailand,83,ภาคตะวันออกเฉียงเหนือ,2566,45120.85,       ชาย                         ,1,ประเทศไทย,สุรินทร์
 20 - 29 ชั่วโมง,TH,Thailand,84,ภาคตะวันออกเฉียงเหนือ,2566,37412.08,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
 20 - 29 ชั่วโมง,TH,Thailand,85,ภาคตะวันออกเฉียงเหนือ,2566,41335.2,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
 20 - 29 ชั่วโมง,TH,Thailand,86,ภาคตะวันออกเฉียงเหนือ,2566,8011.08,       ชาย                         ,1,ประเทศไทย,ยโสธร
 20 - 29 ชั่วโมง,TH,Thailand,87,ภาคตะวันออกเฉียงเหนือ,2566,1241.93,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
 20 - 29 ชั่วโมง,TH,Thailand,88,ภาคตะวันออกเฉียงเหนือ,2566,14792.26,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
 20 - 29 ชั่วโมง,TH,Thailand,89,ภาคตะวันออกเฉียงเหนือ,2566,12684.85,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
 20 - 29 ชั่วโมง,TH,Thailand,90,ภาคตะวันออกเฉียงเหนือ,2566,9738.89,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
 20 - 29 ชั่วโมง,TH,Thailand,91,ภาคตะวันออกเฉียงเหนือ,2566,41319.33,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
 20 - 29 ชั่วโมง,TH,Thailand,92,ภาคตะวันออกเฉียงเหนือ,2566,8385.4,       ชาย                         ,1,ประเทศไทย,อุดรธานี
 20 - 29 ชั่วโมง,TH,Thailand,93,ภาคตะวันออกเฉียงเหนือ,2566,18200.69,       ชาย                         ,1,ประเทศไทย,เลย
 20 - 29 ชั่วโมง,TH,Thailand,94,ภาคตะวันออกเฉียงเหนือ,2566,0,       ชาย                         ,1,ประเทศไทย,หนองคาย
 20 - 29 ชั่วโมง,TH,Thailand,95,ภาคตะวันออกเฉียงเหนือ,2566,20790.74,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
 20 - 29 ชั่วโมง,TH,Thailand,96,ภาคตะวันออกเฉียงเหนือ,2566,46055.9,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
 20 - 29 ชั่วโมง,TH,Thailand,97,ภาคตะวันออกเฉียงเหนือ,2566,21026.28,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
 20 - 29 ชั่วโมง,TH,Thailand,98,ภาคตะวันออกเฉียงเหนือ,2566,2022,       ชาย                         ,1,ประเทศไทย,สกลนคร
 20 - 29 ชั่วโมง,TH,Thailand,99,ภาคตะวันออกเฉียงเหนือ,2566,28952.2,       ชาย                         ,1,ประเทศไทย,นครพนม
 20 - 29 ชั่วโมง,TH,Thailand,100,ภาคตะวันออกเฉียงเหนือ,2566,16733.66,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
 20 - 29 ชั่วโมง,TH,Thailand,101,ภาคตะวันออกเฉียงเหนือ,2566,48845.91,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
 20 - 29 ชั่วโมง,TH,Thailand,102,ภาคตะวันออกเฉียงเหนือ,2566,41305.69,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
 20 - 29 ชั่วโมง,TH,Thailand,103,ภาคตะวันออกเฉียงเหนือ,2566,37716.48,       หญิง                        ,1,ประเทศไทย,สุรินทร์
 20 - 29 ชั่วโมง,TH,Thailand,104,ภาคตะวันออกเฉียงเหนือ,2566,38111.31,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
 20 - 29 ชั่วโมง,TH,Thailand,105,ภาคตะวันออกเฉียงเหนือ,2566,65333.74,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
 20 - 29 ชั่วโมง,TH,Thailand,106,ภาคตะวันออกเฉียงเหนือ,2566,12165.63,       หญิง                        ,1,ประเทศไทย,ยโสธร
 20 - 29 ชั่วโมง,TH,Thailand,107,ภาคตะวันออกเฉียงเหนือ,2566,225.27,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
 20 - 29 ชั่วโมง,TH,Thailand,108,ภาคตะวันออกเฉียงเหนือ,2566,10875.14,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
 20 - 29 ชั่วโมง,TH,Thailand,109,ภาคตะวันออกเฉียงเหนือ,2566,14159.3,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
 20 - 29 ชั่วโมง,TH,Thailand,110,ภาคตะวันออกเฉียงเหนือ,2566,11592.71,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
 20 - 29 ชั่วโมง,TH,Thailand,111,ภาคตะวันออกเฉียงเหนือ,2566,35533.31,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
 20 - 29 ชั่วโมง,TH,Thailand,112,ภาคตะวันออกเฉียงเหนือ,2566,7880.82,       หญิง                        ,1,ประเทศไทย,อุดรธานี
 20 - 29 ชั่วโมง,TH,Thailand,113,ภาคตะวันออกเฉียงเหนือ,2566,18368.69,       หญิง                        ,1,ประเทศไทย,เลย
 20 - 29 ชั่วโมง,TH,Thailand,114,ภาคตะวันออกเฉียงเหนือ,2566,1045.49,       หญิง                        ,1,ประเทศไทย,หนองคาย
 20 - 29 ชั่วโมง,TH,Thailand,115,ภาคตะวันออกเฉียงเหนือ,2566,25746.82,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
 20 - 29 ชั่วโมง,TH,Thailand,116,ภาคตะวันออกเฉียงเหนือ,2566,44980.72,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
 20 - 29 ชั่วโมง,TH,Thailand,117,ภาคตะวันออกเฉียงเหนือ,2566,18778.04,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
 20 - 29 ชั่วโมง,TH,Thailand,118,ภาคตะวันออกเฉียงเหนือ,2566,1322.45,       หญิง                        ,1,ประเทศไทย,สกลนคร
 20 - 29 ชั่วโมง,TH,Thailand,119,ภาคตะวันออกเฉียงเหนือ,2566,27185.67,       หญิง                        ,1,ประเทศไทย,นครพนม
 20 - 29 ชั่วโมง,TH,Thailand,120,ภาคตะวันออกเฉียงเหนือ,2566,14930.72,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
 30 - 34 ชั่วโมง,TH,Thailand,121,ภาคตะวันออกเฉียงเหนือ,2566,41818.39,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
 30 - 34 ชั่วโมง,TH,Thailand,122,ภาคตะวันออกเฉียงเหนือ,2566,20139.9,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
 30 - 34 ชั่วโมง,TH,Thailand,123,ภาคตะวันออกเฉียงเหนือ,2566,15774.23,       ชาย                         ,1,ประเทศไทย,สุรินทร์
 30 - 34 ชั่วโมง,TH,Thailand,124,ภาคตะวันออกเฉียงเหนือ,2566,18747.07,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
 30 - 34 ชั่วโมง,TH,Thailand,125,ภาคตะวันออกเฉียงเหนือ,2566,37894.22,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
 30 - 34 ชั่วโมง,TH,Thailand,126,ภาคตะวันออกเฉียงเหนือ,2566,3761.95,       ชาย                         ,1,ประเทศไทย,ยโสธร
 30 - 34 ชั่วโมง,TH,Thailand,127,ภาคตะวันออกเฉียงเหนือ,2566,306.75,       ชาย                         ,1,ประเทศไทย,ชัยภูมิ
 30 - 34 ชั่วโมง,TH,Thailand,128,ภาคตะวันออกเฉียงเหนือ,2566,5970.93,       ชาย                         ,1,ประเทศไทย,อำนาจเจริญ
 30 - 34 ชั่วโมง,TH,Thailand,129,ภาคตะวันออกเฉียงเหนือ,2566,21299.11,       ชาย                         ,1,ประเทศไทย,บึงกาฬ
 30 - 34 ชั่วโมง,TH,Thailand,130,ภาคตะวันออกเฉียงเหนือ,2566,3744.68,       ชาย                         ,1,ประเทศไทย,หนองบัวลำภู
 30 - 34 ชั่วโมง,TH,Thailand,131,ภาคตะวันออกเฉียงเหนือ,2566,54030.02,       ชาย                         ,1,ประเทศไทย,ขอนแก่น
 30 - 34 ชั่วโมง,TH,Thailand,132,ภาคตะวันออกเฉียงเหนือ,2566,4078,       ชาย                         ,1,ประเทศไทย,อุดรธานี
 30 - 34 ชั่วโมง,TH,Thailand,133,ภาคตะวันออกเฉียงเหนือ,2566,15347.57,       ชาย                         ,1,ประเทศไทย,เลย
 30 - 34 ชั่วโมง,TH,Thailand,134,ภาคตะวันออกเฉียงเหนือ,2566,25995.28,       ชาย                         ,1,ประเทศไทย,หนองคาย
 30 - 34 ชั่วโมง,TH,Thailand,135,ภาคตะวันออกเฉียงเหนือ,2566,8243.19,       ชาย                         ,1,ประเทศไทย,มหาสารคาม
 30 - 34 ชั่วโมง,TH,Thailand,136,ภาคตะวันออกเฉียงเหนือ,2566,20408.38,       ชาย                         ,1,ประเทศไทย,ร้อยเอ็ด
 30 - 34 ชั่วโมง,TH,Thailand,137,ภาคตะวันออกเฉียงเหนือ,2566,22477.94,       ชาย                         ,1,ประเทศไทย,กาฬสินธุ์
 30 - 34 ชั่วโมง,TH,Thailand,138,ภาคตะวันออกเฉียงเหนือ,2566,12610.6,       ชาย                         ,1,ประเทศไทย,สกลนคร
 30 - 34 ชั่วโมง,TH,Thailand,139,ภาคตะวันออกเฉียงเหนือ,2566,14128.75,       ชาย                         ,1,ประเทศไทย,นครพนม
 30 - 34 ชั่วโมง,TH,Thailand,140,ภาคตะวันออกเฉียงเหนือ,2566,13394.78,       ชาย                         ,1,ประเทศไทย,มุกดาหาร
 30 - 34 ชั่วโมง,TH,Thailand,141,ภาคตะวันออกเฉียงเหนือ,2566,33084.88,       หญิง                        ,1,ประเทศไทย,นครราชสีมา
 30 - 34 ชั่วโมง,TH,Thailand,142,ภาคตะวันออกเฉียงเหนือ,2566,17408.72,       หญิง                        ,1,ประเทศไทย,บุรีรัมย์
 30 - 34 ชั่วโมง,TH,Thailand,143,ภาคตะวันออกเฉียงเหนือ,2566,18773.1,       หญิง                        ,1,ประเทศไทย,สุรินทร์
 30 - 34 ชั่วโมง,TH,Thailand,144,ภาคตะวันออกเฉียงเหนือ,2566,12930.77,       หญิง                        ,1,ประเทศไทย,ศรีสะเกษ
 30 - 34 ชั่วโมง,TH,Thailand,145,ภาคตะวันออกเฉียงเหนือ,2566,28314.85,       หญิง                        ,1,ประเทศไทย,อุบลราชธานี
 30 - 34 ชั่วโมง,TH,Thailand,146,ภาคตะวันออกเฉียงเหนือ,2566,2871.23,       หญิง                        ,1,ประเทศไทย,ยโสธร
 30 - 34 ชั่วโมง,TH,Thailand,147,ภาคตะวันออกเฉียงเหนือ,2566,1277.99,       หญิง                        ,1,ประเทศไทย,ชัยภูมิ
 30 - 34 ชั่วโมง,TH,Thailand,148,ภาคตะวันออกเฉียงเหนือ,2566,4671.43,       หญิง                        ,1,ประเทศไทย,อำนาจเจริญ
 30 - 34 ชั่วโมง,TH,Thailand,149,ภาคตะวันออกเฉียงเหนือ,2566,20524.55,       หญิง                        ,1,ประเทศไทย,บึงกาฬ
 30 - 34 ชั่วโมง,TH,Thailand,150,ภาคตะวันออกเฉียงเหนือ,2566,4583.96,       หญิง                        ,1,ประเทศไทย,หนองบัวลำภู
 30 - 34 ชั่วโมง,TH,Thailand,151,ภาคตะวันออกเฉียงเหนือ,2566,53106.26,       หญิง                        ,1,ประเทศไทย,ขอนแก่น
 30 - 34 ชั่วโมง,TH,Thailand,152,ภาคตะวันออกเฉียงเหนือ,2566,6664.39,       หญิง                        ,1,ประเทศไทย,อุดรธานี
 30 - 34 ชั่วโมง,TH,Thailand,153,ภาคตะวันออกเฉียงเหนือ,2566,14460.76,       หญิง                        ,1,ประเทศไทย,เลย
 30 - 34 ชั่วโมง,TH,Thailand,154,ภาคตะวันออกเฉียงเหนือ,2566,21128.28,       หญิง                        ,1,ประเทศไทย,หนองคาย
 30 - 34 ชั่วโมง,TH,Thailand,155,ภาคตะวันออกเฉียงเหนือ,2566,9674.04,       หญิง                        ,1,ประเทศไทย,มหาสารคาม
 30 - 34 ชั่วโมง,TH,Thailand,156,ภาคตะวันออกเฉียงเหนือ,2566,14448.25,       หญิง                        ,1,ประเทศไทย,ร้อยเอ็ด
 30 - 34 ชั่วโมง,TH,Thailand,157,ภาคตะวันออกเฉียงเหนือ,2566,15898,       หญิง                        ,1,ประเทศไทย,กาฬสินธุ์
 30 - 34 ชั่วโมง,TH,Thailand,158,ภาคตะวันออกเฉียงเหนือ,2566,6269.11,       หญิง                        ,1,ประเทศไทย,สกลนคร
 30 - 34 ชั่วโมง,TH,Thailand,159,ภาคตะวันออกเฉียงเหนือ,2566,13216.96,       หญิง                        ,1,ประเทศไทย,นครพนม
 30 - 34 ชั่วโมง,TH,Thailand,160,ภาคตะวันออกเฉียงเหนือ,2566,12876.79,       หญิง                        ,1,ประเทศไทย,มุกดาหาร
 35 - 39 ชั่วโมง,TH,Thailand,161,ภาคตะวันออกเฉียงเหนือ,2566,70181.02,       ชาย                         ,1,ประเทศไทย,นครราชสีมา
 35 - 39 ชั่วโมง,TH,Thailand,162,ภาคตะวันออกเฉียงเหนือ,2566,52533.23,       ชาย                         ,1,ประเทศไทย,บุรีรัมย์
 35 - 39 ชั่วโมง,TH,Thailand,163,ภาคตะวันออกเฉียงเหนือ,2566,29391.53,       ชาย                         ,1,ประเทศไทย,สุรินทร์
 35 - 39 ชั่วโมง,TH,Thailand,164,ภาคตะวันออกเฉียงเหนือ,2566,63848.42,       ชาย                         ,1,ประเทศไทย,ศรีสะเกษ
 35 - 39 ชั่วโมง,TH,Thailand,165,ภาคตะวันออกเฉียงเหนือ,2566,86156,       ชาย                         ,1,ประเทศไทย,อุบลราชธานี
 35 - 39 ชั่วโมง,TH,Thailand,166,ภาคตะวันออกเฉียงเหนือ,2566,23260.8,       ชาย                         ,1,ประเทศไทย,ยโสธร
