เงินทุนรวม,ประกอบกิจการ,อำเภอ,TSIC,ถนน,GPS_lat,ซอย,FID,คนงานรวม,ลำดับ,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,อนุญาต,ตำบล,factype,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,GPS_lng,สิ้นอายุ,คนงานหญิง
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ปากเกร็ด,106000000000,ติวานนท์,19/05/1472,พระแม่มหาการุณย์,-10120001325582-,5000000,11,,นนทบุรี,1,เลขที่ 69/288,30,,4596,บ้านใหม่,,2000000,11,3-105-13/58นบ,บริษัท พี.พี.พี.รีไซเคิล จำกัด,11/06/1472,1,2500000
15500000,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,บางใหญ่,38211,จันทร์ทองเอี่ยม,100.3742,แก้วอินทร์,-10120015125481-,8,12,11140,นนทบุรี,4,เลขที่ 25/3,140,0 2597 8270,15/11/1462,บางแม่นาง,3,6,12,3-105-151/48นบ,บริษัท เอสเคเจ อินเตอร์พลาส จำกัด,,13.87416667,2
,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เมืองนนทบุรี,3100000000000,รัตนาธิเบศร์,09/12/1462,วัดไทรม้า,-10120016525481-,5000000,13,,นนทบุรี,3,เลขที่ 79/23,15,,21044,บางรักน้อย,,10000000,13,3-105-165/48นบ,วงษ์พาณิชย์ สาขานนทบุรี,15/01/1464,1,3000000
,คัดแยกวัสดุไม่ใช้แล้ว เช่น เศษผ้า ด้าย สำลี นุ่น กระสอบ กระดาษ เศษเหล็ก เศษพลาสติก เพื่อจำหน่าย นำเข้า ส่งออก,บางบัวทอง,106000000000,-,25/02/1461,-,-10120001925472-,500000,14,,นนทบุรี,6,เลขที่ 18/18-19-20,11,,,ละหาร,,700000,14,3-105-19/47นบ,บริษัท อุดมสุข เท็กซ์ไทล์ จำกัด,19/04/1461,1,240000
,คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมเพื่อนำมารีไซเคิล,ปากเกร็ด,126000000000,แจ้งวัฒนะ,12/06/1460,แจ้งวัฒนะ-ปากเกร็ด 3,-10120200225468-,3000000,15,,นนทบุรี,6,เลขที่ 14/25,30,,544,บางพูด,,4352000,15,3-105-2/46นบ,บริษัท เค.รีไซเคิล แอนด์ เซอร์วิส จำกัด,21/07/1460,1,150000
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่ใช่ของเสียอันตราย เช่น เศษทองแดง เศษทองเหลือง เศษเหล็ก เศษสแตนเลส เศษอลูมิเนียม เศษสายไฟ เศษพลาสติก เศษกระดาษ เศษไม้ บดย่อยพลาสติก อัดเศษโลหะ ตัดโลหะ,บางบัวทอง,126000000000,บางกรวย-ไทรน้อย,04/03/1480,,-10120036925661-,18600000,16,,นนทบุรี,3,เลขที่ 187/70,7,,948,บางรักพัฒนา,,500000,16,3-105-22/66นบ,บริษัท สวัสดิ์รีไซเคิล จำกัด,18/04/1480,1,400000
141000000,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),บางกรวย,38211,นครอินทร์,100.4301,-,-10120100325467-,60,17,11130,นนทบุรี,6,เลขที่ 38/3,1090,0 2913 2197-9,17/12/1460,บางขุนกอง,3,40,17,3-105-3/46นบ,บริษัท โลหะไทยสเตนเลส จำกัด,,13.82228333,20
1400000,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,บางบัวทอง,38211,บางกรวย-ไทรน้อย,100.4302833,ร่มโพธิ์ทอง,-10120003025479-,7,18,11110,นนทบุรี,3,เลขที่ 187/48,90,0-2920-5144,25/03/1461,บางรักพัฒนา,3,2,18,3-105-30/47นบ,บริษัท ธนานุกูลชัย จำกัด,,13.88696667,5
9000000,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,เมืองนนทบุรี,38211,เลี่ยงเมืองนนทบุรี,100.4929,,-10120003125477-,11,19,11000,นนทบุรี,,"เลขที่ 141,143",421,0-2969-0001-2,25/03/1461,ตลาดขวัญ,3,5,19,3-105-31/47นบ,บริษัท เอส.เค.รีไซเคิล จำกัด,,13.85615,6
,คัดแยกวัสดุเหลือใช้จากโรงงาน เช่น กระดาษ พลาสติก โลหะ,บางบัวทอง,3160000000000,ตลิ่งชัน-สุพรรณบุรี,26/05/1463, -,-10120003225491-,500000,20,,นนทบุรี,13,เลขที่ 1/4,20,,0,บางบัวทอง,,0,20,3-105-32/49นบ,นิตยารีไซเคิล,19/06/1463,1,1000000
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองนนทบุรี,104000000000,สามัคคี,16/06/1467,สามัคคี 8,-10120003225533-,2000000,21,,นนทบุรี,-,"เลขที่ 12, 14",12,,1448,ท่าทราย,,1000000,21,3-105-32/53นบ,บริษัท แสงไพศาลค้ากระดาษ จำกัด,30/07/1467,1,500000
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองนนทบุรี,126000000000,สามัคคี,16/06/1467,สามัคคี 11,-10120003325531-,2000000,22,,นนทบุรี,-,"เลขที่ 11,13",20,,2260,ท่าทราย,,2000000,22,3-105-33/53นบ,บริษัท แสงไพศาลค้ากระดาษ จำกัด,30/07/1467,1,4000000
6100000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และหลอมหล่อโลหะ,บางใหญ่,38211,ตลิ่งชัน-สุพรรณบุรี,100.3606667,กันตนา,-10120000425466-,14,23,11140,นนทบุรี,3,เลขที่ 4/5,393.6,,29/12/1460,บางใหญ่,3,11,23,3-105-4/46นบ,,,13.84165,3
,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบัวทอง,126000000000,บางบัวทอง-สุพรรณบุรี,25/07/1473,,-10120004725598-,0,24,,นนทบุรี,9,เลขที่ 27/14,18,,4400,ละหาร,,5000000,24,3-105-47/59นบ,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,12/09/1473,1,10000000
,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางกรวย,126000000000,นครอินทร์,22/05/1474,,-10120005225606-,50000000,25,,นนทบุรี,6,เลขที่ 38/13,55,,2324,บางขุนกอง,,200000000,25,3-105-52/60นบ,บริษัท รวมโลหะ เทรดดิ้ง จำกัด,05/05/1477,1,10000000
70000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติก และโลหะต่าง ๆ,บางบัวทอง,38211,ตลิ่งชัน-สุพรรณบุรี,100.4060167,โรงเรียนแสงประทีป,-10120006025476-,40,26,11110,นนทบุรี,9,เลขที่ 27/6,1198,0 2925 5794,05/07/1461,ละหาร,3,30,26,3-105-60/47นบ,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,,13.9524,10
,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541),เมืองนนทบุรี,124000000000,สามัคคี,05/08/1461,สามัคคี 7,-10120006925477-,1000000,27,,นนทบุรี,,เลขที่ 10,11,,1408,ท่าทราย,,0,27,3-105-69/47นบ,ห้างหุ้นส่วนจำกัด ดวงพร รีไซเคิล,30/08/1461,1,4400000
1000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก อัดเศษกระดาษ อัดโลหะ,บางบัวทอง,38211,บางบัวทอง-สุพรรณบุรี,100.378693,-,-10120007325537-,10,28,11110,นนทบุรี,7,เลขที่ 94/8,133,02 9833600-1,16/11/1467,ละหาร,3,5,28,3-105-73/53นบ,ทรัพย์เจริญเซียงกง,,13.966722,5
,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ใช้แล้วและเครื่องใช้ไฟฟ้า บดย่อยเศษตะกรันโลหะ เก็บรวบรวมแบตเตอรี่ใช้แล้วโดยไม่มีการแปรสภาพ สกัดโลหะมีค่าจากกากตะกอนระบบบำบัดน้ำเสียที่มีโลหะมีค่า นำน้ำมันหล่อลี่นที่ใช้แล้วหรือสารทำละลายที่ใช้แล้วผ่านกรรมวิธีทางอุตสาหกรรม มาทำเชื้อเพลิงทดแทน และผลิตเชื้อเพลิงผสม,ไทรน้อย,126000000000,,01/12/1474,,-10120010425605-,2000000,29,,นนทบุรี,8,เลขที่ โฉนดที่ดินเลขที่ 5176,15,,3200,คลองขวาง,,10000000,29,3-106-104/60นบ,บริษัท เสริมพงษ์ ดีเวลลอปเม้นต์ จำกัด,30/10/1477,1,2000000
55000000,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกที่ใช้แล้วด้วยกระบวนการ Pyrolysis,ไทรน้อย,38300,ไทรน้อย-บางเลน,100.318846,,-10120002125569-,25,30,11150,นนทบุรี,2,เลขที่ 48,1696.98,29735188,18/09/1470,คลองขวาง,3,24,30,3-106-21/56นบ,บริษัท คอร์สแอร์ แบงคอก จำกัด,,14.008574,1
16000000,ปรับสภาพกรดที่ใช้แล้วและล้างบรรจุภัณฑ์ที่ใช้แล้ว,ไทรน้อย,38300,,100.293391,,-10120094425679-,20,31,11150,นนทบุรี,10,เลขที่ 92/10,159.29,863456679,07/06/1481,ไทรใหญ่,3,11,31,3-106-23/67นบ,บริษัท ไทยคลอไรด์ แมนูแฟคเจอร์ริ่ง จำกัด,,14.057088,9
18000000,ถอดแยกบดย่อยแผงวงจรและชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ หลอมหล่อกากตะกอน ตะกรันทองแดง อลูมิเนียม ทองเหลือง และดีบุก เพื่อนำกลับมาใช้ประโยชน์ใหม่ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ไทรน้อย,38300,,,,-10120099925673-,30,32,11150,นนทบุรี,10,เลขที่ โฉนดเลขที่ 61796,960.7,,13/06/1481,ไทรใหญ่,3,15,32,3-106-32/67นบ,บริษัท เจซี เมทัล จำกัด,,,15
,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกใช้แล้วด้วยกระบวนการ Pyrolysis,ไทรน้อย,106000000000,,27/09/1480,,-10120153325661-,4000000,33,,นนทบุรี,2,เลขที่ 9/2,23,,3200,คลองขวาง,,2000000,33,3-106-35/66นบ,บริษัท คอร์สแอร์ แบงคอก ทู จำกัด,,0,10000000
40839072,ถอด แยก บด ย่อย แผง โซลาร์เซลล์ใช้แล้ว,ไทรน้อย,38300,,,,-10120180825667-,9,34,11150,นนทบุรี,1,เลขที่ โฉนดที่ดินเลขที่ 37170,1554.64,081-3989777,25/10/1480,ราษฎร์นิยม,3,7,34,3-106-41/66นบ,บริษัท นภาเอ็นเทอร์ไพร์ส จำกัด,,,2
,ผลิตเชื้อเพลิงขยะ (RDF),ไทรน้อย,106000000000,-,14/06/1479,-,-10120103025650-,420000000,35,,นนทบุรี,8,เลขที่ 59/1,24,,16199,คลองขวาง,,19280000,35,3-106-45/65นบ,บริษัท สยาม พาวเวอร์ จำกัด,01/03/1480,1,95000000
,ทำเชื้อเพลิงทดแทนจากน้ำมันที่ใช้แล้วและตัวทำละลายที่ใช้แล้วโดยกระบวนการกรองถอดแยกและบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ ถอดแยกมอเตอร์เก่าที่ไม่เป็นของเสียอันตราย ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย บดย่อยตะกรันโลหะ เช่น ตะกรันอลูมิเนียม ตะกรันทองแดง เก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพและคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ไทรน้อย,126000000000,,23/11/1479,,-10120201525650-,1000000,36,,นนทบุรี,10,เลขที่ โฉนดที่ดินเลขที่ 59198,16,,5622,คลองขวาง,,10000000,36,3-106-71/65นบ,บริษัท เค.เอ.2018 เทรดดิ้ง จำกัด,09/09/1480,1,5000000
,ผลิตแผ่น วีซีดี ซีดีรอม ซีดีอาร์ ซีดีเกมส์ ซีดีไอ ดีวีดี ดีวีดี-รอม ซีดี เลเซอร์ดิสก์,บางบัวทอง,126000000000,บ้านกล้วย-ไทรน้อย,27/07/1463,,-10120000425490-,15000000,37,,นนทบุรี,4,เลขที่ 88/1,43,,1100,พิมลราช,,2400000,37,3-107-4/49นบ,บริษัท ทูไดเมนชั่น แมนูแฟคเจอริ่ง จำกัด,09/11/1463,1,105054000
235000000,ทำลูกกวาดและขนมขบเคี้ยว ทำช็อกโกแลตผง ทำขิงผงและเก๊กฮวยผง ทำหมากฝรั่ง,ปากเกร็ด,10739,แจ้งวัฒนะ,100.5458667,ศรีตะปันย์,-10120000125264-,182,38,11120,นนทบุรี,2,เลขที่ 51/3,6104.89,5745170-1,05/08/1450,คลองเกลือ,3,62,38,3-12(10)-1/26นบ,บริษัท เยเนอรัลแคนดี้ จำกัด,,13.90288333,120
,ทำไอศกรีม,เมืองนนทบุรี,126000000000,ติวานนท์,09/02/1452,เรวดี 22,-10120100125297-,16500000,39,,นนทบุรี,4,เลขที่ 124/60,8,,3500,ตลาดขวัญ,,0,39,3-12(11)-1/29นบ,บริษัท ศิริเบญจ จำกัด,16/05/1443,1,0
13400000,ทำแยมผลไม้ ซอสพริก และน้ำมันสลัด,ปากเกร็ด,10774,ติวานนท์,100.51785,,-10120000125322-,68,40,11120,นนทบุรี,8,เลขที่ 88/9,833.98,5831843,29/09/1450,บางพูด,3,17,40,3-13(2)-1/32นบ,บริษัท สุขุมพาณิชย์ จำกัด,,13.9243,51
,ผลิตน้ำสลัดและน้ำซอส,บางบัวทอง,106000000000,ตลิ่งชัน-สุพรรณบุรี,16/07/1467,สุเหร่าแดง,-10120000125538-,2000000,41,,นนทบุรี,8,เลขที่ 99,9,,48255,ละหาร,,10000000,41,3-13(6)-1/53นบ,บริษัท พรีมาฟูดส์ ซัพพลาย จำกัด,01/10/1467,1,3000000
,"ทำน้ำแข็งซอง เพิ่มขึ้นได้วันละ 648 ซอง รวมเป็น 1,297 ซอง/วัน",เมืองนนทบุรี,104000000000,นนทบุรี 1,09/04/1450,-,-10120100125180-,3000000,42,,นนทบุรี,1,เลขที่ 86/3,7,,2400,บางกระสอ,,0,42,3-14-1/18นบ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,20/08/1432,1,20000000
,ทำน้ำแข็งซองได้วันละ 2681 ซอง และทำน้ำแข็งก้อนเล็กวันละ 58.36 ตัน,ปากเกร็ด,3120000000000,สุขาประชาสรรค์,09/02/1451,,-10120000125199-,3200000,43,,นนทบุรี,3,เลขที่ 77,15,,8000,ปากเกร็ด,ใช้สารแอมโมเนีย,4000000,43,3-14-1/19นบ,-,09/04/1433,1,12500000
,ทำน้ำแข็งก้อนเล็ก ได้วันละ 190.91 ตัน,เมืองนนทบุรี,126000000000,,19/03/1450,,-10120100125214-,100000,44,,นนทบุรี,,เลขที่ 3,15,,4000,บางกระสอ,,0,44,3-14-1/21นบ,บริษัท ร่วมพัฒนาน้ำแข็งหลอด จำกัด,20/06/1435,1,3000000
,ผลิตน้ำแข็ง ได้วันละ 651 ซอง,เมืองนนทบุรี,3100000000000,นนทบุรีสาย 1,05/07/1452,,-10120100125230-,100000,45,,นนทบุรี,1,เลขที่ 87,11,,4412,บางกระสอ,ใช้สารแอมโมเนีย,12000000,45,3-14-1/23นบ,,07/04/1437,1,850000
,ทำน้ำแข็งก้อนเล็ก ได้วันละ 33.98 ตัน,เมืองนนทบุรี,126000000000,งามวงศ์วาน,01/02/1451,วัดบัวขวัญ,-10120000125314-,200000,46,,นนทบุรี,2,เลขที่ 49/4/1,4,,996,บางเขน,,0,46,3-14-1/31นบ,บริษัท มั่งมีโภคทรัพย์ จำกัด,14/01/1445,3,3000000
,ผลิตน้ำแข็งซอง,บางกรวย,126000000000,ปลายบาง,16/08/1456,วัดบางไกรใน,-10120100125420-,2000000,47,,นนทบุรี,2,เลขที่ 75/17,10,,4290,มหาสวัสดิ์,,0,47,3-14-1/42นบ,บริษัท โรงน้ำแข็งนวลวรรณ จำกัด,20/01/1457,1,19000000
,ผลิตน้ำแข็งก้อนเล็ก ผลิตได้วันละ 150 ตัน/วัน,บางกรวย,3610000000000,จงถนอม - วัดต้นเชือก,23/07/1458,,-10120000125447-,500000,48,,นนทบุรี,6,เลขที่ 64/4,8,,0,ศาลากลาง,,2000000,48,3-14-1/44นบ,น้ำแข็งศาลายา,08/04/1459,1,10000000
,"ผลิตน้ำแข็งซอง เพิ่มขึ้นอีก 400 ซอง/วัน รวมเป็น 2,000 ซอง/วัน",เมืองนนทบุรี,126000000000,กรุงเทพ-นนทบุรี,20/09/1459,12  (ศิริชัย 1),-10120000125454-,4000000,49,,นนทบุรี,7,เลขที่ 47/164,12,,5624,บางเขน,,24200000,49,3-14-1/45นบ,บริษัท ศรีวัฒนะชัยน้ำแข็งซองและหลอด จำกัด,22/09/1460,1,32000000
,"ผลิตน้ำแข็งซอง เพิ่มวันละ 1,080 ซอง รวมเป็น 1,800 ซองต่อวัน",บางบัวทอง,126000000000,ตลิ่งชัน-สุพรรณบุรี,26/05/1466,วัดลาดปลาดุก,-10120001725526-,2000000,50,,นนทบุรี,6,เลขที่ 88,32,,10860,บางคูรัด,,8000000,50,3-14-17/52นบ,บริษัท โรงน้ำแข็งกังวานสิน จำกัด,13/09/1467,1,70000000
,ทำน้ำแข็งได้วันละ978ซอง,เมืองนนทบุรี,124000000000,นนทบุรี 1,24/12/1450,-,-10120000225130-,600000,51,,นนทบุรี,1,เลขที่ 86/2,13,,984,บางกระสอ,,400000,51,3-14-2/13นบ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทิพย์,16/10/1427,1,1550000
,ทำน้ำแข็งซองได้วันละ 936 ซอง และทำน้ำแข็งก้อนเล็กวันละ 13,ปากเกร็ด,104000000000,แจ้งวัฒนะ,08/02/1451,สุขาประชาสรรค์ 1,-10120000225197-,500000,52,,นนทบุรี,3,เลขที่ 34/7,14,,1200,ปากเกร็ด,,1500000,52,3-14-2/19นบ,ห้างหุ้นส่วนจำกัด ส.วารีพัฒนา,23/06/1433,1,4425680
,ทำน้ำแข็งซอง ได้วันละ 752 ซอง,เมืองนนทบุรี,3100000000000,นนทบุรี 1,14/12/1450,โรงน้ำแข็ง,-10120100225311-,500000,53,,นนทบุรี,1,เลขที่ 87/5,10,,2000,บางกระสอ,ใช้สารฟรีออน,1200000,53,3-14-2/31นบ,นางสาวนวลฉวี ประเสริฐสุขสม,29/06/1445,1,1200000
,ผลิตน้ำแข็งซองและน้ำแข็งหลอด,บางบัวทอง,126000000000,,03/07/1476,,-10120170125623-,5000000,54,,นนทบุรี,2,เลขที่ โฉนดที่ดินที่ 8553,14,,2066,ลำโพ,,10000000,54,3-14-20/62นบ,บริษัท โรงน้ำแข็งอานนท์ จำกัด,15/08/1479,1,8000000
105000000,"ทำน้ำแข็งซอง ได้วันละ 1,000 ซอง/วัน",เมืองนนทบุรี,10795,บางศรีเมือง-วัดโบสถ์,100.468569,เพิ่มแฉล้มอุทิศ,-10120002425563-,13,55,11000,นนทบุรี,9,เลขที่ 54/9,1102,,02/05/1470,บางกร่าง,3,9,55,3-14-24/56นบ,วารีน้ำแข็ง 2,,13.842854,4
,ทำน้ำแข็งซอง ได้วันละ 330 ซอง และทำน้ำแข็งก้อนเล็ก ได้วันละ 50 ตัน,บางบัวทอง,104000000000,บางบัวทอง-ประตูน้ำพระอุดม,06/08/1466,-,-10120002925521-,1000000,56,,นนทบุรี,2,เลขที่ ,14,,6108,ละหาร,,40000000,56,3-14-29/52นบ,ห้างหุ้นส่วนจำกัด วรรณวารี,,0,10000000
45000000,ทำน้ำแข็งซองได้วันละ963ซองและทำน้ำแข็งก้อนเล็กได้วันละ,เมืองนนทบุรี,10795,นนทบุรี 1,100.4883167,โรงน้ำแข็ง,-10120000325153-,12,57,11000,นนทบุรี,1,เลขที่ 86/4,4586,5250172,08/03/1450,บางกระสอ,3,12,57,3-14-3/15นบ,บริษัท โรงน้ำแข็ง แสงพิทักษ์ จำกัด,,13.87866667,0
,ผลิตน้ำแข็งก้อนเล็กเพิ่มขึ้นวันละ70 ตัน ,เมืองนนทบุรี,104000000000,นนทบุรี 1,24/12/1450,นนทบุรี 20,-10120000325310-,2000000,58,,นนทบุรี,1,เลขที่ 86/3,2,,6400,บางกระสอ,,0,58,3-14-3/31นบ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,03/08/1445,1,6500000
,ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 400 ตันต่อวัน,บางกรวย,106000000000,,08/05/1471,,-10120003025578-,500000,59,,นนทบุรี,5,เลขที่ ,6,,5116,มหาสวัสดิ์,,20000000,59,3-14-30/57นบ,บริษัท อุตสาหกรรมน้ำแข็งไทย จำกัด,29/06/1475,1,42500000
,ทำน้ำแข็งซองและทำน้ำแข็งก้อนเล็ก,บางใหญ่,476000000000,อบจ.สายทางบางแม่นาง (เทิดพระเกียรติ),09/06/1472,,-10120003225582-,1000000,60,,นนทบุรี,6,เลขที่ ,6,,9216,บางแม่นาง,,25000000,60,3-14-32/58นบ,บริษัท คิงส์ไอซ์แมน จำกัด,,0,20000000
16000000,"ทำน้ำแข็ง ได้วันละ 1,872 ซอง",เมืองนนทบุรี,10795,นนทบุรี 1,100.4871667,,-10120000425151-,7,61,11000,นนทบุรี,1,เลขที่ 85/1,1541.42,081-5135577,09/04/1450,บางกระสอ,3,7,61,3-14-4/15นบ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสินทิพย์,,13.87833333,0
