แรงม้า,GPS_lng,ตำบล,ประกอบกิจการ,พื้นที่อาคาร,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,อนุญาต,ลำดับ,หมู่,พื้นที่โรงงาน,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,คนงานหญิง,_id,เริ่มดำเนินการ,FID,อำเภอ,สิ้นอายุ,GPS_lat,เงินทุนรวม
451,100.5606193,บ้านใหม่,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,2474,32,3-105-13/58นบ,ติวานนท์,เลขที่ 69/288,30,นนทบุรี,025822645-7,2015-05-19T00:00:00,11,1,4596,พระแม่มหาการุณย์,บริษัท พี.พี.พี.รีไซเคิล จำกัด,11120,38211,2,11,2015-11-06T00:00:00,-10120001325582-,ปากเกร็ด,2020-01-01T00:00:00,13.94722789,18500000
140,100.3742,บางแม่นาง,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,240,8,3-105-151/48นบ,จันทร์ทองเอี่ยม,เลขที่ 25/3,6,นนทบุรี,0 2597 8270,2005-11-15T00:00:00,12,4,3200,แก้วอินทร์,บริษัท เอสเคเจ อินเตอร์พลาส จำกัด,11140,38211,2,12,2005-12-12T00:00:00,-10120015125481-,บางใหญ่,2020-01-01T00:00:00,13.87416667,15500000
105,100.4696667,บางรักน้อย,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),2400,20,3-105-165/48นบ,รัตนาธิเบศร์,เลขที่ 79/23,15,นนทบุรี,,2005-09-12T00:00:00,13,3,21044,วัดไทรม้า,วงษ์พาณิชย์ สาขานนทบุรี,11000,38211,5,13,2007-01-15T00:00:00,-10120016525481-,เมืองนนทบุรี,2022-01-01T00:00:00,13.86985,23000000
100,100.39955,ละหาร,คัดแยกวัสดุไม่ใช้แล้ว เช่น เศษผ้า ด้าย สำลี นุ่น กระสอบ กระดาษ เศษเหล็ก เศษพลาสติก เพื่อจำหน่าย นำเข้า ส่งออก,1980,14,3-105-19/47นบ,-,เลขที่ 18/18-19-20,11,นนทบุรี,02-9442225,2004-02-25T00:00:00,14,6,,-,บริษัท อุดมสุข เท็กซ์ไทล์ จำกัด,11110,38211,3,14,2004-04-19T00:00:00,-10120001925472-,บางบัวทอง,2024-01-01T00:00:00,13.96858333,2740000
5,100.5083333,บางพูด,คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมเพื่อนำมารีไซเคิล,544,60,3-105-2/46นบ,แจ้งวัฒนะ,เลขที่ 14/25,30,นนทบุรี,0 2963 2772-5,2003-12-06T00:00:00,15,6,544,แจ้งวัฒนะ-ปากเกร็ด 3,บริษัท เค.รีไซเคิล แอนด์ เซอร์วิส จำกัด,11120,38211,30,15,2003-07-21T00:00:00,-10120200225468-,ปากเกร็ด,2023-01-01T00:00:00,13.92941667,7702000
250,,บางรักพัฒนา,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่ใช่ของเสียอันตราย เช่น เศษทองแดง เศษทองเหลือง เศษเหล็ก เศษสแตนเลส เศษอลูมิเนียม เศษสายไฟ เศษพลาสติก เศษกระดาษ เศษไม้ บดย่อยพลาสติก อัดเศษโลหะ ตัดโลหะ,735,12,3-105-22/66นบ,บางกรวย-ไทรน้อย,เลขที่ 187/70,7,นนทบุรี,29204178,2023-04-03T00:00:00,16,3,948,,บริษัท สวัสดิ์รีไซเคิล จำกัด,11110,38211,5,16,2023-04-18T00:00:00,-10120036925661-,บางบัวทอง,2028-01-01T00:00:00,,20000000
1090,100.4301,บางขุนกอง,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),3600,60,3-105-3/46นบ,นครอินทร์,เลขที่ 38/3,40,นนทบุรี,0 2913 2197-9,2003-12-17T00:00:00,17,6,6460,-,บริษัท โลหะไทยสเตนเลส จำกัด,11130,38211,20,17,2005-07-25T00:00:00,-10120100325467-,บางกรวย,2020-01-01T00:00:00,13.82228333,141000000
90,100.4302833,บางรักพัฒนา,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,140,7,3-105-30/47นบ,บางกรวย-ไทรน้อย,เลขที่ 187/48,2,นนทบุรี,0-2920-5144,2004-03-25T00:00:00,18,3,140,ร่มโพธิ์ทอง,บริษัท ธนานุกูลชัย จำกัด,11110,38211,5,18,2004-04-19T00:00:00,-10120003025479-,บางบัวทอง,2024-01-01T00:00:00,13.88696667,1400000
421,100.4929,ตลาดขวัญ,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,1080,11,3-105-31/47นบ,เลี่ยงเมืองนนทบุรี,"เลขที่ 141,143",5,นนทบุรี,0-2969-0001-2,2004-03-25T00:00:00,19,,1340,,บริษัท เอส.เค.รีไซเคิล จำกัด,11000,38211,6,19,2004-04-19T00:00:00,-10120003125477-,เมืองนนทบุรี,2024-01-01T00:00:00,13.85615,9000000
111.1,100.4146102,บางบัวทอง,คัดแยกวัสดุเหลือใช้จากโรงงาน เช่น กระดาษ พลาสติก โลหะ,75,25,3-105-32/49นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 1/4,20,นนทบุรี,0 5802 9536,2006-05-26T00:00:00,20,13,0, -,นิตยารีไซเคิล,11110,38211,5,20,2006-06-19T00:00:00,-10120003225491-,บางบัวทอง,2021-01-01T00:00:00,13.93574255,3000000
215,100.514862,ท่าทราย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,493,20,3-105-32/53นบ,สามัคคี,"เลขที่ 12, 14",12,นนทบุรี,,2010-06-16T00:00:00,21,-,1448,สามัคคี 8,บริษัท แสงไพศาลค้ากระดาษ จำกัด,11000,38211,8,21,2010-07-30T00:00:00,-10120003225533-,เมืองนนทบุรี,2020-01-01T00:00:00,13.886405,4000000
385.5,100.514809,ท่าทราย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,1960,30,3-105-33/53นบ,สามัคคี,"เลขที่ 11,13",20,นนทบุรี,,2010-06-16T00:00:00,22,-,2260,สามัคคี 11,บริษัท แสงไพศาลค้ากระดาษ จำกัด,11000,38211,10,22,2010-07-30T00:00:00,-10120003325531-,เมืองนนทบุรี,2020-01-01T00:00:00,13.886305,11000000
393.6,100.3606667,บางใหญ่,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และหลอมหล่อโลหะ,648,14,3-105-4/46นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 4/5,11,นนทบุรี,,2003-12-29T00:00:00,23,3,4800,กันตนา,,11140,38211,3,23,2006-10-08T00:00:00,-10120000425466-,บางใหญ่,2021-01-01T00:00:00,13.84165,6100000
269,100.4041027,ละหาร,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,2160,21,3-105-47/59นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 27/14,18,นนทบุรี,029255794-7,2016-07-25T00:00:00,24,9,4400,,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,11110,38211,3,24,2016-12-09T00:00:00,-10120004725598-,บางบัวทอง,2021-01-01T00:00:00,13.95139066,19000000
858,100.4301849,บางขุนกอง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,590,100,3-105-52/60นบ,นครอินทร์,เลขที่ 38/13,55,นนทบุรี,,2017-05-22T00:00:00,25,6,2324,,บริษัท รวมโลหะ เทรดดิ้ง จำกัด,11130,38211,45,25,2020-05-05T00:00:00,-10120005225606-,บางกรวย,,13.81851201,290000000
1198,100.4060167,ละหาร,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติก และโลหะต่าง ๆ,8000,40,3-105-60/47นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 27/6,30,นนทบุรี,0 2925 5794,2004-05-07T00:00:00,26,9,17600,โรงเรียนแสงประทีป,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,11110,38211,10,26,2004-07-26T00:00:00,-10120006025476-,บางบัวทอง,2024-01-01T00:00:00,13.9524,70000000
325,100.5130833,ท่าทราย,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541),512,29,3-105-69/47นบ,สามัคคี,เลขที่ 10,11,นนทบุรี,0 2952 4939,2004-05-08T00:00:00,27,,1408,สามัคคี 7,ห้างหุ้นส่วนจำกัด ดวงพร รีไซเคิล,11000,38211,18,27,2004-08-30T00:00:00,-10120006925477-,เมืองนนทบุรี,2024-01-01T00:00:00,13.88728333,6200000
133,100.378693,ละหาร,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก อัดเศษกระดาษ อัดโลหะ,1433,10,3-105-73/53นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 94/8,5,นนทบุรี,02 9833600-1,2010-11-16T00:00:00,28,7,3200,-,ทรัพย์เจริญเซียงกง,11110,38211,5,28,2010-12-15T00:00:00,-10120007325537-,บางบัวทอง,2020-01-01T00:00:00,13.966722,1000000
345,100.3054125,คลองขวาง,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ใช้แล้วและเครื่องใช้ไฟฟ้า บดย่อยเศษตะกรันโลหะ เก็บรวบรวมแบตเตอรี่ใช้แล้วโดยไม่มีการแปรสภาพ สกัดโลหะมีค่าจากกากตะกอนระบบบำบัดน้ำเสียที่มีโลหะมีค่า นำน้ำมันหล่อลี่นที่ใช้แล้วหรือสารทำละลายที่ใช้แล้วผ่านกรรมวิธีทางอุตสาหกรรม มาทำเชื้อเพลิงทดแทน และผลิตเชื้อเพลิงผสม,1125,15,3-106-104/60นบ,,เลขที่ โฉนดที่ดินเลขที่ 5176,15,นนทบุรี,,2017-01-12T00:00:00,29,8,3200,,บริษัท ไทย เวสท์ แมเนจเม้นท์ จำกัด,11130,38300,0,29,2020-10-30T00:00:00,-10120010425605-,ไทรน้อย,,14.01023344,17000000
1696.98,100.318846,คลองขวาง,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกที่ใช้แล้วด้วยกระบวนการ Pyrolysis,1512,25,3-106-21/56นบ,ไทรน้อย-บางเลน,เลขที่ 48,24,นนทบุรี,29735188,2013-09-18T00:00:00,30,2,3200,,บริษัท คอร์สแอร์ แบงคอก จำกัด,11150,38300,1,30,2014-04-08T00:00:00,-10120002125569-,ไทรน้อย,2024-01-01T00:00:00,14.008574,55000000
159.29,100.293391,ไทรใหญ่,ปรับสภาพกรดที่ใช้แล้วและล้างบรรจุภัณฑ์ที่ใช้แล้ว,1465,20,3-106-23/67นบ,,เลขที่ 92/10,11,นนทบุรี,863456679,2024-07-06T00:00:00,31,10,8000,,บริษัท ไทยคลอไรด์ แมนูแฟคเจอร์ริ่ง จำกัด,11150,38300,9,31,,-10120094425679-,ไทรน้อย,,14.057088,16000000
960.7,,ไทรใหญ่,ถอดแยกบดย่อยแผงวงจรและชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ หลอมหล่อกากตะกอน ตะกรันทองแดง อลูมิเนียม ทองเหลือง และดีบุก เพื่อนำกลับมาใช้ประโยชน์ใหม่ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,975,30,3-106-32/67นบ,,เลขที่ โฉนดเลขที่ 61796,15,นนทบุรี,,2024-06-13T00:00:00,32,10,9600,,บริษัท เจซี เมทัล จำกัด,11150,38300,15,32,,-10120099925673-,ไทรน้อย,,,18000000
2171.9,,คลองขวาง,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกใช้แล้วด้วยกระบวนการ Pyrolysis,2634,25,3-106-35/66นบ,,เลขที่ 9/2,23,นนทบุรี,21238619,2023-09-27T00:00:00,33,2,3200,,บริษัท คอร์สแอร์ แบงคอก ทู จำกัด,11150,38300,2,33,,-10120153325661-,ไทรน้อย,,,20000000
1554.64,,ราษฎร์นิยม,ถอด แยก บด ย่อย แผง โซลาร์เซลล์ใช้แล้ว,1404,9,3-106-41/66นบ,,เลขที่ โฉนดที่ดินเลขที่ 37170,7,นนทบุรี,081-3989777,2023-10-25T00:00:00,34,1,4670,,บริษัท นภาเอ็นเทอร์ไพร์ส จำกัด,11150,38300,2,34,2024-08-05T00:00:00,-10120180825667-,ไทรน้อย,2029-01-01T00:00:00,,40839072
827.7,100.313769,คลองขวาง,ผลิตเชื้อเพลิงขยะ (RDF),2300,32,3-106-45/65นบ,-,เลขที่ 59/1,24,นนทบุรี,ื0922640625,2022-06-14T00:00:00,35,8,16199,-,บริษัท สยาม พาวเวอร์ จำกัด,11150,38300,8,35,2023-01-03T00:00:00,-10120103025650-,ไทรน้อย,2028-01-01T00:00:00,14.013749,591280000
381.7,100.314831,คลองขวาง,ทำเชื้อเพลิงทดแทนจากน้ำมันที่ใช้แล้วและตัวทำละลายที่ใช้แล้วโดยกระบวนการกรองถอดแยกและบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ ถอดแยกมอเตอร์เก่าที่ไม่เป็นของเสียอันตราย ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย บดย่อยตะกรันโลหะ เช่น ตะกรันอลูมิเนียม ตะกรันทองแดง เก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพและคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,1551,20,3-106-71/65นบ,,เลขที่ โฉนดที่ดินเลขที่ 59198,16,นนทบุรี,,2022-11-23T00:00:00,36,10,5622,,บริษัท เค.เอ.2018 เทรดดิ้ง จำกัด,11150,38300,4,36,2023-09-09T00:00:00,-10120201525650-,ไทรน้อย,2028-01-01T00:00:00,14.014962,21000000
1602.7,100.3822419,พิมลราช,ผลิตแผ่น วีซีดี ซีดีรอม ซีดีอาร์ ซีดีเกมส์ ซีดีไอ ดีวีดี ดีวีดี-รอม ซีดี เลเซอร์ดิสก์,400,67,3-107-4/49นบ,บ้านกล้วย-ไทรน้อย,เลขที่ 88/1,43,นนทบุรี,02-9234381-4,2006-07-27T00:00:00,37,4,1100,,บริษัท ทูไดเมนชั่น แมนูแฟคเจอริ่ง จำกัด,11110,26202,24,37,2006-09-11T00:00:00,-10120000425490-,บางบัวทอง,2022-01-01T00:00:00,13.92431312,136799000
6104.89,100.5458667,คลองเกลือ,ทำลูกกวาดและขนมขบเคี้ยว ทำช็อกโกแลตผง ทำขิงผงและเก๊กฮวยผง ทำหมากฝรั่ง,2991,182,3-12(10)-1/26นบ,แจ้งวัฒนะ,เลขที่ 51/3,62,นนทบุรี,5745170-1,1993-05-08T00:00:00,38,2,6360,ศรีตะปันย์,บริษัท เยเนอรัลแคนดี้ จำกัด,11120,10739,120,38,1983-09-23T00:00:00,-10120000125264-,ปากเกร็ด,2020-01-01T00:00:00,13.90288333,235000000
562.26,100.5103833,ตลาดขวัญ,ทำไอศกรีม,2050,29,3-12(11)-1/29นบ,ติวานนท์,เลขที่ 124/60,8,นนทบุรี,5884758,1995-09-02T00:00:00,39,4,3500,เรวดี 22,บริษัท ศิริเบญจ จำกัด,11000,10503,21,39,1986-05-16T00:00:00,-10120100125297-,เมืองนนทบุรี,2020-01-01T00:00:00,13.85245,16500000
833.98,100.51785,บางพูด,ทำแยมผลไม้ ซอสพริก และน้ำมันสลัด,900,68,3-13(2)-1/32นบ,ติวานนท์,เลขที่ 88/9,17,นนทบุรี,5831843,1993-09-29T00:00:00,40,8,3200,,บริษัท สุขุมพาณิชย์ จำกัด,11120,10774,51,40,1989-01-16T00:00:00,-10120000125322-,ปากเกร็ด,2020-01-01T00:00:00,13.9243,13400000
649.17,100.3687251,ละหาร,ผลิตน้ำสลัดและน้ำซอส,1560,32,3-13(6)-1/53นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 99,9,นนทบุรี,,2010-07-16T00:00:00,41,8,48255,สุเหร่าแดง,บริษัท พรีมาฟูดส์ ซัพพลาย จำกัด,11110,10799,23,41,2010-01-10T00:00:00,-10120000125538-,บางบัวทอง,2020-01-01T00:00:00,13.98753243,53000000
1696.83,100.48625,บางกระสอ,"ทำน้ำแข็งซอง เพิ่มขึ้นได้วันละ 648 ซอง รวมเป็น 1,297 ซอง/วัน",648,7,3-14-1/18นบ,นนทบุรี 1,เลขที่ 86/3,7,นนทบุรี,5251934,1993-09-04T00:00:00,42,1,2400,-,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,11000,10795,0,42,1975-08-20T00:00:00,-10120100125180-,เมืองนนทบุรี,2023-01-01T00:00:00,13.87866667,31000000
3042.31,100.4928,ปากเกร็ด,ทำน้ำแข็งซองได้วันละ 2681 ซอง และทำน้ำแข็งก้อนเล็กวันละ 58.36 ตัน,312,16,3-14-1/19นบ,สุขาประชาสรรค์,เลขที่ 77,15,นนทบุรี,5837474,1994-09-02T00:00:00,43,3,8000,,-,11120,10795,1,43,1976-09-04T00:00:00,-10120000125199-,ปากเกร็ด,2024-01-01T00:00:00,13.90841667,23700000
1999.5,100.48675,บางกระสอ,ทำน้ำแข็งก้อนเล็ก ได้วันละ 190.91 ตัน,4000,23,3-14-1/21นบ,,เลขที่ 3,15,นนทบุรี,5252811,1993-03-19T00:00:00,44,,4000,,บริษัท ร่วมพัฒนาน้ำแข็งหลอด จำกัด,11000,10795,8,44,1978-06-20T00:00:00,-10120100125214-,เมืองนนทบุรี,2023-01-01T00:00:00,13.87835,3100000
547,100.4858667,บางกระสอ,ผลิตน้ำแข็ง ได้วันละ 651 ซอง,684,11,3-14-1/23นบ,นนทบุรีสาย 1,เลขที่ 87,11,นนทบุรี,5251067,1995-05-07T00:00:00,45,1,4412,,,11000,10795,0,45,1980-07-04T00:00:00,-10120100125230-,เมืองนนทบุรี,2020-01-01T00:00:00,13.87886667,37950000
410.5,100.5383833,บางเขน,ทำน้ำแข็งก้อนเล็ก ได้วันละ 33.98 ตัน,84,4,3-14-1/31นบ,งามวงศ์วาน,เลขที่ 49/4/1,4,นนทบุรี,5897135,1994-01-02T00:00:00,46,2,996,วัดบัวขวัญ,บริษัท มั่งมีโภคทรัพย์ จำกัด,11000,10795,0,46,1988-01-14T00:00:00,-10120000125314-,เมืองนนทบุรี,2024-01-01T00:00:00,13.86148333,3200000
1757,100.43305,มหาสวัสดิ์,ผลิตน้ำแข็งซอง,550,10,3-14-1/42นบ,ปลายบาง,เลขที่ 75/17,10,นนทบุรี,-,1999-08-16T00:00:00,47,2,4290,วัดบางไกรใน,บริษัท โรงน้ำแข็งนวลวรรณ จำกัด,11130,10795,0,47,2000-01-20T00:00:00,-10120100125420-,บางกรวย,2020-01-01T00:00:00,13.80501667,25000000
775.5,100.3221667,ศาลากลาง,ผลิตน้ำแข็งก้อนเล็ก ผลิตได้วันละ 150 ตัน/วัน,350,16,3-14-1/44นบ,จงถนอม - วัดต้นเชือก,เลขที่ 64/4,8,นนทบุรี,02-9277870,2001-07-23T00:00:00,48,6,0,,น้ำแข็งศาลายา,11130,10795,8,48,2002-08-04T00:00:00,-10120000125447-,บางกรวย,2022-01-01T00:00:00,13.81985,17500000
3230.5,100.52435,บางเขน,"ผลิตน้ำแข็งซอง เพิ่มขึ้นอีก 400 ซอง/วัน รวมเป็น 2,000 ซอง/วัน",2062,12,3-14-1/45นบ,กรุงเทพ-นนทบุรี,เลขที่ 47/164,12,นนทบุรี,02-5895442,2002-09-20T00:00:00,49,7,5624,12  (ศิริชัย 1),บริษัท ศรีวัฒนะชัยน้ำแข็งซองและหลอด จำกัด,11000,10795,0,49,2003-09-22T00:00:00,-10120000125454-,เมืองนนทบุรี,2023-01-01T00:00:00,13.84303333,75760000
3269,100.3937,บางคูรัด,"ผลิตน้ำแข็งซอง เพิ่มวันละ 1,080 ซอง รวมเป็น 1,800 ซองต่อวัน",1570,32,3-14-17/52นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 88,32,นนทบุรี,02-9271901,2009-05-26T00:00:00,50,6,10860,วัดลาดปลาดุก,บริษัท โรงน้ำแข็งกังวานสิน จำกัด,11110,10795,0,50,2010-09-13T00:00:00,-10120001725526-,บางบัวทอง,2020-01-01T00:00:00,13.89182,100000000
1367.47,100.4862667,บางกระสอ,ทำน้ำแข็ง ได้วันละ 978 ซอง,984,13,3-14-2/13นบ,นนทบุรี 1,เลขที่ 86/2,13,นนทบุรี,4385599,1993-12-24T00:00:00,51,1,984,-,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทิพย์,11000,10795,0,51,1970-10-16T00:00:00,-10120000225130-,เมืองนนทบุรี,2024-01-01T00:00:00,13.87875,4100000
