เจ้าของข้อมูล,ผลผลิตเฉลี่ย,_id,ปี,ตำบล,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,1129.85,15,2560,จรเข้ร้อง,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,210.81,16,2560,ไชยภูมิ,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,4106.58,17,2560,ชัยฤทธิ์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,970.07,18,2560,เทวราช,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,876.81,19,2560,ราชสถิตย์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,566.56,20,2560,ไชโย,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,453.54,21,2560,หลักฟ้า,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,895.24,22,2560,ชะไว,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,937.5,23,2560,ตรีณรงค์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,700,24,2560,บางปลากด,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,200,25,2560,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,493.01,26,2560,สายทอง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,793.81,27,2560,โรงช้าง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,744.68,28,2560,บางเสด็จ,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,668.09,29,2560,นรสิงห์,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,770.93,30,2560,เอกราช,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,746.67,31,2560,โผงเผง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,815.53,32,2560,อ่างแก้ว,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,797.11,33,2560,อินทประมูล,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,806.63,34,2560,บางพลับ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,820.42,35,2560,หนองแม่ไก่,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,891.2,36,2560,รำมะสัก,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,799.97,37,2560,บางระกำ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,38,2560,โพธิ์รังนก,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,783.46,39,2560,องครักษ์,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,808.94,40,2560,โคกพุทรา,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,736.79,41,2560,ยางช้าย,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,809.1,42,2560,บ่อแร่,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,781.1,43,2560,ทางพระ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,821.6,44,2560,สามง่าม,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,45,2560,บางเจ้าฉ่า,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,819.19,46,2560,คำหยาด,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,744.45,47,2560,แสวงหา,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,48,2560,ศรีพราน,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,1061.13,49,2560,บ้านพราน,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,790.27,50,2560,วังน้ำเย็น,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,798.56,51,2560,สีบัวทอง,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,52,2560,ห้วยไผ่,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,53,2560,จำลอง,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,717.53,54,2560,ไผ่จำศิล,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,767.26,55,2560,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,811.4,56,2560,ไผ่ดำพัฒนา,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,916.69,57,2560,สาวร้องไห้,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,756.4,58,2560,ท่าช้าง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,752.96,59,2560,ยี่ล้น,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,650.44,60,2560,บางจัก,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,905.7,61,2560,ห้วยคันแหลน,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,763.52,62,2560,คลองขนาก,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,892.5,63,2560,ไผ่วง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,804.76,64,2560,สี่ร้อย,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,520.6,65,2560,ม่วงเตี้ย,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,742.56,66,2560,หัวตะพาน,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,690.39,67,2560,หลักแก้ว,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,773.33,68,2560,ตลาดใหม่,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,748.87,69,2560,สามโก้,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,752.43,70,2560,ราษฎรพัฒนา,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,700,71,2560,อบทม,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,786.11,72,2560,โพธิ์ม่วงพันธ์,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,834.61,73,2560,มงคลธรรมนิมิต,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,837.5,74,2561,ตลาดหลวง,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,769.23,75,2561,บางแก้ว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,764.48,76,2561,ศาลาแดง,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,771.54,77,2561,ป่างิ้ว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,770.27,78,2561,บ้านแห,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,749.02,79,2561,ตลาดกรวด,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,774.19,80,2561,มหาดไทย,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,817.68,81,2561,บ้านอิฐ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,760.75,82,2561,หัวไผ่,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,672.41,83,2561,จำปาหล่อ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,866.36,84,2561,โพสะ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,812.5,85,2561,บ้านรี,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,797.98,86,2561,คลองวัว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,812.5,87,2561,ย่านซื่อ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,784.99,88,2561,จรเข้ร้อง,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,968.07,89,2561,ไชยภูมิ,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,795.94,90,2561,ชัยฤทธิ์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,826.57,91,2561,เทวราช,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,797.7,92,2561,ราชสถิตย์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,793.8,93,2561,ไชโย,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,842.05,94,2561,หลักฟ้า,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,817.06,95,2561,ชะไว,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,886.22,96,2561,ตรีณรงค์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,4.08,97,2561,บางปลากด,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,367.31,98,2561,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,647.18,99,2561,สายทอง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,775.18,100,2561,โรงช้าง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,101,2561,บางเสด็จ,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,500,102,2561,นรสิงห์,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,769.8,103,2561,เอกราช,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,522.99,104,2561,โผงเผง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800.25,105,2561,อ่างแก้ว,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,106,2561,อินทประมูล,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,107,2561,บางพลับ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,770.92,108,2561,หนองแม่ไก่,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,794.09,109,2561,รำมะสัก,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,789.61,110,2561,บางระกำ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,791.63,111,2561,โพธิ์รังนก,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,769.7,112,2561,องครักษ์,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,113,2561,โคกพุทรา,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,799.99,114,2561,ยางช้าย,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,802.21,115,2561,บ่อแร่,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,793.08,116,2561,ทางพระ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,117,2561,สามง่าม,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,118,2561,บางเจ้าฉ่า,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,795.4,119,2561,คำหยาด,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,781.26,120,2561,แสวงหา,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,802.01,121,2561,ศรีพราน,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,122,2561,บ้านพราน,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,788.79,123,2561,วังน้ำเย็น,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,784.85,124,2561,สีบัวทอง,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,125,2561,ห้วยไผ่,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,789.55,126,2561,จำลอง,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,766.39,127,2561,ไผ่จำศิล,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,720.18,128,2561,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,780.84,129,2561,ไผ่ดำพัฒนา,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,704.71,130,2561,สาวร้องไห้,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,746.4,131,2561,ท่าช้าง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,740.66,132,2561,ยี่ล้น,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,725.93,133,2561,บางจัก,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,760.32,134,2561,ห้วยคันแหลน,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,707.79,135,2561,คลองขนาก,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,722.9,136,2561,ไผ่วง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,734.12,137,2561,สี่ร้อย,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,720.38,138,2561,ม่วงเตี้ย,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,745.37,139,2561,หัวตะพาน,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,737,140,2561,หลักแก้ว,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,735,141,2561,ตลาดใหม่,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,886.73,142,2561,สามโก้,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,806.13,143,2561,ราษฎรพัฒนา,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,716.3,144,2561,อบทม,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,755.81,145,2561,โพธิ์ม่วงพันธ์,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,757.11,146,2561,มงคลธรรมนิมิต,สามโก้,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,846.15,147,2562,ตลาดหลวง,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,876.36,148,2562,ศาลาแดง,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,869.34,149,2562,ป่างิ้ว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,845.71,150,2562,บ้านแห,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,822.12,151,2562,ตลาดกรวด,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,908.35,152,2562,มหาดไทย,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,846.39,153,2562,บ้านอิฐ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,154,2562,หัวไผ่,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,797.61,155,2562,จำปาหล่อ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,830.02,156,2562,โพสะ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,792.57,157,2562,บ้านรี,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,873.49,158,2562,คลองวัว,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,845.96,159,2562,ย่านซื่อ,เมืองอ่างทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,792.73,160,2562,จรเข้ร้อง,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,790.29,161,2562,ไชยภูมิ,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,162,2562,ชัยฤทธิ์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,788.44,163,2562,เทวราช,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,765.25,164,2562,ราชสถิตย์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,774.45,165,2562,ไชโย,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,822.01,166,2562,หลักฟ้า,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,846.07,167,2562,ชะไว,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,814.75,168,2562,ตรีณรงค์,ไชโย,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,681.58,169,2562,บางปลากด,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,170,2562,ป่าโมก,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,777.04,171,2562,สายทอง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,794.22,172,2562,โรงช้าง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,798.71,173,2562,บางเสด็จ,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,531.61,174,2562,นรสิงห์,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,702.83,175,2562,เอกราช,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,176,2562,โผงเผง,ป่าโมก,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,714.15,177,2562,อ่างแก้ว,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,730.54,178,2562,อินทประมูล,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,808.5,179,2562,บางพลับ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,798.52,180,2562,หนองแม่ไก่,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,801.29,181,2562,รำมะสัก,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,762.43,182,2562,บางระกำ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,819.75,183,2562,โพธิ์รังนก,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,734.49,184,2562,องครักษ์,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,647.89,185,2562,โคกพุทรา,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,801.03,186,2562,ยางช้าย,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,782.51,187,2562,บ่อแร่,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,794.85,188,2562,ทางพระ,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,664.88,189,2562,สามง่าม,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,731.98,190,2562,บางเจ้าฉ่า,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,806.28,191,2562,คำหยาด,โพธิ์ทอง,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,796.32,192,2562,แสวงหา,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,809.06,193,2562,ศรีพราน,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,800,194,2562,บ้านพราน,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,802.12,195,2562,วังน้ำเย็น,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,792.65,196,2562,สีบัวทอง,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,703.05,197,2562,ห้วยไผ่,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,797.67,198,2562,จำลอง,แสวงหา,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,715.38,199,2562,ไผ่จำศิล,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,713.6,200,2562,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,796.9,201,2562,ไผ่ดำพัฒนา,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,751.49,202,2562,สาวร้องไห้,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,804.71,203,2562,ท่าช้าง,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,772.04,204,2562,ยี่ล้น,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,679.93,205,2562,บางจัก,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,663.95,206,2562,ห้วยคันแหลน,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,683.49,207,2562,คลองขนาก,วิเศษชัยชาญ,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,704.5,208,2562,ไผ่วง,วิเศษชัยชาญ,กิโลกรัม/ไร่
