ประกอบกิจการ,ประเภท,เงินทุน,หมู่,ถนน,TSIC,คนงาน,เลขทะเบียนเดิม,โทรศัพท์,เลขทะเบียนโรงงาน,_id,แรงม้า,ชื่อโรงงาน,ตำบล,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,ไปรษณีย์
ทำลูกชิ้นเนื้อวัวลูกชิ้นปลา,403,8900000,3,บุรีรัมย์-กระสัง,10139,10,จ3-4(3)-1/38บร,613914,20310100125383,11,482.75,ห้างหุ้นส่วนจำกัด วรารัตน์ ฟู๊ดส์,อิสาณ,บ้านโคกหัวช้าง,เมืองบุรีรัมย์,116,บุรีรัมย์,ห้างหุ้นส่วนจำกัด วรารัตน์ ฟู๊ดส์,31000
ผลิตนมสดพาสเจอร์ไรส์ และนมปรุงแต่งพาสเจอร์ไรส์,501,5540511,1,บุรีรัมย์-ประโคนชัย,10501,20,3-5(1)-2/47บร,,10310000225475,12,189.92,โรงงานแปรรูปผลิตภัณฑ์นม วิทยาลัยเกษตรและเทคโนโลยีบุรีรัมย์,อิสาณ,-,เมืองบุรีรัมย์,67,บุรีรัมย์,กรมอาชีวศึกษา กระทรวงศึกษาธิการ,31000
"โรงงานสกัดน้ำมันจากพืชกัญชา,กัญชง",701,57500000,14,-,10419,36,จ3-7(1)-6/65บร,,20310117825652,13,322,บริษัท เอ็น แอนด์ เอ็น แลนด์ จำกัด,อิสาณ,-,เมืองบุรีรัมย์,90/1,บุรีรัมย์,บริษัท เอ็น แอนด์ เอ็น แลนด์ จำกัด,31000
ทำเส้นก๋วยเตี๋ยว,1003,2000000,1,สายบุรีรัมย์-สตึก,10743,10,จ3-10(3)-1/37บร,044611331,20310000125376,14,346.75,ก๋วยเตี๋ยวโรงใหม่,อิสาณ,-,เมืองบุรีรัมย์,179,บุรีรัมย์,นายโชติอนันต์ วงษ์วิจิตรสุข,31000
ทำน้ำแข็งก้อนเล็ก ขนาดกำลังผลิต 30 ตันต่อวัน,1400,7000000,8,ถนนบุรีรัมย์-นางรอง,10795,4,จ3-14-1/46บร,044-621722,20310300125464,15,205.15,โรงน้ำแข็งพรพงษ์,อิสาณ,,เมืองบุรีรัมย์,365,บุรีรัมย์,บริษัท พรพงษ์ วิลล่า จำกัด,31000
ทำน้ำแข็งก้อนเล็ก (กำลังการผลิตส่วนที่ขยายโรงงาน 50 ตัน/วัน),1400,8500000,15,บุรีรัมย์-ประโคนชัย,10795,15,จ3-14-3/46บร,081-8773187,20310000325463,16,918.5,ศิลาน้ำแข็งหลอด,อิสาณ,โรงงานวิกผม,เมืองบุรีรัมย์,88,บุรีรัมย์,บริษัท ศิลา น้ำแข็งหลอด จำกัด,31000
ผลิตผมปลอม (วิก),2801,53000000,9,บุรีรัมย์-ประโคนชัย,14111,737,ส3-28(1)-1/31บร,,00310000125313,17,432.83,บริษัท แอดเดอรานสไทย จำกัด,อิสาณ,,เมืองบุรีรัมย์,122,บุรีรัมย์,บริษัท แอดเดอรานสไทย จำกัด,31000
เลื่อยไม้,3401,3500000,4,บุรีรัมย์-ประโคนชัย,16101,34,3-34(1)-1/20บร,611301,10310000125204,18,556,โรงเลื่อยจักรรุ่งศิริพรพาณิชย์,อิสาณ,,เมืองบุรีรัมย์,35,บุรีรัมย์,ห้างหุ้นส่วนจำกัด โรงเลื่อยจักรรุ่งศิริพรพาณิชย์,31000
"เลื่อย ไส ซอย เซาะร่องหรือแปรรูปไม้ ทำประดิษฐกรรมจากไม้ เช่น ทำวงกบประตู-หน้าต่าง, เฟอร์นิเจอร์,เครื่องเรือน เครื่องใช้จากไม้",3401,6000000,8,-,16101,12,จ3-34(1)-1/43บร,044-614081/6123,20310000125434,19,127,ห้างหุ้นส่วนจำกัด มิตรยนต์ค้าวัสดุ,อิสาณ,-,เมืองบุรีรัมย์,71,บุรีรัมย์,ห้างหุ้นส่วนจำกัด มิตรยนต์ค้าวัสดุ,31000
ผลิตแอสฟัลต์คอนกรีต,5004,4500000,4,,19209,10,จ3-50(4)-1/54บร,081-8781878,20310000125541,20,316.99,ห้างหุ้นส่วนจำกัด บุรีเจริญคอนสตรัคชั่น,อิสาณ,,เมืองบุรีรัมย์,30/2,บุรีรัมย์,ห้างหุ้นส่วนจำกัด บุรีเจริญคอนสตรัคชั่น,31000
ผลิตแอสฟัลต์คอนกรีต,5004,8700000,2,-,19209,5,จ3-50(4)-8/53บร,,20310000825538,21,316.99,บริษัท เชียงใหม่คอนตรัคชั่น จำกัด,อิสาณ,-,เมืองบุรีรัมย์,133,บุรีรัมย์,บริษัท เชียงใหม่คอนตรัคชั่น จำกัด,31000
ปะเปลี่ยนยางรถยนต์ ตั้งศูนย์ถ่วงล้อ,5100,24000000,9,รอบเมือง,22112,12,จ3-51-1/38บร,611566,20310300125381,22,77.25,ห้างหุ้นส่วนจำกัด บุรีรัมย์เสรียางยนต์,อิสาณ,,เมืองบุรีรัมย์,64,บุรีรัมย์,ห้างหุ้นส่วนจำกัด บุรีรัมย์เสรียางยนต์,31000
ทำผลิตภัณฑ์คอนกรีต,5801,5100000,4,บุรีรัมย์-ประโคนชัย,23953,7,จ3-58(1)-1/39บร,611688,20310600125396,23,76.3,บริษัท สมบูรณ์สุข จำกัด,อิสาณ,,เมืองบุรีรัมย์,9/2,บุรีรัมย์,บริษัท สมบูรณ์สุข จำกัด,31000
"ทำผลิตภัณฑ์คอนกรีต เช่น ท่อ คสล.,อัดแรง, อิฐบล๊อก, คอนกรีตผสมเสร็จ และแผ่นพื้นคอนกรีตสำเร็จรูปสำหรับระบบพื้นคอนกรีต",5801,39000000,2,บุรีรัมย์-สุรินทร์,23953,30,จ3-58(1)-2/36บร,,20310000225366,24,161.18,บริษัท เอบี คอนกรีต จำกัด,อิสาณ,,เมืองบุรีรัมย์,88,บุรีรัมย์,บริษัท เอบี คอนกรีต จำกัด,31000
คอนกรีตผสมเสร็จ,5801,3700000,3,บุรีรัมย์-สุรินทร์,23953,3,จ3-58(1)-2/38บร,,20310100225381,25,89,บริษัท ปูนซิเมนต์ไทย(แก่งคอย) จำกัด,อิสาณ,,เมืองบุรีรัมย์,,บุรีรัมย์,บริษัท ปูนซิเมนต์ไทย(แก่งคอย) จำกัด,31000
ทำผลิตภัณฑ์คอนกรีตเช่นคอนกรีตผสมเสร็จแผ่นพื้นคอนกรีตหล่อสำเร็จเสาเข็มคอนกรีตเสาไฟฟ้า,5801,10000000,3,บายพาส,23953,11,จ3-58(1)-6/38บร,613939,20310000625383,26,97,ห้างหุ้นส่วนจำกัด อาร์.เอส.คอนกรีตบุรีรัมย์,อิสาณ,,เมืองบุรีรัมย์,167,บุรีรัมย์,ห้างหุ้นส่วนจำกัด อาร์.เอส.คอนกรีตบุรีรัมย์,31000
ทำวิกผม,8706,312000,10,บุรีรัมย์-นางรอง,13940,70,จ3-87(6)-2/56บร,0872613841,20310000225564,27,142.34,ห้างหุ้นส่วนจำกัด จ.ชนะโชค,อิสาณ,,เมืองบุรีรัมย์,62,บุรีรัมย์,ห้างหุ้นส่วนจำกัด จ.ชนะโชค,31000
ทำวิกผม,8706,300000,10,,13940,147,จ3-87(6)-3/48บร,,20310000325489,28,226.81,,อิสาณ,,เมืองบุรีรัมย์,412,บุรีรัมย์,นางจำปี ไชยเยชน์,31000
ซ่อมรถยนต์,9501,22000000,9,ถ.บุรีรัมย์-นางรอง,33121,6,จ3-95(1)-2/43บร,,20310200225430,29,148.83,บริษัท ฮอนด้ามะลิวัลย์ จำกัด,อิสาณ,,เมืองบุรีรัมย์,65,บุรีรัมย์,บริษัท ฮอนด้ามะลิวัลย์ จำกัด,31000
ซ่อมรถยนต์,9501,95000000,10,บุรีรัมย์-นางรอง,33121,20,จ3-95(1)-15/59บร,044616813,20310201525598,30,84.58,บริษัท คิงส์ยนต์ จำกัด สาขาบุรีรัมย์นอกเมือง,อิสาณ,,เมืองบุรีรัมย์,559,บุรีรัมย์,บริษัท คิงส์ยนต์ จำกัด,30000
เคาะพ่นสีรถยนต์,9501,12700000,12,,33121,20,จ3-95(1)-258/56บร,,20310025825562,31,117.54,อู่ ป.ประเสริฐยนต์,อิสาณ,,เมืองบุรีรัมย์,333,บุรีรัมย์,นายประเสริฐ คารศรี,31000
จำหน่ายรถยนต์ ซ่อมบำรุงรถยนต์และซ่อมตัวถังและสี,9501,115000000,10,บุรีรัมย์-นางรอง,33121,81,จ3-95(1)-373/48บร,,20310037325486,32,103,บริษัท โตโยต้าบุรีรัมย์ จำกัด,อิสาณ,,เมืองบุรีรัมย์,140,บุรีรัมย์,นายสิทธิ์ ไตรบัญญัติกุล,31000
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 160 เกวียน/วัน,901,2580000,4,บุรีรัมย์-ประโคนชัย,10611,21,3-9(1)-36/15บร,611014,10310003625150,33,497,บริษัท บุรีรัมย์รุ่งเรือง จำกัด,เสม็ด,,เมืองบุรีรัมย์,122,บุรีรัมย์,บริษัท บุรีรัมย์รุ่งเรือง จำกัด,31000
ทำน้ำแข็งก้อนเล็ก,1400,10950000,17,,10795,8,จ3-14-15/51บร,,20310001525517,34,594.5,โชคสมปอง,เสม็ด,,เมืองบุรีรัมย์,45,บุรีรัมย์,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งโชคสมปอง,31000
ผลิตน้ำแข็งก้อนเล็ก,1400,32000000,10,-,10795,20,จ3-14-37/64บร,,20310314925644,35,296.5,บริษัท เสม็ดยูนิค จำกัด,เสม็ด,-,เมืองบุรีรัมย์,โฉนดที่ดินเลขที่60240,บุรีรัมย์,บริษัท เสม็ดยูนิค จำกัด,31000
ผลิตแอสฟัลท์ติกคอนกรีตและผลิตคอนกรีตผสมเสร็จ,5004,197500000,3,-,19209,20,จ3-50(4)-10/59บร,,20310001025591,36,556.5,ห้างหุ้นส่วนจำกัด ภูศิลา,เสม็ด,-,เมืองบุรีรัมย์,184,บุรีรัมย์,ห้างหุ้นส่วนจำกัดภูศิลา,31000
ผลิตแอสฟัสท์ติกคอนกรีต,5004,70000000,9,-,19209,5,จ3-50(4)-22/51บร,,20310002225513,37,1269.15,ห้างหุ้นส่วนจำกัด เค.เอ.พี.เพาเวอร์,เสม็ด,-,เมืองบุรีรัมย์,555,บุรีรัมย์,ห้างหุ้นส่วนจำกัด เค.เอ.พี.เพาเวอร์,31000
ผลิต ผลิตภัณฑ์คอนกรีตอัดแรง,5801,49000000,16,บุรีรัมย์-ประโคนชัย,23953,30,จ3-58(1)-39/47บร,01-4393 616,20310003925475,38,497.5,บริษัท สยามเทคนิคคอนกรีต จำกัด (มหาชน),เสม็ด,,เมืองบุรีรัมย์,333,บุรีรัมย์,บริษัท สระบุรีเทคนิคคอนกรีต จำกัด,31000
ผลิตคอนกรีตผสมเสร็จ,5801,55000000,9,เลี่ยงเมืองบุรีรัมย์-สุรินทร์,23953,40,จ3-58(1)-97/50บร,,20310009725507,39,485,บริษัท 555 ซีเมนต์ จำกัด,เสม็ด,,เมืองบุรีรัมย์,333,บุรีรัมย์,บริษัท 555 ซีเมนต์ จำกัด,31000
ทำผลิตภัณฑ์คอนกรีต เช่น ท่อคอนกรีต เสาคอนกรีต,5801,49000000,9,,23959,30,จ3-58(1)-286/57บร,,20310028625571,40,332.5,บริษัท เค.เอ.พี.เพาเวอร์ อินเตอร์เนชั่นแนล จำกัด,เสม็ด,,เมืองบุรีรัมย์,555,บุรีรัมย์,บริษัท เค.เอ.พี.เพาเวอร์ อินเตอร์เนชั่นแนล จำกัด,31000
ผลิตหลังคาเหล็ก,6302,21690000,9,-,25111,7,จ2-63(2)-146/64บร,,20310258125649,41,52.26,บริษัท สรรไท ซุปเปอร์เทค จำกัด,เสม็ด,-,เมืองบุรีรัมย์,999,บุรีรัมย์,บริษัท สรรไท ซุปเปอร์เทค จำกัด,31000
ทำเครื่องเรือนจากไม้ เช่น วงกบ ประตู หน้าต่าง,3700,6300000,5,,31001,10,จ3-37-217/56บร,0833672662,20310021725568,42,75.88,บริษัท โชคนำชัยวัสดุก่อสร้าง จำกัด,บ้านบัว,,เมืองบุรีรัมย์,65,บุรีรัมย์,บริษัท โชคนำชัยวัสดุก่อสร้าง จำกัด,31000
ทำหลังคาเหล็กเมทอลชีท,6302,10500000,5,,25111,5,อ2-63(2)-152/64บร,,60310259625648,43,71.25,บริษัท บุรีรัมย์ เมทอลชีท จำกัด สาขา 1 (บ้านบัว),บ้านบัว,,เมืองบุรีรัมย์,88,บุรีรัมย์,บริษัท บุรีรัมย์ เมทอลชีท จำกัด,31000
จำหน่ายรถยนต์และอะไหล่ และซ่อมรถยนต์,9501,42800000,18,-,33121,10,จ3-95(1)-47/59บร,044620733-4,20310004725593,44,69.6,บริษัท มิตซู แสนรุ่งเรือง บุรีรัมย์ จำกัด,บ้านบัว,-,เมืองบุรีรัมย์,245,บุรีรัมย์,บริษัท มิตซู แสนรุ่งเรือง บุรีรัมย์ จำกัด,31000
บริการซ่อมรถยนต์ และเคาะพ่นสีรถยนต์,9501,825000000,14,-,33121,46,จ3-95(1)-143/58บร,,20310014325582,45,418.76,บริษัท โตโยต้าพนมรุ้ง จำกัด,บ้านบัว,-,เมืองบุรีรัมย์,555,บุรีรัมย์,บริษัท โตโยต้าพนมรุ้ง จำกัด,31000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 270 ตัน/วัน,1400,20000000,11,,10795,20,3-14-30/62บร,,10310227625622,46,1278,บริษัท กิมชุนไอซ์ บุรีรัมย์ จำกัด,สะแกโพรง,,เมืองบุรีรัมย์,โฉนดที่ดินเลขที่ 120292,บุรีรัมย์,บริษัท กิมชุนไอซ์ บุรีรัมย์ จำกัด,35000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 100 ตัน/วัน,1400,38000000,24,-,10795,10,จ3-14-40/58บร,,20310004025580,47,473,ห้างหุ้นส่วนจำกัด วารีเทพบุรีรัมย์,สะแกโพรง,-,เมืองบุรีรัมย์,84 ,บุรีรัมย์,ห้างหุ้นส่วนจำกัด วารีเทพบุรีรัมย์,31000
โรงผลิตพลังงานไฟฟ้าจากเซลล์พลังงานแสงอาทิตย์ 5 เมกะวัตต์,8801,500000000,11,บุรีรัมย์-นางรอง,35101,19,3-88(1)-21/56บร,,40310002125560,48,14091.58,บริษัท ซี.เค.แอนด์ ซัน เอ็นเนอร์ยี่ (ประเทศไทย) จำกัด สาขาบุรีรัมย์,สะแกโพรง,,เมืองบุรีรัมย์,153,บุรีรัมย์,บริษัท ซี.เค.แอนด์ ซัน เอ็นเนอร์ยี่(ประเทศไทย)จำกัด,31000
โรงผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ 3 เมกะวัตต์,8801,300000000,11,บุรีรัมย์-นางรอง,35101,19,3-88(1)-22/56บร,,40310002225568,49,8443.76,บริษัท ซี.เค.แอนด์ ซัน เอ็นเนอร์ยี่ (ประเทศไทย) จำกัด สาขาบุรีรัมย์,สะแกโพรง,,เมืองบุรีรัมย์,149,บุรีรัมย์,บริษัท ซี.เค.แอนด์ ซัน เอ็นเนอร์ยี่(ประเทศไทย)จำกัด,31000
"โม่ บด ย่อยหิน กำลังการผลิต 49,140 ลูกบาศก์เมตร/ปี",301,15300000,16,บุรีรัมย์-สุรินทร์,23961,52,3-3(1)-1/35บร,614545,10310000125352,50,2494,ห้างหุ้นส่วนจำกัด หินบุรีรัมย์,สวายจีก,บ้านพลวง,เมืองบุรีรัมย์,124,บุรีรัมย์,ห้างหุ้นส่วนจำกัด หินบุรีรัมย์,31000
โม่ บด ย่อยหิน,301,21500000,19,บุรีรัมย์-สุรินทร์,23961,20,3-3(1)-3/35บร,044-614840,10310000325358,51,2128.5,บริษัท บุรีรัมย์นวรัตน์ จำกัด,สวายจีก,-,เมืองบุรีรัมย์,131,บุรีรัมย์,บริษัท บุรีรัมย์นวรัตน์ จำกัด,31000
"โม่ บด ย่อยหิน กำลังการผลิต 180,000 ลูกบาศก์เมตร/ปี",301,20000000,16,สายบุรีรัมย์-สุรินทร์,23961,25,จ3-3(1)-2/38บร,,20310000225382,52,615,ห้างหุ้นส่วนจำกัด บุรีรัมย์รัชดา,สวายจีก,,เมืองบุรีรัมย์,179,บุรีรัมย์,ห้างหุ้นส่วนจำกัด บุรีรัมย์รัชดา,31000
โม่ บด หรือย่อยหิน,301,212000000,19,บุรีรัมย์-สุรินทร์,23961,18,ธ3-3(1)-7/64บร,044-614020,30310480825642,53,2066,บริษัท หินเพชร จำกัด,สวายจีก,-,เมืองบุรีรัมย์,32,บุรีรัมย์,บริษัท หินเพชร จำกัด,31000
การร่อนหรือคัดแยก ล้าง คัดขนาด กรวด หิน ดิน ทราย,303,30000000,19,-,8103,6,จ3-3(3)-5/64บร,,20310382125648,54,247.5,บริษัท บุรีรัมย์ นวรัตน์ จำกัด,สวายจีก,-,เมืองบุรีรัมย์,"โฉนดที่ดินเลขที่ 86842,86843,86844 และ 87040",บุรีรัมย์,บริษัท บุรีรัมย์ นวรัตน์ จำกัด,31000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 190 ตัน/วัน,1400,59000000,1,,10795,10,3-14-46/58บร,,10310004625589,55,849.5,ห้างหุ้นส่วนจำกัด ประสงค์ทรัพย์บุรีรัมย์,สวายจีก,,เมืองบุรีรัมย์,170,บุรีรัมย์,ห้างหุ้นส่วนจำกัด ประสงค์ทรัพย์บุรีรัมย์,31210
ผลิตแอสฟัลต์ติกคอนกรีต,5004,157000000,19,บุรีรัมย์-สุรินทร์,19209,7,จ3-50(4)-18/54บร,044-614020,20310001825545,56,485,บริษัท สุขุมการโยธา จำกัด,สวายจีก,บ้านพลวง,เมืองบุรีรัมย์,โฉนดที่ดินเลขที่ 92484,บุรีรัมย์,บริษัท สุขุมการโยธา จำกัด,31000
ล้าง บด ย่อย พลาสติก,5309,5190000,6,,22299,11,จ3-53(9)-26/62บร,,20310179725626,57,82,เชฟแพลเน็ต,สวายจีก,,เมืองบุรีรัมย์,โฉนดที่ดินเลขที่ 140223,บุรีรัมย์,นายธนิจสรรพ์ จันทคณานุรักษ์,31000
ทำผลิตภัณฑ์คอนกรีต เช่น อิฐบล็อก ท่อคอนกรีตและ แผ่นพื้นคอนกรีต,5801,29000000,16,-,23953,20,จ3-58(1)-191/60บร,,20310019125607,58,396.26,บริษัท บุรีรัมย์รัชดา จำกัด,สวายจีก,-,เมืองบุรีรัมย์,151,บุรีรัมย์,บริษัท บุรีรัมย์รัชดา จำกัด,31000
ผลิตและจำหน่ายเสาคอนกรีต ท่อคอนกรีต และวัสดุก่อสร้างที่ประกอบด้วยปูนซีเมนต์และเหล็กทุกชนิด,5801,22000000,16,-,23953,8,จ3-58(1)-273/56บร,,20310027325561,59,239.6,บริษัท กิจมงคลบุรีรัมย์ จำกัด,สวายจีก,-,เมืองบุรีรัมย์,303,บุรีรัมย์,บริษ้ท กิจมงคลบุรีรัมย์ จำกัด,31000
ผลิตคอนกรีตผสมเสร็จและผลิตภัณฑ์คอนกรีต เช่น แผ่นพื้น,5801,47000000,19,-,23953,34,จ3-58(1)-297/64บร,0688785920,20310497725647,60,290,บริษัท ธาดาพรีคาสท์ จำกัด,สวายจีก,-,เมืองบุรีรัมย์, โฉนดที่ดินเลขที่ 133454,บุรีรัมย์,บริษัท ธาดาพรีคาสท์ จำกัด,31000
ทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น เมททอลชีท,6302,13500000,16,บุรีรัมย์-สุรินทร์,25111,8,จ2-63(2)-151/64บร,084-9597994,20310259125648,61,64,บริษัท เค.ซี.เมททอลชีท จำกัด,สวายจีก,-,เมืองบุรีรัมย์,171,บุรีรัมย์,บริษัท เค.ซี.เมททอลชีท จำกัด,31000
ทำผลิตภัณฑ์อาหารจากเนื้อสัตว์ เช่นลูกชิ้น ใส้กรอก หมูยอ ไก่ยอ,403,2600000,11,,10139,10,จ3-4(3)-21/61บร,,20310002125614,62,332.17,นางสาวนุจรินทร์ อินทร์คำ,บ้านยาง,,เมืองบุรีรัมย์,109,บุรีรัมย์,นางสาวนุจรินทร์ อินทร์คำ,31000
สีข้าวกำลังสีสูงสุดของร้านสีข้าว100เกวียน/วัน,901,2800000,10,-,10611,14,3-9(1)-1/40บร,044-611601,10310000125402,63,368.75,ชุมนุมสหกรณ์การเกษตรบุรีรัมย์ จำกัด,บ้านยาง,,เมืองบุรีรัมย์,159,บุรีรัมย์,ชุมนุมสหกรณ์การเกษตรบุรีรัมย์ จำกัด,31000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 80 ตัน/วัน รวมเป็น 190 ตัน/วัน,1400,15500000,6,บุรีรัมย์-สตึก,10795,15,จ3-14-51/48บร,,20310005125488,64,835,โรงน้ำแข็งเอเชีย,บ้านยาง,-,เมืองบุรีรัมย์,199,บุรีรัมย์,ห้างหุ้นส่วนจำกัด แพรว-พีท-พี (2004),31000
ทำหลังคาเหล็กเมททอลชีท,6302,4500000,6,บุรีรัมย์-สตึก,25111,5,จ2-63(2)-145/64บร,,20310258025641,65,59.75,ดี ดี หลังคาเหล็ก,บ้านยาง,-,เมืองบุรีรัมย์,122,บุรีรัมย์,บริษัท ดีดี เมทัลชีท บุรีรัมย์ จำกัด,31000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 100 ตัน/วัน,1400,20000000,12,-,10795,10,จ3-14-29/58บร,,20310102925582,66,780,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธนวรรณ,สองห้อง,-,เมืองบุรีรัมย์,98,บุรีรัมย์,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธนวรรณ,31000
"ทำผลิตภัณฑ์คอนกรีต เช่น คอนกรีตผสมเสร็จ,อิฐบล็อค",5801,6500000,12,,23953,10,จ2-58(1)-174/64บร,,20310259725645,67,68.5,บริษัท กระเดื่องคอนกรีตผสมเสร็จ จำกัด,สองห้อง,,เมืองบุรีรัมย์,57,บุรีรัมย์,บริษัท กระเดื่องคอนกรีตผสมเสร็จ จำกัด,31000
อบข้าวเปลือก,201,21900000,2,,1630,5,จ3-2(1)-28/62บร,,20310301325626,68,497,บริษัท โรงสีข้าวเจริญกิจพูนผล จำกัด,ชุมเห็ด,,เมืองบุรีรัมย์,222/1,บุรีรัมย์,บริษัท โรงสีข้าวเจริญกิจพูนผล จำกัด,31000
ผลิตลูกชิ้น,403,2400000,14,,10139,10,จ3-4(3)-18/58บร,,20310001825586,69,267.5,โรงงานลูกชิ้นโชคจริน,ชุมเห็ด,,เมืองบุรีรัมย์,116,บุรีรัมย์,นางสาวจรินทร กองอ้น,31000
สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุด 300 เกวียน/วัน,901,11500000,2,เลี่ยงเมืองบุรีรัมย์-สตึก,10611,16,จ3-9(1)-110/47บร,081-5584071,20310011025474,70,595.5,บริษัท โรงสีข้าวเจริญกิจพูนผล จำกัด,ชุมเห็ด,,เมืองบุรีรัมย์,222/1,บุรีรัมย์,บริษัท โรงสีข้าวเจริญกิจพูนผล จำกัด,31000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 50 ตัน/วัน และน้ำดื่ม,1400,14550000,5,,10795,10,จ3-14-60/56บร,,20310006025562,71,528.5,โรงน้ำแข็งอรัญญา,ชุมเห็ด,,เมืองบุรีรัมย์,260,บุรีรัมย์,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งอรัญญา,31000
ทำอาหารผสมและอาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,1501,71000000,3,,10801,4,จ3-15(1)-9/62บร,081-7254492,20310180025628,72,146,ห้างหุ้นส่วนจำกัด บุรีรัมย์ไฮเทค,ชุมเห็ด,,เมืองบุรีรัมย์,161,บุรีรัมย์,ห้างหุ้นส่วนจำกัด บุรีรัมย์ไฮเทค,31000
