ค่าข้อมูล,ประเภท,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
8,ผลิตภัณฑ์พลาสติก,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,35,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
61,ผลิตภัณฑ์อโลหะ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,36,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,ผลิตภัณฑ์โลหะขั้นมูลฐาน,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,37,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,ผลิตภัณฑ์โลหะ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,38,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,39,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,40,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
24,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,41,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
28,การผลิตอื่น ๆ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,42,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
25,ผลิตภัณฑ์จากพืช,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,43,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
42,อุตสาหกรรมอาหาร,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,44,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,อุตสาหกรรมเครื่องดื่ม,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,45,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,สิ่งทอ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,46,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,47,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,48,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
22,แปรรูปไม้และผลิตภัณฑ์จากไม้,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,49,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,50,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,51,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,52,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,เคมีภัณฑ์และผลิตภัณฑ์เคมี,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,53,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
11,ผลิตภัณฑ์จากปิโตรเลียม,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,54,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ยางและผลิตภัณฑ์ยาง,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,55,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,ผลิตภัณฑ์พลาสติก,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,56,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
62,ผลิตภัณฑ์อโลหะ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,57,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,ผลิตภัณฑ์โลหะขั้นมูลฐาน,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,58,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,ผลิตภัณฑ์โลหะ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,59,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,60,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,61,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
24,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,62,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
25,การผลิตอื่น ๆ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,63,2565,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
