เจ้าของข้อมูล,_id,ปี,ตำบล,อำเภอ,ราคาขาย,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,62,2560,คลองขนาก,วิเศษชัยชาญ,6.3,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,63,2560,ไผ่วง,วิเศษชัยชาญ,6.56,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,64,2560,สี่ร้อย,วิเศษชัยชาญ,6.65,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,65,2560,ม่วงเตี้ย,วิเศษชัยชาญ,6.41,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,66,2560,หัวตะพาน,วิเศษชัยชาญ,6.5,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,67,2560,หลักแก้ว,วิเศษชัยชาญ,6.41,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,68,2560,ตลาดใหม่,วิเศษชัยชาญ,6.48,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,69,2560,สามโก้,สามโก้,6.53,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,70,2560,ราษฎรพัฒนา,สามโก้,6.55,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,71,2560,อบทม,สามโก้,6.88,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,72,2560,โพธิ์ม่วงพันธ์,สามโก้,24.88,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,73,2560,มงคลธรรมนิมิต,สามโก้,6.62,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,74,2561,ตลาดหลวง,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,75,2561,บางแก้ว,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,76,2561,ศาลาแดง,เมืองอ่างทอง,7.9,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,77,2561,ป่างิ้ว,เมืองอ่างทอง,7.87,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,78,2561,บ้านแห,เมืองอ่างทอง,8.07,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,79,2561,ตลาดกรวด,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,80,2561,มหาดไทย,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,81,2561,บ้านอิฐ,เมืองอ่างทอง,7.91,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,82,2561,หัวไผ่,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,83,2561,จำปาหล่อ,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,84,2561,โพสะ,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,85,2561,บ้านรี,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,86,2561,คลองวัว,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,87,2561,ย่านซื่อ,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,88,2561,จรเข้ร้อง,ไชโย,7.95,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,89,2561,ไชยภูมิ,ไชโย,7.87,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,90,2561,ชัยฤทธิ์,ไชโย,7.77,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,91,2561,เทวราช,ไชโย,7.64,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,92,2561,ราชสถิตย์,ไชโย,7.49,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,93,2561,ไชโย,ไชโย,8.13,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,94,2561,หลักฟ้า,ไชโย,8.39,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,95,2561,ชะไว,ไชโย,8.46,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,96,2561,ตรีณรงค์,ไชโย,8.12,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,97,2561,บางปลากด,ป่าโมก,6.5,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,98,2561,ป่าโมก,ป่าโมก,7.93,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,99,2561,สายทอง,ป่าโมก,7.63,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,100,2561,โรงช้าง,ป่าโมก,7.23,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,101,2561,บางเสด็จ,ป่าโมก,6.74,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,102,2561,นรสิงห์,ป่าโมก,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,103,2561,เอกราช,ป่าโมก,6.92,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,104,2561,โผงเผง,ป่าโมก,7.54,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,105,2561,อ่างแก้ว,โพธิ์ทอง,7.62,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,106,2561,อินทประมูล,โพธิ์ทอง,7.94,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,107,2561,บางพลับ,โพธิ์ทอง,7.9,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,108,2561,หนองแม่ไก่,โพธิ์ทอง,7.72,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,109,2561,รำมะสัก,โพธิ์ทอง,7.7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,110,2561,บางระกำ,โพธิ์ทอง,7.71,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,111,2561,โพธิ์รังนก,โพธิ์ทอง,7.36,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,112,2561,องครักษ์,โพธิ์ทอง,7.47,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,113,2561,โคกพุทรา,โพธิ์ทอง,7.1,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,114,2561,ยางช้าย,โพธิ์ทอง,7.87,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,115,2561,บ่อแร่,โพธิ์ทอง,8.17,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,116,2561,ทางพระ,โพธิ์ทอง,7.74,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,117,2561,สามง่าม,โพธิ์ทอง,7.15,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,118,2561,บางเจ้าฉ่า,โพธิ์ทอง,7.48,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,119,2561,คำหยาด,โพธิ์ทอง,7.73,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,120,2561,แสวงหา,แสวงหา,7.15,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,121,2561,ศรีพราน,แสวงหา,6.46,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,122,2561,บ้านพราน,แสวงหา,6.34,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,123,2561,วังน้ำเย็น,แสวงหา,6.94,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,124,2561,สีบัวทอง,แสวงหา,7.2,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,125,2561,ห้วยไผ่,แสวงหา,6.85,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,126,2561,จำลอง,แสวงหา,6.59,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,127,2561,ไผ่จำศิล,วิเศษชัยชาญ,7.16,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,128,2561,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,6.78,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,129,2561,ไผ่ดำพัฒนา,วิเศษชัยชาญ,6.88,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,130,2561,สาวร้องไห้,วิเศษชัยชาญ,6.84,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,131,2561,ท่าช้าง,วิเศษชัยชาญ,7.04,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,132,2561,ยี่ล้น,วิเศษชัยชาญ,7.01,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,133,2561,บางจัก,วิเศษชัยชาญ,6.92,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,134,2561,ห้วยคันแหลน,วิเศษชัยชาญ,6.66,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,135,2561,คลองขนาก,วิเศษชัยชาญ,6.77,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,136,2561,ไผ่วง,วิเศษชัยชาญ,6.71,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,137,2561,สี่ร้อย,วิเศษชัยชาญ,6.55,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,138,2561,ม่วงเตี้ย,วิเศษชัยชาญ,7.32,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,139,2561,หัวตะพาน,วิเศษชัยชาญ,6.65,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,140,2561,หลักแก้ว,วิเศษชัยชาญ,7.07,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,141,2561,ตลาดใหม่,วิเศษชัยชาญ,7.33,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,142,2561,สามโก้,สามโก้,7.21,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,143,2561,ราษฎรพัฒนา,สามโก้,7.02,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,144,2561,อบทม,สามโก้,6.94,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,145,2561,โพธิ์ม่วงพันธ์,สามโก้,7.02,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,146,2561,มงคลธรรมนิมิต,สามโก้,7.8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,147,2562,ตลาดหลวง,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,148,2562,ศาลาแดง,เมืองอ่างทอง,7.96,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,149,2562,ป่างิ้ว,เมืองอ่างทอง,7.95,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,150,2562,บ้านแห,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,151,2562,ตลาดกรวด,เมืองอ่างทอง,7.84,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,152,2562,มหาดไทย,เมืองอ่างทอง,7.95,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,153,2562,บ้านอิฐ,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,154,2562,หัวไผ่,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,155,2562,จำปาหล่อ,เมืองอ่างทอง,7.95,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,156,2562,โพสะ,เมืองอ่างทอง,7.96,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,157,2562,บ้านรี,เมืองอ่างทอง,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,158,2562,คลองวัว,เมืองอ่างทอง,7.99,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,159,2562,ย่านซื่อ,เมืองอ่างทอง,7.95,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,160,2562,จรเข้ร้อง,ไชโย,7.92,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,161,2562,ไชยภูมิ,ไชโย,8.16,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,162,2562,ชัยฤทธิ์,ไชโย,8.9,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,163,2562,เทวราช,ไชโย,8.06,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,164,2562,ราชสถิตย์,ไชโย,8.34,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,165,2562,ไชโย,ไชโย,7.88,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,166,2562,หลักฟ้า,ไชโย,8.2,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,167,2562,ชะไว,ไชโย,8.23,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,168,2562,ตรีณรงค์,ไชโย,8.47,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,169,2562,บางปลากด,ป่าโมก,8.29,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,170,2562,ป่าโมก,ป่าโมก,8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,171,2562,สายทอง,ป่าโมก,8.38,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,172,2562,โรงช้าง,ป่าโมก,8.08,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,173,2562,บางเสด็จ,ป่าโมก,7.72,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,174,2562,นรสิงห์,ป่าโมก,7.98,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,175,2562,เอกราช,ป่าโมก,7.65,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,176,2562,โผงเผง,ป่าโมก,9,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,177,2562,อ่างแก้ว,โพธิ์ทอง,7.72,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,178,2562,อินทประมูล,โพธิ์ทอง,7.61,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,179,2562,บางพลับ,โพธิ์ทอง,8.06,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,180,2562,หนองแม่ไก่,โพธิ์ทอง,7.84,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,181,2562,รำมะสัก,โพธิ์ทอง,7.84,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,182,2562,บางระกำ,โพธิ์ทอง,7.67,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,183,2562,โพธิ์รังนก,โพธิ์ทอง,7.74,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,184,2562,องครักษ์,โพธิ์ทอง,7.24,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,185,2562,โคกพุทรา,โพธิ์ทอง,7.94,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,186,2562,ยางช้าย,โพธิ์ทอง,7.96,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,187,2562,บ่อแร่,โพธิ์ทอง,7.89,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,188,2562,ทางพระ,โพธิ์ทอง,7.9,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,189,2562,สามง่าม,โพธิ์ทอง,8.04,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,190,2562,บางเจ้าฉ่า,โพธิ์ทอง,7.21,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,191,2562,คำหยาด,โพธิ์ทอง,7.61,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,192,2562,แสวงหา,แสวงหา,8.09,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,193,2562,ศรีพราน,แสวงหา,7.12,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,194,2562,บ้านพราน,แสวงหา,7.28,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,195,2562,วังน้ำเย็น,แสวงหา,7.4,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,196,2562,สีบัวทอง,แสวงหา,7.02,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,197,2562,ห้วยไผ่,แสวงหา,6.98,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,198,2562,จำลอง,แสวงหา,7.11,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,199,2562,ไผ่จำศิล,วิเศษชัยชาญ,6.77,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,200,2562,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,7.67,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,201,2562,ไผ่ดำพัฒนา,วิเศษชัยชาญ,7.84,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,202,2562,สาวร้องไห้,วิเศษชัยชาญ,7.25,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,203,2562,ท่าช้าง,วิเศษชัยชาญ,7.3,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,204,2562,ยี่ล้น,วิเศษชัยชาญ,7.28,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,205,2562,บางจัก,วิเศษชัยชาญ,7.45,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,206,2562,ห้วยคันแหลน,วิเศษชัยชาญ,7.54,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,207,2562,คลองขนาก,วิเศษชัยชาญ,7.14,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,208,2562,ไผ่วง,วิเศษชัยชาญ,7.08,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,209,2562,สี่ร้อย,วิเศษชัยชาญ,7.82,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,210,2562,ม่วงเตี้ย,วิเศษชัยชาญ,7.8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,211,2562,หัวตะพาน,วิเศษชัยชาญ,7.18,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,212,2562,หลักแก้ว,วิเศษชัยชาญ,7.69,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,213,2562,ตลาดใหม่,วิเศษชัยชาญ,7.49,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,214,2562,สามโก้,สามโก้,8.61,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,215,2562,ราษฎรพัฒนา,สามโก้,8.34,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,216,2562,อบทม,สามโก้,8.33,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,217,2562,โพธิ์ม่วงพันธ์,สามโก้,8.95,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,218,2562,มงคลธรรมนิมิต,สามโก้,8.29,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,219,2563,ตลาดหลวง,เมืองอ่างทอง,9.4,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,220,2563,บางแก้ว,เมืองอ่างทอง,9.4,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,221,2563,ศาลาแดง,เมืองอ่างทอง,9.62,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,222,2563,ป่างิ้ว,เมืองอ่างทอง,9.91,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,223,2563,บ้านแห,เมืองอ่างทอง,9.7,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,224,2563,ตลาดกรวด,เมืองอ่างทอง,9.62,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,225,2563,มหาดไทย,เมืองอ่างทอง,9.8,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,226,2563,บ้านอิฐ,เมืองอ่างทอง,10.36,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,227,2563,หัวไผ่,เมืองอ่างทอง,9.78,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,228,2563,จำปาหล่อ,เมืองอ่างทอง,9.58,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,229,2563,โพสะ,เมืองอ่างทอง,9.61,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,230,2563,บ้านรี,เมืองอ่างทอง,9.54,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,231,2563,คลองวัว,เมืองอ่างทอง,10.05,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,232,2563,ย่านซื่อ,เมืองอ่างทอง,9.76,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,233,2563,จรเข้ร้อง,ไชโย,7.73,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,234,2563,ไชยภูมิ,ไชโย,7.11,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,235,2563,ชัยฤทธิ์,ไชโย,8.25,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,236,2563,เทวราช,ไชโย,8.87,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,237,2563,ราชสถิตย์,ไชโย,8.77,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,238,2563,ไชโย,ไชโย,8.36,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,239,2563,หลักฟ้า,ไชโย,9.04,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,240,2563,ชะไว,ไชโย,8.48,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,241,2563,ตรีณรงค์,ไชโย,8.04,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,242,2563,บางปลากด,ป่าโมก,7.67,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,243,2563,ป่าโมก,ป่าโมก,7.83,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,244,2563,สายทอง,ป่าโมก,8.36,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,245,2563,โรงช้าง,ป่าโมก,7.91,บาท
สำนักงานเกษตรจังหวัดอ่างทอง,246,2563,บางเสด็จ,ป่าโมก,7.55,บาท
