ถนน,เลขที่,ซอย,ประเภท,เงินทุน,แรงม้า,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
สุวินทวงศ์,เลขที่ 48,-,101,"43,100,000",356,11,10,3-101-1/40,11,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",989-4050-62,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,9
ฉลองกรุง,เลขที่ 239,ฉลองกรุง31,106,"7,000,000,000","1,100.00",12,286,น.106-1/2559-นนล.,12,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,904100066,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
พระรามที่ 2,เลขที่ 68/39,แสมดำ 17,101,"127,500,000",862.2,13,23,3-101-1/47,13,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
สุวินทวงษ์,เลขที่ 888,,105,"220,000,000","1,041.00",14,30,3-105-70/59,14,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,029565125,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ -,ฉลองกรุง31,106,,0,15,,น.106-1/2561-นนล.,15,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,-,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 40,ฉลองกรุง31,106,,0,16,,น.106-2/2559-นนล.,16,บริษัท กรีนรีพับลิค จำกัด,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),26888200,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 115,-,105,"10,000,000","1,265.00",17,15,น.105-1/2553-นนล.,17,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,02-326-1256,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
พระรามที่ 2,เลขที่ 68/39,วัดแสมดำ,101,"5,000,000",439,18,82,3-101-2/38,18,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),4153728,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
เลียบคลองมอญ,เลขที่ 98,,105,"53,000,000",349.22,19,20,3-105-13/49,19,นายสิทธิธรรม เรืองจรุงพงศ์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
-,เลขที่ -,-,106,,0,20,,น.106-2/2561-นนล.,20,บริษัท อิซัน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไหล่เครื่องโมเด็ม,-,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
สุขุมวิท กม.30,เลขที่,ฟอกหนัง,101,"33,000,000","1,493.00",21,15,3-101-3/36สป,21,สมาคมอุตสาหกรรมฟอกหนัง,ปรับปรุงคุณภาพน้ำเสีย,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,11
สุขุมวิท กม.30,เลขที่ 1/5,ฟอกหนัง กม.30,101,"33,000,000","1,493.00",22,15,ข3-101-3/36สป,22,บริษัท เขตประกอบการอุตสาหกรรมฟอกหนัง กม.30 จำกัด,ปรับคุณภาพน้ำเสียรวม,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,1
พระรามที่ 2,เลขที่ 99/231,,106,"1,000,000",90,23,12,3-106-62/60,23,บริษัท ผลพาณิชย์ จำกัด,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,084-4244701,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,4
เลียบคลองมอญ,เลขที่ 169/2,,105,"5,000,000",61,24,10,3-105-89/59,24,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,106,,335.5,25,,3-106-1/46,25,อุตสาหกรรมน้ำมันไทย,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),081-5929569,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
,เลขที่ โฉนดที่ดินเลขที่ 101,,105,"120,000,000",371,26,40,3-105-13/60,26,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
สุขุมวิท กม.34,เลขที่,ฟอกหนัง,101,"13,000,000",577.4,27,15,3-101-2/36สป,27,สมาคมอุตสาหกรรมฟอกหนัง,ปรับคุณภาพน้ำเสียรวม,7039009-10,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,105,"8,500,000",129,28,7,3-105-32/54,28,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
สุขุมวิท ,เลขที่ 223/2,ฟอกหนัง กม.34,101,,577.4,29,15,ข3-101-2/36สป,29,เขตประกอบการอุตสาหกรรมฟอกหนังกม.34 บจก.,ปรับคุณภาพน้ำเสียรวม,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
มาเจริญ,เลขที่ 159,,106,"24,000,000",655.12,30,8,3-106-36/60,30,บริษัท เหล็กหมุนเวียน จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,028121576,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
สุขุมวิท,เลขที่ 792,1 ซี/1,101,,"2,028.62",31,84,น.101-1/2544-นนป.,31,บริษัท อัคคีปราการ จำกัด (มหาชน),ศูนย์บริหารจัดการวัสดุเหลือใช้อุตสาหกรรม (เตาเผาขยะอุตสาหกรรม),,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
อ่อนนุช,เลขที่ โฉนดที่ดินเลขที่ 121,อ่อนนุช 86,106,"1,370,000,000","2,693.21",32,47,3-106-54/61,32,บริษัท กรุงเทพธนาคม จำกัด,เชื้อเพลิงแข็งจากขยะชุมชน,,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,105,"27,000,000",295,33,21,3-105-49/59,33,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,028972394,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 61,บางกระดี่ 25,105,"24,500,000",200,34,14,3-105-9/60,34,นายคมกริช นิธิธนปรีดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ประชาอุทิศ,เลขที่ 71/5,วิเชียร,106,"22,000,000",153,35,12,3-106-2/46,35,บริษัท นิ้วเจริญ จำกัด,ซ่อมแซมถังน้ำมัน,,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
สุขุมวิท,เลขที่ 965,3 บี,101,,"10,081.16",36,32,น.101-1/2547-ญนป.,36,บริษัท บางปู เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,โรงพักขยะมูลฝอยและขยะอุตสาหกรรม (เฉพาะประเภท NON HAZARDOUS WASTE) และรับดำเนินการดูแลจัดการระบบเตาเผาสถานีขนถ่ายวัสดุที่ใช้แล้วและบริหารจัดการวัสดุเหลือใช้ ขยะมูลฝอยจากชุมชน และน้ำเสียจากผู้ใช้บริการทั่วประเทศ ตลอดจนผลิตไอน้ำ ล้างภาชนะปนเปื้อน ผลิตเชื้อเพลิงผสม และเชื้อเพลิงทดแทนจากวัสดุที่ไม่ใช้แล้ว รีไซเคิลหลอดฟลูออเรสเซนต์ ผลิตไฟฟ้าจากพลังงานไอน้ำ ขนาด 1.6 MW,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
สุขุมวิท,เลขที่ 649/1,,101,"134,588,000","3,620.20",37,36,น.101-1/2542-นนป.,37,บริษัท โกบอล เอ็นไวรอนเมนทอล เทคโนโลยี จำกัด,ดำเนินโครงการพัฒนาและยกระดับระบบบำบัดน้ำเสีย นิคมอุตสาหกรรมบางปู,0 2709 2950-3,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
พระราม2,เลขที่ 547,,105,"78,000,000","1,053.00",38,8,3-105-14/59,38,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,0 2452 2824,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 74,6,106,"80,000,000",769.5,39,10,3-106-34/60,39,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,02-892-2679,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
-,เลขที่ 998,เจ็กปัง (18/1),106,"4,500,000",149,40,7,3-106-37/49สป,40,บริษัท สุพาชัย แท้งค์ เทรดดิ้ง จำกัด,ซ่อมและล้างบรรจุภัณฑ์,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,1
พุทธรักษา,เลขที่ 199,-,101,"6,000,000",50,41,3,3-101-2/45สป,41,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),02 388-0868,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,8
พระรามที่ 2,เลขที่ 549,,105,"29,000,000",91,42,6,3-105-39/59,42,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-0489980,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ปานวิถี,เลขที่ 261/93,-,101,"7,220,000",38.58,43,5,3-101-1/45สป,43,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,บ่อบำบัดน้ำเสียรวม,02-708-3659-60,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,2
แสมดำ,เลขที่ 4,-,105,"2,000,000",485,44,2,3-105-53/54,44,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
สุขุมวิท,เลขที่ -,-,106,"16,300,000",757.28,45,15,3-106-3/51สป,45,บริษัท แอลบีเอ ออยล์ มีล จำกัด,นำน้ำมันพืชที่ใช้แล้วมาผ่านกระบวนการผลิตทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์และสกัดน้ำมันจากไขมันสัตว์เพื่อใช้ผสมอาหารสัตว์,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
สุขมวิท,เลขที่,-,101,"5,468,790,000","30,000.00",46,80,3-101-1/44สป,46,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,-,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,11
พระราม 2,เลขที่ 597,,105,"12,300,000",426.5,47,9,3-105-54/59,47,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,024155642,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
สุขุมวิท,เลขที่ 789,-,106,"10,000,000","1,987.73",48,5,3-106-7/59สป,48,บริษัท แปซิฟิค รีนิวเอเบิ้ล โปรดักส์ จำกัด,ผลิตซิลิโคนออยล์จากวัสดุที่ไม่ใช้แล้ว,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
,"เลขที่ 16/1,16/2",บางกระดี่ 1 แยก 9,105,"12,198,000",98,49,4,3-105-54/61,49,นวกลกิจ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,09 5596 4555,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางนา-ตราด กม.16,เลขที่ 4/3,,101,"13,695,000",170.4,50,3,ข3-101-1/61สป,50,บริษัท ไทยซัมมิท โอโตพาร์ท อินดัสตรี จำกัด,ปรับคุณภาพน้ำเสียรวม ขนาด 650.00 ลบม./วัน,02.325-8000,10540,บางโฉลง,บางพลี,สมุทรปราการ,1
สุขุมวิท,เลขที่ 1111/2,เขตประกอบการฟอกหนัง กม.34,106,"165,000,000","3,206.40",51,56,3-106-16/59สป,51,บริษัท อินเตอร์ กรีน จำกัด,ผลิตโปรตีนจากเศษขี้หนังสัตว์โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
,เลขที่ 89,บางกระดี่ 19,105,"37,500,000",435,52,30,3-105-60/60,52,นายการัณย์ อัครกุลพรรณ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-8447639,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ทางรถไฟสายเก่า,เลขที่ 82/1,-,101,"60,000,000",621.55,53,4,3-101-1/46สป,53,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",0-2386-1331,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,2
สุขุมวิท,เลขที่ โฉนดที่ดินเลขที่ 317400,,106,"23,000,000",317,54,15,3-106-29/60สป,54,บริษัท ยู.บี.ที.ออยล์ จำกัด,กรองน้ำมันพืชใช้แล้ว และบีบอัดน้ำมันจากกากสัตว์,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
-,เลขที่ 522,-,106,"3,327,000",116.89,55,4,3-106-30/58สป,55,บริษัท โกลด์ ฟิลด์ รีไฟเนอรี จำกัด,สกัดทองคำและเงินจากกากอุตสาหกรรม,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
ปู่เจ้าสมิงพราย,เลขที่ 89/2,วัดสวนส้ม,101,"48,000,000",460.92,56,3,3-101-3/41สป,56,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),บำบัดน้ำเสียรวม,3842760-1,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,8
แสมดำ,เลขที่ 22,แสมดำ 5,105,"93,000,000",808.18,57,30,3-105-73/59,57,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
สุขุมวิท,"เลขที่ โฉนดที่ดินเลขที่ 12056,269435,27386,36924",เขตประกอบการฟอกหนัง กม.34,106,"165,000,000","3,206.40",58,56,3-106-43/60สป,58,บริษัท อินเตอร์ไฮด์ จำกัด (มหาชน),ผลิตโปรตีนจากเศษขี้หนังสัตว์โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,0 2323 2754,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
เทพารักษ์ กม.23,เลขที่ 159/1,,101,"109,363,616",500,59,10,3-101-1/34สป,59,บริษัท เอ็ม.ไทย เอสเตท จำกัด,บำบัดน้ำเสียรวม,02-706-1515,10570,บางเสาธง,บางเสาธง,สมุทรปราการ,16
มาเจริญ,เลขที่ 286,,105,"6,000,000",167.25,60,25,3-105-11/59,60,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0818031474,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16,-,105,"1,800,000",33,61,7,3-105-98/50,61,หนองแขมของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7
เทพารักษ์ กม.20.5,เลขที่ 209,,101,"86,160,000","1,751.26",62,24,3-101-1/35สป,62,บริษัท จีเอฟพีที จำกัด (มหาชน),บำบัดน้ำเสียรวม,02-3159400,10570,บางเสาธง,บางเสาธง,สมุทรปราการ,1
สุขุมวิทสายเก่า,เลขที่ 322,บางปู เอส เอ็ม อี,106,"11,000,000",110,63,10,3-106-49/47สป,63,ห้างหุ้นส่วนจำกัด พิม กรุ๊ป,รับจ้างซ่อมแซมและทำภาชนะบรรจุ เช่น ถังเหล็ก ล้าง ภาชนะบรรจุ เช่น ถังเหล็กบรรจุน้ำมันเครื่อง กาว เรซิน ตัวทำละลาย สี ฯลฯ,02-3232286,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,105,"13,000,000",766.34,64,14,3-105-52/59,64,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
,เลขที่ 55/99,,101,"115,000,000",300,65,15,ข3-101-4/59สป,65,บริษัท ชัยนันท์-บางพลี พาร์คแลนด์ จำกัด,บำบัดน้ำเสียรวม 4200 ลูกบาศก์เมตรต่อวัน,,10570,บางเสาธง,บางเสาธง,สมุทรปราการ,15
พุทธรักษา,เลขที่ 269,ศรีวิลัย,106,"15,725,000",141.36,66,12,3-106-5/48สป,66,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด,ปรับปรุงคุณภาพน้ำมันที่ใช้แล้วเพื่อใช้เป็นเชื้อเพลิงทดแทน และปรับปรุงคุณภาพของเสียประเภทต่าง ๆ (Solid Blending) เพื่อใช้เป็นวัตถุดิบทดแทนโรงปูนซีเมนต์,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,6
พุทธรักษา,เลขที่ 784,แพรกษา,106,"32,800,000",428.95,67,13,3-106-7/49สป,67,บริษัท ที.พี.พี (1998) จำกัด,ซ่อมและล้างถังบรรจุเคมีที่ใช้แล้วด้วยตัวทำละลาย ทำเชื้อเพลิงผสมจากน้ำมันหล่อลื่นและสารละลายที่ใช้แล้ว คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก โลหะ กระดาษ ผ้า,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
บางพูน-รังสิต,เลขที่ 29/3,,101,"93,479,230",157.56,68,2,3-101-2/58ปท,68,บริษัท ไทยสแตนเลย์การไฟฟ้า จำกัด (มหาชน),ระบบบำบัดน้ำเสียรวม,,12000,บ้านกลาง,เมืองปทุมธานี,ปทุมธานี,1
