เงินทุนรวม,ประกอบกิจการ,อำเภอ,ถนน,ซอย,FID,คนงานรวม,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,แรงม้าตรวจพบ,รายการ,คนงานหญิง
" 4,300,000 ",คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ บดย่อยเศษพลาสติก ทำเม็ดพลาสติกจากเศษพลาสติกเก่า และอัดเศษกระดาษ,คลองหลวง,พหลโยธิน,-,-10130001125478-,10,12120,ปทุมธานี,18,เลขที่ 9/9, 75.00 ,,คลองหนึ่ง,ห้างหุ้นส่วนจำกัด เจ.พี.เอ็น.รีไซเคิล,5,11,3-105-11/47ปท,ห้างหุ้นส่วนจำกัด เจ.พี.เอ็น.รีไซเคิล, 75.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 18,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,สามโคก,,,-10130101125584-,15,12160,ปทุมธานี,4,เลขที่ 50/8, 185.00 ,02-975-1114,เชียงรากใหญ่,บริษัท ต.นิยมไทย รีไซเคิล จำกัด,12,12,3-105-11/58ปท,บริษัท ต.นิยมไทย รีไซเคิล จำกัด, 185.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 1,716,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130101225608-,10,12000,ปทุมธานี,14,เลขที่ 18/15, 197.00 ,,คลองสอง,บริษัท ทองพูล รีไซเคิล จำกัด,5,13,3-105-12/60ปท,บริษัท ทองพูล รีไซเคิล จำกัด, 197.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 18,100,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดพลาสติก ทำเม็ดพลาสติกเกรดบี,ลาดหลุมแก้ว, -, -,-10130012425487-,10,12140,ปทุมธานี,4,เลขที่ 35/5, 160.00 ,,ลาดหลุมแก้ว,บริษัท โสภณพลาสติก จำกัด,4,14,3-105-124/48ปท,บริษัท โสภณพลาสติก จำกัด, 221.72 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,6
" 36,500,000 ","คัดแยกกระดาษและอัดกระดาษเป็นแท่ง, ก้อน",คลองหลวง,เลียบคลองสาม (ตะวันตก),-,-10130012725480-,65,12120,ปทุมธานี,10,เลขที่ 25/5, 260.00 ,0 2726 2313,คลองสาม,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด,50,15,3-105-127/48ปท,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด, 260.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,15
" 6,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130001325599-,10,12120,ปทุมธานี,6,เลขที่ 9/9, 144.00 ,08 1823 2198,คลองเจ็ด,บริษัท วงศ์ทอง สตีลไวร์ จำกัด,5,16,3-105-13/59ปท,บริษัท วงศ์ทอง สตีลไวร์ จำกัด, 144.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 800,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,เลียบคลองสอง,เอราวัณ 22,-10130001425530-,5,12120,ปทุมธานี,14,เลขที่ 18/10, 95.00 ,081  9130220,คลองสอง,ห้างหุ้นส่วนจำกัด จักร์ณรงค์ ซัพพลาย,5,17,3-105-14/53ปท,ห้างหุ้นส่วนจำกัด จักร์ณรงค์ ซัพพลาย, 95.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 8,950,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,,,-10130067225642-,19,12150,ปทุมธานี,9,เลขที่ 34/12, 100.00 ,,บึงทองหลาง,บริษัท วาย ดี โกลบอลไลส์ จำกัด,8,18,3-105-14/64ปท,บริษัท วาย ดี โกลบอลไลส์ จำกัด, 100.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,11
" 8,000,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ นำน้ำมันหล่อลื่นที่ใช้แล้วหรือสารทำละลาย มาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ น้ำมันกันสนิม ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ รีไซเคิลไส้กรองน้ำมัน ทำเชื้อเพลิงผสม (Blending) จากเศษผ้าปนเปื้อนน้ำมัน วัสดุดูดซับกากตะกอนน้ำมัน เศษไส้กรองน้ำมัน,คลองหลวง,,,-10130101525502-,5,12120,ปทุมธานี,15,เลขที่ 37/47, 115.00 ,,คลองสอง,บริษัท คิงออยล์ แอนด์ ปิโตรเลียม จำกัด,5,19,3-105-15/50ปท,บริษัท คิงออยล์ แอนด์ ปิโตรเลียม จำกัด, 115.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 6,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองปทุมธานี,,,-10130001525594-,10,12000,ปทุมธานี,6,เลขที่ 21/21, 67.00 ,089-8113240,หลักหก,บริษัท มิชชั่นไลน์รีไซเคิล จำกัด,5,20,3-105-15/59ปท,บริษัท มิชชั่นไลน์รีไซเคิล จำกัด, 67.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 4,400,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,เมืองปทุมธานี,-,-,-10130001625550-,10,12000,ปทุมธานี,7,เลขที่ 99/9, 200.00 ,02-978-9871,บางหลวง,บริษัท ศิริรัตน์ โลหะกิจ จำกัด,10,21,3-105-16/55ปท,บริษัท ศิริรัตน์ โลหะกิจ จำกัด, 200.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 1,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แแล้วที่ไม่เป็นของเสียอันตราย หลอมพลาสติกเป็นเม็ด,สามโคก,,,-10130201625582-,0,12160,ปทุมธานี,7,เลขที่ 87, 67.50 ,08 1855 0212,เชียงรากใหญ่,บริษัท อุดมสุข พลาสติก รีไซเคิล จำกัด,0,22,3-105-16/58ปท,บริษัท อุดมสุข พลาสติก รีไซเคิล จำกัด, 67.50 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 4,850,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และซ่อมแซม ดัดแปลง ปรับปรุงเครื่องใช้ไฟฟ้าอิเล็กทรอนิกส์ อัดเศษโลหะ อัดเศษกระดาษ และบดย่อยพลาสติก,คลองหลวง,ธัญญบุรี-วังน้อย, -,-10130016325485-,10,12120,ปทุมธานี,2,เลขที่ 16/2, 95.00 ,,คลองเจ็ด,ห้างหุ้นส่วนจำกัด ชินฟา,5,23,3-105-163/48ปท,บริษัท ชินฟา จำกัด, 95.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 12,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ในภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะและเศษกระดาษ,เมืองปทุมธานี,รังสิต-ปทุม, -,-10130016425483-,19,12000,ปทุมธานี,4,เลขที่ 128, 307.00 ,,สวนพริกไทย,บริษัท สหธนาชัย ค้าเหล็ก จำกัด,13,24,3-105-164/48ปท,บริษัท สหธนาชัย ค้าเหล็ก จำกัด, 307.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,6
" 14,000,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่อันตราย,ลาดหลุมแก้ว,,,-10130023925665-,15,12140,ปทุมธานี,9,เลขที่ 34/6, 965.00 ,0817007634,คูบางหลวง,ห้างหุ่นส่วนจำกัด ต.กิจบำรุง,10,25,3-105-19/66ปท,ห้างหุ้นส่วนจำกัด ต.กิจบำรุง, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 6,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,เอราวัณ 1,เอราวัณ 22,-10130016225644-,7,10160,ปทุมธานี,,เลขที่ โฉนดที่ดินเลขที่ 84178, 70.00 ,,คลองสอง,บริษัท โฟว์เอเวอร์วัน จำกัด,5,26,3-105-2/64ปท,บริษัท โฟว์เอเวอร์วัน จำกัด, 70.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 6,000,000 ",คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130002225582-,10,12130,ปทุมธานี,6,เลขที่ 10/14, 65.00 ,,คลองสี่,นางพรฤดี พิรุณวัฒนา,5,27,3-105-22/58ปท,นางพรฤดี พิรุณวัฒนา,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 11,900,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130002325598-,10,67170,ปทุมธานี,14,"เลขที่ โฉนดที่ดินเลขที่ 9159,9160", 134.00 ,,คลองห้า,บริษัท ไทย ซังเกียว รีไซเคิล จำกัด,7,28,3-105-23/59ปท,บริษัท ไทย ซังเกียว รีไซเคิล จำกัด, 134.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 8,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองปทุมธานี,,,-10130002525585-,10,12000,ปทุมธานี,4,เลขที่ 65/3, 212.00 ,080-224-9422,บางกะดี,บริษัท รัตนทรัพย์ รีไซเคิล จำกัด,5,29,3-105-25/58ปท,บริษัท รัตนทรัพย์ รีไซเคิล จำกัด, 190.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 4,200,000 ","คัดแยกเศษวัสดุเหลือใช้ เช่น กระดาษ, พลาสติก, โลหะและบดพลาสติก",คลองหลวง,-,-,-10130002625484-,20,12120,ปทุมธานี,6,เลขที่ 23/56, 131.00 ,,คลองสี่,บริษัท กัน รีไซเคิล จำกัด,15,30,3-105-26/48ปท,บริษัท กัน รีไซเคิล จำกัด, 131.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 16,205,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,,-,-10130002625567-,11,12150,ปทุมธานี,4,เลขที่ 55/21, 95.00 ,0-21599726-8,บึงคำพร้อย,บริษัท ดับเบิ้ลยูเอ็น แอสโซซิเอท จำกัด,6,31,3-105-26/56ปท,บริษัท ดับเบิ้ลยูเอ็น แอสโซซิเอท จำกัด, 95.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 4,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยและขัดผิวพลาสติกที่เคลือบสี เคลือบโครเมี่ยม,คลองหลวง,-,-,-10130002725532-,12,12120,ปทุมธานี,14,เลขที่ 4/9, 122.00 ,,คลองหนึ่ง,บริษัท ภูริชกานต์ โพลิเมอร์ จำกัด,6,32,3-105-27/53ปท,บริษัท ภูริชกานต์ โพลีเมอร์ จำกัด, 132.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,6
" 10,700,000 ",คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นขยะอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,ลาดหลุมแก้ว,ปทุม-ลาดหลุมแก้ว,-,-10130002725540-,6,12140,ปทุมธานี,6,เลขที่ 5/6, 106.00 ,,คูบางหลวง,บริษัท พรประเสริฐ รีบิ้ว จำกัด,3,33,3-105-27/54ปท,บริษัท พรประเสริฐ รีบิ้ว จำกัด, 106.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 12,000,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองปทุมธานี,-,-,-10130002725565-,15,12000,ปทุมธานี,8,เลขที่ 52/2, 373.00 ,,สวนพริกไทย,บริษัท ปัณณธร โลหะกิจ จำกัด,5,34,3-105-27/56ปท,บริษัท ปัณณธร โลหะกิจ จำกัด, 373.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 10,540,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,,,-10130002825589-,10,12150,ปทุมธานี,14,เลขที่ 30/2, 460.00 ,,บึงคำพร้อย,บริษัท บีพีเอส รีไซเคิล จำกัด,5,35,3-105-28/58ปท,บริษัท บีพีเอส รีไซเคิล จำกัด, 460.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 21,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,คลองหลวง,,,-10130049225660-,0,12120,ปทุมธานี,15,"เลขที่ โฉนดที่ดินเลขที่ 49670, 49671 ", 449.00 ,,คลองสอง,ห้างหุ้นส่วนจำกัด วิชัยสยาม เทคโนโลยี แอนด์ เอ็นไวรอนเมนท์ ,0,36,3-105-30/66ปท,ห้างหุ้นส่วนจำกัด วิชัยสยาม เทคโนโลยี แอนด์ เอ็นไวรอนเมนท์, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 9,000,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130003125575-,15,12160,ปทุมธานี,6,เลขที่ 50/8, 241.00 ,081 699 6972,บ้านปทุม,บริษัท ซันสตีลเซอร์วิสเซส จำกัด,12,37,3-105-31/57ปท,บริษัท ซันสตีลเซอร์วิสเซส จำกัด, 241.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 3,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130003125591-,4,12120,ปทุมธานี,12,เลขที่ โฉนดที่ดินเลขที่ 155541, 83.00 ,,คลองสาม,นายปัญญา อำไพ,2,38,3-105-31/59ปท,นายปัญญา อำไพ, 43.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 6,000,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130003225573-,10,12120,ปทุมธานี,14,เลขที่ 29, 60.00 ,,คลองสาม,บริษัท วี.รินทร์ สตีลกรุ๊ป กำกัด,10,39,3-105-32/57ปท,บริษัท วี.รินทร์ สตีลกรุ๊ป กำกัด, 60.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 17,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดหลุมแก้ว,,,-10130210925643-,15,12140,ปทุมธานี,8,เลขที่ 39/22, 102.00 ,850743898,คูบางหลวง,นางสาวกัญญาณัฐ แซ่เล้า,10,40,3-105-32/64ปท,ณัฐกิจโลหะการ, 102.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 29,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130003325589-,12,12120,ปทุมธานี,1,เลขที่ 56/6, 302.00 ,,คลองเจ็ด,บริษัท ฟ้าสยาม อินเตอร์กรุ๊ป จำกัด,7,41,3-105-33/58ปท,บริษัท ฟ้าสยาม อินเตอร์สแครป จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 16,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,สามโคก,,,-10130003425587-,18,12160,ปทุมธานี,3,เลขที่ 51, 71.50 ,02-5931119,บางกระบือ,บริษัท วิทิต กรุ๊ป จำกัด,6,42,3-105-34/58ปท,บริษัท วิทิต กรุ๊ป จำกัด, 71.50 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,12
" 10,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130103425594-,10,11120,ปทุมธานี,1,เลขที่ โฉนดที่ดินเลขที่ 25934, 67.00 ,817100049,คลองสาม,บริษัท พี ที แอนด์ โอ รีไซเคิล จำกัด,5,43,3-105-34/59ปท,บริษัท พี ที แอนด์ โอ รีไซเคิล จำกัด, 67.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 1,300,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่องการกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และบดย่อยพลาสติก,ลาดหลุมแก้ว,ปทุม-ลาดหลุมแก้ว,-,-10130003525485-,16,12140,ปทุมธานี,6,เลขที่ 5/11, 224.00 ,,คูบางหลวง,บริษัท พี.ที. รีไซเคิล จำกัด,14,44,3-105-35/48ปท,บริษัท พี.ที. รีไซเคิล จำกัด, 224.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 4,576,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130003625574-,11,12160,ปทุมธานี,6,เลขที่ 48/10, 95.00 ,,สามโคก,บริษัท ไทรทองโลหะ จำกัด,6,45,3-105-36/57ปท,บริษัท ไทรทองโลหะ จำกัด, 95.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 17,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดหลุมแก้ว,-,-,-10130067225667-,10,12140,ปทุมธานี,8,เลขที่ 28/5, 280.00 ,970587705,หน้าไม้,บริษัท วันไนน์ กรุ๊ป 19 จำกัด ,6,46,3-105-36/66ปท,บริษัท วันไนน์ กรุ๊ป 19 จำกัด, 280.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 10,600,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และอัดเศษโลหะและกระดาษ,ลำลูกกา,,,-10130000425465-,20,12150,ปทุมธานี,2,เลขที่ 13/4 , 334.00 ,,ลำลูกกา,บริษัท ไทยพัฒนา อินนกอต จำกัด,7,47,3-105-4/46ปท,บริษัท ไทยพัฒนา อินนกอต จำกัด, 334.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,13
" 25,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130006125630-,10,11120,ปทุมธานี,1,เลขที่ โฉนดที่ดินเลขที่ 25921, 657.00 ,,คลองสาม,บริษัท พี ที แอนด์ โอ รีไซเคิล จำกัด,7,48,3-105-4/63ปท,บริษัท พี ที แอนด์ โอ รีไซเคิล จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
