จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ยี่ห้อ,รุ่น
11,47,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q7 45 TDI q
13,48,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q7 45 TDI q S line
1,49,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q7 45 TFSI q S line
1,50,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q7 55 TFSI q S line
2,51,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q7 60 TFSI e q S line BE
1,52,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q8 50 TDI QUATTRO
12,53,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q8 55 TFSI q S line
3,54,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q8 60 TFSI e q S line BE
2,55,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,R8 COUPE V10 PERFORMANCE
1,56,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,R8 CP V10 Performance q
1,57,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,R8 SPYDER V10 PERFORMANCE
1,58,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,R8 V10 COUPE
2,59,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS 3 Sportback quattro
24,60,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS 4 AV q
26,61,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS 5 Coupe quattro
11,62,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS 6 Avant quattro
1,63,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS 6 AVANT TFSI QUATTRO
1,64,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS 7 Sportback quattro
4,65,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS e-tron GT quattro
33,66,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS Q3 Sportback quattro
1,67,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS Q8
2,68,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS Q8 q
1,69,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS Q8 TFSI QUATTRO
1,70,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,RS6 AVANT TFSI QUATTRO
1,71,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,S3 Sportback quattro
1,72,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,S8 TFSI QUATTRO
249,73,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,TT Coupe 45 TFSI q S line
1,74,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,TT RD 45 TFSI q 20 years
15,75,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,TT RD 45 TFSI q S line
41,76,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,TT RS Coupe q
1,77,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,BENTAYGA
114,78,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,BENTAYGA HYBRID
5,79,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,BENTAYGA V8
2,80,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,BENTAYGA W12
8,81,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT
2,82,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT COUPE V8
2,83,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT SPEED
19,84,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT V8
1,85,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT V8 AWD
1,86,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT V8 CONV.
5,87,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT V8 CONVERTIBLE
1,88,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GT V8 COUPE
3,89,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,CONTINENTAL GTC V8
4,90,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,FLYING SPUR
16,91,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,FLYING SPUR HYBRID
2,92,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,FLYING SPUR V8
2,93,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,FLYING SPUR W12
1,94,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BENTLEY,ROYAL GRAND LIMOUSINE
1,95,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,118D M SPORT HATCH MANUAL
4,96,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,118i M Sport
12,97,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,218i Gran Coupe RHD
1186,98,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,220i Gran Coupe M Sport
123,99,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,220i Gran Coupe Sport
1,100,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,318D M SPORT SALOON MANUAL
14,101,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d
44,102,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d GT Luxury
13,103,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d GT M Sport
30,104,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d GT Sport
17,105,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d Limousine RHD
1413,106,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d M Sport
73,107,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320d Sport
204,108,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,320Li Limousine RHD
4,109,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330e
1,110,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330e Limousine RHD
1,111,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330e Luxury
1415,112,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330e M Sport
2,113,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330e Sport
9,114,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330i Limousine RHD
323,115,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,330Li Limousine RHD
1,116,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,420D COUPE RHD
13,117,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,430i Cabrio RHD
181,118,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,430i Coupe RHD
1,119,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,520d
1,120,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,520d Limousine RHD
1097,121,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,520d M Sport
20,122,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,520d Sport
1,123,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,520D
1,124,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,520I
1,125,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,525d M Sport
1,126,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,528i Luxury
368,127,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,530e Elite
18,128,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,530e Highline
5,129,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,530e Luxury
809,130,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,530e M Sport
2,131,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,530i Limousine RHD
12,132,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,630d Gran Turismo RHD
158,133,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,630i Gran Turismo RHD
1,134,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,725Ld
112,135,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,730Ld M Sport
7,136,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,730Ld Pure Excellence
3,137,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,740Le xDrive iPerformance RHD
3,138,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,740Le xDrive M Sport
4,139,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,740Le xDrive Pure Excellence
2,140,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,740Li Limousine RHD
81,141,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,745Le xDrive M Sport
1,142,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,840D XDRIVE
1,143,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,840D XDRIVE M COUPE
2,144,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,ALPINA D3 S TOURING
1,145,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,ALPINA D3 S TOURING MILD
3,146,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,i3s 94Ah RHD
8,147,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,i4 eDrive40 Gran Coupe RH
14,148,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,i4 M50 Gran Coupe RHD
2,149,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,i8 Roadster RHD
22,150,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,iX xDrive50 RHD
265,151,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,iX3 M Sport RHD
1,152,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,I8 ROADSTER
1,153,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M2 Comptetition RHD
2,154,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M2 Coupe RHD
2,155,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M2 CS
3,156,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M2 CS Coupe RHD
2,157,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M3 COMPETITION
110,158,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M340i xDrive
1,159,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M340i xDrive Limousine RHD
9,160,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M4 Competition Coupe RHD
3,161,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M4 Coupe RHD
7,162,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M4 COMPETITION COUPE
1,163,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M4 GTS Coupe RHD
1,164,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M4 GTS COUPE
4,165,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M440i xDrive Coupe RHD
1,166,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M5 CS
1,167,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M5 CS Limousine RHD
1,168,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M5 Limousine RHD
1,169,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M760Li xDrive Limousine R
1,170,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M8 Coupe RHD
3,171,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,M850i xDrive Coupe RHD
1,172,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive 18d
2,173,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive18d M Sport
53,174,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive18d xLine
27,175,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive18i
1,176,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive18i Sport
1119,177,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive20d M Sport
1174,178,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 sDrive20d xLine
1,179,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X1 SDRIVE18D RHD
13,180,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X2 sDrive20i RHD
604,181,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X3 xDrive20d M Sport
6,182,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X3 xDrive20d RHD
20,183,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X3 xDrive20d xLine
424,184,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X3 xDrive30e M Sport
96,185,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X3 xDrive30e xLine
1,186,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X4 M RHD
9,187,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X4 xDrive20d M Sport
430,188,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X4 xDrive20d RHD
1,189,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 sDrive25d Celebration Editi
9,190,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 sDrive25d Pure Experie
340,191,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 xDrive30d M Sport
24,192,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 xDrive30d RHD
12,193,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 xDrive30d xLine
6,194,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 xDrive40e M Sport
1,195,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 xDrive40e Pure Experience
445,196,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 xDrive45e M Sport
1,197,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X5 XDRIVE40E RHD
9,198,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X6 xDrive30d RHD
102,199,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X6 xDrive40i M Sport
1,200,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X6 xDrive40i RHD
5,201,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X7 M50d RHD
115,202,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X7 xDrive30d M Sport
115,203,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,X7 xDrive40d M Sport
5,204,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,Z4 M40i RHD
42,205,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,Z4 M40i Roadster RHD
90,206,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,Z4 sDrive30i RHD
1,207,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BMW,Z4 SDRIVE23I RHD
312,208,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BYD,BYD ATTO 3
33,209,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BYD,E6
16,210,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BYD,M3
10,211,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,BYD,T3
46,212,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CAPTIVA
2,213,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,COLORADO
18,214,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,COLORADO C-CAB
1,215,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,COLORADO C-CAB TRAIL BOSS
2,216,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CORVETTE RHD COUPE 2LT
1,217,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CORVETTE RHD COUPE 3LT
4,218,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CORVETTE STINGRAY CONVERTIBLE
6,219,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CORVETTE STINGRAY COUPE
1,220,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CORVETTE STINGRAY COUPE 2LT
1,221,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CORVETTE STINGRAY RWD COUPE
2,222,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,CRUZE
1,223,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,SONIC
14,224,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,CHEVROLET,TRAILBLAZER
2,225,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DACIA,SPRING
1,226,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DAIHATSU,COPEN GR SPORT
5,227,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DAIHATSU,MOVE CANBUS G MAKEUP LIMITED
3,228,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DAIHATSU,TAFT G TURBO
3,229,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DAVID BROWN,MINI REMASTERED
10,230,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DFSK,GLORY 560
22,231,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,DFSK,GLORY 580 I-AUTO
1,232,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,EAGLE,EC01
1,233,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,348 SPIDER
3,234,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,488 GTB
5,235,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,488 PISTA
1,236,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,488 PISTA PILOTI
1,237,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,488 PISTA SPIDER
1,238,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,488 SPIDER
2,239,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,812 GTS
2,240,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,812 SUPERFAST
14,241,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,F8 SPIDER
32,242,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,F8 TRIBUTO
1,243,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,GTC4LUSSO T
2,244,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,PORTOFINO
2,245,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,PORTOFINO M
7,246,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,ROMA
2,247,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,FERRARI,SF90 SPIDER
