ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,ผลิตชิ้นส่วนรถยนต์ รถบรรทุก รถแทรกเตอร์และชิ้นส่วนสำหรับใช้ในการรถไฟ (ตะปูรางรถไฟ),14.0,72010100125212,7286.22,69500000,22,น.77(2)-1/2521-ญนช.,22,น07702300121,517-0040,บริษัท สยามเทคนิค ชิมิสึ จำกัด,78,กรุงเทพมหานคร,เสรีไทย,มีนบุรี,มีนบุรี,ข.9 นิคมอุตสาหกรรมบางชัน
ประชาอุทิศ 27,รับจ้างกลึง เจาะ ไส เชื่อมและตัดโลหะ,9.0,10100101725402,77,2500000,23,3-64(13)-17/40,23,6413301740.0,8708622.0,บริษัท สมนึก แมชชีนเนอรี่ จำกัด,9,กรุงเทพมหานคร,ประชาอุทิศ,ราษฎร์บูรณะ,ราษฎร์บูรณะ,141/675
รอดอนันต์ 4,ซ่อม เคาะ พ่นสีรถยนต์ ได้ปีละ 300 คัน,1.0,10100009525391,31.83,2600000,24,3-95(1)-95/39,24,9501309539.0,,อู่รณชัย,7,กรุงเทพมหานคร,สุขาภิบาล 2,คลองกุ่ม,บึงกุ่ม,25/19
สว่าง 5,พิมพ์สิ่งพิมพ์ต่าง ๆ,,10100201325400,58,5700000,25,ซ3-41(1)-13/40,25,ซ04101301340,23456272677711.0,ห้างหุ้นส่วนจำกัด อุฬารกิจการพิมพ์,19,กรุงเทพมหานคร,สว่าง,มหาพฤฒาราม,บางรัก,35.0
อ่อนนุช (สุขุมวิท 77),ทำรองเท้าพลาสติก,4.0,10100500425240,336.06,12939000,26,3-53(7)-4/24,26,5307300424.0,3213404.0,บริษัท ศิริวัฒนาอุตสาหกรรม จำกัด,52,กรุงเทพมหานคร,สุขุมวิท,ประเวศ,ประเวศ,43809.0
ศูนย์อุตสาหกรรมบางขุนเทียน,ทำผลิตภัณฑ์โลหะ เช่น ชิ้นส่วนเครื่องปรับอากาศ ที่พักเท้ารถจักรยานยนต์ แป้นยึดดวงไฟ,7.0,10100202125338,41.5,2600000,27,3-71-21/33,27,7100302133.0,4157451.0,เอ็น แอนด์ เอ็น,9,กรุงเทพมหานคร,พระรามที่ 2,แสมดำ,บางขุนเทียน,43/142-144
,ตั้งศูนย์ถ่วงล้อและซ่อมรถยนต์,7.0,10100013825423,19.5,309000000,28,3-95(1)-138/42,28,9501313842.0,,บริษัท เชลล์ ออโต้เซิร์ฟ (ประเทศไทย) จำกัด สาขานวมินทร์,13,กรุงเทพมหานคร,นวมินทร์,คลองกุ่ม,บึงกุ่ม,54/68
,ผลิตถุงพลาสติก,,10100600225342,346,2000000,29,3-53(4)-2/34,29,5304300234.0,,บริษัท สมาร์ท แบ็ก จำกัด,10,กรุงเทพมหานคร,พระรามที่ 2,ท่าข้าม,บางขุนเทียน,80/32
-,ซ่อมรถยนต์,,10100008225431,19,10900000,30,3-95(1)-82/43,30,9501308243.0,300-5627,บริษัท มิวนิค ออโต้โมบิลส์ จำกัด,10,กรุงเทพมหานคร,พระราม 9,สวนหลวง,สวนหลวง,1119.0
,เครื่องประดับและเครื่องประดับอัญมณี,4.0,72160000325436,0,0,31,น.84(1)-3/2543-ญอธ.,31,น08401300343,0 2727 0488-9,บริษัท ซิลเวอร์ ไอซ์ จำกัด,700,กรุงเทพมหานคร,สุขาภิบาล12,ดอกไม้,ประเวศ,47/30
,เกี่ยวกับการทำเครื่องประดับโดยใช้ไข่มุก,4.0,72160000125448,11.82,41960000,32,น.84(1)-1/2544-ญอธ.,32,น08401300144,0 2727 0076-9,บริษัท โอเรียนท์ เพิร์ล (กรุงเทพฯ) จำกัด,26,กรุงเทพมหานคร,สุขาภิบาล49,ดอกไม้,ประเวศ,47/36
,"เรืองยาง ที่นอนยางและผลิตภัณฑ์ยางที่ใช้ลมเป่าหรืออัดเข้าไป ผลิตอุปกรณ์แคมป์ปิ้งทุกชนิด,อุปกรณ์เดินป่า, รวมถึงการซื้อมาขายไปสินค้าดังกล่าว,ผลิตเสื้อผ้าสำเร็จรูป,เครื่องใช้ที่ทำจากพลาสติก",,72030000425447,1605.7,20000000,33,น.28(1)-4/2544-ญนล.,33,น02801300444,0 2326 0052-3,บริษัท อีเกิ้ล สปีด มาร์เก็ตติ้ง จำกัด,622,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,343-4
สุขาภิบาล 2 ซอย 31,เจียระไนเพชร,,72160000425459,30.2,0,34,น.84(3)-4/2545-ญอธ.,34,น08403300445,,บริษัท เอช แอนด์ เอ คัตติ้ง เวิร์คส์ จำกัด,0,กรุงเทพมหานคร,,ดอกไม้,ประเวศ,74.0
-,ซ่อมรถยนต์,,10100016325470,13,2100000,35,3-95(1)-163/47,35,9501316347.0,0 2319 4295,บริษัท รีโว จำกัด,2,กรุงเทพมหานคร,เพชรบุรีตัดใหม่,บางกะปิ,ห้วยขวาง,78165.0
,ไสไม้และซอยไม้,2.0,10100001325170,57.5,460000,36,3-34(1)-13/17,36,3401301317.0,,ห้างหุ้นส่วนสามัญนิติบุคคล นพกิจพาณิชย์,4,กรุงเทพมหานคร,บุรีภิรมย์,กระทุ่มราย,หนองจอก,22/2
,ทำของเด็กเล้น ของใช้ด้วยพลาสติก,1.0,10101200525354,0,5500000,37,3-87(1)-5/35,37,8701300535.0,4158819.0,บริษัท วี.ซี. ทอย จำกัด,60,กรุงเทพมหานคร,พระรามที่ 2,ท่าข้าม,บางขุนเทียน,57/15
สินอนันต์,รับจ้างซ่อมเบรค และช่วงล่างรถยนต์,,10100006625384,41.33,4500000,38,3-95(1)-66/38,38,9501306638.0,9188862.0,นายธรรมสินธุ์ ด่านขุนจัน,4,กรุงเทพมหานคร,สุขาภิบาล 2,มีนบุรี,มีนบุรี,"159/209, 211, 213"
รามคำแหง 39,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 306 เครื่อง),,10100011325293,227.41,1040000,39,3-28(1)-113/29,39,2801311329.0,,บริษัท สยาม แคชวล แวร์ จำกัด,400,กรุงเทพมหานคร,รามคำแหง,วังทองหลาง,วังทองหลาง,512.0
แสงพลอย 5,ทำตะแกรงเหล็กสำหรับก่อสร้าง,6.0,10100203725326,427.82,12500000,40,3-63(2)-37/32,40,6302303732.0,,บริษัท เจ แอนด์ เอ อุตสาหกรรม จำกัด,11,กรุงเทพมหานคร,เอกชัย,บางบอน,บางบอน,49/43
วงแหวนชัชวาล,ทำถุงพลาสติกสำหรับเพาะชำต้นไม้,7.0,91100006025496,146.47,0,41,ข3-53(4)-60/49,41,ข05304306049,,นางสาวสำรวย การณรงค์,7,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/924-926
วงแหวนชัชวาล,"ชุบโลหะ เช่น นิเกิล, ทองเหลือง",7.0,91100102925490,74.7,0,42,ข3-100(5)-29/49,42,ข10005302949,,สถาพรการชุบ,8,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/126
วงแหวนชัชวาล,กลึงและปั๊มโลหะ,7.0,91100004125496,79.91,0,43,ข3-64(2)-41/49,43,ข06402304149,,ห้างหุ้นส่วนจำกัด ส.วัชรภัณฑ์ โปรดักส์,10,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/746
วงแหวนชัชวาล,ผลิตเชือกฟางพลาสติก,7.0,91100005125495,116,0,44,ข3-53(1)-51/49,44,ข05301305149,,บริษัท สินเอเซียอุตสาหกรรมคลาสสิก จำกัด,20,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/343
วงแหวนชัชวาล,ทำเฟอร์นิเจอร์,7.0,91100016225490,21,0,45,ข3-37-162/49,45,ข03700316249,,ห้างหุ้นส่วนจำกัด พี.ที.เฟอร์นิชิ่ง,8,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/162-163
,ซ่อมเครื่องยนต์รถยนต์,,10100102025463,102.43,20000000,46,3-95(1)-20/46,46,9501302046.0,02-2530620,บริษัท เอสเอ็มซี มอเตอร์ส จำกัด (มหาชน),90,กรุงเทพมหานคร,สุขุมวิท,คลองเตยเหนือ,วัฒนา,283.0
,ผลิตยารักษาโรคแผนปัจจุบันและแผนโบราณ เช่น ยาน้ำ ยาเม็ด และยา,,10100101425151,79.6,4671927,47,3-46(1)-14/15,47,4601301415.0,,บริษัท ห้างพระจันทร์โอสถ จำกัด,15,กรุงเทพมหานคร,แจ้งวัฒนะ,ทุ่งสองห้อง,หลักสี่,89.0
รุ่งอรุณ,ทำถังพักน้ำและเครื่องสูบน้ำ,11.0,10102600125415,70.7,300000,48,3-70-1/41,48,7000300141.0,4682201.0,ห้างหุ้นส่วนจำกัด โรงงานศรีมิตร,4,กรุงเทพมหานคร,สุขสวัสดิ์,บางปะกอก,ราษฎร์บูรณะ,484.0
วงแหวนชัชวาล,ผลิตหมุดย้ำที่ทำจากโลหะ,7.0,91100200125506,67.8,3500000,49,ข3-64(6)-1/50,49,ข06406300150,02-897-4867,บริษัท พี.เค.เอส.รีเวท จำกัด,8,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,16/308-309
วงแหวนชัชวาล,ผลิตชิ้นส่วนโลหะและแม่พิมพ์,7.0,91100018125490,125,0,50,ข3-64(13)-181/49,50,ข06413318149,,บริษัท ไมโครสแตนดารด์ จำกัด,13,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,16/60
วงแหวนชัชวาล,ทำของใช้เล้ก ๆ จากโลหะ,7.0,91100101725495,42.5,0,51,ข3-64(9)-17/49,51,ข06409301749,,สมศักดิ์ การช่าง,8,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/123
สุขสวัสดิ์ 26,"ผลิตเครื่องเรือนจากโลหะ เช่น ชั้นวางของ-วางจาน ได้ปีละ 14,400 ชิ้น",3.0,10100600625327,162.2,2000000,52,3-62-6/32,52,6200300632.0,,นายชาตรี เฮ็งเจริญ,14,กรุงเทพมหานคร,สุขสวัสดิ์,บางปะกอก,ราษฎร์บูรณะ,156/3
วงแหวนชัชวาล,กลึงปั๊มโลหะทั่วไป,7.0,91100005725492,41,1100000,53,ข3-64(2)-57/49,53,ข06402305749,02-8974529,วิเชียรโลหะกิจ,5,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,17/614
,ทำดอกไม้และผลไม้ประดิษฐ์จากผ้า,,10100900225513,27.59,0,54,3-87(4)-2/51,54,8704300251.0,02-3228080,บริษัท 3 ดี จำกัด,55,กรุงเทพมหานคร,พัฒนาการ,ประเวศ,ประเวศ,212/5-7
-,ถ่วงล้อ ซ่อมช่วงล่างและซ่อมแซมล้อแม็กรถยนต์,11.0,10100004925463,18,4500000,55,3-95(1)-49/46,55,9501304946.0,,บริษัท จรัส ล้อแม็ก จำกัด,10,กรุงเทพมหานคร,รามอินทรา,คันนายาว,คันนายาว,65/16
วงแหวนชัชวาล,ฉีดพลาสติก,7.0,91100000625408,208,0,56,ข3-53(5)-6/40,56,ข05305300640,,บริษัท เอสทีโพลีพลาส จำกัด,10,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,16/101
-,ผลิตทินเนอร์,9.0,91020000825453,3.5,0,57,ข3-42(1)-8/45,57,ข04201300845,,บริษัท ยูสเวลล์ ดีเวลลอปเม้นท์ จำกัด,8,กรุงเทพมหานคร,สุวินทวงศ์,ลำผักชี,หนองจอก,3/353
,ผลิตโต๊ะ เก้าอี้ ชุดสนามโลหะ,,10100101525281,104.33,670000,58,3-62-15/28,58,6200301528.0,5132830.0,นางพูนสุข พันธุ์นิธิ,5,กรุงเทพมหานคร,พหลโยธิน,ลาดยาว,จตุจักร,1426/3
งามอุทิศ 2,ทำผลิตภัณฑ์พลาสติก เช่น กล่องบรรจุสินค้า,,10100101725337,101.32,1100000,59,3-53(4)-17/33,59,5304301733.0,,บริษัท เค.เอ็ม.พลาสแพค จำกัด,8,กรุงเทพมหานคร,สาธุประดิษฐ์,บางโพงพาง,ยานนาวา,348/1
-,ปั๊มขึ้นรูปโลหะ กลึง ไส เชื่อมโลหะทุกชนิด เช่น ชิ้นส่วนไส้กรองน้ำมัน,7.0,91100000125409,40,0,60,ข3-64(2)-1/40,60,ข06402300140,02-897-4435,นายศักดิ์ฃัย ณ บัณฑิต,7,กรุงเทพมหานคร,บางขุนเทียน-ชัยทะเล,ท่าข้าม,บางขุนเทียน,16/449
,ซ่อมจักรยานยนต์,,10100103025330,10.83,822500,61,3-95(1)-30/33,61,9501303033.0,3779480.0,อริยะเจริญยนต์,3,กรุงเทพมหานคร,ศรีนครินทร์,หัวหมาก,บางกะปิ,192-194
ลาดพร้าว 101,ซ่อมและพ่นสีรถยนต์,,10100004625410,31.78,200000,62,3-95(1)-46/41,62,9501304641.0,5100288.0,เกรียงไกร,13,กรุงเทพมหานคร,ลาดพร้าว,คลองจั่น,บางกะปิ,6138.0
พร้อมพงษ์,ชุบโลหะ,,10102000125304,27.58,60000,63,3-100(5)-1/30,63,10005300130.0,,นางกิมจวน ดอกไม้ศรีจันทร์,4,กรุงเทพมหานคร,สุขุมวิท,คลองตันเหนือ,วัฒนา,273.0
ลาดพร้าว 112,ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,,10100004725517,75.24,50000000,64,3-95(1)-47/51,64,9501304751.0,02-935-2000,บริษัท มิลเลนเนียม ออโต้ ลาดพร้าว จำกัด,15,กรุงเทพมหานคร,ลาดพร้าว,วังทองหลาง,วังทองหลาง,2222/9
,ผลิตอุปกรณ์เครื่องปรับอากาศ,9.0,10101700125374,97,15810000,65,3-70-1/37,65,7000300137.0,3268233.0,บริษัท เฟิร์ม-มิตซุย จำกัด,26,กรุงเทพมหานคร,หลวงแพ่ง,ทับยาว,ลาดกระบัง,213.0
สุขสวัสดิ์ 1,ทำอุปกรณ์ไฟฟ้า เช่น เต้าเสียบ และสวิทช์ไฟฟ้า ทำเครื่องใช้เล็ก ๆ จากโลหะ,,10100200825228,24.09,35000,66,3-74(3)-8/22,66,7403300822.0,4686473.0,พรศิริพานิช,6,กรุงเทพมหานคร,สุขสวัสดิ์,บางปะกอก,ราษฎร์บูรณะ,236.0
สมเด็จพระเจ้าตากสิน 40,ทำประตูหน้าต่างเหล็กดัด,,10100008125250,51,1100000,67,3-63(2)-81/25,67,6302308125.0,,ศรีเจริญ,5,กรุงเทพมหานคร,สมเด็จพระเจ้าตากสิน,บุคคโล,ธนบุรี,29/70-71
สุวรรณประสิทธิ์,ซ่อมพ่นสีรถยนต์,5.0,10100003725377,117.4,2000000,68,3-95(1)-37/37,68,9501303737.0,3748106.0,โตเจริญคาร์สเซอร์วิส,10,กรุงเทพมหานคร,นวมินทร์,คลองกุ่ม,บึงกุ่ม,21/897
,ปะยาง ถ่วงล้อรถยนต์ และชาร์จไฟแบตเตอรี่,5.0,10100101725311,23.65,3440000,69,3-95(1)-17/31,69,9501301731.0,3777835.0,สหกิจยนต์,4,กรุงเทพมหานคร,สุขาภิบาล 1,คลองกุ่ม,บึงกุ่ม,50/100-101
เพชรเกษม 47,ทำเฟอร์นิเจอร์ และของชำร่วยจากไม้,4.0,10100004025314,19.63,1650000,70,3-37-40/31,70,3700304031.0,4134646.0,นายสมพร สมบัติรัตนกุล,15,กรุงเทพมหานคร,เพชรเกษม,บางแค,บางแค,26/4
อยู่วิทยา,ทำอะไหล่เครื่องอบถุงพลาสติก,9.0,10100501225342,83.2,4350000,71,3-70-12/34,71,7000301234.0,,คิว.ซี.แพค,12,กรุงเทพมหานคร,สุขาภิบาล 1,บางบอน,บางบอน,4/124-129
อรพิน,ซ่อมและพ่นสีรถยนต์,,10100008725281,9.75,500000,72,3-95(1)-87/28,72,9501308728.0,2793866.0,อู่รถฮ่งเต็ก,11,กรุงเทพมหานคร,พระรามที่ 6,สามเสนใน,พญาไท,132/5
เพชรเกษม 108,ทำวงกบประตู-หน้าต่าง เครื่องเรือนและเครื่องใช้จากไม้,6.0,100000625366,50.08,4970000,73,ศ3-34(2)-6/36,73,ศ03402300636,,นายธวัช โกมลโชคทวี,8,กรุงเทพมหานคร,เพชรเกษม,หนองค้างพลู,หนองแขม,32/117
,ปั๊มโลหะทำแหวน ชิ้นส่วนประตู เก้าอี้,1.0,10100300925316,5.5,100000,74,3-64(2)-9/31,74,6402300931.0,4682131.0,อึ้งเง็กเม้ง,3,กรุงเทพมหานคร,จอมทอง,จอมทอง,จอมทอง,47/19-20
,ทำเส้นก๋วยเตี๋ยวและเส้นหมี่,,10100000925483,89.09,1000000,75,3-10(3)-9/48,75,1003300948.0,,นางสาวมาลี นิลวณิชย์,8,กรุงเทพมหานคร,เจริญนคร,บุคคโล,ธนบุรี,789.0
ประชาอุทิศ,ผลิต ประกอบ ซ่อมแซมเครื่องปรับอากาศ,4.0,10100301525479,103.7,8000000,76,3-71-15/47,76,7100301547.0,0 2956 5157,บริษัท อมรวรรณอีควิปเม้นท์ จำกัด,34,กรุงเทพมหานคร,สุวินทวงศ์,ลำผักชี,หนองจอก,66.0
วัดบางกระดี่,ทำตู้ลำโพง และเครื่องเรือนจากไม้,4.0,100002125357,473.75,800000,77,ศ3-36(1)-21/35,77,ศ03601302135,02-4521562,บริษัท เหลียนโห วู้ดเด้น อินดัสทรี่ จำกัด,9,กรุงเทพมหานคร,พระรามที่ 2,แสมดำ,บางขุนเทียน,31/6
สามัคคี,ซ่อมรถยนต์,10.0,10100010225478,18.75,12300008,78,3-95(1)-102/47,78,9501310247.0,,บริษัท พูลภัณฑ์พัฒนา จำกัด,8,กรุงเทพมหานคร,พุทธมณฑลสาย 3,หนองค้างพลู,หนองแขม,23/27
เทียนทะเล 26,รับจ้างกลึงโลหะ,7.0,91100012025514,75,1200000,79,ข3-64(13)-120/51,79,ข06413312051,02-8974729,ห้างหุ้นส่วนจำกัด อุดมสินซัพพลาย,20,กรุงเทพมหานคร,บางขุนเทียน - ชายทะเล,ท่าข้าม,บางขุนเทียน,16/297-298
ลาดพร้าว 81,ตัดเย็บเสื้อกาวน์แพทย์,,10100001925417,21.4,0,80,3-28(1)-19/41,80,2801301941.0,539-0580,บริษัท พี.เอ็ม.เอ.แอนด์ เมดิคอล จำกัด,0,กรุงเทพมหานคร,ลาดพร้าว,วังทองหลาง,วังทองหลาง,162.0
,ทำบานประตูหน้าต่างไม้,11.0,10100300325202,9,290000,81,3-34(2)-3/20,81,3402300320.0,5142526.0,ร้านวรพจน์การช่าง,3,กรุงเทพมหานคร,ลาดพร้าว,วังทองหลาง,วังทองหลาง,1698-1700
,ซ่อมตัวถัง พ่นสีรถยนต์ และศูนย์บริการทั่วไป,14.0,82010000325399,215.8,200000000,82,น.95(1)-3/2539-นนช.,82,น09501300339,,บริษัท พระนครฮอนด้าออโตโมบิล จำกัด,80,กรุงเทพมหานคร,เสรีไทย,มีนบุรี,มีนบุรี,5 นิคมอุตสาหกรรมบางชัน
วงแหวนชัชวาล,ชุบเคลือบผิวโลหะ,7.0,91100000225472,26.6,0,83,ข3-100(5)-2/47,83,ข10005300247,,ดารานีย์การชุบ,5,กรุงเทพมหานคร,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,16/576
วัดสุทธาวาส,ทำขวดและฝาด้วยพลาสติก,,10100201325145,214.74,0,84,3-53(4)-13/14,84,5304301314.0,,นิวมิ่งกวงพลาสติก,5,กรุงเทพมหานคร,สมเด็จพระเจ้าตากสิน,บุคคโล,ธนบุรี,201.0
