ชั่วโมงทำงาน,จำนวน,_id,ปี,แหล่งที่มา,เพศ,หน่วยงาน,จังหวัด,ช่วงเวลา,หน่วย
20 - 29 ชั่วโมง,4228,23,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
30 - 34 ชั่วโมง,2100,24,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
35 - 39 ชั่วโมง,22531,25,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
40 - 49 ชั่วโมง,63424,26,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
50 ชั่วโมงขึ้นไป,35781,27,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
รวมยอด,98475,28,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
น้อยกว่า 1 ชั่วโมง,1492,29,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
1 - 9 ชั่วโมง,295,30,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
10 - 19 ชั่วโมง,457,31,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
20 - 29 ชั่วโมง,2380,32,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
30 - 34 ชั่วโมง,2822,33,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
35 - 39 ชั่วโมง,18840,34,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
40 - 49 ชั่วโมง,49043,35,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
50 ชั่วโมงขึ้นไป,23147,36,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
รวมยอด,127205,37,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
น้อยกว่า 1 ชั่วโมง,966,38,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
1 - 9 ชั่วโมง,1017,39,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
10 - 19 ชั่วโมง,1019,40,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
20 - 29 ชั่วโมง,8646,41,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
30 - 34 ชั่วโมง,3424,42,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
35 - 39 ชั่วโมง,22914,43,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
40 - 49 ชั่วโมง,56257,44,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
50 ชั่วโมงขึ้นไป,32963,45,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
รวมยอด,98931,46,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
น้อยกว่า 1 ชั่วโมง,308,47,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
1 - 9 ชั่วโมง,728,48,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
10 - 19 ชั่วโมง,1502,49,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
20 - 29 ชั่วโมง,4687,50,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
30 - 34 ชั่วโมง,2723,51,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
35 - 39 ชั่วโมง,24512,52,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
40 - 49 ชั่วโมง,41996,53,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
50 ชั่วโมงขึ้นไป,22476,54,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
รวมยอด,128603,55,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
น้อยกว่า 1 ชั่วโมง,1969,56,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
1 - 9 ชั่วโมง,0,57,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
10 - 19 ชั่วโมง,1728,58,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
20 - 29 ชั่วโมง,7938,59,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
30 - 34 ชั่วโมง,6638,60,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
35 - 39 ชั่วโมง,22410,61,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
40 - 49 ชั่วโมง,65362,62,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
50 ชั่วโมงขึ้นไป,22558,63,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
รวมยอด,102754,64,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
น้อยกว่า 1 ชั่วโมง,493,65,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
1 - 9 ชั่วโมง,329,66,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
10 - 19 ชั่วโมง,628,67,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
20 - 29 ชั่วโมง,6034,68,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
30 - 34 ชั่วโมง,8735,69,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
35 - 39 ชั่วโมง,23774,70,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
40 - 49 ชั่วโมง,44460,71,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
50 ชั่วโมงขึ้นไป,18301,72,2561,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 4,คน
รวมยอด,131166,73,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
น้อยกว่า 1 ชั่วโมง,8498,74,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
1 - 9 ชั่วโมง,0,75,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
10 - 19 ชั่วโมง,1334,76,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
20 - 29 ชั่วโมง,7115,77,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
30 - 34 ชั่วโมง,8115,78,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
35 - 39 ชั่วโมง,26284,79,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
40 - 49 ชั่วโมง,47019,80,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
50 ชั่วโมงขึ้นไป,32801,81,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
รวมยอด,95986,82,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
น้อยกว่า 1 ชั่วโมง,1071,83,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
1 - 9 ชั่วโมง,0,84,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
10 - 19 ชั่วโมง,1045,85,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
20 - 29 ชั่วโมง,8045,86,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
30 - 34 ชั่วโมง,5112,87,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
35 - 39 ชั่วโมง,21136,88,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
40 - 49 ชั่วโมง,39631,89,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
50 ชั่วโมงขึ้นไป,19947,90,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 1,คน
รวมยอด,123714,91,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
น้อยกว่า 1 ชั่วโมง,2864,92,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
1 - 9 ชั่วโมง,101,93,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
10 - 19 ชั่วโมง,906,94,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
20 - 29 ชั่วโมง,7213,95,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
30 - 34 ชั่วโมง,4190,96,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
35 - 39 ชั่วโมง,24811,97,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
40 - 49 ชั่วโมง,53380,98,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
50 ชั่วโมงขึ้นไป,30249,99,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
รวมยอด,95441,100,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
น้อยกว่า 1 ชั่วโมง,2017,101,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
1 - 9 ชั่วโมง,0,102,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
10 - 19 ชั่วโมง,860,103,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
20 - 29 ชั่วโมง,7153,104,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
30 - 34 ชั่วโมง,5293,105,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
35 - 39 ชั่วโมง,21120,106,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
40 - 49 ชั่วโมง,38876,107,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
50 ชั่วโมงขึ้นไป,20123,108,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,หญิง,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 2,คน
รวมยอด,125076,109,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
น้อยกว่า 1 ชั่วโมง,712,110,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
1 - 9 ชั่วโมง,223,111,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
10 - 19 ชั่วโมง,1835,112,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
20 - 29 ชั่วโมง,8556,113,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
30 - 34 ชั่วโมง,9805,114,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
35 - 39 ชั่วโมง,17844,115,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
40 - 49 ชั่วโมง,57579,116,2562,การสำรวจภาวะการทำงานของประชากร จังหวัดหนองบัวลำภู,ชาย,สำนักงานสถิติจังหวัดหนองบัวลำภู,หนองบัวลำภู,ไตรมาสที่ 3,คน
