เดือน,ที่มา,_id,ปี,ค่า,รายการ,หน่วย
4,สำนักงานพาณิชย์จังหวัดกระบี่,40,2565,"471,650",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,41,2565,"363,170",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,42,2565,"355,733",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,43,2565,"345,179",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,44,2565,"388,273",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,45,2565,"452,316",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,46,2565,"473,008",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,47,2565,"398,422",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,48,2565,"404,402",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,49,2566,"424,860",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,50,2566,"466,946",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,51,2566,"418,076",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,52,2566,"350,132",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,53,2566,"348,115",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,54,2566,"304,114",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,55,2566,"311,090",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,56,2566,"372,475",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,57,2566,"361,564",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,58,2566,"345,742",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,59,2566,"303,243",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,60,2566,"275,866",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,61,2567,"301,259",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,62,2567,"269,686",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,63,2567,"440,759",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,64,2567,"474,492",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,65,2567,"551,129",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,66,2567,"541,028",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,67,2567,"494,094",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,68,2567,"387,201",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,69,2567,"277,969",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,70,2567,"220,383",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,71,2567,"237,440",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,72,2567,"155,924",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
