ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
สาธุประดิษฐ์,615/9,สาธุประดิษฐ์ 17,524.1,23000000,49,130,3-41(1)-5/56,49,บริษัท เอ็คเซล เพรส จำกัด,พิมพ์สิ่งพิมพ์ต่างๆ และทำกล่องกระดาษ,02-6820060-4,10120,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,
,116,,15,370000,50,5,3-37-22/58,50,นายสมเกียรติ คงรัตนสมบูรณ์,ทำโต๊ะหมู่บูชาและธรรมาสน์เทศน์,02-467-4109,10160,บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,
,9,เพชรเกษม 73 แยก 4 ,63.75,9500000,51,13,3-41(1)-24/56,51,บริษัท ซิลเวอร์ แพ็ค จำกัด,รับจ้างพิมพ์สิ่งพิมพ์ต่างๆ,,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
จันทน์,93,เดชา,289.65,38500000,52,85,3-62-1/58,52,บริษัท ออโต้แมน เอ็นจิเนียริ่ง จำกัด,ทำตู้เอกสาร ท่อระบายอากาศ และห้องพ่นสีสำเร็จรูป,,10120,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,
สุขาภิบาล2,"118,120",,19.84,8500000,53,16,3-34(2)-57/56,53,บริษัท ไร้ท์แมน จำกัด,วงกบ ประตู หน้าต่าง ส่วนประกอบของอาคารที่ทำด้วยไม้,27264500,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
พระรามที่6,842/8-9-10,25,53.8,1000000,54,10,3-41(1)-22/58,54,ไทยพัฒนาการพิมพ์,พิมพ์สิ่งพิมพ์ต่างๆ,,10400,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,
,"95,97",เอกชัย 65,109.25,2000000,55,12,3-53(4)-24/58,55,กิ้มง้วนเฮง,"ทำถุง,ซองพลาสติก และภาชนะบรรจุต่างๆ จากพลาสติก",28982610,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
เอกชัย,24,บางบอน4 ซอย 5,26,3900000,56,16,3-37-186/58,56,บริษัท ปฐมเฟอร์นิเจอร์ (1994) จำกัด,ทำเครื่องเรือนจากไม้,02-8923122,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
,15,บางบอน 5 ซอย 7,92,0,57,14,3-37-156/56,57,บริษัท ออกัสท์ เดคอเรชั่น จำกัด,ทำเครื่องเรือนจากไม้,02-8113096-7,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
เอกชัย,52/8,เอกชัย 126,564.5,1000000,58,8,3-14-32/55,58,บริษัท บางบอนน้ำแข็ง จำกัด,ผลิตน้ำแข็งก้อนเล็ก 110 ตัน/วัน,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,3
,"444,446,448,450",พระยามนธาตุฯ แยก 35-9,54,14600000,59,22,3-64(13)-34/56,59,บริษัท สยามอินเตอร์ แมชชีน จำกัด,กลึง กัด ไส เจียน และเชื่อมโลหะทั่วไป,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
เอกชัย,291,เอกชัย 132,795.8,30000000,60,37,3-53(4)-16/55,60,บริษัท หุยอินเตอร์พลาสท์ จำกัด,รีบจ้างเป่าขวดพลาสติกและภาชนะบรรจุต่างๆ,28924950,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
,"23,25,27",เอกชัย 94 แยก 7,71.25,1500000,61,9,3-87(5)-2/55,61,ห้างหุ้นส่วนจำกัด เศรษฐชัยโฆษณา,รับจ้างทำป้ายโฆษณา,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
พหลโยธิน,2368,,45,130000000,62,34,3-95(1)-2/55,62,บริษัท โตโยต้า กรุงไทย จำกัด,ซ่อมและเคาะพ่นสีรถยนต์,02-5309999,10900,เสนานิคม,จตุจักร,กรุงเทพมหานคร,
รามอินทรา,204,รามอินทรา 5,30.22,1000000,63,7,3-95(1)-1/55,63,ห้างหุ้นส่วนจำกัด มงคลมอเตอร์คาร์,ซ่อมและเคาะพ่นสีรถยนต์,29708972,10220,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,
ลาดพร้าว,513,ลาดพร้าว 107,86.66,5800000,64,16,3-53(4)-58/56,64,บริษัท เอ็นวี อุตสาหกรรม จำกัด,ทำถุงพลาสติก,,10240,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,4
ประชาทร,371,,933.87,12500000,65,80,3-64(12)-37/58,65,จงพัฒนาการช่าง,ทำตู้ควบคุมไฟฟ้า ชั้นเหล็กวางของต่างๆ,023290223-4,10520,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,
ลาซาล,8,ลาซาล 40,478,3500000,66,10,3-70-8/58,66,บริษัท เค.ที.เค พัฒนาการเกษตร จำกัด,ผลิต ประกอบ ดัดแปลง ซ่อมแซ่ม ชิ้นส่วนรถบรรทุก รถแทรกเตอร์ รถพ่วงและเครื่องจักรสำหรับใช้งานกสิกรรม,,10260,บางนา,บางนา,กรุงเทพมหานคร,
นวมินทร์,104/5,นวมินทร์ 91,82.67,8000000,67,7,3-41(1)-17/58,67,บริษัท ไดน่าเทค จำกัด,พิมพ์พิมพ์ต่างๆ ทำกระดาษคาร์บอนและดาษไข,02-3791012,10240,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,
สุขุมวิท 59,47 อาคารหงษ์,บุญชนะ,160.13,15580000,68,11,3-46(1)-2/56,68,บริษัท ไทยแจแปนแลบบอเรตอรี่ส์ จำกัด,ผลิตยารักษาโรคแผนปัจจุบัน,,10110,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,
สุขุมวิท,1151/1,สุขุมวิท 59,40.5,2750000,69,6,3-95(1)-193/57,69,ไพรินทร์ ออโต้เซอร์วิส,ซ่อมและเคาะพ่นสีรถยนต์,,10110,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,
,9-ก.ย.,,114.5,50000000,70,25,3-95(1)-173/56,70,บริษัท รามอินทรา ฮอนด้า ออโตโมบิล จำกัด,ซ่อมพ่นสีรถยนต์,,10510,บางชัน,คลองสามวา,กรุงเทพมหานคร,
เจริญพัฒนา,87/9,,121.64,550000,71,22,3-64(9)-4/55,71,ห้างหุ้นส่วนจำกัด โอ.พี.นายน์,ขัดโลหะต่างๆ เช่น ช้อน ส้อม มีด และทำเครื่องใช้ เครื่องตกแต่ง เฟอร์นิเจอร์ และประตูหน้าต่างจากโลหะ,,10510,บางชัน,คลองสามวา,กรุงเทพมหานคร,11
รามคำแหง124,"25/66,25/68",,38.47,4400000,72,120,3-28(1)-12/57,72,บริษัท ไซลดฮูด แอ๊พพาเร็ล จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป,,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,3
สุขาภิบาล5,20-พ.ย.,จตุโชติ4,457.2,75000000,73,68,3-64(4)-1/55,73,บริษัท ประพาส เซฟ 1996 จำกัด,การทำตู้นิรภัย ห้องนิรภัย ตัด พับ เชื่อมโลหะ และทำผลิตภัณฑ์โลหะ,02-9449770-1,10220,สายไหม,สายไหม ,กรุงเทพมหานคร,7
สุขาภิบาล 5,108,,59.3,17500000,74,11,3-95(1)-4/58,74,บริษัท บี-ควิก จำกัด,ศูนย์บริการซ่อมแซมรถยนต์,0-2029-1152,10220,ออเงิน,สายไหม ,กรุงเทพมหานคร,
อ่อนนุช,1,อ่อนนุช 49,1778,15000000,75,22,3-14-95/58,75,บริษัท กิมซำไอซ์ 2007 จำกัด,ทำน้ำแข็งก้อนเล็ก,,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
,777,อ่อนนุช 10,294,64750000,76,38,3-41(1)-21/57,76,บริษัท บอสส์การพิมพ์ จำกัด,พิมพ์สิ่งพิมพ์,081-7345949,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
ศรีนครินทร์,919/1,,49,30000000,77,4,3-95(1)-91/56,77,บริษัท มาสเตอร์ มอเตอร์ เซอร์วิสเซส (ประเทศไทย) จำกัด,ซ่อมแซมรถยนต์ที่ขับเคลื่อนด้วยเครื่องยนต์หรือซ่อมส่วนประกอบรถยนต์,,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
พหลโยธิน,37,พหลโยธิน 48 แยก 53,14.5,15300000,78,17,3-37-226/55,78,บริษัท ซิ้นส์ 24 จำกัด,ผลิตภัณฑ์เฟอร์นิเจอร์จากไม้,,10220,ท่าแร้ง,บางเขน,กรุงเทพมหานคร,
รามคำแหง,878/1,,30.64,120000000,79,9,3-95(1)-238/57,79,บริษัท ไอทีโอเอ ออโต้ เซลส์ จำกัด,โชว์รูมจำหน่ายรถยนต์ และซ่อมรถยนต์,23745657,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
รามคำแหง,1191/1,,93.5,5200000,80,12,3-95(1)-136/58,80,นายคงศักดิ์ แก้วงาม,ศูนย์บริการซ่อมและพ่นสีรถยนต์,023782884-5,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
หทัยราษฎร์,288,,45.73,43000000,81,10,3-95(1)-80/57,81,บริษัท มิตซูเมโทร จำกัด,ศูนย์บริการซ่อมรถยนต์,02-021-3000,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
สาธุประดิษฐ์,413/3,ช่องนนทรี,490.76,5000000,82,8,3-64(1)-3/58,82,บริษัท สหวัฒนา คอร์ปอเรชั่น จำกัด,ทำภาชนะบรรจุจากเหล็ก,,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,
พระรามที่3,"1101,1101/1,1",,64,3450000,83,28,3-95(1)-28/56,83,บริษัท เมอร์ค ออโต้ จำกัด,ซ่อมบำรุงรักษารถยนต์,,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,
นราธิวาสราชนครินทร์,491/6-9,นราธิวาสราชนครินทร์ 30,86.75,0,84,14,3-41(1)-8/55,84,บริษัท แสงมงคลออฟเซ็ท การพิมพ์,พิมพ์สิ่งพิมพ์ต่างๆ,,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,
พุทธมณฑลสาย 1,"25,27,29,31",พุทธมณฑลสาย 1 ซอย 5,175.91,1250000,85,6,3-64(2)-22/56,85,นายปทา ลีลาเวชบุตร,ทำกรอบแว่นตา และชุปโลหะ,,10160,บางด้วน,ภาษีเจริญ,กรุงเทพมหานคร,
,2,บางแวก 66,145,0,86,23,3-64(9)-4/57,86,บริษัท ซีเคซี เอ็นจิเนียริ่ง จำกัด,กลึงโลหะ ทำน๊อต สกรู เพลา บู๊ช,,10160,บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,
,113,เพชรเกษม 28 แยก 5,11.85,10000000,87,23,3-22(4)-3/55,87,บริษัท เจดีเอส เอเซีย จำกัด,พิมพ์ผ้าทุกชนิด,0-2457-4114,10160,คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,
สุขสวัสดิ์,775,สุขสวัสดิ์ 26,56.42,3200000,88,10,3-8(2)-7/58,88,บริษัท เจริญผล กิมเซ้ง อิมปอร์ต เอ็กซ์ปอร์ต จำกัด,ทำผลไม้ดองตากแห้ง,,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
,,สุขสวัสดิ์ 1,70.7,200000,89,5,3-66-4/56,89,ห้างหุ้นส่วนจำกัด ธวัชโลหะกิจ,ผลิตชิ้นส่วนอุปกรณ์ที่ใช้สำหรับเครื่องจักรกลการเกษตร ทำถังพักน้ำและเครื่องสูบน้ำ,24682201,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
คลองลำเจียก,18-เม.ย.,คลองลำเจียก 41,246.52,20000000,90,8,3-37-156/57,90,บริษัท สยามดีไซน์ เฟอร์นิชิ่ง จำกัด,ทำเครื่องเรือนและเครื่องใช้จากไม้,29438772,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,5
ประชาชื่น,28,โชติวัฒน์  2,23.02,8200000,91,23,3-37-9/58,91,นางสุปราณี เล็กสกุลดิลก,ทำเครื่องเรือนจากไม้,,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
ประชานฤมิตร,82/1,,9.64,1300000,92,8,3-37-18/58,92,นายชาญณรงค์ พิพัฒน์วุฒิธร,ทำเครื่องเรือนจากไม้,,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
