GPS_lng,ตำบล,ประกอบกิจการ,พื้นที่อาคาร,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,รายการข้อมูล,หมู่,พื้นที่โรงงาน,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,คนงานหญิง,_id,ที่มา,อำเภอ,GPS_lat
99.69736,หนองปลิง,ทำมันเส้น,96,หนองฝ้าย-ด่านช้าง,เลขที่ 4,4,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,8,16000,-,ลานมันองอาจ,71210,10621,0,31,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.71297
99.67355,หนองฝ้าย,ทำมันเส้น,170,หนองฝ้าย-หนองงูเห่า,เลขที่ 206/1,0,กาญจนบุรี,081-7824229,โรงงานแปรรูปทางการเกษตร,2,24000,,พรไพศาลพืชผล,71210,10621,2,32,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.67432
99.68883,หนองฝ้าย,ทำมันเส้น,41600,-,เลขที่ 66/1,0,กาญจนบุรี,086-1928333,โรงงานแปรรูปทางการเกษตร,1,6400,-,ประยงค์พืชผล,71210,10621,3,33,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.68403
99.70172,หนองปลิง,ทำมันเส้น,140,,เลขที่ 29,1,กาญจนบุรี,081-3610554,โรงงานแปรรูปทางการเกษตร,14,1580,,ลานมันเตือนใจ,71210,10621,29,34,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.72219
99.69344,หนองปลิง,ทำมันเส้น,84,,เลขที่ 69,2,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,12,800,,,71210,10621,3,35,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.73904
99.66443,หนองปลิง,ทำมันเส้น,70,หนองมะสังข์-หนองโสน,เลขที่ ,0,กาญจนบุรี,081-7516099,โรงงานแปรรูปทางการเกษตร,3,1200,,,71210,10621,3,36,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.78835
99.70773,หนองประดู่,ทำมันเส้น ได้เดือนละ 200 ตัน,576,เลาขวัญ-ตาลุ้ง,เลขที่ 144/1,3,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,2,107088,,,71210,10621,0,37,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.48836
99.66076,หนองฝ้าย,ทำมันเส้น ได้เดือนละ 100 ตัน,10000,หนองฝ้าย-หนองงูเห่า,เลขที่ 20,6,กาญจนบุรี,034-583094-5,โรงงานแปรรูปทางการเกษตร,2,15000,-,-,71210,10621,2,38,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.6726
99.58837,หนองฝ้าย,ทำมันเส้น,16000,,เลขที่ 1/1,2,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,6,28400,,,71210,10621,0,39,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.65339
99.65264,หนองโสน,ทำมันเส้น,9600,หนองฝ้าย-เขาวงพระจันทร์,เลขที่ -,3,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,3,24000,,,71210,10621,2,40,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.70891
99.69554,หนองปลิง,ทำมันเส้น ได้เดือนละ 500 ตัน,720,หนองฝ้าย-ด่านช้าง,เลขที่ 2,3,กาญจนบุรี,034-687054,โรงงานแปรรูปทางการเกษตร,8,34896,-,ไท้เชียงพืชไร่,71210,10621,0,41,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.71181
99.69521,หนองปลิง,ทำมันเส้น,96,หนองฝ้าย-ด่านช้าง,เลขที่ 3,4,กาญจนบุรี,80633695,โรงงานแปรรูปทางการเกษตร,8,16320,-,ลานมันศักดา,71210,10621,0,42,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.71104
99.77506,หนองปลิง,ทำมันเส้น,0,-,เลขที่ 148,3,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,1,96000,-,จังเจริญชัย,71210,10621,3,43,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.69838
99.41319,ด่านมะขามเตี้ย,ทำมันเส้น,16200,ด่านมะขามเตี้ย-หนองตากยา,เลขที่ 99,20,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,6,16200,,กาญจนไพศาล,71260,10621,0,44,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ด่านมะขามเตี้ย,13.8329
99.63242,ทุ่งทอง,ผลิตภัณฑ์จากไม้ไผ่ ไม้รวกทั้งในสภาพวัตถุดิบและสำเร็จรูป,, ,เลขที่ 100/21,50,กาญจนบุรี, ,โรงงานแปรรูปทางการเกษตร,2,, ,บริษัท ไทยเบสท์ คอมเมอร์เชียล จำกัด(สาขา1),71110,16230,0,45,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.99243
99.46611,แก่งเสี้ยน,ทำเครื่องใช้จากไม้ไผ่รวก,0,,เลขที่ 68,23,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,2,0,,บริษัท ซี.เอช.แบมบู จำกัด,71190,16230,23,46,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.04405
99.37532,หนองบัว,แปรรูปไม้ไผ่รวกโดยใช้เครื่องจักร,0,บ้านเก่า-พุเลียบ,เลขที่ 249,25,กาญจนบุรี,01-8342560,โรงงานแปรรูปทางการเกษตร,7,0,-,บริษัท เอ แอนด์ ที โกลบอล เอ็กซ์ปอร์ต จำกัด,71190,16230,25,47,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.05553
99.65619,ทุ่งสมอ,สีข้าว,,อู่ทอง-กาญจนบุรุ,เลขที่ ,3,กาญจนบุรี, ,โรงงานแปรรูปทางการเกษตร,1,, ,,71140,10611,0,48,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,14.07714
,ดอนขมิ้น,ผลิตอาหารอบแห้ง เช่น ทองม้วน มะขามกวน เป็นต้น ,722,,เลขที่ 88/8,4,กาญจนบุรี,034-566584,โรงงานแปรรูปทางการเกษตร,9,5780,,บริษัท มีดี8 จำกัด,71120,10712,21,49,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,
99.55368932,ปากแพรก,ผลิตขนมทองม้วน ผลไม้อบแห้ง ผลไม้เคลือบช๊อคโกแลต ,1200,,เลขที่ 162/1,45,กาญจนบุรี,034-621100,โรงงานแปรรูปทางการเกษตร,9,5948,,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด,71000,10743,120,50,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.02549648
99.55356,ปากแพรก,ผลิตขนมทองม้วน ผลิตชนิดผลิตภัณฑ์ผลไม้อบแห้งชุบช็อกโกแล็ต เกล็ดทองม้วนคลุกช็อกโกแล็ต และขนมทองม้วนชุบช็อกโกแล็ต,1200,เลี่ยงเมือง,เลขที่ 19/99,8,กาญจนบุรี,034-621100,โรงงานแปรรูปทางการเกษตร,9,4000,,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด,71000,10743,82,51,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.02599
99.81578,รางหวาย,ทำน้ำพริกเผาไทยชนิดต่าง ๆ,1268,กาญจนบุรี-อู่ทอง,เลขที่ 89/1,0,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,13,59200,,บริษัท แม่พะเยาว์ไทยโปรดักส์ จำกัด,71170,10771,25,52,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,14.25045
,เลาขวัญ,ผสมอาหารสำเร็จรูปสำหรับสัตว์,1064,,เลขที่ 12,0,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,11,16000,,-,71210,10801,5,53,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,
,หนองลาน,ผลิตอาหารสัตว์ เช่น อาหารโค อาหารแพะ ฯลฯ,936,กำแพงแสน - พนมทวน ,เลขที่ 57,6,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,2,12768,-,น้อยการเกษตร,71130,10801,0,54,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,
,ห้วยกระเจา,ตาก-บด ข้าวบาร์เลย์ ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับสัตว์เลี้ยง,900,,เลขที่ 218,6,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,14,134933,,ห้างหุ้นส่วนจำกัด ญาณมารี,71170,10801,2,55,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ห้วยกระเจา,
99.62164,บ้านใหม่,ผลิตส่วนประกอบของอาหารสัตว์ทุกชนิดจากพืชผลทางการเกษตร เช่น เปลือกสับปะรด,3344,     -,เลขที่ 17,2,กาญจนบุรี,     -,โรงงานแปรรูปทางการเกษตร,8,43028,     -,บริษัท เคมัชอินดัสตรี จำกัด,71110,10294,0,56,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.88496
,ดอนตาเพชร,ผลิตอาหารสัตว์จากพืช ,2000,,เลขที่ 159,3,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,9,31868,,บริษัท อัยย์ครอป จำกัด,11130,10294,4,57,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,
,เขาสามสิบหาบ,ผลิตอาหารสัตว์อัดเม็ดจากข้าวโพด ข้าวฟ่าง กากมันสำปะหลัง กากถั่วเหลือง ใบมันสำปะหลัง รำหยาบ รำละเอียด ใบกระถิน กากงา ฯลฯ,1452,,เลขที่ 79,15,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,3,26800,,บริษัท พีเอ วู้ดเพลเลท จำกัด,71120,10294,5,58,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,
,หนองประดู่,ป่นหรือบด ข้าวเปลือก รำ ข้าวโพด มันเส้น สำหรับทำหรือผสมเป็นอาหารสัตว์,1760,,เลขที่ 138,7,กาญจนบุรี,089-5403299,โรงงานแปรรูปทางการเกษตร,7,76500,,99,71210,10294,0,59,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,
99.78999,ท่ามะกา,ผลิตส่วนประกอบของอาหารสัตว์ เช่น เปลือกสับปะรดอัดแท่ง,980,,เลขที่ 9/9,5,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,11,16082,,บริษัท ริช แอนด์ กรีน จำกัด,71120,10294,4,60,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.94015
,เลาขวัญ,ผลิตอาหารสัตว์และส่วนประกอบของอาหารสัตว์,862,,เลขที่ 242,4,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,4,11340,,ห้างหุ้นส่วนจำกัด อิทธิชัยเลิศทวี,71210,10294,2,61,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,
,หนองปรือ,ผลิตอาหารสัตว์และส่วนประกอบของอาหารสัตว์,400,,เลขที่ 119,8,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,5,32416,,ภูตะวัน,71160,10294,2,62,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,หนองปรือ,
,ยางม่วง,ป่นหรือบด พืช เมล็ดพืช กากพืช สำหรับผสมเป็นอาหารสัตว์ ,2000,,เลขที่ 41/9,17,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,2,14652,,,10130,10294,8,63,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,
99.66959,บ้านใหม่,อบเมล็ดพืช,660,,เลขที่ 95/2,3,กาญจนบุรี,034-658058,โรงงานแปรรูปทางการเกษตร,3,5600,,,71110,1630,0,64,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.91701
99.56823,ท่าล้อ,อบลดความชื้นข้าวเปลือก,2130,แสงชูโต,เลขที่ 98,16,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,1,60000,,โรงสีตวงสุวรรณ,71110,1630,5,65,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.9899
99.81938,ดอนแสลบ,อบข้าวเปลือก,1056,,เลขที่ 287/1,6,กาญจนบุรี,081-7531225,โรงงานแปรรูปทางการเกษตร,10,1200,,บริษัท เต็กรุ่งเรืองไรซ์มิลล์ จำกัด,71170,1630,0,66,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ห้วยกระเจา,14.27501
99.708447,พนมทวน,อบเมล็ดพืช,6000,กาญจนบุรี-อู่ทอง,เลขที่ 58,2,กาญจนบุรี,034-680051,โรงงานแปรรูปทางการเกษตร,3,33600,,บริษัท โรงสีทรัพย์ส่งแสง จำกัด,71140,1630,2,67,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,14.12796
99.47384,แก่งเสี้ยน,ผลิตเมล็ดพันธุ์ข้าวโพดหวาน,1000,ท่าน้ำตื้น-เขาปูน,เลขที่ 99,15,กาญจนบุรี,(034)653298-9,โรงงานแปรรูปทางการเกษตร,1,1400,,โรงงานผลิตเมล็ดพันธุ์ข้าวโพดหวาน จำกัด,71190,1630,15,68,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.05232
,พนมทวน,อบเมล็ดพืช ,6000,กาญจนบุรี-อู่ทอง,เลขที่ 58,2,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,3,33600,,บริษัท โรงสีทรัพย์ส่งแสง จำกัด,71140,1630,2,69,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,
,หนองกุ่ม,อบพืช หรือ อบเมล็ดพืช,1386,,เลขที่ 147,13,กาญจนบุรี,081-9445959,โรงงานแปรรูปทางการเกษตร,6,25556,,,71160,1630,2,70,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,บ่อพลอย,
,เกาะสำโรง,อบแห้ง บด ป่น พืชสมุนไพรออร์แกนิค,918,,เลขที่ 83,12,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,7,30400,,บริษัท มัลเบอร์รี่ เวิร์ค จำกัด,71000,1630,16,71,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,
,พนมทวน,ผลิตกระเทาะเปลือกหรือผิวมะพร้าว ผลิตภัณฑ์จากมะพร้าว บรรจุภาชนะ เช่น น้ำมะพร้าว มะพร้าวอบแห้ง น้ำมันมะพร้าว ฯลฯ,256,,เลขที่ 111,10,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,4,752,,บริษัท รุ่งทรัพย์พัฒนา (ประเทศไทย) จำกัด,71140,1630,4,72,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,
