ค่าข้อมูล,ที่มา,ขนาดโรงงาน,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),34,2566,พยัคฆภูมิพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),35,2566,วาปีปทุม,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),36,2566,นาดูน,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),37,2566,ยางสีสุราช,จำนวนโรงงาน,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),38,2566,กุดรัง,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),39,2566,ชื่นชม,จำนวนโรงงาน,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),40,2566,เมืองมหาสารคาม,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),41,2566,แกดำ,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),42,2566,โกสุมพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),43,2566,กันทรวิชัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),44,2566,เชียงยืน,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),45,2566,บรบือ,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),46,2566,นาเชือก,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),47,2566,พยัคฆภูมิพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),48,2566,วาปีปทุม,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),49,2566,นาดูน,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),50,2566,ยางสีสุราช,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),51,2566,กุดรัง,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดใหญ่ (L),52,2566,ชื่นชม,จำนวนโรงงาน,มหาสารคาม,แห่ง
