_id,คนงานหญิง,แรงม้า,ไปรษณีย์,เจ้าของข้อมูล,ตำบล,ประกอบกิจการ,อำเภอ,คนงานรวม,ชื่อชุดข้อมูล,แรงม้าตรวจพบ,ผู้ประกอบการ,คนงานชาย,จังหวัด,เงินทุนรวม,โทรศัพท์,ชื่อโรงงาน
11,0,377.42,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,ผลิตเชื้อเพลิงทดแทนจากพลาสติก,อู่ทอง,10,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,0,บริษัท พีเอสแอล ไพโรออยล์ จำกัด ,10,สุพรรณบุรี,30000000,20227777.0,บริษัท พีเอสแอล ไพโรออยล์ จำกัด 
12,5,207,10160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระกระโจม,ผลิตน้ำมันทดแทนจากยางรถยนต์เก่าใช้แล้ว,ดอนเจดีย์,20,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,,บริษัท สยาม กรีน เวสท์ จำกัด,15,สุพรรณบุรี,58000000,,บริษัท สยาม กรีน เวสท์ จำกัด
13,9,2117.9,72140,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ศรีประจันต์,ทำน้ำหวาน ทำกาแฟปรุงสำเร็จรูป อาหารกระป๋อง,ศรีประจันต์,11,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2117.9,บริษัท โรงงานสโนว์เฮาส์โปรดักส์ จำกัด,2,สุพรรณบุรี,670000,581099.0,บริษัท โรงงานสโนว์เฮาส์โปรดักส์ จำกัด
14,35,180953.2,72130,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ย่านยาว,ทำน้ำตาลทราย,สามชุก,347,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,178648.58,บริษัท อุตสาหกรรมน้ำตาลสุพรรณบุรี จำกัด,312,สุพรรณบุรี,480500000,571030.0,บริษัท อุตสาหกรรมน้ำตาลสุพรรณบุรี จำกัด
15,26,273801.7,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,ทำน้ำตาลทรายดิบ น้ำตาลทรายขาวและน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 17731 ตันอ้อยต่อวัน,อู่ทอง,269,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,273801.7,บริษัท น้ำตาลรีไฟน์ชัยมงคล จำกัด,243,สุพรรณบุรี,1770000000,551377.0,โรงงานน้ำตาลอุตสาหกรรมอู่ทอง
16,0,435131.96,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,"ทำน้ำตาลทรายขาว น้ำตาลทรายดิบ และน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 35,000 ตันอ้อยต่อวัน ทำน้ำเชื่อมชนิดต่าง ๆ",ด่านช้าง,66,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,435131.96,บริษัท น้ำตาลมิตรผล จำกัด,66,สุพรรณบุรี,2545000000,035-418103-6,บริษัท น้ำตาลมิตรผล จำกัด
17,78,1322,72000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พิหารแดง,ผลิตเครื่องดื่มสำหรับชง เช่น เกลือแร่ผง ขิงผงฯ,เมืองสุพรรณบุรี,145,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1322,บริษัท แฟนซีเวิลด์ จำกัด,67,สุพรรณบุรี,25508680,035-450550,บริษัท แฟนซีเวิลด์ จำกัด
18,76,6509.26,72130,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,กระเสียว,ทำเครื่องแกง เครื่องเทศอบแห้ง และเกล็ดขนมปังอบแห้ง,สามชุก,97,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,6509.26,บริษัท โกลโบ ฟู้ดส์ จำกัด,21,สุพรรณบุรี,141512195,02-3840036,บริษัท โกลโบ ฟู้ดส์ จำกัด (สาขาสุพรรณบุรี)
19,0,1727.5,72110,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สองพี่น้อง,ทำน้ำแข็งซองได้วันละ 792 ซอง และน้ำแข็งก้อนเล็กได้วันละ 25 ตัน ขยายโดยเพิ่มการทำน้ำแข็งซองอีกวันละ 382 ซอง และน้ำแข็งก้อนเล็กอีกวันละ 13 ตัน,สองพี่น้อง,26,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1727.5,บริษัท พรเจริญไอซ์ จำกัด,26,สุพรรณบุรี,4200000,035-531086,บริษัท พรเจริญ ไอซ์ จำกัด
20,1,538.68,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ด่านช้าง,ผลิตน้ำแข็งวันละ 234 ซอง และน้ำแข็งก้อนเล็กวันละ 8 ตัน,ด่านช้าง,7,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,538.68,บริษัท บุญวรรณ ด่านช้าง 2024 จำกัด,6,สุพรรณบุรี,12100000,0 3559 5209,บริษัท บุญวรรณ ด่านช้าง 2024 จำกัด
21,4,1148,72110,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,เนินพระปรางค์,ผลิตน้ำแข็งซอง 1408 ซองน้ำแข็งหลอดขนาด 90 ตัน/วัน,สองพี่น้อง,10,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1148,บริษัท น้ำแข็งมหาราช จำกัด,6,สุพรรณบุรี,23000000,087-1709292,บริษัท น้ำแข็งมหาราช จำกัด
22,5,1914,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,ผลิตน้ำแข็งและน้ำแช็งหลอด,อู่ทอง,13,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1914,นางดุษฏี รวมเมฆ,8,สุพรรณบุรี,36000000,035-565665,โรงน้ำแข็งพูนทรัพย์
23,10,1500,72150,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บางปลาม้า,"ผลิตและจำหน่ายน้ำแข็งซอง และน้ำแข็งหลอด (น้ำแข็งซอง 700 ซอง, น้ำแข็งหลอด 180 ตัน",บางปลาม้า,24,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1500,บริษัท ทรัพย์อุดมธารา จำกัด,14,สุพรรณบุรี,5000000,035-588792,บริษัท ทรัพย์อุดมธารา จำกัด
24,13,2890,72110,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองบ่อ,"ผลิตน้ำแข็งซอง กำลังการผลิต 1,520 ซอง/วัน และผลิตน้ำแข็งหลอด กำลังการผลิต 250 ตัน/วัน",สองพี่น้อง,29,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2890,บริษัท เค.วี.พี.ไอซ์ จำกัด,16,สุพรรณบุรี,5000000,035-481-292,บริษัท เค.วี.พี.ไอซ์ จำกัด
25,8,1686.6,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,"ทำน้ำแข็งซอง เดิม 646 ซองต่อวัน ขอเพิ่ม 900 ซองต่อวัน รวมเป็น 1,546 ซองต่อวัน และทำน้ำแข็งก้อนเล็ก เดิม 26.2 ตัน ขอเพิ่ม 160 ตัน รวมเป็น 186.2 ตัน",อู่ทอง,9,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1686.6,บริษัท อู่ทอง ไอซ์ จำกัด,1,สุพรรณบุรี,14000000,035-551556,บริษัท อู่ทอง ไอซ์ จำกัด
26,4,1294,72000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,รั้วใหญ่,ทำน้ำแข็งซองได้วันละ 1560 ซอง และน้ำแข็งก้อนเล็กได้วันละ 50 ตัน,เมืองสุพรรณบุรี,10,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1294,บริษัท น้ำแข็งรักษ์สุพรรณ จำกัด,6,สุพรรณบุรี,15800000,,บริษัท น้ำแข็งรักษ์สุพรรณ จำกัด
27,5,2783,72140,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังยาง,ผลิตน้ำแข็งซองและน้ำแข็งหลอด,ศรีประจันต์,17,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2783,ห้างหุ้นส่วนจำกัด ไอยรา (1990),12,สุพรรณบุรี,45000000,,ห้างหุ้นส่วนจำกัด ไอยรา (1990)
28,2,945.5,72170,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,ผลิตน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 210 ตันต่อวัน,อู่ทอง,13,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,945.5,บริษัท โรงน้ำแข็ง ก (อู่ทอง) จำกัด,11,สุพรรณบุรี,19500000,081-7556780,บริษัท โรงน้ำแข็ง ก (อู่ทอง) จำกัด
29,2,1341.47,72130,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สามชุก,"ทำน้ำแข็งซอง วันละ 1,850 ซอง และทำน้ำแข็งก้อนเล็ก 180 ตัน",สามชุก,7,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,255,นาง สาวรรณ รักษาชาติ,5,สุพรรณบุรี,15000000,,โรงน้ำแข็งสุวรรณประดิษฐ์
30,6,1736,72150,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,กฤษณา,ผลิตน้ำแข็งเพื่อการบริโภค เช่น น้ำแข็งหลอดเล็ก น้ำแข็งหลอดใหญ่,บางปลาม้า,26,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,0,บริษัท โรงน้ำแข็ง โนเบล ไอซ์ จำกัด,20,สุพรรณบุรี,47600000,098-9554424,บริษัท โรงน้ำแข็ง โนเบล ไอซ์ จำกัด
31,0,930,72120,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,เขาดิน,โรงงานผสมอาหารสัตว์,เดิมบางนางบวช,8,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,930,นางกมลวรรณ กิติเรียงลาภ,8,สุพรรณบุรี,6200000,01-9471909,กิจรุ่งเรืองไพศาล
32,6,12025,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,ผลิตอาหารสัตว์,อู่ทอง,35,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,6026.6,บริษัท ไพรัชกรุ๊ป ฟู้ดส์ จำกัด,29,สุพรรณบุรี,402000000,092 705 5998,บริษัท ไพรัชกรุ๊ป ฟู้ดส์ จำกัด
33,76,21617.55,72220,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระพังลาน,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,อู่ทอง,211,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,26220.27,บริษัท ไทยฟู้ดส์อาหารสัตว์ จำกัด,135,สุพรรณบุรี,1021000000,035-559499,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด
34,15,2437,72110,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ทุ่งคอก,ผลิตอาหารสัตว์,สองพี่น้อง,50,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,0,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์,35,สุพรรณบุรี,32000000,081-8578535,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์ 
35,10,15533.08,72220,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระพังลาน,ทำอาหารผสม หรืออาหารสำเร็จรูปสำหรับสัตว์,อู่ทอง,90,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด,80,สุพรรณบุรี,2089656191,035-559499,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด
36,12,1264.5,72110,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ่อสุพรรณ,ผลิตอาหารผสมสำหรับเลี้ยงสัตว์และอาหารเสริมสำหรับพืชและผลิตปุ๋ยอินทรีย์และปุ๋ยชีวภาพ,สองพี่น้อง,24,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,,บริษัท โวชองฟาร์ม จำกัด,12,สุพรรณบุรี,26550000,035-402261,บริษัท โวชองฟาร์ม จำกัด
37,5,1740.27,72170,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ทะเลบก,ผลิตอาหารสัตว์,ดอนเจดีย์,12,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1740.27,บริษัท แกรนด์ เพ็ท โปรดักท์ จำกัด,7,สุพรรณบุรี,24000000,093-3979556,บริษัท แกรนด์ เพ็ท โปรดักท์ จำกัด
38,0,75200.94,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,"ผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง ขนาดกำลังการผลิตรวมเป็น 350,000 ลิตรต่อวัน โดยการขยายในส่วนของการผลิตก๊าซชีวภาพและการผลิตกระแสไฟฟ้า ขนาด 3.6 เมกะวัตต์ เพื่อใช้ภายในโรงงาน",ด่านช้าง,12,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,75200.94,บริษัท ไทย อะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน),12,สุพรรณบุรี,152000000,-,บริษัท ไทยอะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน)
39,5,9556.901,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,"ผลิตเอทานอล เพื่อใช้เป็นเชื้อเพลิง ขยายกำลังการผลิต 400,000 ลิตรต่อวัน รวมของเดิมเป็น 600,000 ลิตรต่อวัน",ด่านช้าง,30,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,5742.901,บริษัท มิตรผลไบโอฟูเอล จำกัด,25,สุพรรณบุรี,1310840000,035-466651,บริษัท มิตรผล ไบโอฟูเอล จำกัด
40,1,265.18,72140,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,มดแดง,อบพืชหรือเมล็ดพืช,ศรีประจันต์,3,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,265.18,ห้างหุ้นส่วนจำกัด ศิริลาภธัญญาพานิช,2,สุพรรณบุรี,3800000,035-497251-2,ห้างหุ้นส่วนจำกัด ศิริลาภธัญญาพานิช
41,2,2324,72210,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สวนแตง,นึ่งข้าว,เมืองสุพรรณบุรี,5,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2324,บริษัท โรงสีข้าวสุพรรณรุ่งโรจน์ จำกัด,3,สุพรรณบุรี,56800000,0-3559-9080,บริษัท โรงสีข้าวสุพรรณรุ่งโรจน์ จำกัด
42,0,1715,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,ข้าวนึ่ง,อู่ทอง,16,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1715,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล โปรเซสซิ่ง จำกัด,16,สุพรรณบุรี,49000000,0-3555-1039,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล โปรเซสซิ่ง จำกัด
43,7,590.8,72150,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วัดดาว,นึ่งและอบข้าวเปลือก,บางปลาม้า,14,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,590.8,ห้างหุ้นส่วนจำกัด สุพรรณธัญชาติ,7,สุพรรณบุรี,21000000,093-6979169,ห้างหุ้นส่วนจำกัด สุพรรณธัญชาติ
44,18,2509.35,10700,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บางตาเถร,ผลิตน้ำดื่มผสมวิตามิน น้ำผลไม้ และน้ำพืชผัก,สองพี่น้อง,48,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,,บริษัท ยันฮี วิตามิน วอเตอร์ จำกัด,30,สุพรรณบุรี,710000000,089-6842227 081-8099689,บริษัท ยันฮี วิตามิน วอเตอร์ จำกัด
45,0,977,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ระเบิด โม่ บด ย่อยหิน,ด่านช้าง,18,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,977,บริษัท โรงโม่หินด่านช้าง จำกัด,18,สุพรรณบุรี,3000000, ,บริษัท โรงโม่หินด่านช้าง จำกัด
46,7,1231.5,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,"โม่ บด ย่อยหิน กำลังการผลิต 200,000 ลูกบาศก์เมตร/ปี",อู่ทอง,27,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1231.5,ห้างหุ้นส่วนจำกัด เขาตาเก้า,20,สุพรรณบุรี,30000000, ,ห้างหุ้นส่วนจำกัด เขาตาเก้า
47,0,1717,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,"โม่ บด ย่อยหิน กำลังการผลิต 800,000 ตัน/ปี",อู่ทอง,15,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1671.5,บริษัท ศิลามาตรศรี จำกัด,15,สุพรรณบุรี,45000000,,บริษัท ศิลามาตรศรี จำกัด
48,5,2130,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,"โม่ บด ย่อยหิน กำลังการผลิต 20,000 ลูกบาศก์เมตร/ปี",อู่ทอง,30,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2130,บริษัท โรงโม่หินทรัพย์อู่ทอง จำกัด,25,สุพรรณบุรี,20000000, ,ห้างหุ้นส่วนจำกัด ศิลาเพชรสุพรรณบุรี
49,3,1207,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,"โม่ บด ย่อยหิน ได้ปีละ 180,000 ลูกบาศก์เมตร",อู่ทอง,23,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1207,บริษัท สหพัฒนาศิลา จำกัด,20,สุพรรณบุรี,44000000,,บริษัท สหพัฒนาศิลา จำกัด
50,4,738,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,"โม่ บด ย่อยหิน กำลังการผลิต 330,000 ตัน/ปี",อู่ทอง,10,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,738,บริษัท ศิลามาตรศรี จำกัด,6,สุพรรณบุรี,13500000,,บริษัท ศิลามาตรศรี จำกัด
51,0,2135,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,โม่ บด ย่อยหิน กำลังการผลิต 31500 ตัน/ปี,อู่ทอง,20,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2135,โรงโม่หินศิลามาตรศรี,20,สุพรรณบุรี,81000000,521977.0,โรงโม่หินศิลามาตรศรี
52,10,1989.5,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,"โม่ บด ย่อยหิน กำลังการผลิต 400,000 ลูกบาศก์เมตร/ปี",อู่ทอง,50,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1989.5,บริษัท ศิลาไทยรุ่งเรืองพุฒนา จำกัด,40,สุพรรณบุรี,58000000,,บริษัท ศิลาไทยรุ่งเรืองพัฒนา จำกัด
53,20,13905.25,72160,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,"โม่ บด ย่อยหิน ได้ปีละ 200,000 ลูกบาศก์เมตร",อู่ทอง,50,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,13288.14,บริษัท นครหลวงคอนกรีต จำกัด,30,สุพรรณบุรี,45000000, ,บริษัท นครหลวงคอนกรีต จำกัด
