ประกอบกิจการ,คนงานหญิง,หมู่,ถนน,TSIC,เงินทุนรวม,เลขทะเบียนเดิม,โทรศัพท์,FID,factype,GPS_lng,_id,ลำดับ,แรงม้า,อนุญาต,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,สิ้นอายุ,จังหวัด,คนงานรวม,ไปรษณีย์
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,2500000,1,ติวานนท์,106000000000,,3-105-13/58นบ,,-10120001325582-,,11/06/1472,11,11,30,4596,บริษัท พี.พี.พี.รีไซเคิล จำกัด,บ้านใหม่,19/05/1472,พระแม่มหาการุณย์,ปากเกร็ด,เลขที่ 69/288,2000000,1,นนทบุรี,5000000,
คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,2,4,จันทร์ทองเอี่ยม,38211,15500000,3-105-151/48นบ,0 2597 8270,-10120015125481-,3,,12,12,140,15/11/1462,บริษัท เอสเคเจ อินเตอร์พลาส จำกัด,บางแม่นาง,100.3742,แก้วอินทร์,บางใหญ่,เลขที่ 25/3,6,13.87416667,นนทบุรี,8,11140
คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),3000000,3,รัตนาธิเบศร์,3100000000000,,3-105-165/48นบ,,-10120016525481-,,15/01/1464,13,13,15,21044,วงษ์พาณิชย์ สาขานนทบุรี,บางรักน้อย,09/12/1462,วัดไทรม้า,เมืองนนทบุรี,เลขที่ 79/23,10000000,1,นนทบุรี,5000000,
คัดแยกวัสดุไม่ใช้แล้ว เช่น เศษผ้า ด้าย สำลี นุ่น กระสอบ กระดาษ เศษเหล็ก เศษพลาสติก เพื่อจำหน่าย นำเข้า ส่งออก,240000,6,-,106000000000,,3-105-19/47นบ,,-10120001925472-,,19/04/1461,14,14,11,,บริษัท อุดมสุข เท็กซ์ไทล์ จำกัด,ละหาร,25/02/1461,-,บางบัวทอง,เลขที่ 18/18-19-20,700000,1,นนทบุรี,500000,
คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมเพื่อนำมารีไซเคิล,150000,6,แจ้งวัฒนะ,126000000000,,3-105-2/46นบ,,-10120200225468-,,21/07/1460,15,15,30,544,บริษัท เค.รีไซเคิล แอนด์ เซอร์วิส จำกัด,บางพูด,12/06/1460,แจ้งวัฒนะ-ปากเกร็ด 3,ปากเกร็ด,เลขที่ 14/25,4352000,1,นนทบุรี,3000000,
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่ใช่ของเสียอันตราย เช่น เศษทองแดง เศษทองเหลือง เศษเหล็ก เศษสแตนเลส เศษอลูมิเนียม เศษสายไฟ เศษพลาสติก เศษกระดาษ เศษไม้ บดย่อยพลาสติก อัดเศษโลหะ ตัดโลหะ,400000,3,บางกรวย-ไทรน้อย,126000000000,,3-105-22/66นบ,,-10120036925661-,,18/04/1480,16,16,7,948,บริษัท สวัสดิ์รีไซเคิล จำกัด,บางรักพัฒนา,04/03/1480,,บางบัวทอง,เลขที่ 187/70,500000,1,นนทบุรี,18600000,
คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),20,6,นครอินทร์,38211,141000000,3-105-3/46นบ,0 2913 2197-9,-10120100325467-,3,,17,17,1090,17/12/1460,บริษัท โลหะไทยสเตนเลส จำกัด,บางขุนกอง,100.4301,-,บางกรวย,เลขที่ 38/3,40,13.82228333,นนทบุรี,60,11130
คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,5,3,บางกรวย-ไทรน้อย,38211,1400000,3-105-30/47นบ,0-2920-5144,-10120003025479-,3,,18,18,90,25/03/1461,บริษัท ธนานุกูลชัย จำกัด,บางรักพัฒนา,100.4302833,ร่มโพธิ์ทอง,บางบัวทอง,เลขที่ 187/48,2,13.88696667,นนทบุรี,7,11110
คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,6,,เลี่ยงเมืองนนทบุรี,38211,9000000,3-105-31/47นบ,0-2969-0001-2,-10120003125477-,3,,19,19,421,25/03/1461,บริษัท เอส.เค.รีไซเคิล จำกัด,ตลาดขวัญ,100.4929,,เมืองนนทบุรี,"เลขที่ 141,143",5,13.85615,นนทบุรี,11,11000
คัดแยกวัสดุเหลือใช้จากโรงงาน เช่น กระดาษ พลาสติก โลหะ,1000000,13,ตลิ่งชัน-สุพรรณบุรี,3160000000000,,3-105-32/49นบ,,-10120003225491-,,19/06/1463,20,20,20,0,นิตยารีไซเคิล,บางบัวทอง,26/05/1463, -,บางบัวทอง,เลขที่ 1/4,0,1,นนทบุรี,500000,
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,500000,-,สามัคคี,104000000000,,3-105-32/53นบ,,-10120003225533-,,30/07/1467,21,21,12,1448,บริษัท แสงไพศาลค้ากระดาษ จำกัด,ท่าทราย,16/06/1467,สามัคคี 8,เมืองนนทบุรี,"เลขที่ 12, 14",1000000,1,นนทบุรี,2000000,
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4000000,-,สามัคคี,126000000000,,3-105-33/53นบ,,-10120003325531-,,30/07/1467,22,22,20,2260,บริษัท แสงไพศาลค้ากระดาษ จำกัด,ท่าทราย,16/06/1467,สามัคคี 11,เมืองนนทบุรี,"เลขที่ 11,13",2000000,1,นนทบุรี,2000000,
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และหลอมหล่อโลหะ,3,3,ตลิ่งชัน-สุพรรณบุรี,38211,6100000,3-105-4/46นบ,,-10120000425466-,3,,23,23,393.6,29/12/1460,,บางใหญ่,100.3606667,กันตนา,บางใหญ่,เลขที่ 4/5,11,13.84165,นนทบุรี,14,11140
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10000000,9,บางบัวทอง-สุพรรณบุรี,126000000000,,3-105-47/59นบ,,-10120004725598-,,12/09/1473,24,24,18,4400,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,ละหาร,25/07/1473,,บางบัวทอง,เลขที่ 27/14,5000000,1,นนทบุรี,0,
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10000000,6,นครอินทร์,126000000000,,3-105-52/60นบ,,-10120005225606-,,05/05/1477,25,25,55,2324,บริษัท รวมโลหะ เทรดดิ้ง จำกัด,บางขุนกอง,22/05/1474,,บางกรวย,เลขที่ 38/13,200000000,1,นนทบุรี,50000000,
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติก และโลหะต่าง ๆ,10,9,ตลิ่งชัน-สุพรรณบุรี,38211,70000000,3-105-60/47นบ,0 2925 5794,-10120006025476-,3,,26,26,1198,05/07/1461,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,ละหาร,100.4060167,โรงเรียนแสงประทีป,บางบัวทอง,เลขที่ 27/6,30,13.9524,นนทบุรี,40,11110
คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541),4400000,,สามัคคี,124000000000,,3-105-69/47นบ,,-10120006925477-,,30/08/1461,27,27,11,1408,ห้างหุ้นส่วนจำกัด ดวงพร รีไซเคิล,ท่าทราย,05/08/1461,สามัคคี 7,เมืองนนทบุรี,เลขที่ 10,0,1,นนทบุรี,1000000,
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก อัดเศษกระดาษ อัดโลหะ,5,7,บางบัวทอง-สุพรรณบุรี,38211,1000000,3-105-73/53นบ,02 9833600-1,-10120007325537-,3,,28,28,133,16/11/1467,ทรัพย์เจริญเซียงกง,ละหาร,100.378693,-,บางบัวทอง,เลขที่ 94/8,5,13.966722,นนทบุรี,10,11110
บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ใช้แล้วและเครื่องใช้ไฟฟ้า บดย่อยเศษตะกรันโลหะ เก็บรวบรวมแบตเตอรี่ใช้แล้วโดยไม่มีการแปรสภาพ สกัดโลหะมีค่าจากกากตะกอนระบบบำบัดน้ำเสียที่มีโลหะมีค่า นำน้ำมันหล่อลี่นที่ใช้แล้วหรือสารทำละลายที่ใช้แล้วผ่านกรรมวิธีทางอุตสาหกรรม มาทำเชื้อเพลิงทดแทน และผลิตเชื้อเพลิงผสม,2000000,8,,126000000000,,3-106-104/60นบ,,-10120010425605-,,30/10/1477,29,29,15,3200,บริษัท เสริมพงษ์ ดีเวลลอปเม้นต์ จำกัด,คลองขวาง,01/12/1474,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 5176,10000000,1,นนทบุรี,2000000,
ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกที่ใช้แล้วด้วยกระบวนการ Pyrolysis,1,2,ไทรน้อย-บางเลน,38300,55000000,3-106-21/56นบ,29735188,-10120002125569-,3,,30,30,1696.98,18/09/1470,บริษัท คอร์สแอร์ แบงคอก จำกัด,คลองขวาง,100.318846,,ไทรน้อย,เลขที่ 48,24,14.008574,นนทบุรี,25,11150
ปรับสภาพกรดที่ใช้แล้วและล้างบรรจุภัณฑ์ที่ใช้แล้ว,9,10,,38300,16000000,3-106-23/67นบ,863456679,-10120094425679-,3,,31,31,159.29,07/06/1481,บริษัท ไทยคลอไรด์ แมนูแฟคเจอร์ริ่ง จำกัด,ไทรใหญ่,100.293391,,ไทรน้อย,เลขที่ 92/10,11,14.057088,นนทบุรี,20,11150
ถอดแยกบดย่อยแผงวงจรและชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ หลอมหล่อกากตะกอน ตะกรันทองแดง อลูมิเนียม ทองเหลือง และดีบุก เพื่อนำกลับมาใช้ประโยชน์ใหม่ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10,,38300,18000000,3-106-32/67นบ,,-10120099925673-,3,,32,32,960.7,13/06/1481,บริษัท เจซี เมทัล จำกัด,ไทรใหญ่,,,ไทรน้อย,เลขที่ โฉนดเลขที่ 61796,15,,นนทบุรี,30,11150
ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกใช้แล้วด้วยกระบวนการ Pyrolysis,10000000,2,,106000000000,,3-106-35/66นบ,,-10120153325661-,,,33,33,23,3200,บริษัท คอร์สแอร์ แบงคอก ทู จำกัด,คลองขวาง,27/09/1480,,ไทรน้อย,เลขที่ 9/2,2000000,0,นนทบุรี,4000000,
ถอด แยก บด ย่อย แผง โซลาร์เซลล์ใช้แล้ว,2,1,,38300,40839072,3-106-41/66นบ,081-3989777,-10120180825667-,3,,34,34,1554.64,25/10/1480,บริษัท นภาเอ็นเทอร์ไพร์ส จำกัด,ราษฎร์นิยม,,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 37170,7,,นนทบุรี,9,11150
ผลิตเชื้อเพลิงขยะ (RDF),95000000,8,-,106000000000,,3-106-45/65นบ,,-10120103025650-,,01/03/1480,35,35,24,16199,บริษัท สยาม พาวเวอร์ จำกัด,คลองขวาง,14/06/1479,-,ไทรน้อย,เลขที่ 59/1,19280000,1,นนทบุรี,420000000,
ทำเชื้อเพลิงทดแทนจากน้ำมันที่ใช้แล้วและตัวทำละลายที่ใช้แล้วโดยกระบวนการกรองถอดแยกและบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ ถอดแยกมอเตอร์เก่าที่ไม่เป็นของเสียอันตราย ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย บดย่อยตะกรันโลหะ เช่น ตะกรันอลูมิเนียม ตะกรันทองแดง เก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพและคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5000000,10,,126000000000,,3-106-71/65นบ,,-10120201525650-,,09/09/1480,36,36,16,5622,บริษัท เค.เอ.2018 เทรดดิ้ง จำกัด,คลองขวาง,23/11/1479,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 59198,10000000,1,นนทบุรี,1000000,
ผลิตแผ่น วีซีดี ซีดีรอม ซีดีอาร์ ซีดีเกมส์ ซีดีไอ ดีวีดี ดีวีดี-รอม ซีดี เลเซอร์ดิสก์,105054000,4,บ้านกล้วย-ไทรน้อย,126000000000,,3-107-4/49นบ,,-10120000425490-,,09/11/1463,37,37,43,1100,บริษัท ทูไดเมนชั่น แมนูแฟคเจอริ่ง จำกัด,พิมลราช,27/07/1463,,บางบัวทอง,เลขที่ 88/1,2400000,1,นนทบุรี,15000000,
ทำลูกกวาดและขนมขบเคี้ยว ทำช็อกโกแลตผง ทำขิงผงและเก๊กฮวยผง ทำหมากฝรั่ง,120,2,แจ้งวัฒนะ,10739,235000000,3-12(10)-1/26นบ,5745170-1,-10120000125264-,3,,38,38,6104.89,05/08/1450,บริษัท เยเนอรัลแคนดี้ จำกัด,คลองเกลือ,100.5458667,ศรีตะปันย์,ปากเกร็ด,เลขที่ 51/3,62,13.90288333,นนทบุรี,182,11120
ทำไอศกรีม,0,4,ติวานนท์,126000000000,,3-12(11)-1/29นบ,,-10120100125297-,,16/05/1443,39,39,8,3500,บริษัท ศิริเบญจ จำกัด,ตลาดขวัญ,09/02/1452,เรวดี 22,เมืองนนทบุรี,เลขที่ 124/60,0,1,นนทบุรี,16500000,
ทำแยมผลไม้ ซอสพริก และน้ำมันสลัด,51,8,ติวานนท์,10774,13400000,3-13(2)-1/32นบ,5831843,-10120000125322-,3,,40,40,833.98,29/09/1450,บริษัท สุขุมพาณิชย์ จำกัด,บางพูด,100.51785,,ปากเกร็ด,เลขที่ 88/9,17,13.9243,นนทบุรี,68,11120
ผลิตน้ำสลัดและน้ำซอส,3000000,8,ตลิ่งชัน-สุพรรณบุรี,106000000000,,3-13(6)-1/53นบ,,-10120000125538-,,01/10/1467,41,41,9,48255,บริษัท พรีมาฟูดส์ ซัพพลาย จำกัด,ละหาร,16/07/1467,สุเหร่าแดง,บางบัวทอง,เลขที่ 99,10000000,1,นนทบุรี,2000000,
"ทำน้ำแข็งซอง เพิ่มขึ้นได้วันละ 648 ซอง รวมเป็น 1,297 ซอง/วัน",20000000,1,นนทบุรี 1,104000000000,,3-14-1/18นบ,,-10120100125180-,,20/08/1432,42,42,7,2400,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,บางกระสอ,09/04/1450,-,เมืองนนทบุรี,เลขที่ 86/3,0,1,นนทบุรี,3000000,
ทำน้ำแข็งซองได้วันละ 2681 ซอง และทำน้ำแข็งก้อนเล็กวันละ 58.36 ตัน,12500000,3,สุขาประชาสรรค์,3120000000000,,3-14-1/19นบ,,-10120000125199-,ใช้สารแอมโมเนีย,09/04/1433,43,43,15,8000,-,ปากเกร็ด,09/02/1451,,ปากเกร็ด,เลขที่ 77,4000000,1,นนทบุรี,3200000,
ทำน้ำแข็งก้อนเล็ก ได้วันละ 190.91 ตัน,3000000,,,126000000000,,3-14-1/21นบ,,-10120100125214-,,20/06/1435,44,44,15,4000,บริษัท ร่วมพัฒนาน้ำแข็งหลอด จำกัด,บางกระสอ,19/03/1450,,เมืองนนทบุรี,เลขที่ 3,0,1,นนทบุรี,100000,
ผลิตน้ำแข็ง ได้วันละ 651 ซอง,850000,1,นนทบุรีสาย 1,3100000000000,,3-14-1/23นบ,,-10120100125230-,ใช้สารแอมโมเนีย,07/04/1437,45,45,11,4412,,บางกระสอ,05/07/1452,,เมืองนนทบุรี,เลขที่ 87,12000000,1,นนทบุรี,100000,
ทำน้ำแข็งก้อนเล็ก ได้วันละ 33.98 ตัน,3000000,2,งามวงศ์วาน,126000000000,,3-14-1/31นบ,,-10120000125314-,,14/01/1445,46,46,4,996,บริษัท มั่งมีโภคทรัพย์ จำกัด,บางเขน,01/02/1451,วัดบัวขวัญ,เมืองนนทบุรี,เลขที่ 49/4/1,0,3,นนทบุรี,200000,
ผลิตน้ำแข็งซอง,19000000,2,ปลายบาง,126000000000,,3-14-1/42นบ,,-10120100125420-,,20/01/1457,47,47,10,4290,บริษัท โรงน้ำแข็งนวลวรรณ จำกัด,มหาสวัสดิ์,16/08/1456,วัดบางไกรใน,บางกรวย,เลขที่ 75/17,0,1,นนทบุรี,2000000,
ผลิตน้ำแข็งก้อนเล็ก ผลิตได้วันละ 150 ตัน/วัน,10000000,6,จงถนอม - วัดต้นเชือก,3610000000000,,3-14-1/44นบ,,-10120000125447-,,08/04/1459,48,48,8,0,น้ำแข็งศาลายา,ศาลากลาง,23/07/1458,,บางกรวย,เลขที่ 64/4,2000000,1,นนทบุรี,500000,
"ผลิตน้ำแข็งซอง เพิ่มขึ้นอีก 400 ซอง/วัน รวมเป็น 2,000 ซอง/วัน",32000000,7,กรุงเทพ-นนทบุรี,126000000000,,3-14-1/45นบ,,-10120000125454-,,22/09/1460,49,49,12,5624,บริษัท ศรีวัฒนะชัยน้ำแข็งซองและหลอด จำกัด,บางเขน,20/09/1459,12  (ศิริชัย 1),เมืองนนทบุรี,เลขที่ 47/164,24200000,1,นนทบุรี,4000000,
"ผลิตน้ำแข็งซอง เพิ่มวันละ 1,080 ซอง รวมเป็น 1,800 ซองต่อวัน",70000000,6,ตลิ่งชัน-สุพรรณบุรี,126000000000,,3-14-17/52นบ,,-10120001725526-,,13/09/1467,50,50,32,10860,บริษัท โรงน้ำแข็งกังวานสิน จำกัด,บางคูรัด,26/05/1466,วัดลาดปลาดุก,บางบัวทอง,เลขที่ 88,8000000,1,นนทบุรี,2000000,
ทำน้ำแข็งได้วันละ978ซอง,1550000,1,นนทบุรี 1,124000000000,,3-14-2/13นบ,,-10120000225130-,,16/10/1427,51,51,13,984,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทิพย์,บางกระสอ,24/12/1450,-,เมืองนนทบุรี,เลขที่ 86/2,400000,1,นนทบุรี,600000,
ทำน้ำแข็งซองได้วันละ 936 ซอง และทำน้ำแข็งก้อนเล็กวันละ 13,4425680,3,แจ้งวัฒนะ,104000000000,,3-14-2/19นบ,,-10120000225197-,,23/06/1433,52,52,14,1200,ห้างหุ้นส่วนจำกัด ส.วารีพัฒนา,ปากเกร็ด,08/02/1451,สุขาประชาสรรค์ 1,ปากเกร็ด,เลขที่ 34/7,1500000,1,นนทบุรี,500000,
ทำน้ำแข็งซอง ได้วันละ 752 ซอง,1200000,1,นนทบุรี 1,3100000000000,,3-14-2/31นบ,,-10120100225311-,ใช้สารฟรีออน,29/06/1445,53,53,10,2000,นางสาวนวลฉวี ประเสริฐสุขสม,บางกระสอ,14/12/1450,โรงน้ำแข็ง,เมืองนนทบุรี,เลขที่ 87/5,1200000,1,นนทบุรี,500000,
ผลิตน้ำแข็งซองและน้ำแข็งหลอด,8000000,2,,126000000000,,3-14-20/62นบ,,-10120170125623-,,15/08/1479,54,54,14,2066,บริษัท โรงน้ำแข็งอานนท์ จำกัด,ลำโพ,03/07/1476,,บางบัวทอง,เลขที่ โฉนดที่ดินที่ 8553,10000000,1,นนทบุรี,5000000,
"ทำน้ำแข็งซอง ได้วันละ 1,000 ซอง/วัน",4,9,บางศรีเมือง-วัดโบสถ์,10795,105000000,3-14-24/56นบ,,-10120002425563-,3,,55,55,1102,02/05/1470,วารีน้ำแข็ง 2,บางกร่าง,100.468569,เพิ่มแฉล้มอุทิศ,เมืองนนทบุรี,เลขที่ 54/9,9,13.842854,นนทบุรี,13,11000
ทำน้ำแข็งซอง ได้วันละ 330 ซอง และทำน้ำแข็งก้อนเล็ก ได้วันละ 50 ตัน,10000000,2,บางบัวทอง-ประตูน้ำพระอุดม,104000000000,,3-14-29/52นบ,,-10120002925521-,,,56,56,14,6108,ห้างหุ้นส่วนจำกัด วรรณวารี,ละหาร,06/08/1466,-,บางบัวทอง,เลขที่ ,40000000,0,นนทบุรี,1000000,
ทำน้ำแข็งซองได้วันละ963ซองและทำน้ำแข็งก้อนเล็กได้วันละ,0,1,นนทบุรี 1,10795,45000000,3-14-3/15นบ,5250172,-10120000325153-,3,,57,57,4586,08/03/1450,บริษัท โรงน้ำแข็ง แสงพิทักษ์ จำกัด,บางกระสอ,100.4883167,โรงน้ำแข็ง,เมืองนนทบุรี,เลขที่ 86/4,12,13.87866667,นนทบุรี,12,11000
ผลิตน้ำแข็งก้อนเล็กเพิ่มขึ้นวันละ70 ตัน ,6500000,1,นนทบุรี 1,104000000000,,3-14-3/31นบ,,-10120000325310-,,03/08/1445,58,58,2,6400,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสาครทิพย์,บางกระสอ,24/12/1450,นนทบุรี 20,เมืองนนทบุรี,เลขที่ 86/3,0,1,นนทบุรี,2000000,
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 400 ตันต่อวัน,42500000,5,,106000000000,,3-14-30/57นบ,,-10120003025578-,,29/06/1475,59,59,6,5116,บริษัท อุตสาหกรรมน้ำแข็งไทย จำกัด,มหาสวัสดิ์,08/05/1471,,บางกรวย,เลขที่ ,20000000,1,นนทบุรี,500000,
ทำน้ำแข็งซองและทำน้ำแข็งก้อนเล็ก,20000000,6,อบจ.สายทางบางแม่นาง (เทิดพระเกียรติ),476000000000,,3-14-32/58นบ,,-10120003225582-,,,60,60,6,9216,บริษัท คิงส์ไอซ์แมน จำกัด,บางแม่นาง,09/06/1472,,บางใหญ่,เลขที่ ,25000000,0,นนทบุรี,1000000,
"ทำน้ำแข็ง ได้วันละ 1,872 ซอง",0,1,นนทบุรี 1,10795,16000000,3-14-4/15นบ,081-5135577,-10120000425151-,3,,61,61,1541.42,09/04/1450,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสินทิพย์,บางกระสอ,100.4871667,,เมืองนนทบุรี,เลขที่ 85/1,7,13.87833333,นนทบุรี,7,11000
