_id,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,ที่อยู่,จังหวัด,TSIC,รหัสประเภท
37,อู่รุ่งโรจน์,,"ซ่อม,เคาะพ่นสีรถยนต์",2553,มุกดาหาร,เมืองมุกดาหาร,,มุกดาหาร,33121,9501
38,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,0 4261 1446,สีข้าว,2554,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 204 หมู่ 1 ถนนชยางกูร,มุกดาหาร,10611,901
39,เมืองโขงการเกษตร,,ทำหรือผลิตปุ๋ยอินทรีย์อัดเม็ด,2554,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 235 หมู่ 6 ถนนคำเม็ก-โนนสะอาด,มุกดาหาร,20121,4301
40,บริษัท ดนุสิริกำพลการโยธา จำกัด,0 4263 0896,ผลิตแอสฟัลท์ติดคอนกรีต,2554,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 36/3 ถนนชยางกูร ก,มุกดาหาร,19209,5004
41,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,,"ผลิตยางเครป, ยางแท่ง เอสทีอาร์ 20, ยางผสม",2554,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 188 หมู่ 10 ถนนชยางกูร,มุกดาหาร,22191,5203
42,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,08 1958 4415,"ผลิตยางแท่ง STR, Mixture Rubber (ยางผสมสารเคมี) Block Rubber",2554,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 319 หมู่ 16 ถนนชยางกูร,มุกดาหาร,22191,5203
43,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,09 9459 6555,ผลิตภัณฑ์คอนกรีตสำเร็จรูป,2554,กุดแข้,เมืองมุกดาหาร,เลขที่ 33/1 หมู่ 5,มุกดาหาร,23953,5801
44,คอนกรีตผสมเสร็จ มุกดาหาร 3,,ผลิตคอนกรีตผสมเสร็จ,2554,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 282 หมู่ 4 ถนนมุกดาหาร-คำชะอี,มุกดาหาร,23953,5801
45,บริษัท โรงสีมุกธัญญา จำกัด,,สีข้าว,2555,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 222 หมู่ 2 ถนนมุกดาหาร-คำชะอี,มุกดาหาร,10611,901
46,สุรัญญาพืชผล,,ทำมันเส้น,2555,น้ำเที่ยง,คำชะอี,เลขที่ 85 หมู่ 2,มุกดาหาร,10621,906
47,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่างหรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,2555,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 350 หมู่ 3 ถนนชยางกูร,มุกดาหาร,16220,3402
48,ห้างหุ้นส่วนจำกัด ท่าทรายศรีเผย มุกดาหาร,08 1739 4459,ดูดทราย ใบอนุญาตใช้เรือเลขที่ 4049 01016,2556,บางทรายน้อย,หว้านใหญ่,หมู่ 6,มุกดาหาร,8103,304
49,ลูกชิ้นสมศักดิ์,,ผลิตลูกชิ้นและหมูยอจากเนื้อสัตว์,2556,นาสีนวน,เมืองมุกดาหาร,เลขที่ 299 หมู่ 9,มุกดาหาร,10139,403
50,ลานมันสุวิทย์พืชผล,,ทำมันเส้น,2556,หนองแคน,ดงหลวง,เลขที่ 255 หมู่ 4,มุกดาหาร,10621,906
51,โรงงานผลิตอาหารสัตว์หนองสูง,0 4267 4536,ผลิตอาหารสัตว์สำเร็จรูปสำหรับเลี้ยงสัตว์,2556,หนองสูงเหนือ,หนองสูง,เลขที่ 2 หมู่ 6 ถนนมุกดาหาร-กุฉินารายณ์,มุกดาหาร,10801,1501
52,บริษัท ทรัสต์ รับเบอร์ อินดัสตรี จำกัด,0 4262 0855,ทำน้ำยางข้น ทำผลิตภัณฑ์ยางพารา เช่น ถุงมือแพทย์ หมอน เป็นต้น,2556,กกแดง,นิคมคำสร้อย,เลขที่ 109 หมู่ 12 บ้านอรัญญา,มุกดาหาร,22191,5203
53,บริษัท ธงทอง รับเบอร์ จำกัด,0 4261 1519,"การทำยางเครป, ยางเครปอบแห้ง, ยางผสม (Compound Rubber) , ยางแท่ง",2556,โพนทราย,เมืองมุกดาหาร,เลขที่ 261 หมู้ 7,มุกดาหาร,22191,5203
54,ห้างหุ้นส่วนจำกัด บิ๊ก ดี เลี่ยงเมือง,,ทำส่วนประกอบงานก่อสร้างอาคาร เช่น หลังคาแผ่นเหล็ก กันสาด ผนังอาคารและโครงหลังคา,2556,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 108 ถนนเลี่ยงเมือง,มุกดาหาร,25111,6302
55,บริษัท มุกดาหารไบโอแก๊ส จำกัด,0 4464 4040,"ผลิต ส่งและจำหน่ายก๊าซชีวภาพ 13,000 ลบ.ม/วัน",2556,หนองแคน,ดงหลวง,หมู่ 4,มุกดาหาร,20111,8900
56,ห้างหุ้นส่วนจำกัด ทรัพย์ปรีชาวิศวกรรม,08 1708 2100,ทำคอนกรีตผสมเสร็จ,2557,คำอาฮวน,เมืองมุกดาหาร,,มุกดาหาร,23953,5801
57,บิ๊ก ดี คำชะอี,,ทำส่วนประกอบงานก่อสร้างอาคาร เช่น หลังคาแผ่นเหล็ก กันสาด ผนังอาคารและโครงหลังคา,2557,น้ำเที่ยง,คำชะอี,เลขที่ 134 หมู่ 9 ถนนมุกดาหาร-กุฉินารายณ์,มุกดาหาร,25111,6302
58,ห้างหุ้นส่วนจำกัด บิ๊กดี โนนสว่าง,,ทำส่วนประกอบงานก่อสร้างอาคาร เช่นหลังคาแผ่นเหล็ก กันสาด ผนังอาคารและโครงหลังคา,2557,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 204 หมู่ 10 ถนนชยางกูร,มุกดาหาร,25111,6302
59,บริษัท บุญศิริ โฟรเซ่นโปรดักส์ จำกัด,,ห้องเย็น,2557,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 295 หมู่ 10,มุกดาหาร,52101,9200
60,บี-ควิก สาขาโรบินสัน มุกดาหาร,,ศูนย์บริการซ่อมแซมรถยนต์,2557,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 99/12 ถนนชยางกูร ข,มุกดาหาร,33121,9501
61,ห้างหุ้นส่วนจำกัด มุกดาหาร บีเอ็มซี คอนกรีต,08 3560 3993,ผลิตคอนกรีตผสมเสร็จ,2558,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 333 หมู่ 6,มุกดาหาร,23953,5801
62,บริษัท ดีโฮมคอนกรีตมุกดาหาร จำกัด,09 1060 6306,ผลิตคอนกรีตผสมเสร็จ,2558,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 307 หมู่ 4 หมู่บ้านกุดโง้งน้อย,มุกดาหาร,23951,5801
63,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,08 5495 2186,ผลิตคอนกรีตผสมเสร็จ,2558,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 471 หมู่ 3 บ้านศูนย์ไหม ถนนบายพาส-มุกดาหาร,มุกดาหาร,23953,5801
64,บิ๊ก ดี วัสดุ,08 2310 9889,ทำส่วนประกอบงานก่อสร้างอาคาร เช่นหลังคาแผ่นเหล็ก กันสาด ผนังอาคารและโครงหลังคา,2558,มุกดาหาร,เมืองมุกดาหาร,ถนนมุกดาหาร-คำชะอี,มุกดาหาร,25111,6302
65,โรงงานหลังคาเหล็ก สยามช้างไทย มุกดาหาร,,ผลิตแผ่นหลังคาเหล็กรีดลอน ประตูเหล็กม้วน โครงฝาหลังคา เหล็กแปหลังคา,2558,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 500 หมู่ 6,มุกดาหาร,25111,6302
66,บริษัท พรีเมียร์ ควอลิตี้ สตาร์ช จำกัด,,ผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพ กำลังการผลิต 2.126 เมกะวัตต์,2558,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 185 หมู่ 14,มุกดาหาร,35101,8802
67,ห้องเย็นมหาชัยวาริน,0 4261 2725,ห้องเย็น,2558,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 22/3 ถนนดำรงค์มุกดา,มุกดาหาร,52101,9200
68,สุวิทย์พืชผล,08 5738 1548,ลานตากกากมันสำปะหลัง,2558,ดงหลวง,ดงหลวง,,มุกดาหาร,38300,10600
69,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),0 4264 3818,ลานตากกากมันสำปะหลัง,2558,คำป่าหลาย,เมืองมุกดาหาร,หมู่ 8,มุกดาหาร,38300,10600
70,,,ทำภาชนะบรรจุภัณฑ์จากไม้ เช่น แพลเล็ท ลังไม้ เป็นต้น,2558,โพธิ์ไทร,ดอนตาล,เลขที่ 109/5 หมู่ที่ 6,มุกดาหาร,16230,3601
71,บริษัท โรงสีมุกธัญญา จำกัด,,อบข้าวเปลือก,2559,มุกดาหาร,เมืองมุกดาหาร,222 หมู่ 2,มุกดาหาร,1630,201
72,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),0 4264 3818,ผลิตแป้งมันสำปะหลัง,2559,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 185 หมู่ 14 ถนน รพช.สามขา-นาสองห้อง,มุกดาหาร,10612,902
73,บริษัท พรีเมียร์โมดิไฟด์สตาร์ช จำกัด,0 4264 3818,ผลิตแป้งมันสำปะหลังดัดแปร,2559,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 185 หมู่ 14 ถนน รพช.สามขา-นาสองห้อง,มุกดาหาร,10612,902
74,บริษัท กิมชุนไอซ์ มุกดาหาร จำกัด,08 9845 2045,ผลิตน้ำแข็งก้อนเล็ก,2559,กุดแข้,เมืองมุกดาหาร,เลขที่ 300 หม่ 5,มุกดาหาร,10795,1400
75,บริษัท มุกดาหาร พลาสติก จำกัด,08 9909 4343,การทำภาชนะบรรจุภัณฑ์จากพลาสติก,2559,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 108 หมู่ 10,มุกดาหาร,22220,5304
76,บิ๊กศิริมาศ,08 4787 6235,ผลิตคอนกรีตผสมเสร็จ,2559,ดงหลวง,ดงหลวง,เลขที่ 188 หมู่ 12,มุกดาหาร,23953,5801
77,บริษัท คิงส์ คอนกรีต มุกดาหาร จำกัด,,ผลิตคอนกรีตผสมเสร็จ,2559,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 333 หมู่ 2 บ้านเหมืองบ่า,มุกดาหาร,23951,5801
78,,09 3424 1117,ซ่อมและต่อเรือดูดทราย,2559,นาสีนวน,เมืองมุกดาหาร,เลขที่ 27140 หมู่ 1,มุกดาหาร,33151,7501
79,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,0 4261 1488,ฆ่าและชำแหละโคขุน,2560,มุกดาหาร,เมืองมุกดาหาร,หมู่ 6,มุกดาหาร,10111,401
80,ห้างหุ้นส่วนจำกัด ชนัญญาการเกษตร,06 2446 6419,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 80 เกวียนต่อวัน,2560,หว้านใหญ่,หว้านใหญ่,เลขที่ 172 หมู่บ้านหว้านน้อย2,มุกดาหาร,10611,901
81,บริษัท กิมชุนไอซ์ นิคมคำสร้อย จำกัด,,ทำน้ำแข็งก้อนเล็กและผลิตน้ำดื่มในภาชนะปิดผนึก,2560,นิคมคำสร้อย,นิคมคำสร้อย,เลขที่ 100 หมู่ 6 ถนนชยางกูร ก,มุกดาหาร,10795,1400
82,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,08 0999 8999,ทำน้ำแข็ง,2560,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 99/9 หมู่ 1 บ้านคำอาฮวน,มุกดาหาร,10795,1400
83,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,08 9909 4343,อัดเศษกระดาษ และเศษโลหะ,2560,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 11/1 หมุ่ 16,มุกดาหาร,23991,4001
84,บริษัท นาคิเทค จำกัด,,ผลิตผลิตภัณฑ์จากยางธรรมชาติ และส่งออกผลิตภัณฑ์ยางพารา,2560,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 108 หมู่ 10,มุกดาหาร,22191,5203
85,บริษัท โมโตเมค จำกัด,08 8037 8883,ซ่อมรถจักรยานยนต์ และส่วนประกอบรถจักรยานยนต์,2560,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 393 หมู่ 3,มุกดาหาร,33121,9501
86,บริษัท โตโยต้ามุกดาหาร(1993) ผู้จำหน่ายโตโยต้า จำกัด,,ซ่อมรถยนต์และส่วนประกอบรถยนต์,2560,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 99/3 ถนนชยางกูร ข,มุกดาหาร,33121,9501
87,บริษัท หินสวย ทรายงาม จำกัด,08 7020 2482,ดูดทรายและกรวด,2561,โพธิ์ไทร,ดอนตาล,หมุ่ 1,มุกดาหาร,8103,304
88,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,08 1702 2465,ดูดทรายและกรวด,2561,บางทรายน้อย,หว้านใหญ่,หมู่ 9,มุกดาหาร,8103,304
89,ห้างหุ้นส่วนจำกัด เอ พี แมชชีนเนอรี่ คอนสตรั๊คชั่น,08 1702 2465,ดูดทรายและกรวด,2561,บางทรายน้อย,หว้านใหญ่,หมู่ 1,มุกดาหาร,8103,304
90,ห้างหุ้นส่วนจำกัด ท่าทรายโชคบริบูรณ์,09 5614 2525,ดูดทรายและกรวด,2561,บางทรายน้อย,หว้านใหญ่,หมู่ 9,มุกดาหาร,8103,304
91,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,,ทำยางเครป,2561,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 11/1 หมู่ 16,มุกดาหาร,22191,5203
92,ห้างหุ้นส่วนจำกัด สามอาร์ ซีเมนต์,08 4490 7526,ผลิตคอนกรีตผสมเสร็จ,2561,หนองเอี่ยน,คำชะอี,เลขที่ 182 หมู่ 3,มุกดาหาร,23953,5801
93,ท่าทรายนางสาววาสนา กำยาน,08 1954 3282,ดูดทรายและกรวด,2562,บางทรายน้อย,หว้านใหญ่,เลขที่ 6 บ้านทรายทอง,มุกดาหาร,8103,304
94,โรงน้ำแข็งพีทีเอ็ม,08 1391 3534,ทำน้ำแข็งก้อนเล็กและผลิตน้ำดื่มในภาชนะปิดผนึก,2562,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 113 หมู่ 7 ถนนชยางกูร,มุกดาหาร,10795,1400
95,ไม้งาม,09 2704 8993,ผลิตผลิตภัณฑ์จากไม้ เช่น แจกันไม้ แก้วไม้ พานไม้ เป็นต้น,2562,ดงเย็น,เมืองมุกดาหาร,เลขที่ 178 หมู่ 8,มุกดาหาร,16230,3601
96,บริษัท ดีดี พลาสติก จำกัด,,การทำภาชนะบรรจุภัณฑ์จากพลาสติก,2562,ชะโนด,หว้านใหญ่,เลขที่ 194 หมู่ 1,มุกดาหาร,22220,5304
97,สินเจริญ,08 1390 0585,ผลิตคอนกรีตผสมเสร็จ,2562,ดอนตาล,ดอนตาล,เลขที่ 158 หมู่ 12,มุกดาหาร,23953,5801
98,โรงงานแผ่นหลังคาเหล็ก BK,08 1954 2248,ทำส่วนประกอบงานก่อสร้างอาคาร เช่น หลังคาแผ่นเหล็ก กันสาด,2562,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 199 หมู่ 7,มุกดาหาร,25111,6302
99,ห้างหุ้นส่วนจำกัด เดอะมอส ไอเดีย แอนด์ ดราก้อน,06 4328 3344,กิจการนำเข้ากระเทียมและผลผลิตทางการเกษตรมาเป็นวัตถุดิบและแปรรูปเพื่อส่งออกไปจำหน่ายยังต่างประเทศ,2563,คำอาฮวน,เมืองมุกดาหาร,399  หมู่ 6,มุกดาหาร,1630,201
100,บริษัท อินฟินิท รับเบอร์ จำกัด,,ผลิตยางเครพรมควัน,2563,กกแดง,นิคมคำสร้อย,หมู่ 10,มุกดาหาร,22191,5203
101,ห้างหุ้นส่วนจำกัด มุกดาหารพัฒนาก่อสร้าง,09 8216 1492,ผลิตคอนกรีตผสมเสร็จ,2563,โพนทราย,เมืองมุกดาหาร,เลขที่ 199 หมู่ 14 ถนนบ้านโคกสูง-บ้านโพนทราย,มุกดาหาร,23951,5801
102,บริษัท เอ็นเนอร์โกร (ประเทศไทย) จำกัด,0 2184 2552,"สกัดและผลิตน้ำมัน CBD, น้ำมันเมล็ดกัญชง (Hemp Seed Oil) แปรรูปผลผลิตจาก กัญชง และสมุนไพร",2564,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 122 หมู่ 10,มุกดาหาร,10491,701
103,บริษัท ศรีรุ้งเฟอร์นิเจอร์ จำกัด,09 6935 5092,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร และผลิตภัณฑ์แปรรูปไม้เพื่อประดิษฐกรรม เช่น เครื่องเรือนที่ทำจากไม้ เฟอร์นิเจอร์ไม้ เป็นต้น,2564,กกแดง,นิคมคำสร้อย,เลขที่ 99 หมู่ 12,มุกดาหาร,16230,3601
104,บริษัท ว่านใหญ่เอ็นเตอร์ไพรส์ จำกัด,08 9909 4343,ทำเม็ดพลาสติก,2564,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 11/1 หมู่ 16,มุกดาหาร,22230,5305
105,เจริญอิฐแดง,0 4261 2785,ผลิตอิฐดินเผา,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 32 ถนนแสงอรุณ,มุกดาหาร,23921,5600
