ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
-,เลขที่ 66,#NAME?,310,65000000,28,13,น.106-1/2551-นนล.,28,บริษัท โลหะ สยาม จำกัด,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02739-6388,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,329.5,0,29,0,น.106-1/2553-นนล.,29,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,814334212,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
เทพารักษ์ กม.23,เลขที่ 159/1,,500,109363616,30,10,3-101-1/34สป,30,บริษัท เอ็ม.ไทย เอสเตท จำกัด,บำบัดน้ำเสียรวม,02-706-1515,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,16
เทพารักษ์ กม.20.5,เลขที่ 209,,1751.26,86160000,31,24,3-101-1/35สป,31,บริษัท จีเอฟพีที จำกัด (มหาชน),บำบัดน้ำเสียรวม,02-3159400,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,1
สุขมวิท,เลขที่ ,-,30000,5468790000,32,80,3-101-1/44สป,32,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,      -,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,11
ปานวิถี,เลขที่ 261/93,    -,38.58,7220000,33,5,3-101-1/45สป,33,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,บ่อบำบัดน้ำเสียรวม,02-708-3659-60,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,2
ทางรถไฟสายเก่า,เลขที่ 82/1, -,621.55,60000000,34,4,3-101-1/46สป,34,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",0-2386-1331,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,2
สุขุมวิท กม.34,เลขที่ ,ฟอกหนัง,0,13000000,35,15,3-101-2/36สป,35,สมาคมอุตสาหกรรมฟอกหนัง,ปรับคุณภาพน้ำเสียรวม,7039009-10,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,
พุทธรักษา,เลขที่ 199,-,50,6000000,36,3,3-101-2/45สป,36,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),02 388-0868,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,8
สุขุมวิท กม.30,เลขที่ ,ฟอกหนัง,1493,33000000,37,15,3-101-3/36สป,37,สมาคมอุตสาหกรรมฟอกหนัง,ปรับปรุงคุณภาพน้ำเสีย,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,11
ปู่เจ้าสมิงพราย,เลขที่ 89/2,วัดสวนส้ม,460.92,48000000,38,3,3-101-3/41สป,38,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),บำบัดน้ำเสียรวม,3842760-1,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,8
สุขาภิบาล 6,เลขที่ 33/2-5  อาคารเดิมอาคารที่ 2,-,60,1500000,39,18,3-105-1/46สป,39,บริษัท สวารินทร์ จำกัด,เกี่ยวกับการคัดแยกหรือผังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดในกฎกระทรวงฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน,0 2383 0997-8,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,4
บางนา-ตราด,เลขที่ 13/12-13, -,576.05,12250000,40,13,3-105-1/49สป,40,บริษัท ซี ยู อี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติกและผลิตเมล็ดพลาสติกเกรดบี,,10560,บางบ่อ,บางบ่อ,สมุทรปราการ,4
,เลขที่ 88/13,,192,5000000,41,16,3-105-10/57สป,41,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,12
-,เลขที่ 999,-,108.75,19000000,42,29,3-105-12/57สป,42,บริษัท สุวรรณภูมิ เอ็นไวรอนเม้นท์ แคร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,หนองปรือ,บางพลี,สมุทรปราการ,1
สุขสวัสดิ์,เลขที่ 13/5,สุขสวัสดิ์ 74,2,1000000,43,7,3-105-14/55สป,43,บริษัท มารีทรานส์ รีไซคลิง (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดเศษโลหะและพลาสติก,0 2539 4352,10130,บางครุ,พระประแดง,สมุทรปราการ,8
สุขสวัสดิ์ ,เลขที่ 28/11,วัดใหญ่บางปลากด,0,1500000,44,10,3-105-14/56สป,44,นางวัฒนา สมสอน,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,869851278,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,4
บางพลี-ตำหรุ,เลขที่ -,ลำบางผี,450,340000000,45,72,3-105-14/58สป,45,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,10250,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
พุทธรักษา,เลขที่ 629,ศรีวิลัย,85,15725000,46,12,3-105-145/47สป,46,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้ว เฉพาะที่มีลักษณะตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,6
พุทธรักษา,เลขที่ 799, -,82,15000000,47,10,3-105-147/48สป,47,นายทวีชัย ไชยรัตนตรัย,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วตามที่กำหนดในหมวด 1 ข้อ 1 ภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
ปู่เจ้าสมิงพราย,เลขที่ 258/2,อู่วัฒนะ,41,6400000,48,7,3-105-15/47สป,48,บริษัท ค้าขยะ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2535) บดย่อยพลาสติก และอัดเศษโลหะ,0 2394 1456,10130,สำโรงกลาง,พระประแดง,สมุทรปราการ,7
บางนา-ตราด,เลขที่ 50/21,-,60,26500000,49,12,3-105-15/55สป,49,บริษัท สยาม อิชิคาวะ เมทัลส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-2348738,10540,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,1
สุขุมวิท,เลขที่ 888/8,เสด็จแม่บังภัย,137,5000000,50,5,3-105-155/48สป,50,บริษัท ช.เจริญ เทรดดิ้ง แอนด์ ซัพพลาย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่  1 (พ.ศ.2541)  นำน้ำมันใช้แล้วและตัวทำละลายใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรม  เพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน  น้ำมันหยอดทิ้ง  น้ำมันทาไม้แบบ  ซ่อมและล้างถังที่ใช้แล้ว,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
สุขุมวิท,เลขที่ 322/1,เทศบาลบางปู 88,360,22000000,51,7,3-105-17/55สป,51,นายไชยพงศ์ ศรีเปรมอนันต์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
พุทธรักษา,เลขที่ -,-,51,1300000,52,7,3-105-19/53สป,52,ห้างหุ้นส่วนจำกัด ปากน้ำ โพลีเมอร์ แอนด์ ทูลิ่ง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,7
-,เลขที่ 95/9,-,60,43500000,53,20,3-105-19/55สป,53,บริษัท ประเสริฐพร เอ็นจิเนียริ่ง จำกัด,คัดแยกสิ่งปฏิกูลและวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,9
สุขุมวิท,เลขที่ 999,เสด็จแม่บังภัย,23,18200000,54,14,3-105-2/46สป,54,บริษัท ชู ดิวิลอปเม้นท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 ตามบัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541),0 2707 8455,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
-,เลขที่ 334,-,25,2100000,55,3,3-105-2/54สป,55,"บริษัท ไฟว์ สตีล แอนด์ รีไซเคิล จำกัด (FIVE STEEL AND RECYCLE CO., LTD.)",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,10
,เลขที่ 297,,280,8500000,56,6,3-105-2/57สป,56,บริษัท กรีนเซฟรีไซเคิ้ล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,2
ปู่เจ้าสมิงพราย,เลขที่ 567,สวนส้ม,510,29000000,57,40,3-105-22/47สป,57,บริษัท สยามสแคร็ปเทรดเดอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1(พ.ศ.2541),0 2757 6479,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,10
สุขุมวิท,เลขที่ 939,,260,16000000,58,8,3-105-23/58สป,58,บริษัท บางปู รีไซเคิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
กิ่งแก้ว,เลขที่ 30/2,กิ่งแก้ว 45,92.5,6500000,59,10,3-105-24/59สป,59,ห้างหุ้นส่วนจำกัด พี.เอ็ม.เอ.พี.อาร์.,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,24000,ราชาเทวะ,บางพลี,สมุทรปราการ,15
ปู่เจ้าสมิงพราย,เลขที่ 172/24,สวนส้ม,213.16,11300000,60,14,3-105-25/47สป,60,บริษัท เรืองโรจน์ พี.สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชี     สิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541) อัดเศษโลหะ ตัด พับ และม้วนโลหะ,0 2394 4277,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,10
บางพลี-ตำหรุ,เลขที่ 113,-,233,24500000,61,7,3-105-26/58สป,61,บริท ศิริวิลัย ๒๕๕๘ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อย และทำเม็ดพลาสติก,,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
 -,เลขที่ 81/17,บุญถนอม,120,1000000,62,4,3-105-27/49สป,62,นายมนัส เผือกวัฒนะ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย  เฉพาะเศษกระดาษ  เศษพลาสติก  เศษไม้  และเศษโลหะต่าง ๆ,0 2748 4229,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,5
สุขุมวิท,เลขที่ 488-488/1,-,253,6600000,63,8,3-105-27/58สป,63,ห้างหุ้นส่วนจำกัด สามพี่น้อง ค้าของเก่า,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,5
-,เลขที่ 600,-,120,8000000,64,4,3-105-28/56สป,64,บริษัท เจริญพรรุ่งเรือง สตีล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10
สุขุมวิท,เลขที่ 152,-,10,2350000,65,13,3-105-29/47สป,65,บริษัท สมศักดิ์ แอนด์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วและบดพลาสติก,01-8180272,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
มหาวงษ์,เลขที่ 171,สุรพงษ์ 2,133,4050000,66,12,3-105-3/46สป,66,มิตรเจริญของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (Industrial non-Hazardous wastes),0 2748 5556,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,4
ท้ายบ้าน-หาดอมรา,เลขที่ 678/1,เทศบาล 18/1,230,9750000,67,5,3-105-31/56สป,67,ห้างหุ้นส่วนจำกัด หัวหลง เอ็นเตอร์ไพร์ส,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่อันตราย เช่น เศษพลาสติก เศษกระดาษ ,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,4
สุขุมวิท,เลขที่ 994,,172,11000000,68,17,3-105-31/58สป,68,ห้างหุ้นส่วนจำกัด รุ่งดีการค้าและบริการ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
