ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ 117,,375,31600000,14,8,3-105-20/60,14,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10270,สายไหม,สายไหม ,กรุงเทพมหานคร,7
เอกชัย,เลขที่ 88/71-72,กำนันแม้น,585,5000000,15,14,3-105-22/59,15,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
เสรีไทย,เลขที่ 60/50,,89,1900000,16,7,3-105-3/60,16,บริษัท คูซุ่นฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,3
เฉลิมพระเกียรติ ,เลขที่ 30/12,เฉลิมพระเกียรติ 30,52.5,7000000,17,7,3-105-30/60,17,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,11
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,129,8500000,18,7,3-105-32/54,18,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
พระรามที่ 2,เลขที่ 549,,91,29000000,19,6,3-105-39/59,19,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-0489980,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 249,,954,115000000,20,32,3-105-4/60,20,บริษัท เจดีย์ไทย สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,228.5,12900000,21,10,3-105-48/59,21,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29300668,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,295,27000000,22,21,3-105-49/59,22,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,28972394,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,1247,120000000,23,33,3-105-51/59,23,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,892029400,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,766.34,13000000,24,14,3-105-52/59,24,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
แสมดำ,เลขที่ 4,-,485,2000000,25,2,3-105-53/54,25,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระราม 2,เลขที่ 597,,426.5,12300000,26,9,3-105-54/59,26,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,24155642,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ประชาสำราญ 2,เลขที่ 29/6,-,2,515000,27,9,3-105-6/48,27,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3
,เลขที่ 89,บางกระดี่ 19,435,37500000,28,30,3-105-60/60,28,นายการัณย์ อัครกุลพรรณ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-8447639,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 17/99,เพชรเกษม 81,2992.81,63000000,29,34,3-105-68/60,29,บริษัท เหล็กหมุนเวียน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-8121576,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,2
หทัยราษฎร์,เลขที่ 888,,795,175000000,30,30,3-105-69/59,30,บริษัท ไคฮวดจั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29565125,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
สุวินทวงษ์,เลขที่ 888,,1041,220000000,31,30,3-105-70/59,31,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29565125,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,
พุทธบูชา ,เลขที่ 9,พุทธบูชา 36 แยก 1,589,20000000,32,17,3-105-71/59,32,บริษัท เอส.เอช.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,24264961,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
,เลขที่ 8,ราษฎร์บูรณะ,300,9000000,33,14,3-105-72/59,33,บริษัท เจ พี เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,287220724,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
แสมดำ,เลขที่ 22,แสมดำ 5,808.18,93000000,34,30,3-105-73/59,34,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10120,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,255,13000000,35,10,3-105-81/48,35,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,02-5852521,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
กาญจนาภิเษก,เลขที่ 91,,55.5,8700000,36,7,3-105-84/59,36,วงษ์พาณิชย์บางบอน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-8999995,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
,เลขที่ 4/14,,457,49000000,37,7,3-105-85/59,37,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-9565899,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,6
อ่อนนุช,"เลขที่ 25,27",อ่อนนุช 80,119,7000000,38,7,3-105-88/59,38,บริษัท คูเซ่งฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 169/2,,61,5000000,39,10,3-105-89/59,39,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 61,บางกระดี่ 25,200,24500000,40,14,3-105-9/60,40,นายคมกริช นิธิธนปรีดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16, -,33,1800000,41,7,3-105-98/50,41,หนองแขมของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,335.5,0,42,0,3-106-1/46,42,นางกิมเอ็ง ยิ่งแจ่มจันทร์,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
ประชาอุทิศ,เลขที่ 71/5,วิเชียร,56.6,22000000,43,12,3-106-2/46,43,บริษัท นิ้วเจริญ จำกัด,ซ่อมแซมถังน้ำมัน,,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 74,6,769.5,80000000,44,10,3-106-34/60,44,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,0 2892 2679,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 17/99,เพชรเกษม 81,655.12,24000000,45,8,3-106-36/60,45,บริษัท เหล็กหมุนเวียน  จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,28121576,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,2
สุวินทวงศ์,เลขที่ 3/356-357,-,73.86,0,46,9,ข3-106-18/48,46,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,02-5435436-7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
ฉลองกรุง,เลขที่ 115,-,1265,10000000,47,15,น.105-1/2553-นนล.,47,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,02-326-1256,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
-,เลขที่ 66,#NAME?,310,65000000,48,13,น.106-1/2551-นนล.,48,บริษัท โลหะ สยาม จำกัด,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02739-6388,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,329.5,0,49,0,น.106-1/2553-นนล.,49,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,814334212,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 239,ฉลองกรุง31,1100,7000000000,50,286,น.106-1/2559-นนล.,50,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,904100066,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ 40,ฉลองกรุง31,0,0,51,0,น.106-2/2559-นนล.,51,บริษัท กรีนรีพับลิค จำกัด,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),26888200,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
เทพารักษ์ กม.23,เลขที่ 159/1,,500,109363616,52,10,3-101-1/34สป,52,บริษัท เอ็ม.ไทย เอสเตท จำกัด,บำบัดน้ำเสียรวม,02-706-1515,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,16
เทพารักษ์ กม.20.5,เลขที่ 209,,1751.26,86160000,53,24,3-101-1/35สป,53,บริษัท จีเอฟพีที จำกัด (มหาชน),บำบัดน้ำเสียรวม,02-3159400,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,1
สุขมวิท,เลขที่ ,-,30000,5468790000,54,80,3-101-1/44สป,54,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,      -,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,11
ปานวิถี,เลขที่ 261/93,    -,38.58,7220000,55,5,3-101-1/45สป,55,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,บ่อบำบัดน้ำเสียรวม,02-708-3659-60,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,2
ทางรถไฟสายเก่า,เลขที่ 82/1, -,621.55,60000000,56,4,3-101-1/46สป,56,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",0-2386-1331,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,2
สุขุมวิท กม.34,เลขที่ ,ฟอกหนัง,577.4,13000000,57,15,3-101-2/36สป,57,สมาคมอุตสาหกรรมฟอกหนัง,ปรับคุณภาพน้ำเสียรวม,7039009-10,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,
พุทธรักษา,เลขที่ 199,-,50,6000000,58,3,3-101-2/45สป,58,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),02 388-0868,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,8
สุขุมวิท กม.30,เลขที่ ,ฟอกหนัง,1493,33000000,59,15,3-101-3/36สป,59,สมาคมอุตสาหกรรมฟอกหนัง,ปรับปรุงคุณภาพน้ำเสีย,,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,11
ปู่เจ้าสมิงพราย,เลขที่ 89/2,วัดสวนส้ม,460.92,48000000,60,3,3-101-3/41สป,60,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),บำบัดน้ำเสียรวม,3842760-1,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,8
สุขาภิบาล 6,เลขที่ 33/2-5 อาคารเดิมอาคารที่ 2,-,60,1500000,61,18,3-105-1/46สป,61,บริษัท สวารินทร์ จำกัด,เกี่ยวกับการคัดแยกหรือผังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดในกฎกระทรวงฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน,0 2383 0997-8,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,4
บางนา-ตราด,เลขที่ 13/12-13, -,576.05,12250000,62,13,3-105-1/49สป,62,บริษัท ซี ยู อี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติกและผลิตเมล็ดพลาสติกเกรดบี,,10560,บางบ่อ,บางบ่อ,สมุทรปราการ,4
,เลขที่ 88/13,,192,5000000,63,16,3-105-10/57สป,63,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,12
สุขุมวิท,เลขที่ 567/1,เทศบาลบางปู 111,58,3500000,64,18,3-105-10/60สป,64,บริษัท เอสทีซี รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,10280,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,1
เทพารักษ์,เลขที่ 46/11-12,ที่ดินไทย,175.5,107000000,65,70,3-105-106/59สป,65,บริษัท เจ.เจ.สยามอินเตอร์ เทเลวิชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081 3741 300,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,23
สุขสวัสดิ์,เลขที่ 13/5,สุขสวัสดิ์ 74,2,1000000,66,7,3-105-14/55สป,66,บริษัท มารีทรานส์ รีไซคลิง (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดเศษโลหะและพลาสติก,0 2539 4352,10130,บางครุ,พระประแดง,สมุทรปราการ,8
สุขสวัสดิ์ ,เลขที่ 28/11,วัดใหญ่บางปลากด,0,1500000,67,10,3-105-14/56สป,67,นางวัฒนา สมสอน,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,869851278,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,4
บางพลี-ตำหรุ,เลขที่ -,ลำบางผี,450,340000000,68,72,3-105-14/58สป,68,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,10250,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
เคหะ-ลาดหวาย,เลขที่ 122/42,-,280,9224000,69,14,3-105-14/60สป,69,บริษัท สร้างเสริญ แมชชีนเนอรี่ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,6
พุทธรักษา,เลขที่ 629,ศรีวิลัย,85,15725000,70,12,3-105-145/47สป,70,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้ว เฉพาะที่มีลักษณะตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,6
ปู่เจ้าสมิงพราย,เลขที่ 258/2,อู่วัฒนะ,41,6400000,71,7,3-105-15/47สป,71,บริษัท ค้าขยะ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2535) บดย่อยพลาสติก และอัดเศษโลหะ,0 2394 1456,10130,สำโรงกลาง,พระประแดง,สมุทรปราการ,7
บางนา-ตราด,เลขที่ 50/21,-,74,26500000,72,12,3-105-15/55สป,72,บริษัท สยาม อิชิคาวะ เมทัลส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-2348738,10540,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,1
-,เลขที่ 28/59,รัตนโชค 12/3,28,8500000,73,6,3-105-15/60สป,73,เพิ่มพูนทรัพย์รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,0 2174 6504,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
