คนงานหญิง,_id,แรงม้าตรวจพบ,แรงม้า,ประกอบกิจการ,จังหวัด,คนงานรวม,ผู้ประกอบการ,ชื่อโรงงาน,ชื่อชุดข้อมูล,เงินทุนรวม,เจ้าของข้อมูล,ตำบล,อำเภอ,โทรศัพท์,คนงานชาย,ไปรษณีย์
4,155,,12215.08,ผลิตกระแสไฟฟ้า กำลังการผลิตสูงสุด 7.5 เมกกะวัตต์,สุพรรณบุรี,32,บริษัท นำชัยพาวเวอร์ซัพพลาย จำกัด,บริษัท นำชัยพาวเวอร์ซัพพลาย จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,408950000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนเจดีย์,ดอนเจดีย์,089-7427718,28,72170
0,156,6561.97,21830.18,ผลิตกระแสไฟฟ้า เพื่อจำหน่าย กำลังการผลิตสูงสุด 1.2 เมกกะวัตต์,สุพรรณบุรี,20,บริษัท อัครวัฒน์ พลังงานพืชหมุนเวียน จำกัด,บริษัท อัครวัฒน์ พลังงานพืชหมุนเวียน จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,100000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระกระโจม,ดอนเจดีย์,081-4421779,20,72170
0,157,1379.14,4016.26,ผลิตกระแสไฟฟ้าเพื่อจำหน่าย กำลังผลิตสูงสุด 990 กิโลวัตต์,สุพรรณบุรี,10,บริษัท โรงไฟฟ้าขุนพัดเพ็ง จำกัด,บริษัท โรงไฟฟ้าขุนพัดเพ็ง จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,45000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระยายโสม,อู่ทอง,"035-559-567,081-858-6123",10,72220
7,158,53892.41,53892.41,ผลิตกระแสไฟฟ้าเพื่อจำหน่ายกำลังผลิตสูงสุด 9 เมกกะวัตต์ และผลิตไอน้ำเพื่อจำหน่าย,สุพรรณบุรี,32,บริษัท คิเนติค เพาเวอร์ แอนด์ เอ็นเนอร์ยี่ จำกัด,บริษัท คิเนติค เพาเวอร์ แอนด์ เอ็นเนอร์ยี่ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,472500000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ่อสุพรรณ,สองพี่น้อง,,25,72110
4,159,36085,16955,ผลิตกระแสไฟฟ้า ขนาด 9 เมกะวัตต์,สุพรรณบุรี,32,บริษัท อู่ทอง ไบโอ พาวเวอร์ จำกัด,บริษัท อู่ทอง ไบโอ พาวเวอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,500000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,อู่ทอง,035-421-750,28,72160
32,160,88566.77,88566.77,ผลิตพลังงานไฟฟ้าจากเชื้อเพลิงชีวมวล ขนาดกำลังการผลิต 25.9 เมกะวัตต์,สุพรรณบุรี,85,บริษัท อู่ทองกรีนพาวเวอร์ จำกัด,บริษัท อู่ทองกรีนพาวเวอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1665852000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,อู่ทอง,02-2120221,53,10120
6,161,321661.48,321661.48,ผลิตกระแสไฟฟ้าขนาดกำลังการผลิต 41 เมกกะวัตต์ และผลิตไอน้ำเพื่อจำหน่าย ผลิตพลังงานไฟฟ้า เพิ่มขึ้น 11.40 เมกะวัตต์ รวมเป็น 52.40,สุพรรณบุรี,68,บริษัท ด่านช้าง ไบโอ-เอ็นเนอร์ยี จำกัด,บริษัท มิตรผล ไบโอ-เพาเวอร์ (ด่านช้าง) จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1919000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,0 3541 8103-7,62,72180
19,162,16376.62,16376.62,ผลิตพลังงานไฟฟ้าจากเชื้อเพลิงก๊าซชีวภาพ กำลังการผลิต 5.844 เมกะวัตต์,สุพรรณบุรี,23,บริษัท โรงไฟฟ้าสระยายโสม จำกัด,บริษัท โรงไฟฟ้าสระยายโสม จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,200000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระยายโสม,อู่ทอง,035-481478,4,72220
0,163,13971.27,13971.27,ผลิตพลังงานไฟฟ้าจากเชื้อเพลิงก๊าซชีวภาพ กำลังผลิต 4.8 เมกะวัตต์,สุพรรณบุรี,23,บริษัท จงสมจิตต์ กรีน เพาเวอร์ จำกัด,บริษัท จงสมจิตต์ กรีน เพาเวอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,200000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,อู่ทอง,,23,72160
0,164,2715.96,2715.96,โรงงานผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพเพื่อจำหน่าย กำลังการผลิต 1 เมกะวัตต์,สุพรรณบุรี,8,บริษัท สิทธินนท์ กรีนเพาเวอร์ จำกัด,บริษัท สิทธินนท์ กรีนเพาเวอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,28800000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,,8,72180
4,165,38507,38507,ผลิตพลังงานไฟฟ้าจากเชื้อเพลิงชีวมวล ขนาดกำลังการผลิต 8 เมกะวัตต์ และผลิตไอน้ำ,สุพรรณบุรี,32,บริษัท ทิพย์สุพรรณบุรี ไบโอเอนเนอยี่ จำกัด,บริษัท ทิพย์สุพรรณบุรี ไบโอเอนเนอยี่ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,342000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ย่านยาว,สามชุก,,28,10120
10,166,,135439.55,ผลิตกระแสไฟฟ้า กำลังการผลิต 26 เมกกะวัตต์,สุพรรณบุรี,50,บริษัท อู่ทอง พลาสม่า เอ็นเนอร์ยี จำกัด,บริษัท อู่ทอง พลาสม่า เอ็นเนอร์ยี จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1700000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,อู่ทอง,081-832-6826,40,72160
1,167,1460.48,1460.48,ผลิต ส่ง หรือจำหน่ายพลังงานไฟฟ้า ขนาด 1 เมกะวัตต์,สุพรรณบุรี,10,บริษัท สุพรรณเจนเนอร์เรชั่น จำกัด,บริษัท สุพรรณเจนเนอร์เรชั่น จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,19800000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สนามคลี,เมืองสุพรรณบุรี,02-4246246,9,
0,168,5361.92,5361.92,ผลิตพลังงานไฟฟ้า กำลังการผลิต 4 เมกะวัตต์ จากเชื้อเพลิงก๊าซชีวภาพ,สุพรรณบุรี,8,บริษัท อรัญเพาเวอร์ จำกัด,บริษัท อรัญเพาเวอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,105000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังลึก,สามชุก,,8,72130
3,169,12114.08,12114.08,ผลิตและจำหน่ายพลังงานไฟฟ้า ขนาด 6 เมกกะวัตต์,สุพรรณบุรี,21,บริษัท อู่ทอง ไบโอแมส จำกัด,บริษัท อู่ทอง ไบโอแมส จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,325000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,อู่ทอง,,18,72160
0,170,2815,1340.48,ผลิตพลังงานไฟฟ้าเพื่อจำหน่าย กำลังการผลิต 1 เมกะวัตต์,สุพรรณบุรี,5,บริษัท ที เอ็ม เพาเวอร์ แมเนจเม้นท์ จำกัด,บริษัท ที เอ็ม เพาเวอร์ แมเนจเม้นท์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,10000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองหญ้าไซ,หนองหญ้าไซ,,5,72240
0,171,2015.75,2015.75,ผลิตคาร์บอนไดออกไซด์เหลวจากก๊าซที่ได้จากกระบวนการหมักผลิตเอทานอล,สุพรรณบุรี,3,บริษัท ซิกจิล (ประเทศไทย) จำกัด ,บริษัท ซิกจิล (ประเทศไทย) จำกัด ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,145000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,27116725,3,72180
0,172,515,515,ผลิตก๊าซชีวภาพ,สุพรรณบุรี,20,บริษัท กรีนเอิร์ธ เอ็นเนอร์จี จำกัด,บริษัท กรีนเอิร์ธ เอ็นเนอร์จี จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,170687790,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,02-8779510,20,72180
0,173,621.9,621.9,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 150 เกวียน/วัน,สุพรรณบุรี,28,ห้างหุ้นส่วนสามัญนิติบุคคลเจริญธัญญา (สุพรรณบุรี),ห้างหุ้นส่วนสามัญนิติบุคคลเจริญธัญญา (สุพรรณบุรี),สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,22000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,521589,28,72000
2,174,297.5,297.5,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 250 เกวียน/วัน,สุพรรณบุรี,7,บริษัท โปรเกรสซีเรียล จำกัด,บริษัท โปรเกรสซีเรียล จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,13000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สามชุก,สามชุก,035-571259,5,72130
0,175,297,580,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,สุพรรณบุรี,8,ห้างหุ้นส่วนจำกัด โรงสีทรัพย์ปกรณ์,ห้างหุ้นส่วนจำกัด โรงสีไฟทรัพย์ปกรณ์,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,3700000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองหญ้าไซ,หนองหญ้าไซ,,8,72240
0,176,1466.72,1466.72,สีข้าวและสีข้าวนึ่ง กำลังสีสูงสุดของร้านสีข้าว 600 เกวียนต่อวัน,สุพรรณบุรี,21,บริษัท โรงสีชัยวานิชวัฒนา จำกัด,บริษัท โรงสีชัยวานิชวัฒนา จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,25200000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนกำยาน,เมืองสุพรรณบุรี,522839,21,72000
0,177,421,421,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 150 เกวียน/วัน),สุพรรณบุรี,12,บริษัท โรงสีสุจิตต์ จำกัด,บริษัท โรงสีสุจิตต์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,4000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,เขาพระ,เดิมบางนางบวช,,12,72120
0,178,768.5,4347.9,สีข้าว นึ่งข้าว,สุพรรณบุรี,9,บริษัท พูนสินไทยไรซ์มิลล์ จำกัด,บริษัท พูนสินไทยไรซ์มิลล์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,85000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,กระจัน,อู่ทอง,551251-2,9,72160
5,179,665,2892,สีข้าว(กำลังสีสูงสุดของร้านสีข้าว 500 เกวียน/วัน) และนึ่งข้าว,สุพรรณบุรี,30,บริษัท ดาวธัญญากิจ จำกัด,บริษัท ดาวธัญญากิจ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,114800000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ปากน้ำ,เดิมบางนางบวช,0-3557-8270,25,72120
0,180,1773.2,1773.2,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 300 ตัน/วัน และอบข้าวเปลือก,สุพรรณบุรี,10,ห้างหุ้นส่วนจำกัด โรงสีมิตรมงคล,โรงสีมิตรมงคล,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,95000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโพธิ์,หนองหญ้าไซ,01-9446242,10,72240
5,181,585,585,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน,สุพรรณบุรี,12,ห้างหุ้นส่วนจำกัด โรงสีไฟทรัพย์ปกรณ์,ห้างหุ้นส่วนจำกัด โรงสีไฟทรัพย์ปกรณ์,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1200000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองสาหร่าย,ดอนเจดีย์,522064,7,72170
0,182,85,75,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,สุพรรณบุรี,3,นายสมบัติ เส็งหลวง,ประเสริฐสุวรรณ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,450000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บางงาม,ศรีประจันต์,,3,72140
2,183,399,399,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน),สุพรรณบุรี,10,บริษัท ทรัพย์รุ่งเรืองอนันต์ จำกัด,บริษัท ทรัพย์รุ่งเรืองอนันต์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1150000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังลึก,สามชุก,085-5391665,8,72130
3,184,575,575,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 160 เกวียน/วัน,สุพรรณบุรี,17,นายทวีศักดิ์ หิรัญเมฆาวนิช,โรงสีอุดมธัญญา,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,80000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนมะสังข์,เมืองสุพรรณบุรี,,14,72000
6,185,3467.46,3346.46,สีข้าว-ขัดข้าว,สุพรรณบุรี,30,บริษัท เฟอร์รารี่ อินเตอร์ไรซ์ จำกัด,บริษัท เฟอร์รารี่ อินเตอร์ไรซ์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,146700000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระแก้ว,เมืองสุพรรณบุรี,035-597123,24,72230
2,186,402,402,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 50 เกวียน/วัน,สุพรรณบุรี,5,ห้างหุ้นส่วนจำกัด โรงสีไฟย่งเส้ง,ห้างหุ้นส่วนจำกัด โรงสีไฟย่งเส็ง,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,11900000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังยาง,ศรีประจันต์,035-535924,3,72140
1,187,1359,1359,สีข้าว และสีข้าวนึ่ง (กำลังสีสูงสุดของร้านสีข้าว 360 เกวียน/ว,สุพรรณบุรี,14,ห้างหุ้นส่วนจำกัด โรงสีไฟบ้านกร่าง,ห้างหุ้นส่วนจำกัด โรงสีไฟบ้านกร่าง,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,9000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านกร่าง,ศรีประจันต์,035-581121,13,72140
0,188,580.75,580.75,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 80 เกวียน/วัน,สุพรรณบุรี,13,ห้างหุ้นส่วนจำกัด โรงสีไฟมิตรนำชัย,ห้างหุ้นส่วนจำกัด โรงสีไฟมิตรนำชัย,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,49000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนเจดีย์,ดอนเจดีย์,035-591162-3,13,72170
3,189,1010.47,1010.47,อบข้าวเปลือก,สุพรรณบุรี,10,ห้างหุ้นส่วนจำกัด เพชรภักดีพาณิชย์,ห้างหุ้นส่วนจำกัด เพชรภักดีพาณิชย์,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,122000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บางปลาม้า,บางปลาม้า,035-587110,7,72150
5,190,100,100,สีข้าว กำลังสีสูงสีดของร้านสีข้าว 120 เกวียน/วัน,สุพรรณบุรี,14,ห้างหุ้นส่วนจำกัด โรงสีไฟย่งเส็ง,ห้างหุ้นส่วนจำกัด โรงสีไฟย่งเส็ง,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,7600000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังยาง,ศรีประจันต์,,9,72140
0,191,2839.5,2839.5,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน อบข้าวเปลือก,สุพรรณบุรี,20,ห้างหุ้นส่วนจำกัด โรงสีไฟล.เอกเจริญ,,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,0,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังหว้า,ศรีประจันต์,035-561167,20,72140
0,192,270,270,สีข้าว แยกแกลบแยกรำ กำลังสีสูงสุด 50 เกวียน/วัน,สุพรรณบุรี,5,สหกรณ์การเกษตรสามชุก จำกัด,โรงสีสหกรณ์การเกษตรสามชุก จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,956710,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สามชุก,สามชุก,571229,5,
20,193,2904,2904,สีข้าว และนึ่งข้าว กำลังสีสูงสุดของร้านสีข้าว 600 เกวียน/วัน,สุพรรณบุรี,32,บริษัท มิตรนำชัยไรซ์ จำกัด,บริษัท มิตรนำชัยไรซ์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,87754500,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนเจดีย์,ดอนเจดีย์,01-735-2266,12,72170
0,194,435,435,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน,สุพรรณบุรี,16,บริษัท เส็งพาณิชย์ อินเตอร์เทรด จำกัด,บริษัท เส็งพาณิชย์ อินเตอร์เทรด จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,4500000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สามชุก,สามชุก,,16,72130
2,195,410,410,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 396 เกวียน/วัน,สุพรรณบุรี,8,นายสมพงษ์ นรากรมังคลา,ห้างหุ้นส่วนจำกัด ธัญญะไทยรุ่งเรือง,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,9000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองผักนาก,สามชุก,571628-9,6,72130
0,196,734.28,734.28,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 80 เกวียน/วัน,สุพรรณบุรี,23,นายคุณวุฒิ วรธนโชติ,โรงสีประเสริฐสุวรรณ (บ้านกล้วย),สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,8100000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านกร่าง,ศรีประจันต์,,23,72140
4,197,244.68,244.68,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 110 เกวียน/วัน,สุพรรณบุรี,14,สหกรณ์การเกษตรเมืองสุพรรณบุรี,สหกรณ์การเกษตรเมืองสุพรรณบุรี,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,57714681,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนกำยาน,เมืองสุพรรณบุรี,035-523865,10,72000
3,198,1371.08,1371.08,สีข้าว กำลังสีสูงสุดของร้านสีข้าว ,สุพรรณบุรี,22,ห้างหุ้นส่วนจำกัด ศิริลาภธัญญาพานิช,ห้างหุ้นส่วนจำกัด ศิริลาภธัญญาพานิช,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,144408350,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,มดแดง,ศรีประจันต์,035-558187,19,72140
1,199,1449.5,1449.5,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน,สุพรรณบุรี,14,ห้างหุ้นส่วนจำกัด โรงสีไฟไทยทวีผล(สระแก้ว),ห้างหุ้นส่วนจำกัด โรงสีไฟไทยทวีผล(สระแก้ว),สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,14000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระแก้ว,เมืองสุพรรณบุรี,035-597202-3,13,72230
2,200,183,183,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,สุพรรณบุรี,6,นางสุนิสา สินไพบูลย์ผล,สินไพบูลย์,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,889800,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระกระโจม,ดอนเจดีย์,,4,72250
0,201,593.25,593.25,สีข้าว,สุพรรณบุรี,6,บริษัท พานิชเจริญธัญญา จำกัด,โรงสีพานิชเจริญธัญญา,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,0,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,กระเสียว,สามชุก,,6,72130
0,202,888.4,888.4,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 150 เกวียน/วัน,สุพรรณบุรี,56,ห้างหุ้นส่วนจำกัด อังวัฒนาพานิช,ห้างหุ้นส่วนจำกัด อังวัฒนพานิช,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,9100000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านแหลม,บางปลาม้า,587222,56,72150
7,203,1160.5,1160.5,ปรับปรุงคุณภาพข้าวสารบรรจุถุงและกระสอบ,สุพรรณบุรี,25,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล เพอเฟ็คท จำกัด,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล เพอเฟ็คท จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,159000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง,035-551039,18,72160
3,204,242,242,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),สุพรรณบุรี,9,นายวินัย ศักดิ์สุพรรณ,โรงสีข้าวสุพรรณธัญญา,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,225000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สนามคลี,เมืองสุพรรณบุรี,035-431645,6,72230
3,205,7691,7691,สีข้าว และนึ่งข้าว,สุพรรณบุรี,21,บริษัท นำชัย พาวเวอร์ ซัพพลาย จำกัด,บริษัท นำชัย พาวเวอร์ ซัพพลาย จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,29000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ดอนเจดีย์,ดอนเจดีย์,035-481132-3,18,72170
0,206,283,283,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 50 เกวียน/วัน),สุพรรณบุรี,12,ห้างหุ้นส่วนจำกัด โรงสีพูนสินไทย,โรงสีพูนสินไทย,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,39000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง,551251,12,72160
8,207,799.5,799.5,สีข้าว (กำลังสีสูงสุด 500 เกวียน/วัน),สุพรรณบุรี,20,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล เพอเฟ็คท จำกัด,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล เพอเฟ็คท จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,212200000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง,035-551-790,12,72160
3,208,75,105.88,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 320 เกวียน/วัน,สุพรรณบุรี,17,บริษัท บ้านสระข้าวดี จำกัด,บริษัท บ้านสระข้าวดี จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1900000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านสระ,สามชุก,034-481132,14,72130
20,209,1050.5,1050.5,ป่นหรือบด เมล็ดพืช หรือหัวพืช และทำความสะอาดเมล็ดพืช,สุพรรณบุรี,50,นายอภิพล โสภาศรีพันธ์,ม้าขาวยั่งยืน,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,60000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง,087-1243068,30,72160
0,210,108.87,108.87,ซ่อม และพ่นสีรถยนต์,สุพรรณบุรี,19,บริษัท โตโยต้าสุพรรณบุรี ผู้จำหน่ายโตโยต้า จำกัด,บริษัท โตโยต้าสุพรรณบุรี ผู้จำหน่ายโตโยต้า จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,3500000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ท่าระหัด,เมืองสุพรรณบุรี,,19,72000
2,211,60,60,บด ป่น และย่อยส่วนต่าง ๆ ของพืช,สุพรรณบุรี,3,ห้างหุ้นส่วนจำกัด โรงโม่กระถินพรสมเด็จพืชผล,ห้างหุ้นส่วนจำกัด โรงโม่กระถินพรสมเด็จพืชผล,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1420000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ่อสุพรรณ,สองพี่น้อง,07-1604971,1,72110
