เจ้าของข้อมูล,เนื้อที่เสียหาย,_id,ปี,ตำบล,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,150,29,2560,นรสิงห์,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,70,30,2560,เอกราช,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,31,2560,โผงเผง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,32,2560,อ่างแก้ว,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,33,2560,อินทประมูล,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,34,2560,บางพลับ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,181,35,2560,หนองแม่ไก่,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,36,2560,รำมะสัก,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,37,2560,บางระกำ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,38,2560,โพธิ์รังนก,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,39,2560,องครักษ์,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,85,40,2560,โคกพุทรา,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,41,2560,ยางช้าย,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,20,42,2560,บ่อแร่,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,70,43,2560,ทางพระ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,44,2560,สามง่าม,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,45,2560,บางเจ้าฉ่า,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,5,46,2560,คำหยาด,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,47,2560,แสวงหา,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,48,2560,ศรีพราน,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,49,2560,บ้านพราน,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,50,2560,วังน้ำเย็น,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,51,2560,สีบัวทอง,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,52,2560,ห้วยไผ่,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,53,2560,จำลอง,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,54,2560,ไผ่จำศิล,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,55,2560,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,56,2560,ไผ่ดำพัฒนา,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,16,57,2560,สาวร้องไห้,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,58,2560,ท่าช้าง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,59,2560,ยี่ล้น,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,60,2560,บางจัก,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,61,2560,ห้วยคันแหลน,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,62,2560,คลองขนาก,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,63,2560,ไผ่วง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,50,64,2560,สี่ร้อย,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,65,2560,ม่วงเตี้ย,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,66,2560,หัวตะพาน,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,67,2560,หลักแก้ว,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,68,2560,ตลาดใหม่,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,69,2560,สามโก้,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,70,2560,ราษฎรพัฒนา,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,71,2560,อบทม,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,72,2560,โพธิ์ม่วงพันธ์,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,73,2560,มงคลธรรมนิมิต,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,74,2561,ตลาดหลวง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,75,2561,บางแก้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,76,2561,ศาลาแดง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,77,2561,ป่างิ้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,78,2561,บ้านแห,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,79,2561,ตลาดกรวด,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,80,2561,มหาดไทย,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,81,2561,บ้านอิฐ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,82,2561,หัวไผ่,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,83,2561,จำปาหล่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,84,2561,โพสะ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,85,2561,บ้านรี,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,86,2561,คลองวัว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,87,2561,ย่านซื่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,88,2561,จรเข้ร้อง,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,89,2561,ไชยภูมิ,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,90,2561,ชัยฤทธิ์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,91,2561,เทวราช,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,92,2561,ราชสถิตย์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,93,2561,ไชโย,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,94,2561,หลักฟ้า,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,95,2561,ชะไว,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,96,2561,ตรีณรงค์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,97,2561,บางปลากด,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,98,2561,ป่าโมก,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,99,2561,สายทอง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,100,2561,โรงช้าง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,101,2561,บางเสด็จ,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,102,2561,นรสิงห์,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,103,2561,เอกราช,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,104,2561,โผงเผง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,105,2561,อ่างแก้ว,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,106,2561,อินทประมูล,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,107,2561,บางพลับ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,108,2561,หนองแม่ไก่,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,109,2561,รำมะสัก,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,110,2561,บางระกำ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,111,2561,โพธิ์รังนก,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,112,2561,องครักษ์,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,113,2561,โคกพุทรา,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,114,2561,ยางช้าย,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,115,2561,บ่อแร่,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,116,2561,ทางพระ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,117,2561,สามง่าม,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,118,2561,บางเจ้าฉ่า,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,119,2561,คำหยาด,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,120,2561,แสวงหา,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,121,2561,ศรีพราน,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,122,2561,บ้านพราน,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,123,2561,วังน้ำเย็น,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,124,2561,สีบัวทอง,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,125,2561,ห้วยไผ่,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,126,2561,จำลอง,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,127,2561,ไผ่จำศิล,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,128,2561,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,129,2561,ไผ่ดำพัฒนา,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,130,2561,สาวร้องไห้,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,131,2561,ท่าช้าง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,132,2561,ยี่ล้น,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,133,2561,บางจัก,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,134,2561,ห้วยคันแหลน,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,135,2561,คลองขนาก,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,136,2561,ไผ่วง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,137,2561,สี่ร้อย,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,138,2561,ม่วงเตี้ย,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,139,2561,หัวตะพาน,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,140,2561,หลักแก้ว,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,141,2561,ตลาดใหม่,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,142,2561,สามโก้,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,143,2561,ราษฎรพัฒนา,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,144,2561,อบทม,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,145,2561,โพธิ์ม่วงพันธ์,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,146,2561,มงคลธรรมนิมิต,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,147,2562,ตลาดหลวง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,148,2562,ศาลาแดง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,149,2562,ป่างิ้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,150,2562,บ้านแห,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,151,2562,ตลาดกรวด,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,152,2562,มหาดไทย,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,153,2562,บ้านอิฐ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,154,2562,หัวไผ่,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,155,2562,จำปาหล่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,156,2562,โพสะ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,157,2562,บ้านรี,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,158,2562,คลองวัว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,159,2562,ย่านซื่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,160,2562,จรเข้ร้อง,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,161,2562,ไชยภูมิ,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,162,2562,ชัยฤทธิ์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,163,2562,เทวราช,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,164,2562,ราชสถิตย์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,165,2562,ไชโย,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,166,2562,หลักฟ้า,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,167,2562,ชะไว,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,168,2562,ตรีณรงค์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,169,2562,บางปลากด,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,170,2562,ป่าโมก,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,171,2562,สายทอง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,172,2562,โรงช้าง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,173,2562,บางเสด็จ,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,174,2562,นรสิงห์,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,175,2562,เอกราช,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,176,2562,โผงเผง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,177,2562,อ่างแก้ว,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,178,2562,อินทประมูล,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,179,2562,บางพลับ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,180,2562,หนองแม่ไก่,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,181,2562,รำมะสัก,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,182,2562,บางระกำ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,183,2562,โพธิ์รังนก,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,184,2562,องครักษ์,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,185,2562,โคกพุทรา,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,186,2562,ยางช้าย,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,187,2562,บ่อแร่,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,188,2562,ทางพระ,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,189,2562,สามง่าม,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,190,2562,บางเจ้าฉ่า,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,191,2562,คำหยาด,โพธิ์ทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,192,2562,แสวงหา,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,193,2562,ศรีพราน,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,194,2562,บ้านพราน,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,195,2562,วังน้ำเย็น,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,196,2562,สีบัวทอง,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,197,2562,ห้วยไผ่,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,198,2562,จำลอง,แสวงหา,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,199,2562,ไผ่จำศิล,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,200,2562,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,201,2562,ไผ่ดำพัฒนา,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,202,2562,สาวร้องไห้,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,203,2562,ท่าช้าง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,204,2562,ยี่ล้น,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,205,2562,บางจัก,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,206,2562,ห้วยคันแหลน,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,207,2562,คลองขนาก,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,208,2562,ไผ่วง,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,209,2562,สี่ร้อย,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,210,2562,ม่วงเตี้ย,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,211,2562,หัวตะพาน,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,212,2562,หลักแก้ว,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,213,2562,ตลาดใหม่,วิเศษชัยชาญ,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,214,2562,สามโก้,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,215,2562,ราษฎรพัฒนา,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,216,2562,อบทม,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,217,2562,โพธิ์ม่วงพันธ์,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,218,2562,มงคลธรรมนิมิต,สามโก้,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,219,2563,ตลาดหลวง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,220,2563,บางแก้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,221,2563,ศาลาแดง,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,222,2563,ป่างิ้ว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,223,2563,บ้านแห,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,224,2563,ตลาดกรวด,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,225,2563,มหาดไทย,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,226,2563,บ้านอิฐ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,227,2563,หัวไผ่,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,228,2563,จำปาหล่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,229,2563,โพสะ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,230,2563,บ้านรี,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,231,2563,คลองวัว,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,232,2563,ย่านซื่อ,เมืองอ่างทอง,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,233,2563,จรเข้ร้อง,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,234,2563,ไชยภูมิ,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,235,2563,ชัยฤทธิ์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,236,2563,เทวราช,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,237,2563,ราชสถิตย์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,238,2563,ไชโย,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,239,2563,หลักฟ้า,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,240,2563,ชะไว,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,241,2563,ตรีณรงค์,ไชโย,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,242,2563,บางปลากด,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,243,2563,ป่าโมก,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,244,2563,สายทอง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,245,2563,โรงช้าง,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,246,2563,บางเสด็จ,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,247,2563,นรสิงห์,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,248,2563,เอกราช,ป่าโมก,ไร่
สำนักงานเกษตรจังหวัดอ่างทอง,0,249,2563,โผงเผง,ป่าโมก,ไร่
