ถนน,เลขที่,ซอย,FID,เงินทุน,แรงม้า,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,1,เสรีไทย 62,72010000000000,0,0,11,น.22(2)-1/2517-ญนช.,11,บริษัท ยูเนี่ยนไพโอเนียร์ จำกัด (มหาชน),,ผลิตสายยางยืดและแถบยางยืด ผลิตรองเท้า ชิ้นส่วนอุปกรณ์ของรองเท้าที่ทำมาจากพลาสติก,0,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
เสรีไทย,1-พ.ย.,,72010000000000,243000000,9813.34,12,น.53-1/2524-ญนช.,12,บริษัท ยูเนี่ยนพลาสติก จำกัด (มหาชน),02-517-0109-14,ผลิตชิ้นส่วนพลาสติกพร้อมทั้งตกแต่ง โดยวิธีชุบหรือพ่นสี และอัดหลอมโลหะต่าง ๆ,392,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,14
ฉลองกรุง,329 (นิคมฯลาดกระบัง),,72030700000000,208000000,2,13,น.91(1)-1/2535-ญนล.,13,บริษัท สยามศรีทอง จำกัด,"326-0846,0340",แบ่งบรรจุทองแท่ง เงินเม็ด ผ้าผืน ขัณฑสกรฯ,26,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,13-ส.ค.,สุขาภิบาล 2 ซอย 31,72160000000000,0,0,14,น.84(1)-3/2537-ญอธ.,14,บริษัท ไทย เซเบรุ พิโค จำกัด,,ผลิตเครื่องประดับกายและอัญมณี,0,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,
เสรีไทย,34/1,นิคมอุตสาหกรรมบางชัน,72010100000000,116000000,0,15,น.48(6)-1/2535-ญนช.,15,บริษัท โตโยอิ๊งค์ (ประเทศไทย) จำกัด,518-3002-3,ผลิตหมึกพิมพ์ ผลิตภัณฑ์เคลือบกระป๋อง ถังบรรจุภัณฑ์,45,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,14
สุขาภิบาล11,48/6,,72160000000000,19268000,69.93,16,น.84(1)-6/2543-ญอธ.,16,บริษัท ซัมรา อินเตอร์เนชั่นแนล ไดมอนด์ จิวเวลรี่ แมนูแฟคเจอริ่ง จำกัด,0 2727 0041-3,เครื่องประดับอัญมณี,117,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,4
บางขุนเทียน-ชายทะเล,17/758-762,วงแหวนชัชวาล,91100000000000,0,327.05,17,ข3-53(1)-78/49,17,นายชัยพร สิวะศานต์,,รับจ้างผลิตผลิตภัณฑ์จากพลาสติก เช่น ตะกร้า ชิ้นส่นมอเตอร์ไซด์ ฯลฯ,10,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
บางขุนเทียน-ชายทะเล,16/308-309,วงแหวนชัชวาล,91100200000000,3500000,67.8,18,ข3-64(6)-1/50,18,บริษัท พี.เค.เอส.รีเวท จำกัด,02-897-4867,ผลิตหมุดย้ำที่ทำจากโลหะ,8,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
,94/5,เสรีไทย85,72010000000000,32046000,2775.19,19,น.10(2)-1/2534-ญนช.,19,บริษัท ฮานามิ ฟู้ดส์ จำกัด,02-517-9408-12,ขนมขบเคี้ยว(SnackFoods),128,10230,คันนายาว,คันนายาว,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,17/450,วงแหวนชัชวาล,91100100000000,0,51.43,20,ข3-64(10)-10/49,20,นางภิรมย์รัตน์ ทองมณี,,ชุบสังกะสี,5,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
บางขุนเทียน-ชายทะเล,17/614,วงแหวนชัชวาล,91100000000000,1100000,41,21,ข3-64(2)-57/49,21,วิเชียรโลหะกิจ,02-8974529,กลึงปั๊มโลหะทั่วไป,5,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
สุขาภิบาล 2,47/39,,72160000000000,0,1663.71,22,น.84(1)-2/2550-ญอธ.,22,บริษัท โกลด์ ฟิลด์ รีไฟเนอรี จำกัด,,ผลิตเครื่องประดับและสกัดโลหะมีค่า,0,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,4
บางขุนเทียน-ชัยทะเล,16/449,-,91100000000000,0,40,23,ข3-64(2)-1/40,23,นายศักดิ์ฃัย ณ บัณฑิต,02-897-4435,ปั๊มขึ้นรูปโลหะ กลึง ไส เชื่อมโลหะทุกชนิด เช่น ชิ้นส่วนไส้กรองน้ำมัน,7,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
บางขุนเทียน-ชายทะเล,16/358-359,เทียนทะเล 26,91100000000000,10200000,74,24,ข3-64(2)-25/50,24,บริษัท ประมาณและบุตร (1999) จำกัด,02-8973067,ปั๊มขึ้นรูปโลหะ กลึง ไส เจาะ และเชื่อมโลหะทุกชนิด,13,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
สุวินทวงศ์,3/318,-,91020000000000,0,156,25,ข3-37-272/48,25,บริษัท ไฟน์ วู๊ด ชัตเตอร์ จำกัด,02-9887637-8,ผลิตและขายเฟอร์นิเจอร์ เครื่องเรือน,37,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
ลาดพร้าว,100/3,-,10100000000000,3100000,62,26,3-63(2)-14/33,26,บริษัท อาร์ค่อนไทพ์ กรุ๊ป จำกัด,,ทำโครงเคร่าเพดานเหล็ก,29,10310,คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,
,149,ฉลองกรุง 31,72030000000000,113908000,5157.24,27,น.10(1)-1/2543-ญนล.,27,บริษัท ซีพีแรม จำกัด,,ผลิตเบเกอรี่,744,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,36,เทียนทะเล 26,91100000000000,14000000,418.9,28,ข3-53(1)-13/55,28,บริษัท สาธิต อินเตอร์พลาส จำกัด,08-8973774-5,โรงงานฉีดพลาสติก,16,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
จรัญสนิทวงศ์,65/2,,10100000000000,420000,28.82,29,3-95(1)-38/24,29,ทรงทรัพย์,,ซ่อมและพ่นสีรถยนต์,10,10700,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,
สีหบุรานุกิจ,99/311,,10100000000000,3100000,163.75,30,3-64(13)-48/40,30,บริษัท ซูพีเรีย เมททัล แอนด์ เอ็นจิเนียริ่ง เวิร์ค จำกัด,,รับจ้างกลึงเจาะคว้านกัดไสเจียนและเชื่อมโลหะเช่น ชิ้นส่วนเครื่องจักรฯลฯ,15,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
เพชรเกษม,72/1,เพชรเกษม 48,10100000000000,800000,40,31,3-34(1)-17/28,31,ร้านธำรงชัยไม้ไทย,,ไสและซอยไม้แปรรูป,2,10160,บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,5
บางขุนเทียน,2,พระยามานธาตุฯ ยก1-2,10100700000000,200000,52.24,32,3-71-2/19,32,ห้างหุ้นส่วนจำกัด แสงทิพย์อีเลคตริค,,ทำบาล์ลาสท์ และพัดลมระบายอากาศ,12,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
เพชรเกษม,46/1,เพชรเกษม 106,10100000000000,2500000,28.1,33,3-95(1)-127/52,33,นางสาววรรณทนา วิชางาม,02-8082406,ซ่อมและพ่นสีรถยนต์,5,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,6
เจริญรัถ,567-569,,10101400000000,500000,6,34,3-84(5)-1/22,34,จ.บรรจงชาติ,02-4384220,"ทำเหรียญตรา และของชำร่วย ได้ปีละ 85,000 ชิ้น",6,10600,คลองสาน,คลองสาน,กรุงเทพมหานคร,
จรัญสนิทวงศ์,200/2,จรัญสนิทวงศ์ 42,10100200000000,15400000,383.74,35,3-41(1)-10/25,35,บริษัท ไทยเปเปอร์คาร์ตอนส์ จำกัด,02-4230051-2,พิมพ์สิ่งพิมพ์ต่าง ๆ และทำกล่องกระดาษ,53,10700,บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,
สุขาภิบาล 1 (เฉลิมพระเกียรติ ร.9),106/9,-,10100000000000,19800000,94.4,36,3-95(1)-82/46,36,บริษัท บี.ที.เอส. เซอร์วิส จำกัด,,ซ่อมและพ่นสีรถยนต์,20,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,8
จรัญสนิทวงศ์,737/136,จรัญสนิทวงศ์ 65,10100100000000,796000,28.2,37,3-95(1)-37/25,37,อู่พัฒนายนต์ 87,4242145,ซ่อม และพ่นสีรถยนต์,7,10700,บางพลัด,บางพลัด,กรุงเทพมหานคร,
ลาดพร้าว,555,ลาดพร้าว 107,100003000000,7000000,284,38,ศ3-37-34/34,38,บริษัท ดี ซิกซ์ตี้ ทรี จำกัด,02-7310292-4,ทำเครื่องเรือนจากไม้,16,10240,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,
,47,-,10100000000000,2800000,1283.21,39,3-53(1)-47/23,39,พรสยามพลาสติก,4686729,ทำของใช้ต่าง ๆ จากพลาสติก เช่น จาน ชาม ถ้วย,31,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
พระรามที่ 2,7,บางกระดี่ 23,10100000000000,4500000,317.18,40,3-64(13)-88/48,40,บริษัท เอส.ดับบลิว.ออโต้พาร์ท จำกัด,,รับจ้างกลึง ไส เชื่อม และปั๊มโลหะ,50,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
สิรินธร,382,,10100200000000,900000,57.75,41,3-95(1)-81/53,41,สแตนดาร์ด คาร์,02-4248810,ซ่อมและพ่นสีรถยนต์,14,10700,บางพลัด,บางพลัด,กรุงเทพมหานคร,
ประชาอุทิศ,322/2,ประชาอุทิศ 33,10100700000000,600000,35.75,42,3-64(2)-6/32,42,มนต์ชัยศิลป์,4272219,ปั๊มโลหะ เช่น เหรียญตรา เครื่องหมาย แหวน,4,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,4
เจ้าคำรพ,207/3,,10100600000000,850000,12.25,43,3-64(6)-5/53,43,ล่อเลี่ยงฮวด,02-224-5086,ทำผลิตภัณฑ์โลหะต่างๆ เช่น สลัก แป้นเกลียว และวงแหวน,3,10100,ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,
อนามัยงามเจริญ 25 แยก2,46,,10100000000000,13500000,765.63,44,3-22(1)-2/47,44,บริษัท ส.ปภัสธร จำกัด,,ทำเส้นใย ตีเกลียวเส้นด้าย ทำสายเข็มขัด และสายกระเป๋า,20,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
,"4,4/1",สะแกงาม 14 แยก 3,10100100000000,7900000,306.68,45,3-64(13)-80/47,45,เซียะจั๊ว,,กลึง เจาะ ไส เชื่อมโลหะทั่วไป,25,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,121/111-117,,10100000000000,16150000,48.12,46,3-28(1)-68/35,46,บริษัท เจ เอส อาร์ 1991 จำกัด,,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 90 เครื่อง),44,10150,บางบอน,บางบอน,กรุงเทพมหานคร,6
จันทน์,1578/5,,10100000000000,0,26.51,47,3-95(1)-193/52,47,บริษัท ปิยะการาจ จำกัด,,เคาะพ่นสีรถยนต์,11,10120,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,
เพชรเกษม,1/10/2002,,10100100000000,900000,25.5,48,3-34(2)-7/23,48,ไทยวัฒนา,,ทำบานประตูหน้าต่าง และวงกบไม้,8,10160,บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,
ประชาอุทิศ,9/9/2001,ประชาอุทิศ 19,10100500000000,1670000,282.05,49,3-71-11/32,49,บริษัท บุญเอ็นจิเนียริ่งพาร์ทส์ จำกัด,,"ทำน๊อต สกรู และอุปกรณ์เครื่องปรับอากาศ ได้ปีละ 82,000 ชิ้น",45,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,
พระราม9,370/6,พระราม922,10100000000000,2300000,34.6,50,3-95(1)-38/42,50,บริษัท เชาวสุยนตการ เซอร์วิส จำกัด,3198136,ซ่อมรถยนต์และเคาะพ่นสี,19,10310,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,
เพชรเกษม,223,เพชรเกษม 41,10100100000000,8565000,18.77,51,3-46(2)-6/20,51,ห้างหุ้นส่วนจำกัด ห้างขายยาลี้บ้วนซัว (ตราตกเบ็ด),4133457,ผลิตยารักษาโรค,21,10160,บางแค,บางแค,กรุงเทพมหานคร,
จอมทอง,71/30,เลิศพัฒนาใต้,10100500000000,10000000,99.5,52,3-64(5)-3/17,52,ห้างหุ้นส่วนจำกัด โรงงานอุตสาหกรรมโซ่เหล็กไทย,4685295,ทำโซ่เหล็ก,16,10150,จอมทอง,จอมทอง,กรุงเทพมหานคร,18
รามอินทรา,80,,10100000000000,4400000,19.53,53,3-95(1)-162/42,53,บริษัท สยามอินเตอร์ ซูซูกิ จำกัด,-,ศูนย์บริการตรวจซ่อมยานยนค์ทุกชนิด,8,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
กำนันแม้น,161/347-349,,10100000000000,4300000,19.56,54,3-28(1)-132/35,54,บริษัท ไทยซันทรี จำกัด,,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 52 เครื่อง),70,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
เอกชัย,113/126-129,เอกชัย 94,10100500000000,6200000,482.36,55,3-53(4)-6/43,55,บริษัท สยามแพค แอนด์ แมชชิน เนอรี่ จำกัด,4159000,ทำผลิตภัณฑ์พลาสติค เช่น ภาชนะบรรจุของใช้,8,10150,บางบอน,บางบอน,กรุงเทพมหานคร,4
สุขสวัสดิ์,323,สุขสวัสดิ์ 26,10100000000000,340000,67.2,56,3-53(4)-17/20,56,พัฒนพลาสติก,,ทำถุงพลาสติก,4,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,2
บางแค,744,,10100000000000,450000,44,57,3-34(2)-12/29,57,ก.การช่าง,,ทำวงกบประตู-หน้าต่างไม้,6,10160,บางแค,บางแค,กรุงเทพมหานคร,
ลาดพร้าว,557/8,ลาดพร้าว 64,10100300000000,40000,34.65,58,3-37-1/17,58,บริษัท เค.เอส.พี.เทคโนโลยี จำกัด,,ทำเครื่องเรือนจากไม้,3,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,12
กรุงเทพ-นนทบุรี,16/14,เพิ่มทรัพย์,10100100000000,0,51.9,59,3-28(1)-3/53,59,ห้างหุ้นส่วนจำกัด สยามการ์เม้นท์,02-5850193,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 62 เครื่อง),45,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,6
วิสุทธิกษัตริย์,163-169,-,10100000000000,720000,30,60,3-37-19/23,60,ร้านซำหลี,2823989,ทำส่วนประกอบเครื่องเรือนจากไม้ เช่น ขาโต๊ะ พนักพิงเท้าแขนเก้าอี้,3,10200,บางขุนพรหม,พระนคร,กรุงเทพมหานคร,
สุขุมวิท,30,ล้วนเจืออนุสรณ์ 2,10100000000000,11500000,19.26,61,3-95(1)-29/43,61,บริษัท เจ.เอส.อินเตอร์ กรุ๊ป จำกัด,02-3613027,ซ่อมและเคาะพ่นสีรถยนต์,19,10260,บางนา,บางนา,กรุงเทพมหานคร,
,447,,10100000000000,15300000,126.54,62,3-23(1)-3/38,62,บริษัท โวโนร์ไฟว์สตาร์ จำกัด,,ทำที่นอนและเตียงสปริง,13,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,
พระราม 2,4/842-843,พระราม 271,10100000000000,2400000,55,63,3-53(4)-48/52,63,พรชัยพลาสติก,02-897-0089,ผลิตถุงพลาสติก พิมพ์,9,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,5
ประชาราษฎร์สาย 1,885,25,10100000000000,7500000,902.82,64,3-34(1)-6/26,64,บริษัท ไทยสมบูรณ์อินดัสเตรียล จำกัด,5851604,ทำไม้โมลดิ้ง คิ้วไม้ ไม้ประสาน เครื่องเรือนและอบไม้,80,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
ลาดพร้าว,19/36-37,ลาดพร้าว 87,10100000000000,700000,215.58,65,3-10(3)-1/29,65,ฮ้อกี่ง้วน,,ทำเส้นก๋วยเตี๋ยว,8,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,9
เพชรบุรีตัดใหม่,2489,-,10100000000000,235000,13,66,3-95(1)-199/47,66,พนม ซื่อสัตย์,,ซ่อมและพ่นสีรถยนต์,6,10310,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,
พระรามที่ 2,14-ส.ค.,,10102800000000,1200000,159.85,67,3-77(1)-2/38,67,บริษัท ปีคอัพเวย์ จำกัด,4769425,ประกอบ ติดตั้ง ซ่อมแซมอุปกรณ์รถยนต์ และติดตั้งหลังคาไฟเบอร์รถยนต์บรรทุกเล็ก,8,10150,บางมด,จอมทอง,กรุงเทพมหานคร,1
ประชาอุทิศ,465/3-6,,10100000000000,7000000,14.5,68,3-28(1)-100/32,68,บริษัท เบสท์โมเดล จำกัด,,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 50 เครื่อง),46,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,9
,47,,10100100000000,6500000,376.37,69,3-53(1)-14/32,69,ห้างหุ้นส่วนจำกัด กำจรอุตสาหกรรม,4150257,ทำพัดลมและของใช้จากพลาสติก เช่น ตะกร้า,14,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
มาเจริญ,1342,,10100100000000,4450000,70.25,70,3-64(2)-19/53,70,โรงงาน ศรีทอง โลหะกิจ,,รับจ้างปั๊มโลหะ เช่น น๊อต สกรู สลักเกลียวและแหวนต่างๆ,10,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
จันทน์,3761/145,อยู่ดีตัดใหม่,10100300000000,0,12.04,71,3-64(9)-12/52,71,ชัยเจริญโลหะกิจ,,ทำของใช้เล็กๆจากโลหะเช่น เช่น ลิ้นแฟ้มใส่เอกสาร อะไหล่แฟ้มชนิดต่างๆ,9,10120,บางโคล่,บางคอแหลม,กรุงเทพมหานคร,
สาธุประดิษฐ์,22/4/2005,ทวีสิทธิ์,10100000000000,19000000,12,72,3-13(2)-12/48,72,บริษัท เอ็น. พี. ฟู้ดส์ เทค (ประเทศไทย) จำกัด,,ทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร,8,10120,บางโคล่,บางคอแหลม,กรุงเทพมหานคร,-
สวนสยาม,74/2,-,10100000000000,200000,13.5,73,3-95(1)-34/48,73,เอ เอ็น เอส เซอร์วิส,0 2519 7337-8,ซ่อมรถยนต์,5,10230,คันนายาว,คันนายาว,กรุงเทพมหานคร,4
พระราม 9,370/2,,10100000000000,20000000,39.97,74,3-95(1)-126/53,74,บริษัท คาร์แมกซ์ พระราม 9 จำกัด,,ซ่อมรถยนต์โดยไม่มีการเคาะพ่นสี,18,10310,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,
,11,,10100100000000,500000,524.34,75,3-77(2)-18/23,75,บริษัท นครการยางอุตสาหกรรม จำกัด,02-428-0026,"ทำท่อยางชิ้นส่วนรถยนต์,ชิ้นส่วนอุปกรณ์รถยนต์,จักรยานยนต์ประเภทเหล็กอัดยางทุกชนิด",21,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,
อาจณรงค์,81-83,,10101000000000,570000,50,76,3-67(8)-2/20,76,วิวัฒนาไพศาล,,ทำชิ้นส่วนเครื่องตัดโลหะ,4,10110,คลองเตย,คลองเตย,กรุงเทพมหานคร,
บางขุนเทียน,76/1,,10100000000000,11900000,504.7,77,3-37-70/26,77,แกรนด์ดิส,4152463,ทำเครื่องเรือนจากไม้,115,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,2
เพชรเกษม,34/16,นาคสถาพร 2,10100000000000,2300000,20,78,3-95(1)-35/48,78,บริษัท ตามออโต้ เซอร์วิส จำกัด,0 2807 4447,ซ่อมและพ่นสีรถยนต์,9,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,12
รัตนโกสินทร์,27-ก.พ.,จตุโชติ,10100000000000,6000000,19.87,79,3-34(1)-6/43,79,เอส พี ซี เฟอร์นิเจอร์,,เลื่อย ่ไส ซอย และแปรรูปไม้,7,10220,ออเงิน,สายไหม ,กรุงเทพมหานคร,7
สุขสวัสดิ์,59/3,สุขสวัสดิ์ 2,10100100000000,1150000,33.25,80,3-36(1)-13/20,80,ณ ทวีทรัพย์,,ทำลังไม้และส้นรองเท้าจากไม้,7,10150,จอมทอง,จอมทอง,กรุงเทพมหานคร,4
ชัยพฤกษ์,74,,10100300000000,22900000,341.28,81,3-41(1)-3/26,81,บริษัท อำนวยเวบพริ้นติ้ง จำกัด,,"พิมพ์สิ่งพิมพ์ต่าง ๆ กำลังการผลิต 14,400,000 เล่ม/ปี",37,10170,ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,3
สุขุมวิท,28-ก.พ.,สุขุมวิท 77 (อ่อนนุช),10100100000000,60000,24,82,3-95(1)-20/35,82,อู่ พี.เอส.เซอร์วิส,3288621,ซ่อมและพ่นสีรถยนต์,2,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,1
เชื่อมสัมพันธ์,22,,10100000000000,4100000,189,83,3-95(1)-298/49,83,บริษัท ทีเอสที มหานคร จำกัด,,อู่ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,15,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,
บางบอน3,69/14-15,บ้านนายเหรียญ,10101600000000,25000000,217.71,84,3-72-2/42,84,เพิ่มสินสุขอีเล็กโทรนิคส์,,ทำชิ้นส่วนอุปกรณ์ไฟฟ้าวิทยุและโทรทัศน์,29,10150,บางบอน,บางบอน,กรุงเทพมหานคร,10
บางกระดี่,213,,10100300000000,6500000,60.11,85,3-74(3)-2/57,85,นางสาวพัชร์ณัฐ ท้วมรุ่งโรจน์,,ผลิตและประกอบโคมไฟฟ้า,12,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,10,เอกชัย 96,10100300000000,350000,159.25,86,3-53(5)-11/32,86,ห้างหุ้นส่วนสามัญ อุตสาหกรรมพลาสติกภัทรดิษฐ์,,ทำเม็ดพลาสติกจากพลาสติกเก่า,4,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
เอกชัย,"810,810/1",,10100000000000,500000,78.9,87,3-28(1)-32/32,87,บริษัท เวิลด์คัพอินดัสตรี จำกัด,4342269,ตัดเย็บเสื้อผ้าสำเร็จรูปและทำหมวก (จำนวนจักรเย็บผ้า 68 เครื่อง),55,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
สุขุมวิท,220-220/1-4,สุขุมวิท 22,10100000000000,15000000,399.77,88,3-41(1)-8/20,88,ห้างหุ้นส่วนจำกัด ก.นำกิจการพิมพ์,2582090,พิมพ์ถุงกระดาษและพิมพ์ถุงพลาสติก,47,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,
ร่มเกล้า,120,,10101600000000,35300000,16.99,89,3-87(4)-3/32,89,บริษัท ฟลอราโซติก อินเตอร์เทรด จำกัด,3268025,ผลิตดอกไม้เทียมด้วยผ้า กระดาษและพลาสติก,62,10520,คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,5
