ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดกระบัง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เลียบคลองมอญ,,10100000000000,5,10,กรุงเทพมหานคร,,169/2,61,2559,ทับยาว,3-105-89/59,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,13,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,3,10520
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,หนองแขม,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เพชรเกษม 81, -,10100000000000,1.8,51,กรุงเทพมหานคร,7,13/16,33,2550,หนองแขม,3-105-98/50,นายคำรณ มูลเงิน,14,หนองแขมของเก่า,3,10160
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,บางกระดี่ 1 แยก 9,10100000000000,12.198,4,กรุงเทพมหานคร,,"16/1,16/2",98,2561,แสมดำ,3-105-54/61,นางสาวสุภารัตน์ วุฒิเลิศเจริญวงศ์,15,นวกลกิจ,3,10150
เชื้อเพลิงแข็งจากขยะชุมชน,ประเวศ,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,อ่อนนุช 86 แยก 1,10100000000000,1370,47,กรุงเทพมหานคร,,55/1,2693.21,2561,ประเวศ,3-106-54/61,บริษัท กรุงเทพธนาคม จำกัด,16,บริษัท กรุงเทพธนาคม จำกัด,3,10250
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ทุ่งครุ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,พุทธบูชา ,พุทธบูชา 36 แยก 1,10100000000000,20,17,กรุงเทพมหานคร,,9,589,2559,บางมด,3-105-71/59,บริษัท เอส.เอช.เปเปอร์ จำกัด,17,บริษัท เอส.เอช.เปเปอร์ จำกัด,3,10140
บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,สะพานสูง,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,กรุงเทพกรีฑา 37,10100000000000,47,9,กรุงเทพมหานคร,,15/115,146.35,2561,สะพานสูง,3-106-72/61,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,18,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,3,10240
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,แสมดำ,แสมดำ 5,10100000000000,93,30,กรุงเทพมหานคร,,22,808.18,2559,แสมดำ,3-105-73/59,บริษัท ส.พัฒนาเปเปอร์ จำกัด,19,บริษัท ส.พัฒนาเปเปอร์ จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สะพานสูง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,กรุงเทพกรีฑา 47,10100000000000,17.556,8,กรุงเทพมหานคร,,2,191,2560,ทับช้าง,3-105-91/60,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,20,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,3,10250
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,มีนบุรี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,สุวินทวงษ์,,10100000000000,220,30,กรุงเทพมหานคร,,888,1041,2559,แสนแสบ,3-105-70/59,บริษัท เมทัล คอปเปอร์ จำกัด ,21,บริษัท เมทัล คอปเปอร์ จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบอน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,กาญจนาภิเษก,,10100000000000,8.7,7,กรุงเทพมหานคร,,91,55.5,2559,บางบอน,3-105-84/59,นางกนกนภัส ชาญวโรจน์,22,วงษ์พาณิชย์บางบอน,3,10150
ถอด แยก บดย่อยชิ้นส่วนคอมพิวเตอร์ ชิ้นส่วนอิเล็กทรอนิกส์ และเครื่องใช้ไฟฟ้าใช้แล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่,บางขุนเทียน,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,บางขุนเทียน-ชายทะเล,เทียนทะเล 24,10100000000000,87.5,37,กรุงเทพมหานคร,,98/2,197,2567,ท่าข้าม,3-106-59/67,บริษัท ไทย อิโคเทรด จำกัด,23,บริษัท ไทย อิโคเทรด จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,16.5,10,กรุงเทพมหานคร,7,79,138.5,2568,โคกแฝด,3-105-68/68,บริษัท ชาลามี่ จำกัด,24,บริษัท ชาลามี่ จำกัด,3,10530
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,บางกระดี่ 43,10100000000000,22.5,15,กรุงเทพมหานคร,,11,283,2561,แสมดำ,3-105-86/61,นายปรีชา ธนงค์,25,นายปรีชา ธนงค์,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบอน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,เอกชัย 114 (อมรพฤกษ์),10100000000000,5.5,13,กรุงเทพมหานคร,,11,191,2559,บางบอน,3-105-107/59,บริษัท เปเปอร์ แพคกิ้ง จำกัด,26,บริษัท เปเปอร์ แพคกิ้ง จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองจอก,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,สุวินทวงศ์ ,สุวินทวงศ์ 51,10100000000000,30,15,กรุงเทพมหานคร,,โฉนดที่ดิน 107591,480,2565,กระทุ่มราย,3-105-51/65,บริษัท พี.อาร์.ที. (เอเซีย) กำจัด,27,บริษัท พี.อาร์.ที. (เอเซีย) กำจัด,3,10530
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,อนามัยงามเจริญ 33 แยก 2,10100000000000,16,21,กรุงเทพมหานคร,,46082,750,2563,ท่าข้าม,3-105-29/63,บริษัท รุ่งโรจน์ส่องแสง จำกัด,28,บริษัท รุ่งโรจน์ส่องแสง จำกัด,3,10150
ถอดแยกหม้อแปลงไฟฟ้าบทย่อยสายไฟ-สายเคเบิ้ล บดย่อยแผงวงจรอิเล็กทรอนิกส์ทุกชนิด เก็บรวบรวมแบตเตอรี่ที่ใช้แล้วโดยไม่มีการแปรสภาพ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ประเวศ,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,อ่อนนุช 65 แยก 15-4,10100000000000,240,50,กรุงเทพมหานคร,,3,331,2566,ประเวศ,3-106-10/66,บริษัท เอเชีย เมทัล คอปเปอร์ เทรดดิ้ง จำกัด,29,บริษัท เอเชีย เมทัล คอปเปอร์ เทรดดิ้ง จำกัด,3,10250
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,บางบอน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,พรหมราษฎร์,,10100000000000,3.6,30,กรุงเทพมหานคร,,12,435,2562,บางบอนใต้,3-105-19/62,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,30,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,3,10150
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก ไม้ เหล็ก ฯลฯ,บางบอน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,พระยามนธาตุแยก 9,10100000000000,43,40,กรุงเทพมหานคร,,91,493,2567,คลองบางบอน,3-105-20/67,บริษัท เอ็น.พี.เอ็น.เมทัลเวิร์ค จำกัด,31,บริษัท เอ็น.พี.เอ็น.เมทัลเวิร์ค จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จอมทอง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,20,50,กรุงเทพมหานคร,11,114/3,264,2562,บางขุนเทียน,3-105-8/62,นายสิทธิชัย เอื้อโภศิณธ์,32,-,3,10150
ผลิตเชื้อเพลิงแข็ง (SRF) จากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และปอกเศษสายไฟที่ไม่เป็นของเสียอันตราย,สะพานสูง,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,กรุงเทพกรีฑา,,10100000000000,35,20,กรุงเทพมหานคร,,โฉนดที่ดินเลขที่ 20162,410,2569,ทับช้าง,3-106-19/69,บริษัท กรุงเทพกรีฑา รีไซเคิล จำกัด,33,บริษัท กรุงเทพกรีฑา รีไซเคิล จำกัด,3,10250
คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,ประเวศ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,อ่อนนุช 65 แยก15-4,10100000000000,220,50,กรุงเทพมหานคร,,5,278,2565,ประเวศ,3-105-36/65,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,34,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,3,10250
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,บางบอน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,เอกชัย 114 (อมรพฤกษ์),10100000000000,11,10,กรุงเทพมหานคร,,7,204,2562,บางบอนเหนือ,3-105-28/62,นายจักพรรณ์ มงคลไทยศิริ,35,-,3,10150
คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,พระราม2,,10100000000000,78,8,กรุงเทพมหานคร,,547,1053,2559,แสมดำ,3-105-14/59,บริษัท ดี เมทัล พลัส จำกัด,36,บริษัท ดี เมทัล พลัส จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองแขม,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,มาเจริญ,,10100000000000,6,25,กรุงเทพมหานคร,,286,167.25,2559,หนองแขม,3-105-11/59,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,37,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,3,10160
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,วังทองหลาง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,รามคำแหง 39(เทพลีลา1),10100000000000,16.5,14,กรุงเทพมหานคร,,518/29,815,2559,วังทองหลาง,3-105-20/59,บริษัท จ.ทวีโชค จำกัด,38,บริษัท จ.ทวีโชค จำกัด,3,10310
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จอมทอง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เอกชัย,กำนันแม้น,10100000000000,5,14,กรุงเทพมหานคร,3,88/71-72,585,2559,บางขุนเทียน,3-105-22/59,บริษัท กวงเซ่งหลี จำกัด,39,บริษัท กวงเซ่งหลี จำกัด,3,10150
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,แสมดำ,-,10100000000000,2,2,กรุงเทพมหานคร,,4,485,2554,แสมดำ,3-105-53/54,บริษัท รีไซเคิลเดย์ จำกัด,40,บริษัท รีไซเคิลเดย์ จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,พระรามที่ 2,,10100000000000,29,6,กรุงเทพมหานคร,,549,91,2559,แสมดำ,3-105-39/59, บริษัท ดี เมทัล พลัส จำกัด,41, บริษัท ดี เมทัล พลัส จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,บางขุนเทียน,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,พระราม 2,,10100000000000,12.3,9,กรุงเทพมหานคร,,597,426.5,2559,แสมดำ,3-105-54/59,บริษัท ช.รุ่งทรัพย์ จำกัด,42,บริษัท ช.รุ่งทรัพย์ จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ราษฎร์บูรณะ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,ราษฎร์บูรณะ,10100000000000,9,14,กรุงเทพมหานคร,,8,300,2559,บางปะกอก,3-105-72/59,บริษัท เจ พี เปเปอร์ จำกัด,43,บริษัท เจ พี เปเปอร์ จำกัด,3,10140
คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,บางซื่อ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ประชาชื่น,โชติวัฒน์ ซอย 14,10100000000000,13,10,กรุงเทพมหานคร,,3,255,2548,บางซื่อ,3-105-81/48,นายชุณห์ เลิศชัยประเสริฐ,44,ซั่งเฮงจั่น,3,10800
โรงงานผลิตน้ำมันเชื้้อเพลิงอาวกาศยานยั่งยืนจากน้ำมันพืชใช้แล้ว,พระโขนง,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,สุขุมวิท 64,10100000000000,10012,20,กรุงเทพมหานคร,,210,44536.95,2567,พระโขนงใต้,3-106-40/67,บริษัท บีเอสจีเอฟ จำกัด,45,โรงงานผลิตน้ำมันเชื้้อเพลิงชีวภาพบีเอสจีเอฟ,3,10260
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,วัดสุขใจ,,10100000000000,35,20,กรุงเทพมหานคร,,"โฉนดที่ดินเลขที่ 103186,103187,103188,103193,103194",1188,2565,ทรายกองดิน,3-105-79/65,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,46,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สายไหม ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,จตุโชติ,,10100000000000,40,20,กรุงเทพมหานคร,,61,1217,2567,ออเงิน,3-105-70/67,บริษัท พร้อมทรัพย์ รีไซเคิล จำกัด,47,บริษัท พร้อมทรัพย์ รีไซเคิล จำกัด,3,10220
ถอดแยก บดย่อย อุปกรณ์เครื่องใช้ไฟฟ้า และอีเลคทรอนิคส์ที่ใช้แล้ว,บางบอน,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,บางบอน 4,,10100000000000,46,9,กรุงเทพมหานคร,,251,482,2563,บางบอน,3-106-61/63,บริษัท เจดีย์ไทย สตีล จำกัด,48,บริษัท เจดีย์ไทย สตีล จำกัด,3,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,จอมทอง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เอกชัย,กำนันแม้น,10100000000000,185,29,กรุงเทพมหานคร,3,88/164,745,2561,บางขุนเทียน,3-105-57/61,บริษัท ตั้งซุ่ยเฮง จำกัด,49,บริษัท ตั้งซุ่ยเฮง จำกัด,3,10150
นำนํ้ามันหล่อลื่น และตัวทำละลายที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นเชื้อเพลิงทดแทนโดยกระบวนการกรอง ทำเชื้อเพลิงผสม (Solid Blending) จากวัสดุที่ไม่ใช้แล้วที่มีค่าความร้อนผลิตเชื้อเพลิงแข็งอัดก้อนจากวัสดุที่ไม่ใช้แล้ว ถอดแยกและบทย่อยเครื่องใช้ไฟฟ้าและชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้ว รีไซเคิลหลอดออเรสเซนต์ บดย่อยเศษแก้ว และเก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพ,หนองจอก,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,-,-,10100000000000,51,60,กรุงเทพมหานคร,6,41730,1499.35,2563,ลำผักชี,3-106-51/63,บริษัท ท็อป ซีเคร็ต ด๊อกคิวเมนท์ ดิสทรัคชั่น จำกัด,50,บริษัท ท็อป ซีเคร็ต ด๊อกคิวเมนท์ ดิสทรัคชั่น จำกัด,3,10530
ผลิตเชื้อเพลิงแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (SRF) ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย,คลองสามวา,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,วัดสุขใจ,,10100000000000,35,20,กรุงเทพมหานคร,,"โฉนดที่ดินเลขที่ 103186,103189,103190,103191,103192",360,2567,ทรายกองดิน,3-106-53/67,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,51,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,3,10510
