ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,พุทธบูชา , 20.00 ,3-105-71/59,10100107125599,11, 589.00 ,10500,บริษัท เอส.เอช.เปเปอร์ จำกัด,บางมด,59,พุทธบูชา 36 แยก 1,ทุ่งครุ,9,กรุงเทพมหานคร,บริษัท เอส.เอช.เปเปอร์ จำกัด,3, 17 ,10140
โรงงานคัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,-,-, 15.00 ,3-105-14/68,10100044125686,12, 125.24 ,10500,บริษัท เอส. พี. พลาสติก อินดัสตรี จำกัด,ทุ่งครุ,68,ประชาอุทิศ 75,ทุ่งครุ,39,กรุงเทพมหานคร,บริษัท เอส. พี. พลาสติก อินดัสตรี จำกัด,3, 10 ,10140
"บำบัดน้ำทิ้งรวม ได้ 4,800 ลูกบาศก์เมตร/วัน",,รามคำแหง, 20.00 ,3-101-1/38,10102300125384,13, 270.68 ,10100,บริษัท โอสถสภา จำกัด (มหาชน),หัวหมาก,38,,บางกะปิ,348,กรุงเทพมหานคร,บริษัท โอสถสภา จำกัด (มหาชน),3, 5 ,10240
ปรับคุณภาพของเสียรวม,3,พระรามที่ 2, 127.50 ,3-101-1/47,10101100125479,14, 862.20 ,10100,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),แสมดำ,47,แสมดำ 17,บางขุนเทียน,1,กรุงเทพมหานคร,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),3, 23 ,10150
ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),3,, 5.00 ,3-101-2/38,10103300225380,15, 439.00 ,10100,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,แสมดำ,38,แสมดำ 17,บางขุนเทียน,1,กรุงเทพมหานคร,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,3, 82 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,แสมดำ, 93.00 ,3-105-73/59,10100107325595,16, 808.18 ,10500,บริษัท ส.พัฒนาเปเปอร์ จำกัด,แสมดำ,59,แสมดำ 5,บางขุนเทียน,22,กรุงเทพมหานคร,บริษัท ส.พัฒนาเปเปอร์ จำกัด,3, 30 ,10150
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,บางขุนเทียน-ชายทะเล, 8.50 ,3-105-32/54,10100003225543,17, 129.00 ,10500,ศรีนคร,ท่าข้าม,54,เทียนทะเล 24,บางขุนเทียน,12/239,กรุงเทพมหานคร,ศรีนคร,3, 7 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 37.50 ,3-105-60/60,10100006025601,18, 435.00 ,10500,นายการัณย์ อัครกุลพรรณ,แสมดำ,60,บางกระดี่ 19,บางขุนเทียน,89,กรุงเทพมหานคร,นายการัณย์ อัครกุลพรรณ,3, 30 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,พระรามที่ 2, 29.00 ,3-105-39/59,10100103925596,19, 91.00 ,10500, บริษัท ดี เมทัล พลัส จำกัด,แสมดำ,59,,บางขุนเทียน,549,กรุงเทพมหานคร, บริษัท ดี เมทัล พลัส จำกัด,3, 6 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 82.00 ,3-105-20/62,10100081925626,20, 974.00 ,10500,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,แสมดำ,62,,บางขุนเทียน,โฉนดที่ดินเลขที่ 137798,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,3, 15 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 16.00 ,3-105-29/63,10100075425633,21, 750.00 ,10500,บริษัท รุ่งโรจน์ส่องแสง จำกัด,ท่าข้าม,63,อนามัยงามเจริญ 33 แยก 2,บางขุนเทียน,1/3,กรุงเทพมหานคร,บริษัท รุ่งโรจน์ส่องแสง จำกัด,3, 21 ,10150
คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,,พระราม2, 78.00 ,3-105-14/59,10100101425599,22," 1,053.00 ",10500,บริษัท ดี เมทัล พลัส จำกัด,แสมดำ,59,,บางขุนเทียน,547,กรุงเทพมหานคร,บริษัท ดี เมทัล พลัส จำกัด,3, 8 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 12.20 ,3-105-54/61,10100005425612,23, 98.00 ,10500,นวกลกิจ,แสมดำ,61,บางกระดี่ 1 แยก 9,บางขุนเทียน,"16/1,16/2",กรุงเทพมหานคร,นวกลกิจ,3, 4 ,10150
คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,,บางขุนเทียน-ชายทะเล, 27.00 ,3-105-49/59,10100004925596,24, 295.00 ,10500,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,ท่าข้าม,59,เทียนทะเล 30,บางขุนเทียน,19,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,3, 21 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,บางกระดี่, 17.00 ,3-105-64/67,10100147725671,25, 320.00 ,10500,ป.ประสบผล,แสมดำ,67,บางกระดี่ 43,บางขุนเทียน,โฉนดที่ดินเลขที่ 96370,กรุงเทพมหานคร,ป.ประสบผล,3, 15 ,10150
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,แสมดำ, 2.00 ,3-105-53/54,10100105325548,26, 485.00 ,10500,บริษัท รีไซเคิลเดย์ จำกัด,แสมดำ,54,-,บางขุนเทียน,4,กรุงเทพมหานคร,บริษัท รีไซเคิลเดย์ จำกัด,3, 2 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 120.00 ,3-105-13/60,10100201325608,27, 371.00 ,10500,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,ท่าข้าม,60,,บางขุนเทียน,โฉนดที่ดินเลขที่ 101,กรุงเทพมหานคร,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,3, 40 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 22.50 ,3-105-86/61,10100008625614,28, 283.00 ,10500,นายปรีชา ธนงค์,แสมดำ,61,บางกระดี่ 43,บางขุนเทียน,11,กรุงเทพมหานคร,นายปรีชา ธนงค์,3, 15 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 14.50 ,3-105-8/63,10100024525632,29, 660.00 ,10500,บริษัท ส.รุ่งสุริยา จำกัด,ท่าข้าม,63,,บางขุนเทียน,โฉนดเลขที่ 149201,กรุงเทพมหานคร,บริษัท ส.รุ่งสุริยา จำกัด,3, 14 ,10150
คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,,พระราม 2, 12.30 ,3-105-54/59,10100105425595,30, 426.50 ,10500,บริษัท ช.รุ่งทรัพย์ จำกัด,แสมดำ,59,,บางขุนเทียน,597,กรุงเทพมหานคร,บริษัท ช.รุ่งทรัพย์ จำกัด,3, 9 ,10150
ถอด แยก บดย่อยชิ้นส่วนคอมพิวเตอร์ ชิ้นส่วนอิเล็กทรอนิกส์ และเครื่องใช้ไฟฟ้าใช้แล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่,,บางขุนเทียน-ชายทะเล, 87.50 ,3-106-59/67,10100181725678,31, 197.00 ,10600,บริษัท ไทย อิโคเทรด จำกัด,ท่าข้าม,67,เทียนทะเล 24,บางขุนเทียน,98/2,กรุงเทพมหานคร,บริษัท ไทย อิโคเทรด จำกัด,3, 37 ,10150
บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,พระรามที่ 2, 1.00 ,3-106-62/60,10100006225607,32, 90.00 ,10600,บริษัท ผลพาณิชย์ จำกัด,แสมดำ,60,,บางขุนเทียน,99/231,กรุงเทพมหานคร,บริษัท ผลพาณิชย์ จำกัด,3, 12 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,,ประชาชื่น, 13.00 ,3-105-81/48,10100108125481,33, 255.00 ,10500,ซั่งเฮงจั่น,บางซื่อ,48,โชติวัฒน์ ซอย 14,บางซื่อ,3,กรุงเทพมหานคร,ซั่งเฮงจั่น,3, 10 ,10800
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,บางบอน 4, 115.00 ,3-105-4/60,10100400425605,34, 954.00 ,10500,บริษัท เจดีย์ไทย สตีล จำกัด,บางบอน,60,,บางบอน,249,กรุงเทพมหานคร,บริษัท เจดีย์ไทย สตีล จำกัด,3, 32 ,10150
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก ไม้ เหล็ก ฯลฯ,,, 43.00 ,3-105-20/67,10100081125672,35, 493.00 ,10500,บริษัท เอ็น.พี.เอ็น.เมทัลเวิร์ค จำกัด,คลองบางบอน,67,พระยามนธาตุแยก 9,บางบอน,91,กรุงเทพมหานคร,บริษัท เอ็น.พี.เอ็น.เมทัลเวิร์ค จำกัด,3, 40 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,พรหมราษฎร์, 3.60 ,3-105-19/62,10100071225623,36, 435.00 ,10500,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,บางบอนใต้,62,,บางบอน,12,กรุงเทพมหานคร,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,3, 30 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 5.50 ,3-105-107/59,10100010725592,37, 191.00 ,10500,บริษัท เปเปอร์ แพคกิ้ง จำกัด,บางบอน,59,เอกชัย 114 (อมรพฤกษ์),บางบอน,11,กรุงเทพมหานคร,บริษัท เปเปอร์ แพคกิ้ง จำกัด,3, 13 ,10150
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,,, 11.00 ,3-105-28/62,10100098525625,38, 204.00 ,10500,-,บางบอนเหนือ,62,เอกชัย 114 (อมรพฤกษ์),บางบอน,7,กรุงเทพมหานคร,นายจักพรรณ์ มงคลไทยศิริ,3, 10 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,กาญจนาภิเษก, 8.70 ,3-105-84/59,10100008425593,39, 55.50 ,10500,วงษ์พาณิชย์บางบอน,บางบอน,59,,บางบอน,91,กรุงเทพมหานคร,วงษ์พาณิชย์บางบอน,3, 7 ,10150
นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,,บางบอน 4, 80.00 ,3-106-34/60,10100003425606,40, 769.50 ,10600,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,บางบอน,60,6,บางบอน,74,กรุงเทพมหานคร,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,3, 10 ,10150
ถอดแยก บดย่อย อุปกรณ์เครื่องใช้ไฟฟ้า และอีเลคทรอนิคส์ที่ใช้แล้ว,,บางบอน 4, 46.00 ,3-106-61/63,10100176025639,41, 482.00 ,10600,บริษัท เจดีย์ไทย สตีล จำกัด,บางบอน,63,,บางบอน,251,กรุงเทพมหานคร,บริษัท เจดีย์ไทย สตีล จำกัด,3, 9 ,10150
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,เสรีไทย, 1.90 ,3-105-3/60,10100500325606,42, 234.00 ,10500,บริษัท คูซุ่นฮวด จำกัด,คลองกุ่ม,60,,บึงกุ่ม,60/50,กรุงเทพมหานคร,บริษัท คูซุ่นฮวด จำกัด,3, 7 ,10240
คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,,อ่อนนุช, 7.00 ,3-105-88/59,10100008825594,43, 119.00 ,10500,บริษัท คูเซ่งฮวด จำกัด,ประเวศ,59,อ่อนนุช 80,ประเวศ,"25,27",กรุงเทพมหานคร,บริษัท คูเซ่งฮวด จำกัด,3, 7 ,10250
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,11,เฉลิมพระเกียรติ , 7.00 ,3-105-30/60,10100103025603,44, 52.50 ,10500,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,ดอกไม้,60,เฉลิมพระเกียรติ 30,ประเวศ,30/12,กรุงเทพมหานคร,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,3, 7 ,10250
คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,,, 220.00 ,3-105-36/65,10100061725657,45, 278.00 ,10500,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,ประเวศ,65,อ่อนนุช 65 แยก15-4,ประเวศ,5,กรุงเทพมหานคร,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,3, 50 ,10250
เชื้อเพลิงแข็งจากขยะชุมชน,,," 1,370.00 ",3-106-54/61,10100105425611,46," 2,693.21 ",10600,บริษัท กรุงเทพธนาคม จำกัด,ประเวศ,61,อ่อนนุช 86 แยก 1,ประเวศ,55/1,กรุงเทพมหานคร,บริษัท กรุงเทพธนาคม จำกัด,3, 47 ,10250
ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้ว,,, 222.50 ,3-106-56/65,10100147325654,47, 472.00 ,10600,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,ประเวศ,65,อ่อนนุช 65 แยก 15-4,ประเวศ,7,กรุงเทพมหานคร,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,3, 106 ,10250
ถอดแยกหม้อแปลงไฟฟ้าบทย่อยสายไฟ-สายเคเบิ้ล บดย่อยแผงวงจรอิเล็กทรอนิกส์ทุกชนิด เก็บรวบรวมแบตเตอรี่ที่ใช้แล้วโดยไม่มีการแปรสภาพ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 240.00 ,3-106-10/66,10100042925665,48, 331.00 ,10600,บริษัท เอเชีย เมทัล คอปเปอร์ เทรดดิ้ง จำกัด,ประเวศ,66,อ่อนนุช 65 แยก 15-4,ประเวศ,3,กรุงเทพมหานคร,บริษัท เอเชีย เมทัล คอปเปอร์ เทรดดิ้ง จำกัด,3, 50 ,10250
โรงงานผลิตน้ำมันเชื้้อเพลิงอาวกาศยานยั่งยืนจากน้ำมันพืชใช้แล้ว,,," 10,012.00 ",3-106-40/67,10100109025672,49," 46,708.94 ",10600,โรงงานผลิตน้ำมันเชื้้อเพลิงชีวภาพบีเอสจีเอฟ,พระโขนงใต้,67,สุขุมวิท 64,พระโขนง,210,กรุงเทพมหานคร,โรงงานผลิตน้ำมันเชื้้อเพลิงชีวภาพบีเอสจีเอฟ,3, 20 ,10260
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยสายไฟ ถอดแยกหม้อแปลงไฟฟ้า นำน้ำมันเครื่องเก่ามาผ่านกระบวนการกรอง และเก็บรวบรวมแบตเตอรี่ที่ใช้แล้วโดยไม่มีการแปรสภาพ,,, 45.00 ,3-106-11/68,10100043825682,50, 309.00 ,10600,บริษัท โฟว์เอเวอร์วัน จำกัด,บางหว้า,68,เทอดไท 74,ภาษีเจริญ,71,กรุงเทพมหานคร,บริษัท โฟว์เอเวอร์วัน จำกัด,3, 30 ,10160
"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",9,สุวินทวงศ์, 43.10 ,3-101-1/40,10103300125408,51, 356.00 ,10100,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),แสนแสบ,40,-,มีนบุรี,48,กรุงเทพมหานคร,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),3, 10 ,10510
บำบัดน้ำเสียจากกระบวนการผลิต รวมทั้งกำจัดของเสียอื่นๆ ของบริษัท อาหารยอดคุณ จำกัด และบริษัท ยูนิแชมป์ จำกัด,,นิมิตใหม่, 8.04 ,3-101-4/41,10101100425416,52, 83.05 ,10100,บริษัท อาหารยอดคุณ จำกัด,มีนบุรี,41,,มีนบุรี,9,กรุงเทพมหานคร,บริษัท อาหารยอดคุณ จำกัด,3, 1 ,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,สุวินทวงษ์, 220.00 ,3-105-70/59,10100007025592,53," 1,041.00 ",10500,บริษัท เมทัล คอปเปอร์ จำกัด,แสนแสบ,59,,มีนบุรี,888,กรุงเทพมหานคร,บริษัท เมทัล คอปเปอร์ จำกัด,3, 30 ,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,หทัยราษฎร์, 175.00 ,3-105-69/59,10100006925594,54, 795.00 ,10500,บริษัท ไคฮวดจั่น หทัยราษฏร์ จำกัด,มีนบุรี,59,,มีนบุรี,888,กรุงเทพมหานคร,บริษัท ไคฮวดจั่น หทัยราษฏร์ จำกัด,3, 30 ,10510
ซ่อมและล้างถังด้วยตัวทำละลาย,,สาธุประดิษฐ์, 1.09 ,3-106-53/47,10100500325473,55, 53.00 ,10600,ห้างหุ้นส่วนจำกัด หลือฮะเซ้ง,บางโพงพาง,47,เศตะพราหมณ์,ยานนาวา,629/305,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด หลือฮะเซ้ง,3, 5 ,10120
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 9.00 ,3-105-72/59,10100107225597,56, 300.00 ,10500,บริษัท เจ พี เปเปอร์ จำกัด,บางปะกอก,59,ราษฎร์บูรณะ,ราษฎร์บูรณะ,8,กรุงเทพมหานคร,บริษัท เจ พี เปเปอร์ จำกัด,3, 14 ,10140
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,เลียบคลองมอญ, 5.00 ,3-105-89/59,10100008925592,57, 61.00 ,10500,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,ทับยาว,59,,ลาดกระบัง,169/2,กรุงเทพมหานคร,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,3, 10 ,10520
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,,เลียบคลองมอญ, 53.00 ,3-105-13/49,10100201325491,58, 349.22 ,10500,นางสาววรนุช แซ่จู,ทับยาว,49,,ลาดกระบัง,98,กรุงเทพมหานคร,นางสาววรนุช แซ่จู,3, 20 ,10520
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,ประชาอุทิศ, 6.43 ,3-105-33/66,10100059225660,59, 246.00 ,10500,บริษัท บุญเลี้ยงพลาสติก รีไซเคิล จำกัด,ขุมทอง,66,,ลาดกระบัง,"โฉนดที่ดินเลขที่ 36091,38644,44279",กรุงเทพมหานคร,บริษัท บุญเลี้ยงพลาสติก รีไซเคิล จำกัด,3, 20 ,10520
ผลิตเชื้อเพลิงแข็ง (SRF) จากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ปอกเศษสายไฟที่ไม่เป็นของเสียอันตราย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,-,-, 50.00 ,3-106-4/68,10100004525685,60," 1,990.00 ",10600,บริษัท ทองร่มเกล้า รีไซเคิล จำกัด,คลองสามประเวศ,68,-,ลาดกระบัง,"โฉนดที่ดินเลขที่ 24595,24596,24597",กรุงเทพมหานคร,บริษัท ทองร่มเกล้า รีไซเคิล จำกัด,3, 50 ,10520
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 16.50 ,3-105-20/59,10100102025596,61, 815.00 ,10500,บริษัท จ.ทวีโชค จำกัด,วังทองหลาง,59,รามคำแหง 39(เทพลีลา1),วังทองหลาง,518/29,กรุงเทพมหานคร,บริษัท จ.ทวีโชค จำกัด,3, 14 ,10310
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 14.50 ,3-105-72/61,10100007225614,62, 100.00 ,10500,นายสิทธิพงศ์ อนันต์หล่อพันธ์,วังทองหลาง,61,รามคำแหง 39 (เทพลีลา 1),วังทองหลาง,518/27,กรุงเทพมหานคร,นายสิทธิพงศ์ อนันต์หล่อพันธ์,3, 5 ,10310
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,, 17.56 ,3-105-91/60,10100109125605,63, 191.00 ,10500,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,ทับช้าง,60,กรุงเทพกรีฑา 47,สะพานสูง,2,กรุงเทพมหานคร,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,3, 8 ,10250
