phetchabun,Nonthaburi,Kamphaeng Phet,Chiang Rai,Nakhon Nayok,Phra Nakhon Si Ayutthaya,Prachuap Khiri Khan,Sukhothai,Samut Songkhram,Nakhon Pathom,Sa Kaeo,Bangkok Metropolis,Nong Khai,Phitsanulok,Phuket,Am Nat Charoen,????????,Nakhon Phanom,Khon Kaen,Phayao,Si Sa Ket,Tak,Trang,Ubon Ratchathani,Uthai Thani,Kanchanaburi,Nakhon Sawan,Pathum Thani,Chai Nat,Pattani,Chanthaburi,Mae Hong Son,Phatthalung,Trat,Ang Thong,Yala,Surin,Chumphon,Phrae,Lampang,Nakhon Ratchasima,Uttaradit,Mukdahan,Phangnga,Kalasin,Roi Et,Udon Thani,Phichit,Samut Prakan,Buri Ram,Prachin Buri,Narathiwat,ISCO-08,Rayong,Lamphun,???????????????????,Chachoengsao,Chiang Mai,Chon Buri,Phetchaburi,Bueng Kan,Loei,_id,Saraburi,Chaiyaphum,Surat Thani,Nong Bua Lam Phu,Samut Sakhon,Songkhla,Nan,Nakhon Si Thammarat,Maha Sarakham,Yasothon,Sing Buri,Suphan Buri,Satun,Lop Buri,??,Sakon Nakhon,Krabi,Ranong,Ratchaburi
0,0,0,0,0,0,0,0,0,0,0,"4,657",0,0,0,0,Software Developers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,0,0,"IT, software and computer services",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"8,339",0,0,0,0,Web and Multimedia Developers,0,0,0,0,0,0,584,0,0,0,792,0,0,0,0,0,110,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,2513,0,0,"IT, software and computer services",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archivists and Curators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,103",0,0,0,2621,0,82,"Museums, galleries and libraries",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0
0,590,0,0,0,117,100,0,0,0,0,"6,877",0,123,0,0,Librarians and Related Information Professionals,0,0,0,0,0,0,0,0,0,0,461,0,47,0,0,0,0,0,0,0,0,0,260,0,69,0,0,0,0,0,0,0,0,0,0,2622,0,0,"Museums, galleries and libraries",0,0,0,183,0,0,17,0,0,526,0,0,0,0,0,721,0,0,448,0,0,2563,0,0,0,0
0,815,122,0,0,0,0,0,0,0,0,"1,340",0,162,0,0,Authors and Related Writers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,0,0,Publishing,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"3,481",0,0,0,0,Journalists,0,0,0,0,0,0,0,0,0,0,0,0,72,0,22,0,0,0,0,0,0,111,0,0,0,82,0,0,0,0,0,0,0,0,0,2642,0,0,Publishing ,0,0,615,0,0,0,19,0,0,0,0,358,0,0,168,0,0,0,0,38,0,2563,0,31,0,0
0,0,0,0,0,0,0,420,26,197,0,"5,528",0,607,0,0,Visual Artists,0,0,0,0,0,0,107,0,0,495,682,167,0,155,0,0,0,0,0,0,234,0,"2,338","1,699",0,0,0,0,0,0,0,0,0,0,0,2651,0,0,"Music, performing and visual Arts ",0,408,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,"1,386",0,0,2563,0,0,0,138
126,"1,192",0,0,0,515,0,243,103,0,108,"6,929",0,"1,960",0,0,"Musicians, Singers and Composers",118,0,0,126,0,0,480,0,0,"1,268",0,436,0,0,0,0,0,218,0,498,296,124,0,"1,066",0,0,0,0,121,"1,642",394,686,0,0,0,2652,484,0,"Music, performing and visual Arts ",0,739,705,232,670,0,21,521,0,0,0,240,0,0,847,337,124,280,0,0,812,2563,0,117,0,"1,291"
0,0,0,0,541,0,0,0,0,0,0,"1,981",0,0,0,0,Dancers and Choreographers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,2653,0,0,"Music, performing and visual Arts ",0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,131,0,0,0,73,2563,0,0,0,0
0,766,0,0,0,0,0,0,0,0,0,"4,020",0,0,0,0,"Film, Stage and Related Directors and Producers",0,0,0,0,0,0,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654,0,0,"Film, TV, video, radio and photography",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,2655,0,0,"Music, performing and visual Arts ",0,0,0,178,0,0,24,139,0,0,0,0,0,0,0,0,0,128,0,0,0,2563,0,0,0,279
0,768,641,0,94,731,396,645,304,0,471,"2,830",257,654,0,108,Civil Engineering Technicians,164,"1,449",419,0,"1,524",0,213,263,718,242,"2,230",382,37,457,61,930,783,0,0,694,81,571,"2,233",668,633,0,21,628,770,0,"1,157",0,466,886,442,3112,"2,242",0,Architecture ,"1,487",322,0,418,351,"1,064",25,357,550,653,477,829,619,668,595,"2,065",0,344,584,489,0,2563,193,534,402,0
0,751,0,0,485,0,222,0,236,527,0,"7,291",140,134,212,34,Photographers,109,433,0,145,0,133,222,0,326,0,"1,460",0,458,288,0,0,0,0,71,0,78,156,0,0,202,0,30,0,0,0,181,640,0,46,97,3431,"1,020",0,"Film, TV, video, radio and photography",0,0,"1,367",451,0,0,26,166,0,873,0,0,0,0,353,0,89,0,0,264,0,2563,0,41,86,0
78,"1,115",0,0,0,0,0,0,0,0,0,"5,746",0,0,0,0,Interior Designers and Decorators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,3432,0,0,"Design: product, graphic and fashion design",0,0,0,87,0,0,27,0,0,0,0,437,"1,217",62,0,0,0,0,0,0,0,2563,0,0,0,0
122,724,0,787,21,0,231,0,111,237,0,"7,634",0,0,220,0,Chefs,0,0,0,0,0,0,0,0,0,0,"1,211",0,0,187,436,0,0,0,85,0,206,0,0,594,0,0,150,0,0,351,0,0,0,0,0,3434,0,0,Thai Food,0,0,550,200,0,369,28,194,0,0,0,0,887,54,0,0,0,0,296,39,0,2563,0,22,0,0
0,0,0,0,0,141,73,0,0,0,76,"6,122",0,0,546,0,Broadcasting and Audio-visual Technicians,0,0,205,0,205,0,418,0,0,175,0,0,0,538,22,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,141,0,0,125,0,3521,0,0,"Film, TV, video, radio and photography",0,0,0,0,0,0,29,0,0,0,0,0,528,0,0,0,0,0,0,0,860,2563,0,0,0,0
427,"2,461",379,0,178,"1,661",394,97,298,"3,296",89,"16,039",0,0,210,74,"Blacksmiths, Hammersmiths and Forging Press Workers",0,0,725,"3,145",0,"1,409",214,177,0,522,"3,525",174,280,636,0,759,628,808,0,114,372,795,"1,148","5,156",0,0,0,266,0,0,0,"14,661",487,428,340,7221,"1,156",494,Crafts,"1,011","4,276","1,752",220,140,60,30,"1,385",244,727,0,"6,456","5,492",0,"3,013","3,226",53,0,151,0,579,2563,0,0,0,"1,051"
238,"2,592",0,0,0,"1,305",0,88,0,0,0,"2,114",0,692,0,448,Potters and Related Workers,0,0,0,0,0,0,0,0,0,394,0,93,0,0,0,0,0,664,0,0,0,0,"1,248","1,156",0,0,0,0,0,0,706,0,196,0,0,7314,0,"1,043",Crafts,0,601,"1,437",0,0,0,31,176,0,"1,081",0,0,0,0,826,0,441,162,451,180,0,2563,0,0,0,"1,966"
0,966,0,0,119,192,0,0,308,0,0,"2,750",92,0,0,0,"Sign Writers, Decorative Painters, Engravers and",0,0,198,0,0,73,0,37,390,0,0,0,0,146,72,372,0,66,71,0,0,94,"2,554",0,0,0,0,467,0,0,0,0,0,0,203,7316,0,0,Crafts,778,"1,240",250,65,0,0,32,"1,359",0,0,0,0,367,0,0,235,0,0,186,0,0,2563,0,0,0,445
"1,403",541,0,0,462,253,362,"2,842",156,774,0,"4,148",195,0,0,62,"Handicraft Workers in Textile, Leather and Related","2,445","7,809",369,615,311,"1,214",0,"1,409","1,597",342,719,186,"1,209",0,0,155,146,243,0,"18,371",0,667,0,"2,417",635,388,0,"4,287","1,467",0,393,"8,457","5,999",0,0,7318,407,"2,081",Crafts,0,"3,487",0,418,389,916,33,0,"1,618","1,008","1,480","1,434",0,133,0,580,605,332,0,234,"1,659",2563,"3,785",23,0,820
663,"3,466",744,"1,799","1,350",286,374,527,0,0,501,"17,128",82,271,"4,068",140,Cabinet-makers and Related Workers,197,0,670,0,434,889,"1,012",143,"1,458",496,"10,968",488,739,979,0,335,880,141,0,485,0,"5,507","1,157","1,347",0,76,213,0,256,554,311,0,"2,159","1,170",562,7522,0,"1,208",Crafts,0,"15,326",409,237,0,522,34,0,0,"3,654",0,"2,190","1,965",160,869,0,266,52,0,220,687,2563,351,130,191,349
98,"10,049",773,0,29,"1,123",300,67,24,558,171,"43,548",0,75,"1,235",0,Sales and Marketing Managers,0,0,0,109,131,0,260,0,116,728,"3,335",0,120,634,83,0,0,0,0,211,0,862,0,0,59,0,191,0,0,0,0,"2,770",579,86,0,1221,0,450,Advertisement and marketing,0,0,0,201,0,0,35,402,0,0,0,"1,110","1,548",0,"1,544",487,0,0,0,167,195,2564,0,0,0,315
0,378,97,0,0,841,0,0,0,0,0,"3,300",0,0,0,0,Advertising and Public Relations Managers,0,281,0,0,0,0,0,0,0,0,"1,062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,475",0,0,0,1222,0,0,Advertisement and marketing,0,0,827,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0
0,716,0,0,0,0,0,0,0,844,0,"12,234",0,0,820,85,Information and Communications Technology Service,0,0,0,0,0,0,0,0,0,0,"1,018",178,0,0,0,0,0,0,0,0,0,60,0,343,0,0,0,0,0,0,0,"2,709",0,0,0,1330,0,0,"IT, software and computer services",0,0,0,0,0,0,37,0,0,0,0,0,"1,145",0,0,0,0,0,0,0,0,2564,0,0,0,0
142,"1,876",127,0,133,742,585,0,0,280,0,"10,173",0,0,593,0,Hotel Managers,0,457,0,819,591,0,0,0,0,111,"3,631",192,0,0,27,0,0,0,0,87,0,0,0,"1,550",51,135,66,0,0,602,114,0,0,0,0,1411,0,0,Cultural Tourism,0,0,"2,345",119,165,106,38,0,0,308,0,290,0,134,0,129,0,32,0,39,0,2564,0,534,94,0
134,"3,483",88,727,174,314,339,0,0,992,380,"14,098",456,197,"5,575",380,Restaurant Managers,387,0,190,0,0,92,231,0,"1,259",141,856,0,92,830,0,"1,074",63,199,70,0,220,155,0,228,0,265,330,329,575,0,437,0,0,0,0,1412,250,0,Thai Food,262,"1,770","1,120",591,0,0,39,240,0,589,345,256,813,157,76,136,89,0,677,236,533,2564,0,181,128,582
0,0,0,0,0,298,0,0,14,0,0,"3,393",0,0,228,166,"Sports, Recreation and Cultural Centre Managers",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,319,62,0,48,0,0,0,0,0,0,0,0,1431,0,0,Thai Traditional Medicine,234,0,0,0,0,0,40,0,0,0,90,0,928,0,0,0,0,0,206,46,270,2564,0,152,0,0
104,"3,724",0,0,0,0,0,0,0,0,0,"13,947",0,880,776,0,Building Architects,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161,0,0,Architecture ,0,971,"1,184",0,0,0,41,0,0,0,0,516,0,98,0,78,0,0,0,0,0,2564,0,260,0,0
0,"2,903",0,0,0,373,0,0,0,0,0,"9,137",0,0,304,0,Product and Garment Designers,42,0,0,0,0,0,0,0,310,0,0,0,0,365,17,219,0,0,0,432,0,0,0,269,111,0,0,0,"1,260",0,0,874,0,101,0,2163,0,0,"Design: product, graphic and fashion design",0,526,363,0,0,0,42,288,0,0,0,506,0,0,0,0,0,0,0,0,0,2564,0,0,0,272
862,0,0,0,0,0,0,0,0,0,0,540,0,0,0,83,Town and Traffic Planners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,0,0,Architecture ,0,0,0,0,0,0,43,0,0,238,0,0,0,0,128,0,0,0,0,0,266,2564,0,0,0,0
0,"5,637",181,0,32,649,466,0,0,511,0,"27,265",0,0,325,0,Graphic and Multimedia Designers,0,0,0,0,0,0,153,0,0,123,0,0,0,0,0,129,0,0,0,0,0,0,0,303,216,0,0,0,"1,745",0,0,929,0,75,136,2166,0,0,"Design: product, graphic and fashion design",0,"2,121",0,176,0,0,44,0,0,246,0,"10,524",0,0,143,0,0,0,0,0,356,2564,0,203,0,321
176,"12,783",0,0,0,"1,323",0,358,101,539,0,"74,298",161,125,87,0,Advertising and Marketing Professionals,0,232,0,0,95,86,414,0,176,0,"2,557",0,0,686,0,0,173,164,0,158,99,0,0,"1,815",87,273,207,199,0,"1,559","1,003","10,714",0,"1,003",0,2431,959,115,Advertisement and marketing,0,"3,630",110,84,0,0,45,194,0,0,706,"2,587",0,0,0,0,0,0,0,0,0,2564,0,0,0,314
0,0,0,0,48,325,0,0,54,"1,136",0,"13,725",305,111,0,0,Public Relations Professionals,0,"1,435",0,462,0,138,218,22,624,"1,170",0,0,60,0,0,0,305,0,80,897,0,158,318,0,168,0,0,0,0,0,0,"1,495","1,074",91,114,2432,0,0,Advertisement and marketing,0,"2,131","1,890",408,0,728,46,481,0,427,147,"1,157",479,0,321,0,0,182,0,248,118,2564,0,0,0,0
0,"1,038",0,0,0,0,0,0,0,0,0,"4,628",0,283,0,0,Systems Analysts,0,380,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,562,48,0,0,0,0,0,0,0,0,0,0,2511,0,0,"IT, software and computer services",0,0,0,0,0,0,47,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2564,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"2,723",0,0,0,0,Software Developers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,623",0,0,0,2512,0,0,"IT, software and computer services",0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0
0,"1,688",0,0,0,0,0,0,0,0,0,"1,066",0,0,279,0,Web and Multimedia Developers,0,0,0,0,770,0,0,0,0,0,622,0,0,172,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,463,0,0,0,0,0,2513,0,0,"IT, software and computer services",0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0
0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archivists and Curators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,2621,0,0,"Museums, galleries and libraries",0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0
0,759,0,0,0,0,0,0,58,0,0,"1,615",0,0,0,0,Librarians and Related Information Professionals,0,0,0,0,0,246,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,"1,105",0,0,0,0,0,0,0,0,0,0,0,2622,0,0,"Museums, galleries and libraries",0,0,0,230,0,0,51,0,0,0,0,0,0,0,0,653,0,0,629,53,741,2564,0,0,148,0
0,600,148,0,0,0,0,0,0,326,0,"3,113",0,0,0,0,Authors and Related Writers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,0,0,Publishing,0,0,0,0,0,0,52,0,0,0,0,0,888,0,0,0,0,0,0,0,0,2564,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"6,756",0,71,292,0,Journalists,0,0,0,0,0,0,0,32,0,0,"1,180",0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2642,0,0,Publishing ,0,0,699,0,0,0,53,0,0,0,0,641,"1,038",0,0,0,0,0,0,140,0,2564,0,0,0,0
0,"3,872",0,173,0,304,0,558,23,738,"1,143","2,460",157,365,0,0,Visual Artists,0,0,0,0,0,0,"3,050",66,273,"1,280","1,421",0,0,104,0,0,0,0,0,0,0,0,238,312,0,0,0,0,0,0,180,0,0,203,0,2651,0,156,"Music, performing and visual Arts ",0,507,0,0,0,377,54,402,108,0,0,0,0,0,0,0,0,0,574,0,0,2564,0,0,0,192
0,0,0,0,34,214,47,453,54,0,374,"2,937",0,556,"1,737",0,"Musicians, Singers and Composers",94,0,0,0,0,136,"2,322",36,0,0,893,0,0,0,0,0,0,0,0,0,0,313,172,0,0,0,0,0,0,561,0,"1,054",0,210,74,2652,0,67,"Music, performing and visual Arts ","1,076",799,0,0,0,0,55,0,0,0,0,0,668,0,0,0,0,23,133,0,0,2564,0,0,0,0
0,0,0,0,391,0,0,0,0,0,0,0,496,0,0,0,Dancers and Choreographers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,630,0,0,0,202,0,2653,0,0,"Music, performing and visual Arts ",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2564,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"5,341",0,0,321,0,"Film, Stage and Related Directors and Producers",0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654,0,0,"Film, TV, video, radio and photography",0,0,0,0,0,0,57,0,0,0,0,705,0,0,0,101,0,0,0,0,0,2564,0,0,0,456
0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,Actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,0,0,"Music, performing and visual Arts ",0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0
188,"1,643","1,079",538,26,677,330,94,78,"1,707",191,"10,398",57,833,0,702,Civil Engineering Technicians,447,"2,643",222,416,348,599,663,521,797,696,"2,810",358,299,415,77,971,230,191,0,"1,122",176,882,"1,026",0,620,452,20,550,"1,094",297,604,"1,132",0,291,649,3112,"2,027",0,Architecture ,"1,723","1,146",0,145,37,162,59,229,398,398,506,241,"1,213",660,292,88,421,196,"1,105",136,"1,330",2564,0,235,70,0
0,"1,489",0,0,0,0,111,59,76,0,0,"8,778",143,121,437,0,Photographers,40,"1,332",0,0,0,58,383,0,0,81,0,0,0,0,0,0,0,0,0,0,73,248,0,0,274,0,0,0,0,0,0,480,0,0,67,3431,655,0,"Film, TV, video, radio and photography",0,0,0,63,0,0,60,0,0,203,0,422,475,0,0,0,63,75,280,188,0,2564,0,253,210,0
0,483,0,0,29,0,0,0,0,448,0,"3,560",0,0,0,0,Interior Designers and Decorators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,001",0,0,0,3432,0,0,"Design: product, graphic and fashion design",0,0,0,0,0,0,61,0,0,0,0,0,0,79,271,0,0,0,0,0,0,2564,0,0,0,0
103,"1,492",0,910,0,0,0,0,177,527,0,"3,409",0,0,"1,359",0,Chefs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434,0,0,Thai Food,0,0,0,0,0,0,62,220,0,188,0,0,532,40,128,0,0,0,0,0,0,2564,0,0,0,549
0,0,0,0,70,0,0,0,94,986,0,"3,536",0,0,0,0,Broadcasting and Audio-visual Technicians,0,0,165,0,218,86,200,0,245,0,0,0,0,250,0,0,0,0,0,0,0,222,0,0,69,0,0,0,0,0,198,0,220,0,0,3521,0,0,"Film, TV, video, radio and photography",0,0,0,287,0,0,63,0,0,0,0,719,540,0,0,0,0,0,0,0,951,2564,0,0,0,0
125,"2,054",0,0,83,"1,299",0,80,28,"2,433",0,"6,100",108,612,305,59,"Blacksmiths, Hammersmiths and Forging Press Workers",0,"1,252",149,"3,380",280,"1,938",0,160,0,849,"2,379",161,325,922,0,168,468,700,0,70,547,741,237,"3,965",110,374,44,0,0,303,0,"10,137",406,"5,218",433,7221,258,184,Crafts,712,"3,802","1,108",233,0,64,64,609,118,778,78,"10,172","4,001",0,"4,502",504,0,60,0,0,0,2564,388,164,0,940
