ประเภทกฎหมาย,ประเภทรถ,จังหวัด,ประเภทเชื้อเพลิง,จำนวนรถ
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,ก๊าซ CNG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,แก๊ส LPG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,แก๊ส LPG +ดีเซล,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,แก๊ส LPG +เบนซิน,946
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,ดีเซล,20429
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,ดีเซล-ไฟฟ้า,20
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,เบนซิน,34535
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,เบนซิน-ไฟฟ้า,1237
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,84
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,ไฟฟ้า,370
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,ไม่ใช้เชื้อเพลิง,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,ไม่ระบุ,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,CNG สลับเบนซิน,494
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,LPG+เบนซินสลับไฟฟ้า,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,แก๊ส LPG,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,แก๊ส LPG +ดีเซล,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,แก๊ส LPG +เบนซิน,1396
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,ดีเซล,26109
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,ดีเซล-ไฟฟ้า,20
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,เบนซิน,34709
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,เบนซิน-ไฟฟ้า,1440
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,84
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,เบนซิน+เอทานอล,3
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,ไฟฟ้า,615
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,ไม่ใช้เชื้อเพลิง,7
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กำแพงเพชร,ไม่ระบุ,8
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,CNG ร่วมกับดีเซล,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,CNG สลับเบนซิน,2327
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,LPG+เบนซินสลับไฟฟ้า,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ก๊าซ CNG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,แก๊ส LPG,5
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,แก๊ส LPG +ดีเซล,6
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,แก๊ส LPG +เบนซิน,4147
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ดีเซล,94030
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ดีเซล-ไฟฟ้า,106
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,เบนซิน,151671
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,เบนซิน-ไฟฟ้า,8306
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,844
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,เบนซิน+LPG+CNG,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,เบนซิน+เอทานอล,3
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ไฟฟ้า,5706
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ไม่ใช้เชื้อเพลิง,8
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ขอนแก่น,ไม่ระบุ,45
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,CNG สลับเบนซิน,604
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,LPG+เบนซินสลับไฟฟ้า,3
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,แก๊ส LPG,3
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,แก๊ส LPG +เบนซิน,2280
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,ดีเซล,36998
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,ดีเซล-ไฟฟ้า,40
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,เบนซิน,49495
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,เบนซิน-ไฟฟ้า,2537
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,307
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,เบนซิน+เอทานอล,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,ไฟฟ้า,1121
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,ไม่ใช้เชื้อเพลิง,19
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จันทบุรี,ไม่ระบุ,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,CNG สลับเบนซิน,897
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,ก๊าซ CNG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,แก๊ส LPG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,แก๊ส LPG +เบนซิน,2243
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,ดีเซล,39027
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,ดีเซล-ไฟฟ้า,35
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,เบนซิน,49767
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,เบนซิน-ไฟฟ้า,2434
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,118
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,ไฟฟ้า,797
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,ไม่ใช้เชื้อเพลิง,5
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ฉะเชิงเทรา,ไม่ระบุ,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,CNG ร่วมกับดีเซล,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,CNG สลับเบนซิน,2776
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,LPG+เบนซินสลับไฟฟ้า,6
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,แก๊ส LPG,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,แก๊ส LPG +ดีเซล,6
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,แก๊ส LPG +เบนซิน,8315
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,ดีเซล,186114
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,ดีเซล-ไฟฟ้า,194
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,เบนซิน,210629
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,เบนซิน-ไฟฟ้า,15731
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,1752
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,เบนซิน+เอทานอล,13
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,ไฟฟ้า,9306
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,ไม่ใช้เชื้อเพลิง,6
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชลบุรี,ไม่ระบุ,27
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,CNG สลับเบนซิน,229
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,แก๊ส LPG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,แก๊ส LPG +ดีเซล,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,แก๊ส LPG +เบนซิน,1077
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,ดีเซล,14298
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,ดีเซล-ไฟฟ้า,8
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,เบนซิน,20538
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,เบนซิน-ไฟฟ้า,785
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,45
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,ไฟฟ้า,231
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,ไม่ใช้เชื้อเพลิง,7
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยนาท,ไม่ระบุ,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,CNG สลับเบนซิน,383
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,แก๊ส LPG,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,แก๊ส LPG +ดีเซล,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,แก๊ส LPG +เบนซิน,972
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,ดีเซล,23667
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,ดีเซล-ไฟฟ้า,12
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,เบนซิน,32837
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,เบนซิน-ไฟฟ้า,1248
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,83
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,ไฟฟ้า,282
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชัยภูมิ,ไม่ระบุ,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,CNG ร่วมกับดีเซล,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,CNG สลับเบนซิน,198
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,LPG+เบนซินสลับไฟฟ้า,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,แก๊ส LPG +เบนซิน,661
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,ดีเซล,27487
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,ดีเซล-ไฟฟ้า,13
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,เบนซิน,28953
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,เบนซิน-ไฟฟ้า,1678
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,73
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,ไฟฟ้า,446
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,ไม่ระบุ,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,CNG สลับเบนซิน,1189
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,LPG+เบนซินสลับไฟฟ้า,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,แก๊ส LPG +ดีเซล,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,แก๊ส LPG +เบนซิน,1912
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,ดีเซล,54520
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,ดีเซล-ไฟฟ้า,33
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,เบนซิน,110185
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,เบนซิน-ไฟฟ้า,6079
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,383
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,เบนซิน+LPG+CNG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,เบนซิน+เอทานอล,4
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,ไฟฟ้า,3318
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,ไม่ใช้เชื้อเพลิง,8
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงราย,ไม่ระบุ,37
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงใหม่,CNG ร่วมกับดีเซล,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงใหม่,CNG สลับเบนซิน,3785
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงใหม่,แก๊ส LPG,14
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงใหม่,แก๊ส LPG +ดีเซล,9
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เชียงใหม่,แก๊ส LPG +เบนซิน,6472
